<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Afra..Net.Co.,20210630,25980.00,26637.00,25369.00,26345.00,33758945317,1281439,682,D,25369.00,26637.00
Afra..Net.Co.,20210629,24960.00,26250.00,24957.00,25369.00,67604854156,2664827,1313,D,26270.00,25366.00
Afra..Net.Co.,20210628,27979.00,27979.00,25321.00,26270.00,47758805439,1817973,1617,D,26653.00,25321.00
Afra..Net.Co.,20210627,25939.00,27800.00,25939.00,26653.00,154013507159,5778388,3163,D,28821.00,26570.00
Afra..Net.Co.,20210626,27418.00,27418.00,27418.00,28821.00,391391950,14275,18,D,28861.00,27418.00
Afra..Net.Co.,20210623,27431.00,27431.00,27431.00,28861.00,125990583,4593,8,D,28874.00,27431.00
Afra..Net.Co.,20210622,27437.00,27437.00,27437.00,28874.00,67248087,2451,8,D,28881.00,27437.00
Afra..Net.Co.,20210620,27442.00,27442.00,27442.00,28881.00,48929086,1783,5,D,28886.00,27442.00
Afra..Net.Co.,20210619,27444.00,27444.00,27444.00,28886.00,19869456,724,4,D,28888.00,27444.00
Afra..Net.Co.,20210616,26095.00,26095.00,26095.00,28888.00,494004445,18931,32,D,28994.00,26095.00
Afra..Net.Co.,20210615,27546.00,27546.00,27546.00,28994.00,7988340,290,1,D,28995.00,27546.00
Afra..Net.Co.,20210614,27548.00,27548.00,27548.00,28995.00,15509524,563,3,D,28997.00,27548.00
Afra..Net.Co.,20210613,27552.00,27552.00,27552.00,28997.00,45543456,1653,3,D,29002.00,27552.00
Afra..Net.Co.,20210612,27558.00,27558.00,27558.00,29002.00,58174938,2111,9,D,29008.00,27558.00
Afra..Net.Co.,20210609,27573.00,27573.00,27573.00,29008.00,133922061,4857,11,D,29024.00,27573.00
Afra..Net.Co.,20210608,26510.00,26510.00,26510.00,29024.00,7604844170,286867,36,D,33508.00,26510.00
Afra..Net.Co.,20210531,32501.00,32501.00,32501.00,34208.00,26000800,800,4,D,34211.00,32501.00
