<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Amirkabir.Steel,20210630,29300.00,30100.00,29110.00,29650.00,86875164650,2929686,1488,D,29990.00,29900.00
Amirkabir.Steel,20210629,29940.00,30300.00,29500.00,29990.00,54526085440,1818408,1031,D,29780.00,29860.00
Amirkabir.Steel,20210628,29970.00,30400.00,29010.00,29780.00,73573776440,2470630,1351,D,29620.00,30000.00
Amirkabir.Steel,20210627,29500.00,30420.00,28500.00,29620.00,117551892250,3968246,1828,D,29490.00,30000.00
Amirkabir.Steel,20210626,29700.00,30220.00,28970.00,29490.00,176165891850,5974490,2343,D,28790.00,29190.00
Amirkabir.Steel,20210623,27960.00,29350.00,27900.00,28790.00,205507683120,7136974,2330,D,27960.00,29350.00
Amirkabir.Steel,20210622,28370.00,28500.00,27700.00,27960.00,142640675070,5100835,1999,D,28200.00,28030.00
Amirkabir.Steel,20210621,27730.00,28680.00,27630.00,28200.00,91441975750,3243000,1556,D,27590.00,28100.00
Amirkabir.Steel,20210620,26550.00,28410.00,26550.00,27590.00,154675700460,5605977,1802,D,27320.00,27730.00
Amirkabir.Steel,20210619,28250.00,28250.00,26840.00,27320.00,145762986110,5336053,2112,D,28010.00,27000.00
Amirkabir.Steel,20210616,27900.00,28680.00,27030.00,28010.00,140207540590,5005019,2710,D,27370.00,27720.00
Amirkabir.Steel,20210615,26260.00,27510.00,26260.00,27370.00,206456559820,7542182,1996,D,26200.00,27510.00
Amirkabir.Steel,20210614,26800.00,26980.00,25630.00,26200.00,152378129260,5816627,2202,D,26960.00,26360.00
Amirkabir.Steel,20210613,26900.00,27770.00,26000.00,26960.00,167933676620,6230109,2358,D,26780.00,26350.00
Amirkabir.Steel,20210612,26800.00,27130.00,26020.00,26780.00,300559596200,11223043,3367,D,25840.00,26800.00
Amirkabir.Steel,20210609,24910.00,26070.00,24780.00,25840.00,164502064190,6365296,1301,D,24830.00,26070.00
Amirkabir.Steel,20210608,23800.00,24890.00,23800.00,24830.00,284186142230,11446804,2317,D,23710.00,24890.00
Amirkabir.Steel,20210607,24550.00,24700.00,23600.00,23710.00,383853575900,16187521,3622,D,24840.00,23630.00
Amirkabir.Steel,20210602,25140.00,25140.00,24100.00,24840.00,354712218240,14278657,3996,D,23950.00,24440.00
Amirkabir.Steel,20210601,23200.00,24120.00,23190.00,23950.00,93811697310,3916693,745,D,22980.00,24120.00
Amirkabir.Steel,20210531,22750.00,23880.00,22520.00,22980.00,445833567390,19402408,3084,D,21110.00,23050.00
Amirkabir.Steel,20210523,63010.00,66000.00,63010.00,64970.00,504881397310,7770524,2446,D,64080.00,65680.00
Amirkabir.Steel,20210522,65900.00,65900.00,63940.00,64080.00,241347521730,3766070,1367,D,67300.00,63940.00
Amirkabir.Steel,20210519,67000.00,68460.00,65600.00,67300.00,246824570030,3667488,1829,D,67310.00,67270.00
Amirkabir.Steel,20210518,66000.00,68460.00,64880.00,67310.00,212095625480,3151088,1902,D,65930.00,67840.00
Amirkabir.Steel,20210517,67800.00,67800.00,64870.00,65930.00,142405302190,2159788,2047,D,66440.00,65500.00
Amirkabir.Steel,20210516,66090.00,67990.00,65040.00,66440.00,611687754030,9206749,4408,D,64800.00,67390.00
Amirkabir.Steel,20210515,64800.00,64800.00,64800.00,64800.00,181217217600,2796562,398,D,61720.00,64800.00
Amirkabir.Steel,20210512,61490.00,62730.00,59200.00,61720.00,275645890460,4466222,1312,D,59180.00,62730.00
Amirkabir.Steel,20210511,56500.00,59540.00,56500.00,59180.00,231395124360,3910208,1265,D,56170.00,59540.00
Amirkabir.Steel,20210510,54700.00,58590.00,54700.00,56170.00,93747017380,1668841,1362,D,56370.00,57800.00
Amirkabir.Steel,20210509,55300.00,56000.00,55240.00,56370.00,16245850810,294001,231,D,56940.00,55240.00
Amirkabir.Steel,20210508,56800.00,59590.00,56000.00,56940.00,47058250190,827067,605,D,57730.00,56000.00
Amirkabir.Steel,20210505,55500.00,59190.00,55500.00,57730.00,63694623750,1103399,772,D,55870.00,57990.00
Amirkabir.Steel,20210503,55350.00,57000.00,55350.00,55870.00,75544365540,1352233,751,D,57050.00,56290.00
Amirkabir.Steel,20210502,56150.00,56660.00,56150.00,57050.00,22623391850,402904,213,D,57880.00,56150.00
Amirkabir.Steel,20210501,58090.00,59220.00,57490.00,57880.00,41360498460,717665,577,D,59260.00,57710.00
Amirkabir.Steel,20210428,60550.00,61700.00,58450.00,59260.00,111595673200,1883113,1386,D,60250.00,59300.00
Amirkabir.Steel,20210427,59900.00,61240.00,58610.00,60250.00,336763048960,5589385,1937,D,57780.00,60870.00
Amirkabir.Steel,20210426,56250.00,58280.00,55610.00,57780.00,161518679890,2795196,1555,D,54990.00,58280.00
Amirkabir.Steel,20210425,55980.00,56000.00,54540.00,54990.00,58503838780,1063914,714,D,55460.00,55870.00
Amirkabir.Steel,20210424,56000.00,56800.00,54320.00,55460.00,60108466130,1083912,1076,D,55270.00,55270.00
Amirkabir.Steel,20210421,56000.00,57590.00,54930.00,55270.00,141572200060,2561542,1217,D,56620.00,55890.00
Amirkabir.Steel,20210420,56540.00,57650.00,56540.00,56620.00,163555453410,2888847,1447,D,57690.00,56540.00
