<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Atye.Damavand,20210630,10270.00,10300.00,9950.00,10010.00,15905297580,1589542,281,D,10070.00,9980.00
Atye.Damavand,20210629,10100.00,10390.00,9900.00,10070.00,32225327780,3199387,378,D,10100.00,10140.00
Atye.Damavand,20210628,0.00,10290.00,9810.00,10100.00,57009722020,5646935,768,D,10030.00,10020.00
Atye.Damavand,20210627,10000.00,10120.00,9800.00,10030.00,40154429200,4003446,381,D,9640.00,10120.00
Atye.Damavand,20210626,10000.00,10000.00,9450.00,9640.00,32918779120,3416555,407,D,9630.00,9600.00
Atye.Damavand,20210623,9250.00,9760.00,9250.00,9630.00,31611010610,3283366,413,D,9300.00,9760.00
Atye.Damavand,20210622,9140.00,9490.00,9140.00,9300.00,23882202420,2567439,318,D,9270.00,9320.00
Atye.Damavand,20210621,8870.00,9400.00,8870.00,9270.00,13626163600,1467141,194,D,9200.00,9230.00
Atye.Damavand,20210620,9240.00,9270.00,9110.00,9200.00,20010127470,2173862,267,D,9100.00,9190.00
Atye.Damavand,20210619,9100.00,9260.00,8700.00,9100.00,10221508640,1126176,203,D,9140.00,9200.00
Atye.Damavand,20210616,9180.00,9250.00,9100.00,9140.00,13689311900,1497661,248,D,9110.00,9100.00
Atye.Damavand,20210615,9140.00,9300.00,9100.00,9110.00,49610265460,5447304,333,D,9130.00,9100.00
Atye.Damavand,20210614,9140.00,9260.00,9060.00,9130.00,28171935610,3086902,307,D,9130.00,9200.00
Atye.Damavand,20210613,9100.00,9200.00,9090.00,9130.00,10270133920,1123494,254,D,9120.00,9140.00
Atye.Damavand,20210612,9230.00,9290.00,9000.00,9120.00,20881371020,2289416,216,D,9140.00,9160.00
Atye.Damavand,20210609,9380.00,9380.00,8930.00,9140.00,14177796100,1555878,167,D,9300.00,9170.00
Atye.Damavand,20210608,9340.00,9490.00,9000.00,9300.00,32174545650,3460518,588,D,9130.00,9230.00
Atye.Damavand,20210607,9000.00,9390.00,9000.00,9130.00,16706507960,1829572,329,D,9050.00,9200.00
Atye.Damavand,20210602,9000.00,9200.00,9000.00,9050.00,10195717660,1123533,177,D,9020.00,9100.00
Atye.Damavand,20210601,8660.00,9150.00,8660.00,9020.00,5863284850,654662,193,D,9060.00,8990.00
Atye.Damavand,20210531,8870.00,9250.00,8870.00,9060.00,14378680640,1592607,204,D,9330.00,8920.00
Atye.Damavand,20210530,9160.00,9460.00,9070.00,9330.00,40356287350,4323529,494,D,9010.00,9110.00
Atye.Damavand,20210529,8630.00,9040.00,8630.00,9010.00,129413937210,14363618,742,D,8610.00,9040.00
Atye.Damavand,20210526,8600.00,8800.00,8500.00,8610.00,13541399970,1570303,325,D,8540.00,8700.00
Atye.Damavand,20210525,8490.00,8780.00,8200.00,8540.00,15036666530,1759084,421,D,8370.00,8630.00
Atye.Damavand,20210524,8880.00,8880.00,8250.00,8370.00,26975996570,3224471,405,D,8680.00,8490.00
Atye.Damavand,20210523,8990.00,8990.00,8620.00,8680.00,19637030480,2261476,216,D,9070.00,8620.00
Atye.Damavand,20210522,9100.00,9480.00,8990.00,9070.00,67276866580,7418912,412,D,9460.00,9000.00
Atye.Damavand,20210519,9010.00,9540.00,9010.00,9460.00,195648135450,20683942,897,D,9380.00,9480.00
Atye.Damavand,20210518,9420.00,9590.00,9170.00,9380.00,27481251980,2929858,402,D,9420.00,9390.00
Atye.Damavand,20210517,9120.00,9600.00,9120.00,9420.00,42518257700,4513418,434,D,9540.00,9490.00
Atye.Damavand,20210516,9400.00,9790.00,9220.00,9540.00,47297714040,4955254,700,D,9530.00,9720.00
Atye.Damavand,20210515,9560.00,9930.00,9220.00,9530.00,19684793810,2064614,399,D,9560.00,9570.00
Atye.Damavand,20210512,9700.00,9930.00,9540.00,9560.00,135106627750,14130024,876,D,9830.00,9540.00
Atye.Damavand,20210511,9830.00,10000.00,9830.00,9830.00,176779097720,17980882,1381,D,10130.00,9830.00
Atye.Damavand,20210510,9850.00,9850.00,9850.00,10130.00,2612229850,265201,20,D,10150.00,9850.00
Atye.Damavand,20210509,9850.00,9850.00,9850.00,10150.00,41320750,4195,2,D,10150.00,9850.00
Atye.Damavand,20210508,9860.00,9860.00,9860.00,10150.00,1283279000,130150,13,D,10160.00,9860.00
Atye.Damavand,20210505,9720.00,9720.00,9720.00,10160.00,13355950680,1374069,187,D,10330.00,9720.00
Atye.Damavand,20210503,10030.00,10030.00,10030.00,10330.00,241020900,24030,13,D,10330.00,10030.00
Atye.Damavand,20210502,10030.00,10030.00,10030.00,10330.00,1637247050,163235,19,D,10340.00,10030.00
Atye.Damavand,20210501,10070.00,10070.00,10070.00,10340.00,6409343530,636479,51,D,10380.00,10070.00
Atye.Damavand,20210428,10080.00,10080.00,10080.00,10380.00,818717760,81222,19,D,10390.00,10080.00
Atye.Damavand,20210427,10090.00,10090.00,10090.00,10390.00,1471999830,145887,29,D,10400.00,10090.00
Atye.Damavand,20210426,10090.00,10090.00,10090.00,10400.00,48492540,4806,6,D,10400.00,10090.00
Atye.Damavand,20210425,10090.00,10090.00,10090.00,10400.00,105945000,10500,6,D,10400.00,10090.00
Atye.Damavand,20210424,10090.00,10090.00,10090.00,10400.00,241040010,23889,11,D,10400.00,10090.00
Atye.Damavand,20210421,10090.00,10090.00,10090.00,10400.00,343937830,34087,10,D,10400.00,10090.00
Atye.Damavand,20210420,10200.00,10200.00,10200.00,10400.00,525218400,51492,20,D,10400.00,10200.00
Atye.Damavand,20210419,10290.00,10290.00,10090.00,10400.00,18560536260,1815514,143,D,10530.00,10090.00
Atye.Damavand,20210412,11990.00,12280.00,11990.00,12030.00,85571143910,7111873,897,D,12230.00,12130.00
Atye.Damavand,20210411,12000.00,12000.00,12000.00,12230.00,2293896000,191158,46,D,12240.00,12000.00
Atye.Damavand,20210410,12260.00,12260.00,12030.00,12240.00,10150629760,838592,144,D,12270.00,12030.00
Atye.Damavand,20210407,12140.00,12400.00,12120.00,12270.00,18320994070,1509770,265,D,12360.00,12120.00
Atye.Damavand,20210406,12340.00,12590.00,12340.00,12360.00,59325234860,4800414,581,D,12590.00,12340.00
Atye.Damavand,20210405,12440.00,12440.00,12440.00,12590.00,19773964680,1589547,140,D,12690.00,12440.00
Atye.Damavand,20210404,12450.00,12450.00,12450.00,12690.00,1145014050,91969,39,D,12700.00,12450.00
Atye.Damavand,20210403,12600.00,12710.00,12600.00,12700.00,29506837510,2341002,272,D,12850.00,12600.00
Atye.Damavand,20210331,12900.00,13090.00,12600.00,12850.00,141489456710,11011988,1569,D,12730.00,12840.00
Atye.Damavand,20210330,12460.00,12790.00,12090.00,12730.00,268830950080,21117116,1950,D,12070.00,12790.00
Atye.Damavand,20210328,12210.00,12420.00,12000.00,12070.00,28900921140,2381499,397,D,11980.00,12200.00
Atye.Damavand,20210317,12000.00,12330.00,11750.00,11980.00,25174452020,2090158,451,D,11920.00,12080.00
Atye.Damavand,20210316,12400.00,12400.00,11670.00,11920.00,98251219920,8245290,932,D,11900.00,12100.00
Atye.Damavand,20210315,11890.00,12070.00,11890.00,11900.00,141234110540,11865574,959,D,12130.00,11890.00
Atye.Damavand,20210314,11940.00,11940.00,11940.00,12130.00,10313007840,863736,51,D,12180.00,11940.00
Atye.Damavand,20210313,11960.00,11960.00,11960.00,12180.00,4697780360,392791,34,D,12200.00,11960.00
Atye.Damavand,20210310,11970.00,11970.00,11970.00,12200.00,2792780550,233315,12,D,12210.00,11970.00
Atye.Damavand,20210309,11980.00,11980.00,11980.00,12210.00,1576436220,131589,20,D,12220.00,11980.00
Atye.Damavand,20210308,11980.00,11980.00,11980.00,12220.00,370709120,30944,12,D,12220.00,11980.00
Atye.Damavand,20210307,11990.00,11990.00,11990.00,12220.00,1443548040,120396,10,D,12230.00,11990.00
Atye.Damavand,20210306,11990.00,11990.00,11990.00,12230.00,399362920,33308,8,D,12230.00,11990.00
Atye.Damavand,20210303,11990.00,11990.00,11990.00,12230.00,118641050,9895,10,D,12230.00,11990.00
Atye.Damavand,20210302,11990.00,11990.00,11990.00,12230.00,285242100,23790,10,D,12230.00,11990.00
Atye.Damavand,20210301,11990.00,11990.00,11990.00,12230.00,156157760,13024,7,D,12230.00,11990.00
Atye.Damavand,20210228,11990.00,11990.00,11990.00,12230.00,63355160,5284,7,D,12230.00,11990.00
Atye.Damavand,20210227,11990.00,11990.00,11990.00,12230.00,18764350,1565,3,D,12230.00,11990.00
Atye.Damavand,20210224,11990.00,11990.00,11990.00,12230.00,474983850,39615,15,D,12230.00,11990.00
Atye.Damavand,20210223,12010.00,12010.00,12010.00,12230.00,3589861060,298906,31,D,12250.00,12010.00
Atye.Damavand,20210222,12010.00,12010.00,12010.00,12250.00,187920470,15647,6,D,12250.00,12010.00
Atye.Damavand,20210221,12010.00,12010.00,12010.00,12250.00,221428370,18437,14,D,12250.00,12010.00
Atye.Damavand,20210220,12040.00,12050.00,12040.00,12250.00,7087851010,588691,73,D,12280.00,12040.00
Atye.Damavand,20210217,12150.00,12150.00,12060.00,12280.00,5214549680,432005,97,D,12300.00,12060.00
Atye.Damavand,20210216,12150.00,12150.00,12150.00,12300.00,18158782500,1494550,144,D,12390.00,12150.00
Atye.Damavand,20210215,12280.00,12510.00,12280.00,12390.00,30419682620,2472845,436,D,12530.00,12280.00
Atye.Damavand,20210214,12900.00,13000.00,12410.00,12530.00,87190378430,6956080,919,D,12660.00,12410.00
Atye.Damavand,20210213,12180.00,12740.00,12180.00,12660.00,146737752420,11587025,1183,D,12020.00,12740.00
Atye.Damavand,20210209,11610.00,12400.00,11440.00,12020.00,90028065030,7489748,1135,D,11900.00,12050.00
Atye.Damavand,20210208,11600.00,11970.00,11040.00,11900.00,188581378080,15847865,1510,D,11400.00,11970.00
Atye.Damavand,20210207,10650.00,11640.00,10650.00,11400.00,56673064290,4971797,728,D,11190.00,11460.00
Atye.Damavand,20210206,10750.00,11320.00,10750.00,11190.00,11618560100,1074647,145,D,11310.00,10750.00
Atye.Damavand,20210203,11540.00,11820.00,10960.00,11310.00,29684741980,2665085,480,D,11530.00,10960.00
Atye.Damavand,20210202,12040.00,12040.00,11310.00,11530.00,67520642420,5857615,913,D,11860.00,11410.00
Atye.Damavand,20210201,11500.00,12040.00,11220.00,11860.00,151116019660,12743883,1963,D,11470.00,11880.00
Atye.Damavand,20210131,11500.00,11500.00,11130.00,11470.00,256330893230,22339148,1359,D,10960.00,11500.00
Atye.Damavand,20210130,10320.00,10970.00,10320.00,10960.00,53569485070,4887065,395,D,10450.00,10970.00
Atye.Damavand,20210127,9920.00,10890.00,9920.00,10450.00,39050206150,3733703,666,D,10390.00,10510.00
Atye.Damavand,20210126,10900.00,11150.00,10260.00,10390.00,53928588830,5189829,843,D,10790.00,10330.00
Atye.Damavand,20210125,10450.00,11490.00,10440.00,10790.00,50130427390,4644097,795,D,10980.00,10950.00
Atye.Damavand,20210124,11830.00,11830.00,10830.00,10980.00,69522805830,6329119,879,D,11400.00,10830.00
Atye.Damavand,20210123,11030.00,11550.00,11030.00,11400.00,38123231260,3302263,570,D,11000.00,11550.00
Atye.Damavand,20210120,10720.00,11030.00,10520.00,11000.00,46639756990,4237924,402,D,10510.00,11030.00
Atye.Damavand,20210119,10410.00,10830.00,10410.00,10510.00,100072822740,9524869,1053,D,10950.00,10650.00
Atye.Damavand,20210118,10830.00,10830.00,10830.00,10950.00,36782567970,3396359,304,D,11400.00,10830.00
Atye.Damavand,20210116,11420.00,11560.00,11150.00,11400.00,28236437590,2528837,296,D,11730.00,11150.00
Atye.Damavand,20210113,11810.00,12530.00,11690.00,11730.00,99198543250,8455649,1148,D,12300.00,11690.00
Atye.Damavand,20210112,13210.00,13210.00,12050.00,12300.00,71760341740,5833574,1228,D,12680.00,12080.00
Atye.Damavand,20210111,12800.00,13140.00,12330.00,12680.00,90554488640,7139174,1194,D,12670.00,12800.00
Atye.Damavand,20210110,12080.00,12770.00,11800.00,12670.00,75098164730,5926322,1165,D,12170.00,12770.00
Atye.Damavand,20210109,12990.00,12990.00,11950.00,12170.00,54829870800,4505080,966,D,12530.00,12080.00
Atye.Damavand,20210106,13090.00,13090.00,12480.00,12530.00,72922779510,5821705,1076,D,13130.00,12480.00
Atye.Damavand,20210105,13870.00,13870.00,12810.00,13130.00,78940198170,6011071,1271,D,13410.00,12890.00
Atye.Damavand,20210104,12950.00,13510.00,12950.00,13410.00,69049528740,5151012,986,D,12870.00,13510.00
Atye.Damavand,20210103,12370.00,13250.00,12370.00,12870.00,66936490640,5202381,1255,D,12780.00,12930.00
Atye.Damavand,20210102,13140.00,13500.00,12740.00,12780.00,83822207630,6556665,1348,D,13410.00,12740.00
Atye.Damavand,20201230,13830.00,14070.00,13200.00,13410.00,97916666470,7302860,1514,D,13890.00,13230.00
Atye.Damavand,20201229,14250.00,14660.00,13850.00,13890.00,101574222120,7311162,1080,D,14570.00,13850.00
Atye.Damavand,20201228,14460.00,15490.00,14370.00,14570.00,113758786850,7806014,1653,D,15120.00,14370.00
Atye.Damavand,20201227,15200.00,15660.00,15040.00,15120.00,56144049740,3712710,692,D,15830.00,15040.00
Atye.Damavand,20201226,15900.00,16260.00,15130.00,15830.00,58862433250,3718370,1127,D,15590.00,15700.00
