<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Avicenna.Labs.,20210630,18010.00,18399.00,17300.00,17825.00,66609111143,3736918,1777,D,17933.00,17534.00
Avicenna.Labs.,20210629,17650.00,18490.00,17010.00,17933.00,123332058375,6877214,3042,D,17867.00,18300.00
Avicenna.Labs.,20210628,18230.00,18897.00,17352.00,17867.00,120321738050,6734467,3125,D,18265.00,17650.00
Avicenna.Labs.,20210627,18765.00,19200.00,17826.00,18265.00,153467221433,8402469,3950,D,18764.00,17956.00
Avicenna.Labs.,20210626,18726.00,19560.00,18726.00,18764.00,210278569792,11206248,1959,D,19711.00,18800.00
Avicenna.Labs.,20210623,18733.00,18733.00,18733.00,19711.00,98947706,5282,12,D,19718.00,18733.00
Avicenna.Labs.,20210622,18761.00,18761.00,18761.00,19718.00,429157875,22875,14,D,19748.00,18761.00
Avicenna.Labs.,20210621,18763.00,18763.00,18763.00,19748.00,35649700,1900,2,D,19750.00,18763.00
Avicenna.Labs.,20210620,17874.00,17874.00,17874.00,19750.00,750600756,41994,42,D,19860.00,17874.00
Avicenna.Labs.,20210619,18868.00,18868.00,18868.00,19860.00,18679320,990,2,D,19861.00,18868.00
Avicenna.Labs.,20210616,18869.00,18869.00,18869.00,19861.00,10038308,532,2,D,19862.00,18869.00
Avicenna.Labs.,20210615,18869.00,18869.00,18869.00,19862.00,5660700,300,1,D,19862.00,18869.00
Avicenna.Labs.,20210614,18877.00,18877.00,18877.00,19862.00,110996760,5880,8,D,19870.00,18877.00
Avicenna.Labs.,20210613,18891.00,18891.00,18891.00,19870.00,220873572,11692,8,D,19885.00,18891.00
Avicenna.Labs.,20210612,18895.00,18895.00,18895.00,19885.00,56685000,3000,2,D,19889.00,18895.00
Avicenna.Labs.,20210609,18086.00,18086.00,18086.00,19889.00,1378460662,76217,52,D,20095.00,18086.00
Avicenna.Labs.,20210608,19126.00,19126.00,19126.00,20095.00,520074192,27192,6,D,20132.00,19126.00
Avicenna.Labs.,20210607,19145.00,19145.00,19145.00,20132.00,290085040,15152,7,D,20152.00,19145.00
Avicenna.Labs.,20210602,19147.00,19147.00,19147.00,20152.00,29850173,1559,3,D,20154.00,19147.00
Avicenna.Labs.,20210601,19149.00,19149.00,19149.00,20154.00,22978800,1200,1,D,20156.00,19149.00
Avicenna.Labs.,20210531,19149.00,19149.00,19149.00,20156.00,5017038,262,1,D,20156.00,19149.00
Avicenna.Labs.,20210530,19149.00,19149.00,19149.00,20156.00,5744700,300,1,D,20156.00,19149.00
Avicenna.Labs.,20210529,19159.00,19159.00,19159.00,20156.00,148520568,7752,9,D,20167.00,19159.00
Avicenna.Labs.,20210525,19159.00,19159.00,19159.00,20167.00,6705650,350,1,D,20167.00,19159.00
Avicenna.Labs.,20210524,19160.00,19160.00,19160.00,20167.00,15902800,830,2,D,20168.00,19160.00
Avicenna.Labs.,20210519,19165.00,19165.00,19165.00,20172.00,19165000,1000,1,D,20173.00,19165.00
Avicenna.Labs.,20210517,19165.00,19165.00,19165.00,20173.00,5021230,262,1,D,20173.00,19165.00
Avicenna.Labs.,20210516,19166.00,19166.00,19166.00,20173.00,11595430,605,2,D,20174.00,19166.00
Avicenna.Labs.,20210515,19170.00,19170.00,19170.00,20174.00,53848530,2809,4,D,20178.00,19170.00
Avicenna.Labs.,20210512,19574.00,19574.00,19574.00,20178.00,102900518,5257,2,D,20179.00,19574.00
Avicenna.Labs.,20210511,19574.00,19574.00,19574.00,20179.00,14974110,765,2,D,20179.00,19574.00
Avicenna.Labs.,20210510,19574.00,19574.00,19574.00,20179.00,9963166,509,1,D,20179.00,19574.00
Avicenna.Labs.,20210509,19574.00,19574.00,19574.00,20179.00,9963166,509,1,D,20179.00,19574.00
Avicenna.Labs.,20210508,19574.00,19574.00,19574.00,20179.00,19574000,1000,1,D,20179.00,19574.00
Avicenna.Labs.,20210505,19574.00,19574.00,19574.00,20179.00,5343702,273,1,D,20179.00,19574.00
Avicenna.Labs.,20210503,19577.00,19577.00,19577.00,20179.00,210785559,10767,4,D,20182.00,19577.00
Avicenna.Labs.,20210502,19577.00,19577.00,19577.00,20182.00,11276352,576,2,D,20182.00,19577.00
Avicenna.Labs.,20210501,19578.00,19578.00,19578.00,20182.00,43815564,2238,3,D,20183.00,19578.00
Avicenna.Labs.,20210428,19581.00,19581.00,19581.00,20183.00,273017883,13943,6,D,20186.00,19581.00
Avicenna.Labs.,20210427,19581.00,19581.00,19581.00,20186.00,5071479,259,1,D,20186.00,19581.00
Avicenna.Labs.,20210426,19581.00,19581.00,19581.00,20186.00,5071479,259,1,D,20186.00,19581.00
Avicenna.Labs.,20210424,19581.00,19581.00,19581.00,20186.00,9810081,501,1,D,20186.00,19581.00
Avicenna.Labs.,20210421,19581.00,19581.00,19581.00,20186.00,19581000,1000,1,D,20186.00,19581.00
Avicenna.Labs.,20210420,19783.00,19783.00,19783.00,20186.00,39566000,2000,1,D,20186.00,19783.00
Avicenna.Labs.,20210419,19784.00,19784.00,19784.00,20186.00,87346360,4415,2,D,20187.00,19784.00
Avicenna.Labs.,20210418,19784.00,19784.00,19784.00,20187.00,34404376,1739,3,D,20187.00,19784.00
Avicenna.Labs.,20210417,19785.00,19785.00,19785.00,20187.00,85273350,4310,3,D,20188.00,19785.00
Avicenna.Labs.,20210414,19785.00,19785.00,19785.00,20188.00,19982850,1010,2,D,20188.00,19785.00
Avicenna.Labs.,20210413,19785.00,19785.00,19785.00,20188.00,7122600,360,1,D,20188.00,19785.00
Avicenna.Labs.,20210411,19786.00,19786.00,19786.00,20188.00,96951400,4900,1,D,20189.00,19786.00
Avicenna.Labs.,20210410,19788.00,19788.00,19788.00,20189.00,206942904,10458,2,D,20191.00,19788.00
Avicenna.Labs.,20210407,19788.00,19788.00,19788.00,20191.00,5936400,300,1,D,20191.00,19788.00
Avicenna.Labs.,20210406,19788.00,19788.00,19788.00,20191.00,44641728,2256,2,D,20191.00,19788.00
Avicenna.Labs.,20210405,19788.00,19788.00,19788.00,20191.00,10269972,519,1,D,20191.00,19788.00
Avicenna.Labs.,20210404,19788.00,19788.00,19788.00,20191.00,6074916,307,1,D,20191.00,19788.00
Avicenna.Labs.,20210403,19788.00,19788.00,19788.00,20191.00,26021220,1315,4,D,20191.00,19788.00
Avicenna.Labs.,20210331,19790.00,19790.00,19790.00,20191.00,200908080,10152,14,D,20193.00,19790.00
Avicenna.Labs.,20210330,19793.00,19793.00,19793.00,20193.00,312689814,15798,11,D,20196.00,19793.00
Avicenna.Labs.,20210328,19794.00,19794.00,19794.00,20196.00,179175288,9052,16,D,20197.00,19794.00
Avicenna.Labs.,20210327,19798.00,19798.00,19798.00,20197.00,602195766,30417,18,D,20202.00,19798.00
Avicenna.Labs.,20210317,19804.00,19804.00,19804.00,20202.00,684980752,34588,44,D,20208.00,19804.00
Avicenna.Labs.,20210316,19811.00,19811.00,19811.00,20208.00,835350626,42166,36,D,20215.00,19811.00
Avicenna.Labs.,20210315,19818.00,19818.00,19818.00,20215.00,871437096,43972,8,D,20222.00,19818.00
Avicenna.Labs.,20210314,19843.00,19843.00,19843.00,20222.00,2985141234,150438,21,D,20247.00,19843.00
Avicenna.Labs.,20210313,19845.00,19845.00,19845.00,20247.00,188130600,9480,16,D,20249.00,19845.00
Avicenna.Labs.,20210310,19846.00,19846.00,19846.00,20249.00,273398496,13776,10,D,20251.00,19846.00
Avicenna.Labs.,20210309,19848.00,19848.00,19848.00,20251.00,198738024,10013,17,D,20253.00,19848.00
Avicenna.Labs.,20210308,19849.00,19849.00,19849.00,20253.00,135429727,6823,10,D,20254.00,19849.00
Avicenna.Labs.,20210307,19850.00,19850.00,19850.00,20254.00,89999900,4534,8,D,20255.00,19850.00
Avicenna.Labs.,20210306,19852.00,19852.00,19852.00,20255.00,191174760,9630,7,D,20257.00,19852.00
Avicenna.Labs.,20210303,19853.00,19853.00,19853.00,20257.00,134920988,6796,16,D,20258.00,19853.00
Avicenna.Labs.,20210302,19887.00,19887.00,19887.00,20258.00,4162150230,209290,28,D,20292.00,19887.00
Avicenna.Labs.,20210301,19892.00,19892.00,19892.00,20292.00,649891532,32671,15,D,20297.00,19892.00
Avicenna.Labs.,20210228,19893.00,19893.00,19893.00,20297.00,114106248,5736,7,D,20298.00,19893.00
Avicenna.Labs.,20210227,19894.00,19894.00,19894.00,20298.00,153959666,7739,9,D,20299.00,19894.00
Avicenna.Labs.,20210224,19922.00,19922.00,19922.00,20299.00,3562631338,178829,94,D,20328.00,19922.00
Avicenna.Labs.,20210223,19937.00,19937.00,19937.00,20328.00,1778958573,89229,45,D,20343.00,19937.00
Avicenna.Labs.,20210222,19942.00,19942.00,19942.00,20343.00,599815476,30078,21,D,20348.00,19942.00
Avicenna.Labs.,20210221,20520.00,21000.00,20091.00,20348.00,23782340940,1178575,428,D,20501.00,20091.00
Avicenna.Labs.,20210220,20150.00,21220.00,19739.00,20501.00,132848131922,6480224,2669,D,20141.00,20530.00
Avicenna.Labs.,20210217,19899.00,20449.00,19304.00,20141.00,127474333406,6329245,2790,D,19304.00,20290.00
Avicenna.Labs.,20210216,18615.00,19980.00,18615.00,19304.00,131454869203,6809893,1960,D,18994.00,19581.00
Avicenna.Labs.,20210215,18634.00,18634.00,18634.00,18994.00,2616213600,140400,48,D,19014.00,18634.00
Avicenna.Labs.,20210214,19000.00,19050.00,18773.00,19014.00,19964020505,1061896,313,D,19156.00,18773.00
Avicenna.Labs.,20210213,19940.00,19943.00,18760.00,19156.00,112194235498,5856788,2121,D,18815.00,18900.00
Avicenna.Labs.,20210209,17497.00,19337.00,17497.00,18815.00,72360917336,3845970,1131,D,18417.00,19337.00
Avicenna.Labs.,20210208,18000.00,18300.00,17900.00,18417.00,23208632283,1290135,509,D,18842.00,17900.00
Avicenna.Labs.,20210207,19217.00,19850.00,18367.00,18842.00,46832708157,2488114,893,D,19333.00,18367.00
Avicenna.Labs.,20210203,19400.00,19990.00,19244.00,19333.00,41347856040,2143121,492,D,20256.00,19244.00
Avicenna.Labs.,20210202,21300.00,21570.00,19527.00,20256.00,158818656454,7840705,2963,D,20554.00,19527.00
Avicenna.Labs.,20210201,19902.00,21500.00,19902.00,20554.00,332643219460,16184071,4167,D,20949.00,20910.00
Avicenna.Labs.,20210131,20800.00,21259.00,20463.00,20949.00,28329505244,1376556,628,D,21540.00,20463.00
Avicenna.Labs.,20210130,21259.00,22900.00,21259.00,21540.00,274403485185,12739111,3224,D,22377.00,21259.00
Avicenna.Labs.,20210127,21462.00,21462.00,21462.00,22377.00,8405055750,391625,77,D,22591.00,21462.00
Avicenna.Labs.,20210126,21513.00,21513.00,21513.00,22591.00,2111737593,98161,50,D,22645.00,21513.00
Avicenna.Labs.,20210125,21589.00,21589.00,21589.00,22645.00,3126346268,144812,84,D,22725.00,21589.00
Avicenna.Labs.,20210124,22800.00,23490.00,22464.00,22725.00,51188005098,2252474,876,D,23646.00,22464.00
Avicenna.Labs.,20210123,25375.00,25375.00,22959.00,23646.00,628235377422,26568322,6188,D,24167.00,22959.00
Avicenna.Labs.,20210120,24825.00,24825.00,24825.00,24167.00,23880880425,961969,193,D,23643.00,24825.00
Avicenna.Labs.,20210119,23000.00,23655.00,23000.00,23643.00,356832998660,15092645,1186,D,22529.00,23655.00
Avicenna.Labs.,20210118,21670.00,23850.00,21670.00,22529.00,337598856674,14984902,4214,D,22810.00,23000.00
Avicenna.Labs.,20210116,24181.00,24181.00,21879.00,22810.00,803993683960,35247687,5915,D,23030.00,21879.00
Avicenna.Labs.,20210113,23899.00,23899.00,23899.00,23030.00,12973380958,542842,203,D,22761.00,23899.00
Avicenna.Labs.,20210112,23548.00,23548.00,23548.00,22761.00,16125222988,684781,176,D,22427.00,23548.00
Avicenna.Labs.,20210111,23201.00,23201.00,23201.00,22427.00,15944516034,687234,138,D,22097.00,23201.00
Avicenna.Labs.,20210110,23008.00,23008.00,23008.00,22097.00,8891395584,386448,153,D,21913.00,23008.00
Avicenna.Labs.,20210109,22839.00,22839.00,22839.00,21913.00,7757037960,339640,153,D,21752.00,22839.00
Avicenna.Labs.,20210106,22600.00,22600.00,22600.00,21752.00,11686482600,517101,188,D,21524.00,22600.00
Avicenna.Labs.,20210105,22303.00,22303.00,22303.00,21524.00,14511446950,650650,133,D,21241.00,22303.00
Avicenna.Labs.,20210104,22151.00,22151.00,22151.00,21241.00,7365008141,332491,148,D,21097.00,22151.00
Avicenna.Labs.,20210103,21824.00,21824.00,21824.00,21097.00,15993631104,732846,192,D,20785.00,21824.00
Avicenna.Labs.,20210102,21500.00,21500.00,21500.00,20785.00,15798135500,734797,218,D,20477.00,21500.00
Avicenna.Labs.,20201230,21264.00,21264.00,21264.00,20477.00,12104702112,569258,152,D,20252.00,21264.00
Avicenna.Labs.,20201229,21012.00,21012.00,21012.00,20252.00,12948476904,616242,157,D,20012.00,21012.00
Avicenna.Labs.,20201228,20875.00,20875.00,20875.00,20012.00,7069297875,338649,140,D,19881.00,20875.00
Avicenna.Labs.,20201227,20609.00,20609.00,20609.00,19881.00,13608081482,660298,152,D,19628.00,20609.00
Avicenna.Labs.,20201226,20472.00,20472.00,20472.00,19628.00,7020688152,342941,133,D,19498.00,20472.00
Avicenna.Labs.,20201223,20277.00,20277.00,20277.00,19498.00,10386629649,512237,108,D,19312.00,20277.00
Avicenna.Labs.,20201222,20150.00,20150.00,20150.00,19312.00,6769755200,335968,98,D,19191.00,20150.00
Avicenna.Labs.,20201221,20029.00,20029.00,20029.00,19191.00,6415589135,320315,104,D,19076.00,20029.00
Avicenna.Labs.,20201220,19824.00,19824.00,19824.00,19076.00,10920803712,550888,117,D,18880.00,19824.00
Avicenna.Labs.,20201219,19763.00,19763.00,19763.00,18880.00,3225301837,163199,49,D,18822.00,19763.00
Avicenna.Labs.,20201216,19568.00,19568.00,19568.00,18822.00,11281441200,576525,155,D,18637.00,19568.00
Avicenna.Labs.,20201215,18637.00,18637.00,18637.00,18637.00,64698792788,3471524,438,D,17750.00,18637.00
