<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Azarbayjan.Inv.,20210630,72010.00,72010.00,72010.00,75740.00,225895370,3137,13,D,75800.00,72010.00
Azarbayjan.Inv.,20210629,72060.00,72060.00,72060.00,75800.00,197300280,2738,18,D,75850.00,72060.00
Azarbayjan.Inv.,20210628,72270.00,72270.00,72270.00,75850.00,830093220,11486,32,D,76070.00,72270.00
Azarbayjan.Inv.,20210627,72460.00,72460.00,72460.00,76070.00,748149500,10325,26,D,76270.00,72460.00
Azarbayjan.Inv.,20210626,73250.00,73250.00,73250.00,76270.00,3055623750,41715,63,D,77100.00,73250.00
Azarbayjan.Inv.,20210623,73360.00,73360.00,73360.00,77100.00,430109680,5863,17,D,77220.00,73360.00
Azarbayjan.Inv.,20210622,73910.00,73910.00,73910.00,77220.00,2037403060,27566,32,D,77800.00,73910.00
Azarbayjan.Inv.,20210621,73930.00,73930.00,73930.00,77800.00,70972800,960,5,D,77820.00,73930.00
Azarbayjan.Inv.,20210620,73950.00,73950.00,73950.00,77820.00,57163350,773,4,D,77840.00,73950.00
Azarbayjan.Inv.,20210619,72890.00,72890.00,72890.00,77840.00,5243925270,71943,81,D,80980.00,72890.00
Azarbayjan.Inv.,20210616,76940.00,76940.00,76940.00,80980.00,13002860,169,2,D,80980.00,76940.00
Azarbayjan.Inv.,20210615,76950.00,76950.00,76950.00,80980.00,35858700,466,1,D,80990.00,76950.00
Azarbayjan.Inv.,20210614,76950.00,76950.00,76950.00,80990.00,22700250,295,3,D,81000.00,76950.00
Azarbayjan.Inv.,20210613,76950.00,76950.00,76950.00,81000.00,11465550,149,2,D,81000.00,76950.00
Azarbayjan.Inv.,20210612,76990.00,76990.00,76990.00,81000.00,146511970,1903,7,D,81040.00,76990.00
Azarbayjan.Inv.,20210609,76990.00,76990.00,76990.00,81040.00,13088300,170,2,D,81040.00,76990.00
Azarbayjan.Inv.,20210608,77060.00,77060.00,77060.00,81040.00,234185340,3039,5,D,81110.00,77060.00
Azarbayjan.Inv.,20210607,77160.00,77160.00,77160.00,81110.00,373377240,4839,12,D,81220.00,77160.00
Azarbayjan.Inv.,20210602,77220.00,77220.00,77220.00,81220.00,222625260,2883,7,D,81280.00,77220.00
Azarbayjan.Inv.,20210601,77230.00,77230.00,77230.00,81280.00,41009130,531,6,D,81290.00,77230.00
Azarbayjan.Inv.,20210531,73820.00,73820.00,73820.00,81290.00,1205185320,16326,63,D,82020.00,73820.00
Azarbayjan.Inv.,20210530,77950.00,77950.00,77950.00,82020.00,87615800,1124,6,D,82050.00,77950.00
Azarbayjan.Inv.,20210529,78000.00,78000.00,78000.00,82050.00,167544000,2148,9,D,82100.00,78000.00
Azarbayjan.Inv.,20210526,78000.00,78000.00,78000.00,82100.00,7800000,100,1,D,82100.00,78000.00
Azarbayjan.Inv.,20210525,78030.00,78030.00,78030.00,82100.00,99566280,1276,1,D,82130.00,78030.00
Azarbayjan.Inv.,20210524,78030.00,78030.00,78030.00,82130.00,5071950,65,1,D,82130.00,78030.00
