<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bank.of.M.E.,20210630,9280.00,9480.00,9030.00,9300.00,87057294450,9356067,819,D,9030.00,9310.00
Bank.of.M.E.,20210629,9110.00,9300.00,8990.00,9030.00,22462674430,2481356,342,D,9020.00,9100.00
Bank.of.M.E.,20210628,8960.00,9140.00,8890.00,9020.00,25046449410,2764801,377,D,8990.00,9010.00
Bank.of.M.E.,20210627,8900.00,9100.00,8760.00,8990.00,43816062100,4868620,517,D,8960.00,8980.00
Bank.of.M.E.,20210626,8700.00,8990.00,8620.00,8960.00,96127605790,10724171,769,D,8570.00,8850.00
Bank.of.M.E.,20210623,8630.00,8720.00,8460.00,8570.00,35619629630,4133910,352,D,8480.00,8680.00
Bank.of.M.E.,20210622,8580.00,8650.00,8430.00,8480.00,36202883190,4238981,278,D,8340.00,8560.00
Bank.of.M.E.,20210621,8250.00,8670.00,8100.00,8340.00,98083123450,11755174,549,D,8260.00,8500.00
Bank.of.M.E.,20210620,8340.00,8490.00,8020.00,8260.00,110676356700,13397883,529,D,8360.00,8250.00
Bank.of.M.E.,20210619,8440.00,8540.00,8380.00,8360.00,18048174230,2136432,288,D,8310.00,8410.00
Bank.of.M.E.,20210616,8410.00,8410.00,8270.00,8310.00,63312810380,7623404,223,D,8290.00,8360.00
Bank.of.M.E.,20210615,8300.00,8340.00,8280.00,8290.00,14875126800,1792615,135,D,8280.00,8310.00
Bank.of.M.E.,20210614,8310.00,8410.00,8250.00,8280.00,30120132140,3633860,183,D,8260.00,8300.00
Bank.of.M.E.,20210613,8390.00,8390.00,8180.00,8260.00,32333221740,3926139,202,D,8320.00,8330.00
Bank.of.M.E.,20210612,8340.00,8400.00,8200.00,8320.00,27155370600,3273220,161,D,8350.00,8280.00
Bank.of.M.E.,20210609,8300.00,8430.00,8300.00,8350.00,28976421300,3472669,181,D,8360.00,8380.00
Bank.of.M.E.,20210608,8420.00,8500.00,8280.00,8360.00,36682982340,4389329,323,D,8350.00,8330.00
Bank.of.M.E.,20210607,8460.00,8460.00,8300.00,8350.00,25307358330,3030762,186,D,8340.00,8350.00
Bank.of.M.E.,20210602,8280.00,8450.00,8270.00,8340.00,17797857970,2138167,128,D,8350.00,8360.00
Bank.of.M.E.,20210601,8450.00,8450.00,8260.00,8350.00,17666514710,2129063,164,D,8380.00,8300.00
Bank.of.M.E.,20210531,8540.00,8540.00,8270.00,8380.00,36264528050,4340487,180,D,8460.00,8350.00
Bank.of.M.E.,20210530,8350.00,8520.00,8350.00,8460.00,38311361090,4518297,316,D,8390.00,8490.00
Bank.of.M.E.,20210529,8440.00,8490.00,8270.00,8390.00,41690765190,4958399,414,D,8300.00,8410.00
Bank.of.M.E.,20210526,8300.00,8370.00,8270.00,8300.00,19733987580,2379271,179,D,8300.00,8300.00
Bank.of.M.E.,20210525,8200.00,8400.00,8200.00,8300.00,35546883380,4279933,261,D,8270.00,8300.00
Bank.of.M.E.,20210524,8200.00,8330.00,8200.00,8270.00,28412001590,3435576,149,D,8270.00,8270.00
Bank.of.M.E.,20210523,8340.00,8340.00,8180.00,8270.00,20322209340,2471903,173,D,8300.00,8270.00
Bank.of.M.E.,20210522,8260.00,8310.00,8170.00,8300.00,18564467850,2251707,174,D,8340.00,8260.00
Bank.of.M.E.,20210519,8340.00,8480.00,8170.00,8340.00,43028611910,5160941,255,D,8360.00,8190.00
Bank.of.M.E.,20210518,8220.00,8460.00,8210.00,8360.00,65609910510,7844887,394,D,8340.00,8390.00
Bank.of.M.E.,20210517,8270.00,8350.00,8270.00,8340.00,8428947760,1012794,154,D,8340.00,8340.00
Bank.of.M.E.,20210516,7980.00,8550.00,7980.00,8340.00,30423174160,3658662,255,D,8390.00,8370.00
Bank.of.M.E.,20210515,8380.00,8580.00,8380.00,8390.00,23261927920,2758412,230,D,8360.00,8420.00
Bank.of.M.E.,20210512,8630.00,8630.00,8380.00,8360.00,12510087960,1487272,236,D,8340.00,8410.00
Bank.of.M.E.,20210511,8300.00,8480.00,8300.00,8340.00,21758755130,2590952,335,D,8300.00,8400.00
Bank.of.M.E.,20210510,8270.00,8490.00,8240.00,8300.00,104088079180,12542974,425,D,8490.00,8400.00
Bank.of.M.E.,20210509,8580.00,8590.00,8370.00,8490.00,37930298040,4490311,193,D,8620.00,8370.00
Bank.of.M.E.,20210508,8840.00,8870.00,8550.00,8620.00,25213609260,2908654,340,D,8580.00,8550.00
Bank.of.M.E.,20210505,8400.00,8740.00,8400.00,8580.00,17650388970,2045773,251,D,8560.00,8610.00
Bank.of.M.E.,20210503,8740.00,8740.00,8520.00,8560.00,18730106720,2182575,187,D,8550.00,8550.00
Bank.of.M.E.,20210502,8670.00,8670.00,8470.00,8550.00,91211682520,10673092,457,D,8530.00,8540.00
Bank.of.M.E.,20210501,8900.00,8900.00,8400.00,8530.00,68720545850,8057171,372,D,8500.00,8490.00
Bank.of.M.E.,20210428,8450.00,8750.00,8270.00,8500.00,33397485550,3870371,578,D,8260.00,8670.00
Bank.of.M.E.,20210427,8400.00,8410.00,8180.00,8260.00,72298181370,8750902,550,D,8190.00,8200.00
Bank.of.M.E.,20210426,8020.00,8260.00,8000.00,8190.00,30230928930,3704859,297,D,8240.00,8230.00
Bank.of.M.E.,20210425,8190.00,8250.00,8170.00,8240.00,37943690070,4636046,256,D,8420.00,8170.00
Bank.of.M.E.,20210424,8290.00,8450.00,8270.00,8420.00,20252902310,2446122,302,D,8520.00,8290.00
Bank.of.M.E.,20210421,8450.00,8580.00,8360.00,8520.00,15208844140,1806327,325,D,8570.00,8390.00
Bank.of.M.E.,20210420,8250.00,8800.00,8250.00,8570.00,47038456900,5476919,920,D,8330.00,8560.00
Bank.of.M.E.,20210419,8360.00,8420.00,8250.00,8330.00,31662112740,3819754,397,D,8410.00,8310.00
Bank.of.M.E.,20210418,8360.00,8420.00,8360.00,8410.00,34152954350,4085136,218,D,8530.00,8370.00
Bank.of.M.E.,20210417,8500.00,8510.00,8480.00,8530.00,35561866930,4193092,231,D,8650.00,8480.00
Bank.of.M.E.,20210414,8930.00,8930.00,8650.00,8650.00,86567892200,10007291,388,D,8820.00,8650.00
Bank.of.M.E.,20210413,8960.00,8960.00,8710.00,8820.00,45522398420,5166510,838,D,8860.00,8760.00
Bank.of.M.E.,20210412,8820.00,8990.00,8820.00,8860.00,40228186640,4560973,212,D,9000.00,8820.00
Bank.of.M.E.,20210411,8910.00,8990.00,8910.00,9000.00,25859714730,2902292,134,D,9090.00,8910.00
Bank.of.M.E.,20210410,8990.00,9000.00,8990.00,9090.00,24211260870,2693116,182,D,9170.00,8990.00
Bank.of.M.E.,20210407,9020.00,9080.00,9020.00,9170.00,9783925740,1084526,144,D,9200.00,9020.00
Bank.of.M.E.,20210406,9120.00,9340.00,9040.00,9200.00,7821515300,859916,190,D,9220.00,9040.00
Bank.of.M.E.,20210405,9110.00,9250.00,9110.00,9220.00,21476357380,2355223,206,D,9290.00,9140.00
Bank.of.M.E.,20210404,9170.00,9230.00,9170.00,9290.00,19440143850,2119129,228,D,9350.00,9180.00
Bank.of.M.E.,20210403,9260.00,9380.00,9220.00,9350.00,15142902290,1640405,240,D,9400.00,9230.00
Bank.of.M.E.,20210331,9420.00,9420.00,9240.00,9400.00,18608995880,1988653,260,D,9420.00,9260.00
Bank.of.M.E.,20210330,9300.00,9540.00,9280.00,9420.00,14019521190,1507502,349,D,9460.00,9320.00
Bank.of.M.E.,20210328,9740.00,9740.00,9300.00,9460.00,12143183640,1293576,333,D,9480.00,9370.00
Bank.of.M.E.,20210327,9490.00,9700.00,9230.00,9480.00,29895360140,3130746,344,D,9400.00,9620.00
Bank.of.M.E.,20210317,9610.00,9650.00,9420.00,9400.00,21934681550,2303091,388,D,9320.00,9540.00
Bank.of.M.E.,20210316,9200.00,9580.00,9000.00,9320.00,93786165410,10061550,900,D,9070.00,9580.00
Bank.of.M.E.,20210315,9020.00,9350.00,8990.00,9070.00,26953443500,2941530,470,D,8990.00,9070.00
Bank.of.M.E.,20210314,9100.00,9200.00,8810.00,8990.00,91353048650,10166887,741,D,8980.00,9010.00
Bank.of.M.E.,20210313,8810.00,9140.00,8800.00,8980.00,48439531800,5393166,551,D,8970.00,8890.00
Bank.of.M.E.,20210310,8900.00,9080.00,8820.00,8970.00,24237178330,2703415,376,D,8970.00,8970.00
Bank.of.M.E.,20210309,9000.00,9220.00,8860.00,8970.00,43481148400,4828128,709,D,8810.00,9010.00
Bank.of.M.E.,20210308,8700.00,9000.00,8700.00,8810.00,24060876460,2696093,536,D,8720.00,8900.00
Bank.of.M.E.,20210307,8490.00,8930.00,8490.00,8720.00,25481849970,2898569,520,D,8650.00,8850.00
Bank.of.M.E.,20210306,8530.00,8760.00,8510.00,8650.00,20342674790,2365253,433,D,8680.00,8730.00
Bank.of.M.E.,20210303,8900.00,8900.00,8590.00,8680.00,16945811470,1959496,286,D,8700.00,8740.00
Bank.of.M.E.,20210302,8550.00,8910.00,8550.00,8700.00,26769422560,3064548,477,D,8670.00,8700.00
Bank.of.M.E.,20210301,8660.00,8910.00,8660.00,8670.00,76741965450,8856294,535,D,8830.00,8670.00
Bank.of.M.E.,20210228,8740.00,8830.00,8740.00,8830.00,23786544630,2721267,283,D,8910.00,8740.00
Bank.of.M.E.,20210227,8850.00,8990.00,8830.00,8910.00,30981883800,3507684,400,D,9010.00,8830.00
Bank.of.M.E.,20210224,9000.00,9150.00,8900.00,9010.00,35704667560,3951883,618,D,8970.00,8960.00
Bank.of.M.E.,20210223,8940.00,9150.00,8940.00,8970.00,89886448800,10015251,551,D,9120.00,9120.00
Bank.of.M.E.,20210222,8960.00,9650.00,8960.00,9120.00,57281281790,6280206,446,D,9140.00,8960.00
Bank.of.M.E.,20210221,9140.00,9230.00,9140.00,9140.00,58007356970,6345985,438,D,9320.00,9140.00
Bank.of.M.E.,20210220,9310.00,9480.00,9310.00,9320.00,59863350430,6420873,549,D,9500.00,9310.00
Bank.of.M.E.,20210217,9650.00,9650.00,9450.00,9500.00,51088061010,5389228,582,D,9640.00,9450.00
Bank.of.M.E.,20210216,9740.00,9790.00,9630.00,9640.00,63343047260,6573830,545,D,9820.00,9630.00
Bank.of.M.E.,20210215,9780.00,10350.00,9730.00,9820.00,93521089560,9519014,712,D,9920.00,9730.00
Bank.of.M.E.,20210214,10380.00,10490.00,9840.00,9920.00,57504116210,5799463,567,D,10040.00,9840.00
Bank.of.M.E.,20210213,10010.00,10270.00,9850.00,10040.00,109664731660,10921861,926,D,9730.00,10000.00
Bank.of.M.E.,20210209,9650.00,10290.00,9560.00,9730.00,91849872190,9443037,1143,D,9970.00,9800.00
Bank.of.M.E.,20210208,10080.00,10080.00,9710.00,9970.00,124036728850,12437854,821,D,10000.00,9790.00
Bank.of.M.E.,20210207,9950.00,10280.00,9740.00,10000.00,74272927470,7426961,1013,D,9860.00,9780.00
Bank.of.M.E.,20210206,9900.00,10140.00,9630.00,9860.00,66049189220,6695722,1054,D,10030.00,9810.00
Bank.of.M.E.,20210203,10010.00,10430.00,9790.00,10030.00,104779569540,10451144,962,D,10300.00,9900.00
Bank.of.M.E.,20210202,10200.00,10670.00,10010.00,10300.00,61179690550,5941078,900,D,10530.00,10010.00
Bank.of.M.E.,20210201,10000.00,10670.00,10000.00,10530.00,92855406250,8821620,1105,D,10170.00,10350.00
Bank.of.M.E.,20210131,10560.00,10750.00,9840.00,10170.00,59140250070,5816332,879,D,10350.00,10110.00
Bank.of.M.E.,20210130,10130.00,10530.00,10040.00,10350.00,56006344520,5393258,902,D,10030.00,10520.00
Bank.of.M.E.,20210127,9980.00,10180.00,9890.00,10030.00,99950997700,9961524,1024,D,10140.00,10140.00
Bank.of.M.E.,20210126,10000.00,10400.00,9900.00,10140.00,108723344720,10718776,1157,D,10320.00,9980.00
Bank.of.M.E.,20210125,10310.00,10610.00,10080.00,10320.00,83994477680,8141995,1245,D,10610.00,10340.00
Bank.of.M.E.,20210124,10810.00,11000.00,10560.00,10610.00,204821075270,19312053,1816,D,11110.00,10560.00
Bank.of.M.E.,20210123,11190.00,11320.00,10800.00,11110.00,221534747890,19948486,2484,D,10790.00,10800.00
Bank.of.M.E.,20210120,10690.00,10830.00,10360.00,10790.00,137333425600,12729791,1239,D,10320.00,10810.00
Bank.of.M.E.,20210119,9840.00,10750.00,9840.00,10320.00,165348921270,16028770,1387,D,10350.00,10600.00
Bank.of.M.E.,20210118,10080.00,10090.00,10080.00,10350.00,29808503400,2957180,221,D,10610.00,10080.00
Bank.of.M.E.,20210116,11220.00,11220.00,10530.00,10610.00,215336244080,20293891,1439,D,11080.00,10530.00
Bank.of.M.E.,20210113,10800.00,11280.00,10770.00,11080.00,210357953070,18982649,1878,D,11280.00,11190.00
Bank.of.M.E.,20210112,11310.00,11580.00,10620.00,11280.00,337075029150,29873649,4097,D,11090.00,10950.00
Bank.of.M.E.,20210111,10800.00,11100.00,10800.00,11090.00,426851229430,38485681,3003,D,10580.00,11100.00
Bank.of.M.E.,20210110,10100.00,10600.00,10050.00,10580.00,240993203420,22775679,2142,D,10100.00,10600.00
Bank.of.M.E.,20210109,10000.00,10270.00,9800.00,10100.00,108271089270,10724890,1110,D,10070.00,10160.00
Bank.of.M.E.,20210106,9900.00,10310.00,9900.00,10070.00,75521682260,7496428,956,D,10290.00,10130.00
