<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Behsaz.K.Tehran,20210630,1952.00,1990.00,1900.00,1942.00,97989807880,50459458,6874,D,1927.00,1916.00
Behsaz.K.Tehran,20210629,2010.00,2012.00,1910.00,1927.00,126162505437,65455902,6223,D,1978.00,1960.00
Behsaz.K.Tehran,20210627,2000.00,2030.00,1942.00,1978.00,56674924993,28652776,3974,D,2023.00,1954.00
Behsaz.K.Tehran,20210626,2048.00,2098.00,1966.00,2023.00,164494466279,81307878,7655,D,2060.00,1985.00
Behsaz.K.Tehran,20210623,2080.00,2105.00,1980.00,2060.00,168349438480,81733847,8170,D,2042.00,2048.00
Behsaz.K.Tehran,20210622,2000.00,2050.00,1963.00,2042.00,134987767622,66120096,5152,D,1953.00,2050.00
Behsaz.K.Tehran,20210621,1917.00,1987.00,1880.00,1953.00,162668489033,83310228,6874,D,1893.00,1987.00
Behsaz.K.Tehran,20210620,1879.00,1903.00,1858.00,1893.00,175344419367,92636444,6545,D,1813.00,1901.00
Behsaz.K.Tehran,20210619,1765.00,1858.00,1745.00,1813.00,69840800851,38517512,3759,D,1770.00,1858.00
Behsaz.K.Tehran,20210616,1754.00,1814.00,1745.00,1770.00,41214428179,23278999,7571,D,1795.00,1765.00
Behsaz.K.Tehran,20210615,1826.00,1865.00,1750.00,1795.00,52156730756,29060531,4977,D,1826.00,1789.00
Behsaz.K.Tehran,20210614,1791.00,1848.00,1791.00,1826.00,78517023962,42997002,6505,D,1808.00,1827.00
Behsaz.K.Tehran,20210613,1831.00,1868.00,1777.00,1808.00,60979341005,33734242,5188,D,1831.00,1803.00
Behsaz.K.Tehran,20210612,1816.00,1874.00,1771.00,1831.00,93462123602,51051112,7016,D,1790.00,1840.00
Behsaz.K.Tehran,20210609,1820.00,1832.00,1778.00,1790.00,125152103955,69903623,7150,D,1871.00,1816.00
Behsaz.K.Tehran,20210608,1945.00,1975.00,1842.00,1871.00,220289531309,117749461,8997,D,1938.00,1842.00
Behsaz.K.Tehran,20210607,1928.00,1948.00,1881.00,1938.00,239649967423,123640910,10649,D,1856.00,1948.00
Behsaz.K.Tehran,20210602,1810.00,1861.00,1810.00,1856.00,97115224907,52318269,5583,D,1773.00,1861.00
Behsaz.K.Tehran,20210601,1650.00,1816.00,1650.00,1773.00,251117647186,141621517,12272,D,1730.00,1816.00
Behsaz.K.Tehran,20210531,1735.00,1770.00,1722.00,1730.00,76235721776,44069829,5360,D,1812.00,1722.00
Behsaz.K.Tehran,20210530,1820.00,1900.00,1724.00,1812.00,213402699143,117764812,16761,D,1814.00,1747.00
Behsaz.K.Tehran,20210529,1805.00,1870.00,1770.00,1814.00,270954005177,149402325,21012,D,1805.00,1816.00
Behsaz.K.Tehran,20210526,1737.00,1737.00,1737.00,1805.00,3609296667,2077891,189,D,1828.00,1737.00
Behsaz.K.Tehran,20210525,1809.00,1809.00,1809.00,1828.00,11682916362,6458218,258,D,1904.00,1809.00
