<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Behshahr.Group,20210630,5290.00,5300.00,5160.00,5220.00,35891792600,6880356,503,D,5230.00,5280.00
Behshahr.Group,20210629,5400.00,5400.00,5180.00,5230.00,18075199490,3453732,410,D,5290.00,5280.00
Behshahr.Group,20210628,5100.00,5420.00,5070.00,5290.00,32703695070,6180203,679,D,5170.00,5330.00
Behshahr.Group,20210627,5160.00,5310.00,5080.00,5170.00,19181438120,3707002,505,D,5250.00,5180.00
Behshahr.Group,20210626,5200.00,5360.00,5120.00,5250.00,25220262150,4806915,558,D,5143.00,5190.00
Behshahr.Group,20210623,5114.00,5250.00,5110.00,5143.00,8280814254,1600180,384,D,5108.00,5200.00
Behshahr.Group,20210622,5000.00,5235.00,5000.00,5108.00,20900890724,4091915,429,D,4986.00,5140.00
Behshahr.Group,20210621,4890.00,5050.00,4861.00,4986.00,11762709606,2360796,291,D,4997.00,5000.00
Behshahr.Group,20210620,5000.00,5030.00,4805.00,4997.00,5568885038,1122249,209,D,5018.00,4966.00
Behshahr.Group,20210619,5050.00,5097.00,4853.00,5018.00,10879685344,2158914,302,D,4964.00,5069.00
Behshahr.Group,20210616,4800.00,4978.00,4800.00,4964.00,4880417094,996314,264,D,4995.00,4900.00
Behshahr.Group,20210615,5050.00,5199.00,4896.00,4995.00,17349336712,3473301,472,D,5153.00,4950.00
Behshahr.Group,20210614,5210.00,5349.00,5050.00,5153.00,20770483130,4030935,637,D,5193.00,5070.00
Behshahr.Group,20210613,5150.00,5291.00,5000.00,5193.00,23959436820,4613431,621,D,5062.00,5260.00
Behshahr.Group,20210612,5077.00,5109.00,4841.00,5062.00,44884036808,8866271,894,D,4866.00,5109.00
Behshahr.Group,20210609,4661.00,5001.00,4659.00,4866.00,22905732703,4707039,640,D,4763.00,5001.00
Behshahr.Group,20210608,4750.00,4829.00,4700.00,4763.00,9299975022,1950951,292,D,4757.00,4763.00
Behshahr.Group,20210607,4702.00,4861.00,4643.00,4757.00,22175263209,4661988,517,D,4738.00,4740.00
Behshahr.Group,20210602,4550.00,4820.00,4550.00,4738.00,18895776183,3988058,460,D,4652.00,4701.00
Behshahr.Group,20210601,4530.00,4776.00,4460.00,4652.00,13028863230,2805777,376,D,4692.00,4620.00
Behshahr.Group,20210531,4700.00,4886.00,4528.00,4692.00,27185734487,5794400,704,D,4766.00,4600.00
Behshahr.Group,20210530,4769.00,4769.00,4643.00,4766.00,73412933525,15402072,581,D,4542.00,4769.00
Behshahr.Group,20210529,4642.00,4642.00,4642.00,4542.00,8657696718,1865079,70,D,4421.00,4642.00
Behshahr.Group,20210526,4202.00,4450.00,4201.00,4421.00,24424067105,5524459,424,D,4239.00,4450.00
Behshahr.Group,20210525,4151.00,4380.00,4151.00,4239.00,9141653889,2140704,493,D,4179.00,4258.00
Behshahr.Group,20210524,4111.00,4350.00,4102.00,4179.00,13254313469,3174929,474,D,4317.00,4279.00
Behshahr.Group,20210523,4251.00,4439.00,4230.00,4317.00,8950770940,2109645,266,D,4452.00,4240.00
Behshahr.Group,20210522,4361.00,4380.00,4361.00,4452.00,8645384313,1981773,234,D,4590.00,4361.00
Behshahr.Group,20210519,4600.00,4900.00,4570.00,4590.00,18940160000,4128450,421,D,4810.00,4580.00
Behshahr.Group,20210518,4800.00,4940.00,4740.00,4810.00,15325261820,3184010,557,D,4980.00,4830.00
Behshahr.Group,20210517,5040.00,5170.00,4850.00,4980.00,20909058890,4200896,647,D,5260.00,4920.00
Behshahr.Group,20210515,5260.00,5300.00,5260.00,5260.00,19247753020,3659163,575,D,5530.00,5260.00
Behshahr.Group,20210512,5430.00,5450.00,5430.00,5530.00,17391784420,3202875,320,D,5590.00,5430.00
Behshahr.Group,20210511,5470.00,5470.00,5470.00,5590.00,12499934600,2285180,119,D,5630.00,5470.00
Behshahr.Group,20210510,5470.00,5470.00,5470.00,5630.00,289625560,52948,24,D,5630.00,5470.00
Behshahr.Group,20210509,5470.00,5470.00,5470.00,5630.00,168694800,30840,8,D,5630.00,5470.00
Behshahr.Group,20210508,5480.00,5480.00,5480.00,5630.00,4350977520,793974,55,D,5640.00,5480.00
Behshahr.Group,20210505,5480.00,5480.00,5480.00,5640.00,174806520,31899,14,D,5640.00,5480.00
Behshahr.Group,20210503,5480.00,5480.00,5480.00,5640.00,22303600,4070,3,D,5640.00,5480.00
Behshahr.Group,20210502,5480.00,5480.00,5480.00,5640.00,37554440,6853,4,D,5640.00,5480.00
Behshahr.Group,20210501,5480.00,5480.00,5480.00,5640.00,295465160,53917,11,D,5640.00,5480.00
Behshahr.Group,20210428,5480.00,5480.00,5480.00,5640.00,1170577320,213609,29,D,5640.00,5480.00
Behshahr.Group,20210427,5490.00,5490.00,5490.00,5640.00,2101868460,382854,45,D,5650.00,5490.00
Behshahr.Group,20210426,5490.00,5490.00,5490.00,5650.00,285908220,52078,15,D,5650.00,5490.00
Behshahr.Group,20210425,5490.00,5490.00,5490.00,5650.00,79204230,14427,4,D,5650.00,5490.00
Behshahr.Group,20210424,5490.00,5490.00,5490.00,5650.00,179698680,32732,8,D,5650.00,5490.00
Behshahr.Group,20210421,5490.00,5490.00,5490.00,5650.00,135603000,24700,15,D,5650.00,5490.00
Behshahr.Group,20210420,5540.00,5540.00,5540.00,5650.00,1158918140,209191,35,D,5650.00,5540.00
Behshahr.Group,20210419,5540.00,5540.00,5540.00,5650.00,306417400,55310,16,D,5650.00,5540.00
Behshahr.Group,20210418,5540.00,5540.00,5540.00,5650.00,41943340,7571,4,D,5650.00,5540.00
Behshahr.Group,20210417,5540.00,5540.00,5540.00,5650.00,55383380,9997,6,D,5650.00,5540.00
Behshahr.Group,20210414,5540.00,5540.00,5540.00,5650.00,306240120,55278,16,D,5650.00,5540.00
Behshahr.Group,20210413,5550.00,5550.00,5550.00,5650.00,2489358150,448533,68,D,5660.00,5550.00
Behshahr.Group,20210412,5550.00,5550.00,5550.00,5660.00,316716300,57066,27,D,5660.00,5550.00
Behshahr.Group,20210411,5550.00,5550.00,5550.00,5660.00,872515500,157210,23,D,5660.00,5550.00
Behshahr.Group,20210410,5550.00,5550.00,5550.00,5660.00,730918350,131697,20,D,5660.00,5550.00
Behshahr.Group,20210407,5550.00,5550.00,5550.00,5660.00,1387916250,250075,34,D,5660.00,5550.00
Behshahr.Group,20210406,5560.00,5690.00,5560.00,5660.00,5349139970,962011,211,D,5670.00,5560.00
Behshahr.Group,20210405,5570.00,5570.00,5570.00,5670.00,2859398490,513357,91,D,5680.00,5570.00
Behshahr.Group,20210404,5570.00,5570.00,5570.00,5680.00,1517485230,272439,47,D,5680.00,5570.00
Behshahr.Group,20210403,5580.00,5690.00,5580.00,5680.00,3533162140,632763,155,D,5690.00,5580.00
Behshahr.Group,20210331,5710.00,5710.00,5610.00,5690.00,14151420110,2519924,503,D,5720.00,5620.00
Behshahr.Group,20210330,5670.00,5900.00,5620.00,5720.00,29810927880,5223482,834,D,5730.00,5710.00
Behshahr.Group,20210328,5950.00,5950.00,5650.00,5730.00,35973721150,6290385,789,D,5760.00,5650.00
Behshahr.Group,20210327,5760.00,5950.00,5760.00,5760.00,14755571650,2514420,476,D,5720.00,5850.00
Behshahr.Group,20210317,5750.00,5900.00,5640.00,5720.00,19993016970,3486127,619,D,5700.00,5690.00
Behshahr.Group,20210313,6430.00,6490.00,6260.00,6300.00,114293287600,18128615,2073,D,6380.00,6260.00
Behshahr.Group,20210310,6300.00,6570.00,6150.00,6380.00,70609130990,11067146,1822,D,6270.00,6360.00
Behshahr.Group,20210309,6390.00,6410.00,6270.00,6270.00,39460175120,6276511,1028,D,6220.00,6280.00
Behshahr.Group,20210308,6280.00,6390.00,6150.00,6220.00,42355992670,6775447,1225,D,6080.00,6330.00
Behshahr.Group,20210307,5900.00,6190.00,5900.00,6080.00,40246158860,6579363,1304,D,5960.00,6150.00
Behshahr.Group,20210306,5880.00,6090.00,5880.00,5960.00,21469190090,3628292,646,D,5990.00,6010.00
Behshahr.Group,20210303,5910.00,5990.00,5910.00,5990.00,16287771720,2755675,275,D,6030.00,5910.00
Behshahr.Group,20210302,5960.00,6090.00,5960.00,6030.00,21787139340,3651683,615,D,6080.00,5960.00
Behshahr.Group,20210301,6010.00,6090.00,6010.00,6080.00,19248576740,3202512,362,D,6130.00,6010.00
Behshahr.Group,20210228,6010.00,6010.00,6010.00,6130.00,1605517410,267141,40,D,6130.00,6010.00
Behshahr.Group,20210227,6100.00,6100.00,5980.00,6130.00,6850627670,1136554,200,D,6150.00,5980.00
Behshahr.Group,20210224,6070.00,6250.00,6050.00,6150.00,17181146000,2813575,690,D,6170.00,6050.00
Behshahr.Group,20210223,6090.00,6250.00,6090.00,6170.00,25570290880,4168284,830,D,6210.00,6120.00
Behshahr.Group,20210222,6100.00,6100.00,6100.00,6210.00,2527736300,414383,99,D,6220.00,6100.00
Behshahr.Group,20210221,6120.00,6200.00,6110.00,6220.00,5124461210,838051,209,D,6230.00,6110.00
Behshahr.Group,20210220,6140.00,6190.00,6140.00,6230.00,10556605040,1719097,379,D,6260.00,6140.00
Behshahr.Group,20210217,6460.00,6460.00,6190.00,6260.00,28895616520,4641540,844,D,6310.00,6190.00
Behshahr.Group,20210216,6380.00,6450.00,6220.00,6310.00,41732850040,6574725,1235,D,6180.00,6390.00
Behshahr.Group,20210215,6140.00,6370.00,5970.00,6180.00,47028790460,7603087,1077,D,6090.00,6200.00
Behshahr.Group,20210214,6230.00,6330.00,6040.00,6090.00,40991964480,6745964,806,D,6160.00,6040.00
Behshahr.Group,20210213,6100.00,6340.00,6100.00,6160.00,32079437940,5161773,954,D,6070.00,6180.00
Behshahr.Group,20210209,6060.00,6250.00,5990.00,6070.00,36855260870,6062434,957,D,6050.00,6170.00
Behshahr.Group,20210208,6310.00,6460.00,6000.00,6050.00,86115990520,14245218,1482,D,6310.00,6050.00
Behshahr.Group,20210207,6080.00,6690.00,6080.00,6310.00,83741795620,13276614,1931,D,6390.00,6390.00
Behshahr.Group,20210206,6230.00,6380.00,6230.00,6390.00,23843211200,3823416,315,D,6550.00,6230.00
Behshahr.Group,20210203,6650.00,6650.00,6040.00,6550.00,174512304930,26654884,3104,D,6340.00,6380.00
