<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Behshahr.Ind.,20210630,23800.00,23800.00,22770.00,23220.00,32437832800,1396771,387,D,23040.00,22970.00
Behshahr.Ind.,20210629,22870.00,23500.00,22370.00,23040.00,27403795810,1189575,325,D,22870.00,23200.00
Behshahr.Ind.,20210628,23210.00,23450.00,22280.00,22870.00,50169848240,2193472,676,D,23450.00,22980.00
Behshahr.Ind.,20210627,22580.00,23690.00,22550.00,23450.00,93207528660,3974781,641,D,22570.00,23100.00
Behshahr.Ind.,20210626,22270.00,22610.00,21040.00,22570.00,57496203610,2547492,353,D,21540.00,22610.00
Behshahr.Ind.,20210623,21000.00,21560.00,20690.00,21540.00,47681897260,2213962,407,D,20540.00,21560.00
Behshahr.Ind.,20210622,19640.00,20620.00,19640.00,20540.00,64399919580,3135077,434,D,19640.00,20620.00
Behshahr.Ind.,20210621,19940.00,20000.00,19050.00,19640.00,20533038290,1044605,303,D,19560.00,19720.00
Behshahr.Ind.,20210620,19020.00,20140.00,19010.00,19560.00,9558063550,485646,235,D,19470.00,19300.00
Behshahr.Ind.,20210619,18840.00,20000.00,18840.00,19470.00,13976778850,713837,297,D,19320.00,19550.00
Behshahr.Ind.,20210616,19600.00,19600.00,18910.00,19320.00,13816488260,721298,232,D,19580.00,19110.00
Behshahr.Ind.,20210615,19130.00,20300.00,19000.00,19580.00,10719805810,546440,318,D,19550.00,19570.00
Behshahr.Ind.,20210614,20190.00,20190.00,19310.00,19550.00,13854926550,707184,315,D,19490.00,19690.00
Behshahr.Ind.,20210613,19010.00,19650.00,18850.00,19490.00,9717180300,501995,260,D,19580.00,19650.00
Behshahr.Ind.,20210612,19700.00,19700.00,19000.00,19580.00,10449544940,543113,230,D,19860.00,19350.00
Behshahr.Ind.,20210609,19600.00,19990.00,19400.00,19860.00,10467769460,535875,214,D,20130.00,19400.00
Behshahr.Ind.,20210608,19450.00,21000.00,19450.00,20130.00,17317287720,859156,350,D,20050.00,19600.00
Behshahr.Ind.,20210607,19320.00,20450.00,19320.00,20050.00,31412909920,1566826,479,D,19480.00,20260.00
Behshahr.Ind.,20210602,18710.00,19770.00,18710.00,19480.00,24429884650,1253789,335,D,19550.00,19740.00
Behshahr.Ind.,20210601,19990.00,19990.00,19020.00,19550.00,13965165950,717855,204,D,19700.00,19200.00
Behshahr.Ind.,20210531,19010.00,20380.00,19010.00,19700.00,28053874900,1423721,336,D,19930.00,19370.00
