<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bime.Saman.Co.,20210630,25999.00,25999.00,24686.00,24700.00,113610174822,4599597,1003,D,25985.00,24687.00
Bime.Saman.Co.,20210629,26338.00,26457.00,24700.00,25985.00,60084032767,2312232,924,D,25198.00,25310.00
Bime.Saman.Co.,20210628,25588.00,25651.00,24461.00,25198.00,35570283466,1411609,753,D,24430.00,25651.00
Bime.Saman.Co.,20210627,24370.00,24461.00,23342.00,24430.00,46350790956,1897255,436,D,23297.00,24461.00
Bime.Saman.Co.,20210626,23478.00,23478.00,21504.00,23297.00,36190569391,1553412,377,D,22360.00,23478.00
Bime.Saman.Co.,20210623,21000.00,22712.00,20610.00,22360.00,27964511547,1250638,592,D,21631.00,22712.00
Bime.Saman.Co.,20210622,21600.00,21739.00,20865.00,21631.00,35722716946,1651474,559,D,20704.00,21490.00
Bime.Saman.Co.,20210621,20460.00,20839.00,19847.00,20704.00,16235026686,782425,167,D,19847.00,20839.00
Bime.Saman.Co.,20210620,19862.00,19864.00,19100.00,19847.00,32875150604,1656404,391,D,18919.00,19864.00
Bime.Saman.Co.,20210619,17320.00,19112.00,17320.00,18919.00,18223329585,963240,361,D,18202.00,19112.00
Bime.Saman.Co.,20210616,17810.00,18900.00,17681.00,18202.00,7670609570,430236,218,D,18611.00,18197.00
Bime.Saman.Co.,20210615,18430.00,19590.00,18412.00,18611.00,13914741371,750620,274,D,19381.00,18412.00
Bime.Saman.Co.,20210614,20480.00,20480.00,19190.00,19381.00,20724594486,1069347,382,D,20200.00,19250.00
Bime.Saman.Co.,20210613,20603.00,20700.00,19700.00,20200.00,14027323537,695593,421,D,20384.00,20319.00
Bime.Saman.Co.,20210612,19104.00,20798.00,19104.00,20384.00,18335466920,899483,476,D,19878.00,20310.00
Bime.Saman.Co.,20210609,18791.00,20290.00,18791.00,19878.00,13378627794,670306,409,D,19520.00,20150.00
Bime.Saman.Co.,20210608,20078.00,20078.00,19050.00,19520.00,26099278160,1337036,512,D,19122.00,19122.00
Bime.Saman.Co.,20210607,17400.00,19230.00,17400.00,19122.00,21796419714,1139889,273,D,18315.00,19230.00
Bime.Saman.Co.,20210602,18000.00,18466.00,17760.00,18315.00,13851176607,750989,286,D,17587.00,18466.00
Bime.Saman.Co.,20210601,17300.00,18000.00,16710.00,17587.00,9250584443,523247,220,D,17454.00,17900.00
Bime.Saman.Co.,20210531,17100.00,17980.00,16900.00,17454.00,6410194675,375787,152,D,17746.00,17001.00
Bime.Saman.Co.,20210530,18000.00,18455.00,16810.00,17746.00,8154088777,455398,220,D,17577.00,17280.00
Bime.Saman.Co.,20210529,17770.00,17815.00,17010.00,17577.00,11840069573,666042,225,D,16967.00,17815.00
Bime.Saman.Co.,20210526,16800.00,17490.00,16686.00,16967.00,11523781881,684064,355,D,17564.00,16751.00
Bime.Saman.Co.,20210525,17564.00,17800.00,17564.00,17564.00,15391084066,876276,157,D,18488.00,17564.00
Bime.Saman.Co.,20210524,18335.00,18335.00,18335.00,18488.00,12683364595,691757,97,D,19300.00,18335.00
Bime.Saman.Co.,20210523,18346.00,18346.00,18346.00,19300.00,170140804,9274,7,D,19311.00,18346.00
Bime.Saman.Co.,20210522,18444.00,18444.00,18444.00,19311.00,1609423440,87260,30,D,19414.00,18444.00
Bime.Saman.Co.,20210519,18727.00,19548.00,18724.00,19414.00,4656793293,248575,87,D,19709.00,18724.00
Bime.Saman.Co.,20210518,19500.00,19787.00,19261.00,19709.00,9162857172,474846,173,D,20274.00,19261.00
Bime.Saman.Co.,20210517,21115.00,21449.00,19637.00,20274.00,9955324862,497380,256,D,20670.00,19899.00
Bime.Saman.Co.,20210516,19460.00,21035.00,19460.00,20670.00,12883618065,620957,395,D,20430.00,20710.00
Bime.Saman.Co.,20210515,20000.00,20999.00,19700.00,20430.00,19750859727,966743,369,D,20728.00,20600.00
Bime.Saman.Co.,20210512,20502.00,20990.00,20246.00,20728.00,12100581989,595634,323,D,20872.00,20246.00
Bime.Saman.Co.,20210511,20869.00,21033.00,20869.00,20872.00,62482356660,2993651,424,D,21514.00,20875.00
Bime.Saman.Co.,20210510,21033.00,21033.00,21033.00,21514.00,12633113889,600633,15,D,21683.00,21033.00
Bime.Saman.Co.,20210509,21034.00,21034.00,21034.00,21683.00,45096896,2144,2,D,21684.00,21034.00
Bime.Saman.Co.,20210508,21035.00,21035.00,21035.00,21684.00,89209435,4241,6,D,21685.00,21035.00
Bime.Saman.Co.,20210505,21542.00,21600.00,21542.00,21685.00,37563040837,1743711,131,D,22208.00,21542.00
Bime.Saman.Co.,20210503,21838.00,21838.00,21838.00,22208.00,21873814320,1001640,75,D,22513.00,21838.00
Bime.Saman.Co.,20210502,21838.00,21838.00,21838.00,22513.00,9696072,444,1,D,22513.00,21838.00
Bime.Saman.Co.,20210501,21852.00,21852.00,21852.00,22513.00,1001171232,45816,13,D,22527.00,21852.00
Bime.Saman.Co.,20210428,22357.00,22359.00,22357.00,22527.00,36584565453,1636377,270,D,23048.00,22358.00
Bime.Saman.Co.,20210427,22359.00,22359.00,22359.00,23048.00,166909935,7465,9,D,23050.00,22359.00
Bime.Saman.Co.,20210426,22360.00,22360.00,22360.00,23050.00,53261520,2382,8,D,23051.00,22360.00
Bime.Saman.Co.,20210425,22363.00,22363.00,22363.00,23051.00,210212200,9400,4,D,23054.00,22363.00
Bime.Saman.Co.,20210424,22365.00,22365.00,22365.00,23054.00,144343710,6454,6,D,23056.00,22365.00
Bime.Saman.Co.,20210421,22369.00,22369.00,22369.00,23056.00,264043676,11804,7,D,23060.00,22369.00
Bime.Saman.Co.,20210420,22696.00,22696.00,22696.00,23060.00,10492587760,462310,28,D,23159.00,22696.00
Bime.Saman.Co.,20210419,22703.00,22703.00,22703.00,23159.00,703225425,30975,5,D,23166.00,22703.00
Bime.Saman.Co.,20210418,22714.00,22714.00,22714.00,23166.00,1155711034,50881,4,D,23177.00,22714.00
Bime.Saman.Co.,20210417,22725.00,22725.00,22725.00,23177.00,1185790500,52180,10,D,23188.00,22725.00
Bime.Saman.Co.,20210414,22817.00,23200.00,22816.00,23188.00,9794370596,429185,137,D,23281.00,22816.00
Bime.Saman.Co.,20210413,23152.00,23600.00,23152.00,23281.00,38101003393,1643539,474,D,23624.00,23152.00
Bime.Saman.Co.,20210412,23153.00,23153.00,23153.00,23624.00,141788972,6124,11,D,23625.00,23153.00
Bime.Saman.Co.,20210411,23155.00,23155.00,23155.00,23625.00,188829025,8155,7,D,23627.00,23155.00
Bime.Saman.Co.,20210410,23157.00,23157.00,23157.00,23627.00,194842998,8414,9,D,23629.00,23157.00
Bime.Saman.Co.,20210407,23400.00,23976.00,23220.00,23629.00,7342929407,315618,165,D,23693.00,23220.00
Bime.Saman.Co.,20210406,23362.00,24107.00,23362.00,23693.00,16185736120,691729,284,D,23838.00,23600.00
Bime.Saman.Co.,20210405,23369.00,23369.00,23369.00,23838.00,684805176,29304,16,D,23845.00,23369.00
Bime.Saman.Co.,20210404,23370.00,23370.00,23370.00,23845.00,110142810,4713,10,D,23846.00,23370.00
Bime.Saman.Co.,20210403,23379.00,23379.00,23379.00,23846.00,1034193444,44236,18,D,23856.00,23379.00
Bime.Saman.Co.,20210331,23399.00,23399.00,23399.00,23856.00,2081996222,88978,45,D,23876.00,23399.00
Bime.Saman.Co.,20210330,23994.00,23994.00,23515.00,23876.00,12528825258,532737,265,D,23994.00,23515.00
Bime.Saman.Co.,20210328,24167.00,24770.00,23684.00,23994.00,26599847282,1115976,697,D,24167.00,23890.00
Bime.Saman.Co.,20210327,24530.00,24736.00,23700.00,24167.00,32702952151,1325137,671,D,23336.00,24736.00
Bime.Saman.Co.,20210317,22902.00,24220.00,22902.00,23336.00,53227011542,2281038,921,D,23369.00,24000.00
Bime.Saman.Co.,20210316,24000.00,24000.00,23045.00,23369.00,29553873233,1271474,652,D,23515.00,23045.00
Bime.Saman.Co.,20210315,23630.00,24276.00,22700.00,23515.00,46930626576,1989987,1252,D,23141.00,23330.00
Bime.Saman.Co.,20210314,22500.00,23437.00,22500.00,23141.00,49559053218,2131635,1233,D,22111.00,23436.00
Bime.Saman.Co.,20210313,22400.00,22503.00,21710.00,22111.00,38248859363,1703916,687,D,21230.00,22503.00
Bime.Saman.Co.,20210310,20261.00,21476.00,19856.00,21230.00,49037039637,2305981,1141,D,20261.00,21476.00
Bime.Saman.Co.,20210309,20300.00,20990.00,20255.00,20261.00,59928252130,2957822,686,D,20668.00,20255.00
Bime.Saman.Co.,20210308,20445.00,21000.00,20445.00,20668.00,31341997500,1524523,363,D,20862.00,20511.00
Bime.Saman.Co.,20210307,20452.00,20452.00,20452.00,20862.00,837202620,40935,16,D,20869.00,20452.00
Bime.Saman.Co.,20210306,20498.00,20498.00,20498.00,20869.00,5512773116,268942,20,D,20916.00,20498.00
Bime.Saman.Co.,20210303,20501.00,20501.00,20501.00,20916.00,370022549,18049,15,D,20919.00,20501.00
Bime.Saman.Co.,20210302,20521.00,20521.00,20521.00,20919.00,2368287568,115408,28,D,20939.00,20521.00
Bime.Saman.Co.,20210301,20552.00,20552.00,20552.00,20939.00,3713273704,180677,17,D,20971.00,20552.00
Bime.Saman.Co.,20210228,20555.00,20555.00,20555.00,20971.00,314882045,15319,11,D,20974.00,20555.00
Bime.Saman.Co.,20210227,20576.00,20576.00,20576.00,20974.00,2414861088,117363,18,D,20995.00,20576.00
Bime.Saman.Co.,20210224,22373.00,22373.00,20685.00,20995.00,13855021525,668975,163,D,21107.00,20685.00
Bime.Saman.Co.,20210216,25300.00,26320.00,24588.00,24779.00,69010447700,2785030,915,D,25089.00,24601.00
Bime.Saman.Co.,20210215,24500.00,25312.00,23518.00,25089.00,55279993763,2200034,907,D,23880.00,25312.00
Bime.Saman.Co.,20210214,24071.00,24071.00,23330.00,23880.00,72857502470,3050974,702,D,22709.00,24071.00
Bime.Saman.Co.,20210213,23359.00,23359.00,22610.00,22709.00,28255230434,1213007,344,D,22037.00,23359.00
Bime.Saman.Co.,20210209,22660.00,22671.00,21610.00,22037.00,29626945530,1324808,471,D,21592.00,22671.00
Bime.Saman.Co.,20210208,22540.00,22540.00,20980.00,21592.00,55692791250,2579325,727,D,21467.00,22400.00
Bime.Saman.Co.,20210207,19875.00,21956.00,19875.00,21467.00,29952637869,1371312,352,D,20911.00,21956.00
Bime.Saman.Co.,20210206,21110.00,21120.00,20672.00,20911.00,37209930439,1799616,382,D,21759.00,20672.00
Bime.Saman.Co.,20210203,21120.00,22780.00,21120.00,21759.00,26446343874,1236810,473,D,22231.00,21120.00
Bime.Saman.Co.,20210202,21972.00,22600.00,21952.00,22231.00,38944366467,1769647,578,D,23107.00,21952.00
Bime.Saman.Co.,20210201,23799.00,23799.00,22669.00,23107.00,34376902193,1510992,523,D,23862.00,22669.00
Bime.Saman.Co.,20210131,24220.00,24220.00,22511.00,23862.00,84991034993,3561805,1211,D,23067.00,23250.00
Bime.Saman.Co.,20210130,23631.00,23631.00,23631.00,23067.00,26185723779,1108109,309,D,22506.00,23631.00
Bime.Saman.Co.,20210127,21500.00,22997.00,21000.00,22506.00,47055931395,2090851,907,D,21902.00,22997.00
Bime.Saman.Co.,20210126,23000.00,23000.00,21856.00,21902.00,69642754246,3179717,739,D,23006.00,21860.00
Bime.Saman.Co.,20210125,23161.00,24500.00,22919.00,23006.00,93137184118,4048358,1082,D,24125.00,22919.00
Bime.Saman.Co.,20210124,25480.00,26154.00,23887.00,24125.00,105848440305,4387588,1179,D,25144.00,23887.00
Bime.Saman.Co.,20210123,24520.00,26027.00,24520.00,25144.00,70273402031,2794849,1346,D,25517.00,24689.00
Bime.Saman.Co.,20210120,24878.00,26679.00,24878.00,25517.00,109360469219,4285843,1693,D,26187.00,25100.00
Bime.Saman.Co.,20210119,25494.00,25494.00,25494.00,26187.00,22540545594,884151,163,D,26835.00,25494.00
Bime.Saman.Co.,20210118,25682.00,25682.00,25682.00,26835.00,6896644280,268540,30,D,27033.00,25682.00
