<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Calcimine,20210630,16200.00,16940.00,16120.00,16610.00,148498983460,8938716,1609,D,16150.00,16800.00
Calcimine,20210629,15990.00,16320.00,15630.00,16150.00,61838010830,3828163,1105,D,15910.00,16120.00
Calcimine,20210628,15990.00,16580.00,15500.00,15910.00,167678144590,10540584,1770,D,15980.00,15870.00
Calcimine,20210627,15560.00,16090.00,15100.00,15980.00,219277984250,13717969,2286,D,15330.00,16050.00
Calcimine,20210626,14990.00,15410.00,14690.00,15330.00,211846041650,13820384,1702,D,14680.00,15400.00
Calcimine,20210623,14330.00,14870.00,13700.00,14680.00,102984331060,7016676,1337,D,14170.00,14870.00
Calcimine,20210622,14200.00,14440.00,14000.00,14170.00,138373731810,9764718,1593,D,14130.00,14300.00
Calcimine,20210621,14260.00,14280.00,13950.00,14130.00,60400683240,4275105,882,D,14260.00,14130.00
Calcimine,20210620,14630.00,14840.00,14070.00,14260.00,55319911360,3878252,746,D,14520.00,14100.00
Calcimine,20210619,14530.00,14790.00,14250.00,14520.00,62555241520,4308847,747,D,14580.00,14690.00
Calcimine,20210616,14180.00,14850.00,14180.00,14580.00,37625476810,2579982,658,D,14650.00,14590.00
Calcimine,20210615,15100.00,15100.00,14410.00,14650.00,34860063380,2379875,729,D,14820.00,14430.00
Calcimine,20210614,14500.00,14870.00,14230.00,14820.00,85455292830,5765798,1235,D,14170.00,14870.00
Calcimine,20210613,14300.00,14660.00,13720.00,14170.00,41492339270,2927778,635,D,14340.00,14380.00
Calcimine,20210612,14120.00,14750.00,14030.00,14340.00,69051917960,4814112,718,D,14510.00,14060.00
Calcimine,20210609,14510.00,14900.00,14440.00,14510.00,60768715570,4187022,835,D,15200.00,14440.00
Calcimine,20210608,15450.00,15840.00,14590.00,15200.00,76400754720,5027133,1381,D,15350.00,14760.00
Calcimine,20210607,15480.00,15620.00,15020.00,15350.00,95024549700,6189616,1457,D,14890.00,15180.00
Calcimine,20210602,14480.00,14970.00,13970.00,14890.00,98501773520,6613354,773,D,14260.00,14970.00
Calcimine,20210601,13910.00,14500.00,13910.00,14260.00,55087640380,3861967,730,D,14320.00,14310.00
Calcimine,20210531,14540.00,14840.00,13910.00,14320.00,70891630460,4948828,1012,D,14600.00,14000.00
Calcimine,20210530,14840.00,14840.00,14190.00,14600.00,124256852040,8510940,1378,D,14140.00,14600.00
Calcimine,20210529,13700.00,14190.00,13700.00,14140.00,88069800480,6226342,487,D,13520.00,14190.00
Calcimine,20210526,13450.00,13540.00,13000.00,13520.00,135468179030,10019324,997,D,12900.00,13540.00
Calcimine,20210525,12550.00,12960.00,12350.00,12900.00,84711295660,6568916,1211,D,12350.00,12960.00
Calcimine,20210524,11700.00,12620.00,11700.00,12350.00,62362004560,5049340,1358,D,12230.00,12410.00
Calcimine,20210523,12220.00,12520.00,12220.00,12230.00,112202394190,9173736,974,D,12860.00,12230.00
Calcimine,20210522,12950.00,13000.00,12710.00,12860.00,23769595290,1868676,317,D,13370.00,12710.00
Calcimine,20210519,13650.00,14170.00,13250.00,13370.00,52838675860,3951654,811,D,13940.00,13250.00
Calcimine,20210518,13460.00,14240.00,13460.00,13940.00,39639737490,2844440,756,D,13830.00,13900.00
Calcimine,20210517,13910.00,14190.00,13610.00,13830.00,39273049590,2839149,667,D,14190.00,13750.00
Calcimine,20210516,14150.00,14500.00,13860.00,14190.00,39429413600,2778850,762,D,14430.00,14010.00
Calcimine,20210515,13810.00,14830.00,13810.00,14430.00,65486073140,4539346,939,D,14390.00,14140.00
Calcimine,20210512,14500.00,14870.00,14000.00,14390.00,102739235530,7140593,1450,D,14150.00,14280.00
Calcimine,20210511,13980.00,14250.00,13620.00,14150.00,101887646560,7198559,1048,D,13450.00,14250.00
Calcimine,20210510,13030.00,13990.00,13020.00,13450.00,98035785110,7287957,1786,D,13410.00,13730.00
Calcimine,20210509,13500.00,13600.00,13380.00,13410.00,49575468640,3696165,584,D,13790.00,13380.00
Calcimine,20210508,13590.00,14400.00,13590.00,13790.00,140870121400,10212342,1869,D,13980.00,13600.00
Calcimine,20210505,13940.00,14840.00,13940.00,13980.00,118666444430,8490188,1313,D,14370.00,13940.00
Calcimine,20210503,13970.00,13970.00,13970.00,14370.00,3088250110,221063,62,D,14400.00,13970.00
Calcimine,20210502,14130.00,14130.00,14130.00,14400.00,18026432280,1275756,189,D,14560.00,14130.00
Calcimine,20210501,14660.00,15200.00,14460.00,14560.00,91099146760,6258097,986,D,14900.00,14460.00
Calcimine,20210428,15240.00,15600.00,14770.00,14900.00,147038152440,9870001,1896,D,15220.00,14940.00
Calcimine,20210427,14990.00,15950.00,14990.00,15220.00,192506196240,12649049,2349,D,15450.00,14990.00
Calcimine,20210426,15070.00,15070.00,15070.00,15450.00,8279412790,549397,85,D,15530.00,15070.00
Calcimine,20210425,15100.00,15100.00,15100.00,15530.00,3110932200,206022,43,D,15560.00,15100.00
Calcimine,20210424,15560.00,15750.00,15560.00,15560.00,56252491440,3614900,467,D,16040.00,15560.00
Calcimine,20210421,15900.00,16320.00,15900.00,16040.00,33948036450,2134766,319,D,16390.00,15900.00
Calcimine,20210420,16390.00,16450.00,16390.00,16390.00,159258907460,9716443,954,D,16720.00,16390.00
Calcimine,20210419,16450.00,16450.00,16450.00,16720.00,9046957150,549967,34,D,16780.00,16450.00
Calcimine,20210418,16450.00,16450.00,16450.00,16780.00,693466200,42156,19,D,16780.00,16450.00
Calcimine,20210417,16490.00,16490.00,16490.00,16780.00,5269428970,319553,61,D,16820.00,16490.00
Calcimine,20210414,16820.00,16990.00,16820.00,16820.00,170617486000,10143535,776,D,17160.00,16820.00
Calcimine,20210413,17160.00,17170.00,17160.00,17160.00,216407326340,12611123,971,D,17510.00,17160.00
Calcimine,20210412,17170.00,17170.00,17170.00,17510.00,740267380,43114,22,D,17520.00,17170.00
Calcimine,20210411,17220.00,17220.00,17220.00,17520.00,6534404520,379466,25,D,17570.00,17220.00
Calcimine,20210410,17220.00,17220.00,17220.00,17570.00,287505120,16696,13,D,17570.00,17220.00
Calcimine,20210407,17230.00,17230.00,17230.00,17570.00,879936100,51070,17,D,17580.00,17230.00
Calcimine,20210406,17380.00,17380.00,17380.00,17580.00,20401426100,1173845,76,D,17730.00,17380.00
Calcimine,20210405,17480.00,17480.00,17480.00,17730.00,13285708960,760052,46,D,17830.00,17480.00
Calcimine,20210404,17480.00,17480.00,17480.00,17830.00,332906600,19045,24,D,17830.00,17480.00
Calcimine,20210403,17570.00,17570.00,17570.00,17830.00,11967190550,681115,63,D,17920.00,17570.00
Calcimine,20210331,17640.00,17640.00,17640.00,17920.00,9209649960,522089,103,D,17990.00,17640.00
Calcimine,20210330,17730.00,17730.00,17730.00,17990.00,13644529290,769573,167,D,18090.00,17730.00
Calcimine,20210328,18340.00,18800.00,17980.00,18090.00,54859556380,3031991,689,D,18340.00,17980.00
Calcimine,20210327,18450.00,18900.00,18100.00,18340.00,124402187530,6784212,1395,D,18460.00,18190.00
Calcimine,20210317,18310.00,19200.00,18230.00,18460.00,154580914120,8375456,1843,D,18310.00,18290.00
Calcimine,20210316,17160.00,18460.00,17160.00,18310.00,257203315970,14044407,1787,D,17420.00,18460.00
Calcimine,20210315,17150.00,17770.00,17110.00,17420.00,133229440030,7649300,1901,D,17450.00,17460.00
Calcimine,20210314,17020.00,17830.00,17020.00,17450.00,224225036520,12850847,2789,D,16830.00,17170.00
Calcimine,20210313,15820.00,16990.00,15820.00,16830.00,305104398390,18130746,2108,D,16030.00,16990.00
Calcimine,20210310,15950.00,16390.00,15930.00,16030.00,115655353590,7216597,1340,D,16250.00,16010.00
Calcimine,20210309,16450.00,16780.00,15910.00,16250.00,146771516810,9034060,1761,D,16230.00,15920.00
Calcimine,20210308,15820.00,16690.00,15820.00,16230.00,143515648500,8843970,1809,D,15770.00,16330.00
Calcimine,20210307,15660.00,16200.00,15660.00,15770.00,195870399930,12423720,1997,D,15970.00,15880.00
Calcimine,20210306,15700.00,15700.00,15700.00,15970.00,8050018000,512740,114,D,16020.00,15700.00
Calcimine,20210303,16000.00,16570.00,15970.00,16020.00,49961990930,3119172,587,D,16290.00,15970.00
Calcimine,20210302,16410.00,16870.00,16050.00,16290.00,147262651570,9042273,1760,D,16370.00,16300.00
Calcimine,20210301,16320.00,17000.00,16320.00,16370.00,301227636170,18400471,2354,D,16650.00,16440.00
Calcimine,20210228,16360.00,16360.00,16360.00,16650.00,6040946360,369251,58,D,16690.00,16360.00
Calcimine,20210227,16380.00,16380.00,16380.00,16690.00,2557900800,156160,80,D,16710.00,16380.00
Calcimine,20210224,17280.00,17560.00,16420.00,16710.00,162629975370,9733277,2155,D,16750.00,16420.00
Calcimine,20210223,16280.00,17490.00,16280.00,16750.00,319364669410,19060921,3922,D,16610.00,17250.00
Calcimine,20210222,16550.00,17250.00,16550.00,16610.00,265131477720,15962793,2159,D,16880.00,16550.00
Calcimine,20210221,16600.00,16600.00,16600.00,16880.00,6882841400,414629,123,D,16930.00,16600.00
Calcimine,20210220,17000.00,17390.00,16910.00,16930.00,189828662060,11213359,1359,D,17250.00,16910.00
Calcimine,20210217,17130.00,17800.00,16930.00,17250.00,175155588530,10151999,2085,D,17200.00,17340.00
Calcimine,20210216,17500.00,17800.00,17140.00,17200.00,219682147750,12775591,1935,D,17480.00,17330.00
Calcimine,20210215,17200.00,18290.00,16940.00,17480.00,433244087060,24782187,4137,D,17280.00,17340.00
Calcimine,20210214,17470.00,17470.00,16750.00,17280.00,722767693260,41837787,5045,D,16490.00,17270.00
Calcimine,20210213,16490.00,16490.00,16490.00,16490.00,76611204310,4645919,410,D,15560.00,16490.00
Calcimine,20210209,15560.00,15560.00,15340.00,15560.00,457124996600,29379824,1666,D,14820.00,15560.00
Calcimine,20210208,14820.00,14820.00,14820.00,14820.00,202728959940,13679417,643,D,14120.00,14820.00
Calcimine,20210207,13600.00,14180.00,13500.00,14120.00,78382741630,5553117,637,D,13510.00,14180.00
Calcimine,20210206,13750.00,14500.00,13310.00,13510.00,133794699760,9906157,1482,D,14010.00,13310.00
Calcimine,20210203,14990.00,15000.00,13880.00,14010.00,177342749880,12660323,2027,D,14610.00,13880.00
Calcimine,20210202,14520.00,15150.00,14520.00,14610.00,200132921800,13696709,2614,D,15280.00,14650.00
Calcimine,20210201,15210.00,15840.00,15170.00,15280.00,58115519620,3802152,929,D,15960.00,15170.00
Calcimine,20210131,16700.00,17000.00,15670.00,15960.00,163077274230,10214775,2052,D,16490.00,15670.00
Calcimine,20210130,15950.00,16520.00,15750.00,16490.00,216822643020,13151577,2235,D,15740.00,16520.00
Calcimine,20210127,15200.00,16210.00,15190.00,15740.00,110132134420,6996942,1855,D,15810.00,15950.00
Calcimine,20210126,16300.00,16700.00,15270.00,15810.00,178115285740,11266260,2434,D,16070.00,15310.00
Calcimine,20210125,15500.00,16800.00,15410.00,16070.00,211770443840,13181566,2476,D,16220.00,16400.00
Calcimine,20210124,17150.00,17150.00,15530.00,16220.00,407905599950,25151460,3727,D,16340.00,15540.00
Calcimine,20210123,16340.00,16340.00,16120.00,16340.00,89781469440,5495926,735,D,15570.00,16340.00
Calcimine,20210120,15000.00,15620.00,15000.00,15570.00,98590918090,6334025,1166,D,14880.00,15620.00
Calcimine,20210119,14750.00,15590.00,14750.00,14880.00,602478684380,40484113,4104,D,15520.00,14900.00
Calcimine,20210118,14960.00,14960.00,14960.00,15520.00,12797935920,855477,128,D,15740.00,14960.00
Calcimine,20210116,15560.00,16200.00,15460.00,15740.00,34261040140,2205303,510,D,16270.00,15460.00
Calcimine,20210113,16200.00,17470.00,16180.00,16270.00,374205925050,23004432,2672,D,17030.00,16180.00
Calcimine,20210112,17170.00,17470.00,16990.00,17030.00,83066911620,4876874,1091,D,17880.00,16990.00
Calcimine,20210111,18510.00,18520.00,17620.00,17880.00,266570045470,14906439,3629,D,18540.00,17620.00
Calcimine,20210110,18010.00,19300.00,18010.00,18540.00,243927069370,13157359,3560,D,18600.00,18200.00
Calcimine,20210109,18600.00,19900.00,18420.00,18600.00,165970941980,8923233,1759,D,19380.00,18420.00
Calcimine,20210106,19700.00,20000.00,19280.00,19380.00,287474911320,14834249,3039,D,20290.00,19280.00
Calcimine,20210105,20900.00,20980.00,19500.00,20290.00,283803078650,13988182,3862,D,20130.00,19700.00
Calcimine,20210104,19790.00,20240.00,19370.00,20130.00,373018067220,18529373,3843,D,19280.00,20240.00
Calcimine,20210103,18550.00,19800.00,18550.00,19280.00,207264091450,10749969,3126,D,19050.00,19340.00
Calcimine,20210102,19000.00,20500.00,18880.00,19050.00,279164031710,14657136,3466,D,19870.00,18880.00
Calcimine,20201230,20060.00,20700.00,19720.00,19870.00,412709963310,20772632,4556,D,20750.00,19720.00
Calcimine,20201229,20900.00,21170.00,20710.00,20750.00,286005949950,13780943,2729,D,21790.00,20710.00
Calcimine,20201228,23180.00,23180.00,21010.00,21790.00,567911539130,26065862,7139,D,22080.00,21170.00
Calcimine,20201227,21600.00,22310.00,20910.00,22080.00,717845683020,32517197,7358,D,21250.00,22310.00
Calcimine,20201226,21600.00,21900.00,20550.00,21250.00,422821564680,19896218,5843,D,21070.00,21300.00
Calcimine,20201223,20710.00,21950.00,20300.00,21070.00,549873450690,26096908,7300,D,21190.00,20970.00
Calcimine,20201222,21420.00,21950.00,20490.00,21190.00,502354295440,23710464,6345,D,20940.00,20700.00
Calcimine,20201221,20300.00,21150.00,19500.00,20940.00,631357595930,30149966,5344,D,20150.00,20900.00
Calcimine,20201220,20280.00,20400.00,19010.00,20150.00,613271488960,30433497,6257,D,19430.00,19900.00
Calcimine,20201219,19440.00,19440.00,19000.00,19430.00,438421355450,22560169,2596,D,18520.00,19440.00
Calcimine,20201216,17480.00,19200.00,17480.00,18520.00,358740700940,19375190,5243,D,18400.00,19000.00
Calcimine,20201215,18390.00,18700.00,18390.00,18400.00,84044299000,4567876,681,D,19350.00,18390.00
Calcimine,20201213,19700.00,20370.00,19700.00,19820.00,815297119200,41126429,7080,D,20730.00,19720.00
Calcimine,20201212,21480.00,21480.00,19660.00,20730.00,1054729426300,50874043,10659,D,20460.00,19800.00
Calcimine,20201209,20460.00,20460.00,20460.00,20460.00,222281225100,10864185,900,D,19490.00,20460.00
Calcimine,20201206,19540.00,19540.00,19540.00,19490.00,51174732420,2618973,331,D,18610.00,19540.00
Calcimine,20201205,18900.00,18900.00,18900.00,18610.00,35549463600,1880924,384,D,18000.00,18900.00
Calcimine,20201202,18010.00,18010.00,18010.00,18000.00,60431474400,3355440,424,D,17160.00,18010.00
Calcimine,20201201,17160.00,17160.00,17160.00,17160.00,63340460040,3691169,381,D,16350.00,17160.00
Calcimine,20201130,16720.00,16720.00,16720.00,16350.00,30107352880,1800679,312,D,15930.00,16720.00
Calcimine,20201129,16090.00,16090.00,16090.00,15930.00,42995118760,2672164,356,D,15330.00,16090.00
Calcimine,20201128,15000.00,15510.00,14500.00,15330.00,124677628970,8132610,1120,D,14780.00,15510.00
Calcimine,20201125,13990.00,15200.00,13990.00,14780.00,158847818370,10750791,2455,D,14700.00,14940.00
Calcimine,20201124,15780.00,15790.00,14500.00,14700.00,140156112120,9534583,1870,D,15260.00,14500.00
Calcimine,20201123,15670.00,15670.00,14910.00,15260.00,114802589290,7523283,1868,D,15040.00,15400.00
Calcimine,20201122,14900.00,15850.00,14520.00,15040.00,166990596200,11102045,2313,D,15280.00,15210.00
