<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Chin.Chin,20210630,16050.00,17500.00,16050.00,16870.00,84992614100,5038918,1565,D,16860.00,17000.00
Chin.Chin,20210627,16150.00,16150.00,16150.00,16860.00,2208770900,136766,41,D,16990.00,16150.00
Chin.Chin,20210626,16340.00,16340.00,16340.00,16990.00,3408409620,208593,45,D,17190.00,16340.00
Chin.Chin,20210623,16540.00,16540.00,16540.00,17190.00,3395099640,205266,46,D,17410.00,16540.00
Chin.Chin,20210622,16760.00,16760.00,16760.00,17410.00,3524695040,210304,39,D,17640.00,16760.00
Chin.Chin,20210621,16970.00,16970.00,16970.00,17640.00,3383122230,199359,31,D,17860.00,16970.00
Chin.Chin,20210620,17170.00,17170.00,17170.00,17860.00,3310839590,192827,26,D,18070.00,17170.00
Chin.Chin,20210619,17380.00,17380.00,17380.00,18070.00,3488496220,200719,23,D,18290.00,17380.00
Chin.Chin,20210616,17610.00,17610.00,17610.00,18290.00,3547428840,201444,24,D,18530.00,17610.00
Chin.Chin,20210615,17610.00,17610.00,17610.00,18530.00,66829950,3795,10,D,18530.00,17610.00
Chin.Chin,20210614,17810.00,17810.00,17810.00,18530.00,3160829750,177475,31,D,18740.00,17810.00
Chin.Chin,20210613,18050.00,18050.00,18050.00,18740.00,3673138900,203498,30,D,18990.00,18050.00
Chin.Chin,20210612,18280.00,18280.00,18280.00,18990.00,3728864080,203986,27,D,19240.00,18280.00
Chin.Chin,20210609,18410.00,18410.00,18410.00,19240.00,1875758080,101888,10,D,19370.00,18410.00
Chin.Chin,20210608,18650.00,18650.00,18650.00,19370.00,3758590450,201533,18,D,19630.00,18650.00
Chin.Chin,20210607,18660.00,18660.00,18660.00,19630.00,78185400,4190,5,D,19640.00,18660.00
Chin.Chin,20210602,18660.00,18660.00,18660.00,19640.00,70161600,3760,4,D,19640.00,18660.00
Chin.Chin,20210531,18670.00,18670.00,18670.00,19640.00,201281270,10781,3,D,19650.00,18670.00
Chin.Chin,20210530,18670.00,18670.00,18670.00,19650.00,5601000,300,1,D,19650.00,18670.00
Chin.Chin,20210529,18680.00,18680.00,18680.00,19650.00,100890680,5401,10,D,19660.00,18680.00
Chin.Chin,20210526,18700.00,18700.00,18700.00,19660.00,224736600,12018,4,D,19680.00,18700.00
Chin.Chin,20210525,18700.00,18700.00,18700.00,19680.00,11650100,623,2,D,19680.00,18700.00
Chin.Chin,20210524,18700.00,18700.00,18700.00,19680.00,18700000,1000,1,D,19680.00,18700.00
Chin.Chin,20210522,18700.00,18700.00,18700.00,19680.00,10659000,570,2,D,19680.00,18700.00
Chin.Chin,20210519,17840.00,17840.00,17840.00,19680.00,984732320,55198,29,D,19820.00,17840.00
Chin.Chin,20210518,18830.00,18830.00,18830.00,19820.00,67788000,3600,3,D,19820.00,18830.00
Chin.Chin,20210517,18840.00,18840.00,18840.00,19820.00,150720000,8000,1,D,19830.00,18840.00
Chin.Chin,20210516,18840.00,18840.00,18840.00,19830.00,37397400,1985,4,D,19830.00,18840.00
Chin.Chin,20210515,18850.00,18850.00,18850.00,19830.00,103354550,5483,6,D,19840.00,18850.00
Chin.Chin,20210512,19250.00,19250.00,19250.00,19840.00,15400000,800,2,D,19840.00,19250.00
Chin.Chin,20210511,19260.00,19260.00,19260.00,19840.00,470560320,24432,13,D,19850.00,19260.00
Chin.Chin,20210510,19260.00,19260.00,19260.00,19850.00,20223000,1050,2,D,19850.00,19260.00
Chin.Chin,20210508,19260.00,19260.00,19260.00,19850.00,98091180,5093,4,D,19850.00,19260.00
Chin.Chin,20210505,19260.00,19260.00,19260.00,19850.00,103792140,5389,3,D,19850.00,19260.00
Chin.Chin,20210503,19260.00,19260.00,19260.00,19850.00,5604660,291,1,D,19850.00,19260.00
Chin.Chin,20210501,19260.00,19260.00,19260.00,19850.00,21975660,1141,4,D,19850.00,19260.00
Chin.Chin,20210428,19260.00,19260.00,19260.00,19850.00,6741000,350,1,D,19850.00,19260.00
Chin.Chin,20210427,19260.00,19260.00,19260.00,19850.00,280714500,14575,5,D,19850.00,19260.00
Chin.Chin,20210426,19260.00,19260.00,19260.00,19850.00,5007600,260,1,D,19850.00,19260.00
Chin.Chin,20210424,19260.00,19260.00,19260.00,19850.00,127077480,6598,4,D,19850.00,19260.00
Chin.Chin,20210421,19260.00,19260.00,19260.00,19850.00,9957420,517,1,D,19850.00,19260.00
Chin.Chin,20210420,19460.00,19460.00,19460.00,19850.00,74570720,3832,5,D,19850.00,19460.00
Chin.Chin,20210419,19460.00,19460.00,19460.00,19850.00,311593520,16012,2,D,19850.00,19460.00
Chin.Chin,20210418,19460.00,19460.00,19460.00,19850.00,436740780,22443,7,D,19850.00,19460.00
Chin.Chin,20210417,19480.00,19480.00,19480.00,19850.00,2251206200,115565,28,D,19870.00,19480.00
Chin.Chin,20210414,19510.00,19510.00,19510.00,19870.00,3331878780,170778,38,D,19900.00,19510.00
Chin.Chin,20210413,19530.00,19530.00,19530.00,19900.00,2490094530,127501,40,D,19920.00,19530.00
Chin.Chin,20210412,19550.00,19550.00,19550.00,19920.00,2406370400,123088,31,D,19940.00,19550.00
Chin.Chin,20210411,19580.00,19580.00,19580.00,19940.00,3184804480,162656,16,D,19970.00,19580.00
Chin.Chin,20210410,19610.00,19610.00,19610.00,19970.00,4711577040,240264,17,D,20010.00,19610.00
