<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Chlor.Pars,20210630,120500.00,121829.00,110501.00,115619.00,351471224349,3039908,3929,D,116316.00,110510.00
Chlor.Pars,20210629,117980.00,118025.00,107500.00,116316.00,297305421164,2556004,3321,D,112405.00,118020.00
Chlor.Pars,20210628,108060.00,112502.00,108060.00,112405.00,124691111008,1109307,1111,D,107145.00,112502.00
Chlor.Pars,20210627,102940.00,107595.00,102492.00,107145.00,204763263184,1911086,2555,D,102472.00,107595.00
Chlor.Pars,20210626,103623.00,103623.00,94000.00,102472.00,315989095912,3083650,3648,D,98689.00,102800.00
Chlor.Pars,20210623,98689.00,98689.00,98689.00,98689.00,80172673753,812377,669,D,93990.00,98689.00
Chlor.Pars,20210622,91000.00,94500.00,91000.00,93990.00,96952168416,1031512,1299,D,90000.00,94500.00
Chlor.Pars,20210621,90000.00,90000.00,90000.00,90000.00,38883960000,432044,276,D,94503.00,90000.00
Chlor.Pars,20210614,98304.00,98304.00,98304.00,98372.00,12709429248,129287,181,D,103477.00,98304.00
Chlor.Pars,20210613,103477.00,103477.00,103477.00,103477.00,16770103482,162066,133,D,108923.00,103477.00
Chlor.Pars,20210612,108923.00,108923.00,108923.00,108923.00,211124906285,1938295,805,D,114655.00,108923.00
Chlor.Pars,20210609,114655.00,114655.00,114655.00,114655.00,30104046110,262562,111,D,127394.00,114655.00
Chlor.Pars,20210608,121129.00,121129.00,121129.00,127394.00,273267024,2256,12,D,127504.00,121129.00
Chlor.Pars,20210607,121187.00,121187.00,121187.00,127504.00,151120189,1247,20,D,127565.00,121187.00
Chlor.Pars,20210602,121338.00,121338.00,121338.00,127565.00,396532584,3268,21,D,127724.00,121338.00
Chlor.Pars,20210601,121472.00,121472.00,121472.00,127724.00,352025856,2898,9,D,127865.00,121472.00
Chlor.Pars,20210531,121488.00,121488.00,121488.00,127865.00,42642288,351,6,D,127882.00,121488.00
Chlor.Pars,20210530,121665.00,121665.00,121665.00,127882.00,463178655,3807,20,D,128068.00,121665.00
Chlor.Pars,20210529,122272.00,122272.00,122272.00,128068.00,1590269632,13006,29,D,128707.00,122272.00
Chlor.Pars,20210526,122287.00,122287.00,122287.00,128707.00,39376414,322,4,D,128723.00,122287.00
Chlor.Pars,20210525,122630.00,122630.00,122630.00,128723.00,897651600,7320,14,D,129084.00,122630.00
Chlor.Pars,20210524,122640.00,122640.00,122640.00,129084.00,25386480,207,3,D,129094.00,122640.00
Chlor.Pars,20210523,122644.00,122644.00,122644.00,129094.00,10056808,82,2,D,129098.00,122644.00
Chlor.Pars,20210522,122683.00,122683.00,122683.00,129098.00,104280550,850,3,D,129140.00,122683.00
Chlor.Pars,20210519,123120.00,123120.00,123120.00,129140.00,1141814880,9274,12,D,129599.00,123120.00
Chlor.Pars,20210518,123256.00,123256.00,123256.00,129599.00,359291240,2915,5,D,129743.00,123256.00
Chlor.Pars,20210517,123272.00,123272.00,123272.00,129743.00,42159024,342,2,D,129760.00,123272.00
Chlor.Pars,20210516,123293.00,123293.00,123293.00,129760.00,55481850,450,6,D,129782.00,123293.00
Chlor.Pars,20210515,123349.00,123349.00,123349.00,129782.00,146291914,1186,11,D,129841.00,123349.00
Chlor.Pars,20210512,125952.00,125952.00,125952.00,129841.00,76200960,605,4,D,129847.00,125952.00
Chlor.Pars,20210511,125985.00,125985.00,125985.00,129847.00,418774140,3324,12,D,129881.00,125985.00
Chlor.Pars,20210510,125988.00,125988.00,125988.00,129881.00,34772688,276,3,D,129884.00,125988.00
Chlor.Pars,20210509,125989.00,125989.00,125989.00,129884.00,16378570,130,2,D,129885.00,125989.00
Chlor.Pars,20210508,125995.00,125995.00,125995.00,129885.00,69801230,554,4,D,129891.00,125995.00
Chlor.Pars,20210505,126027.00,126027.00,126027.00,129891.00,404924751,3213,10,D,129924.00,126027.00
Chlor.Pars,20210503,128144.00,128144.00,128144.00,129924.00,26718921008,208507,22,D,132107.00,128144.00
Chlor.Pars,20210502,128145.00,128145.00,128145.00,132107.00,10764180,84,2,D,132108.00,128145.00
Chlor.Pars,20210501,128154.00,128154.00,128154.00,132108.00,107008590,835,6,D,132117.00,128154.00
Chlor.Pars,20210428,128189.00,128189.00,128189.00,132117.00,428279449,3341,14,D,132153.00,128189.00
Chlor.Pars,20210427,130781.00,130781.00,130781.00,132153.00,32035982979,244959,44,D,134825.00,130781.00
Chlor.Pars,20210426,130792.00,130792.00,130792.00,134825.00,141909320,1085,5,D,134837.00,130792.00
Chlor.Pars,20210425,130798.00,130798.00,130798.00,134837.00,74293264,568,4,D,134843.00,130798.00
Chlor.Pars,20210424,130812.00,130812.00,130812.00,134843.00,172671840,1320,9,D,134857.00,130812.00
Chlor.Pars,20210421,130866.00,130866.00,130866.00,134857.00,670949982,5127,8,D,134913.00,130866.00
Chlor.Pars,20210420,132839.00,132839.00,132839.00,134913.00,11513288969,86671,22,D,135550.00,132839.00
Chlor.Pars,20210419,132842.00,132842.00,132842.00,135550.00,45033438,339,6,D,135553.00,132842.00
Chlor.Pars,20210418,132921.00,132921.00,132921.00,135553.00,1449902268,10908,6,D,135633.00,132921.00
Chlor.Pars,20210417,132928.00,132928.00,132928.00,135633.00,121097408,911,10,D,135640.00,132928.00
Chlor.Pars,20210414,132949.00,132949.00,132949.00,135640.00,400176490,3010,20,D,135662.00,132949.00
Chlor.Pars,20210413,133035.00,133035.00,133035.00,135662.00,1558371990,11714,52,D,135749.00,133035.00
Chlor.Pars,20210412,133422.00,133422.00,133422.00,135749.00,7102720170,53235,17,D,136144.00,133422.00
Chlor.Pars,20210411,133660.00,133660.00,133660.00,136144.00,4365870240,32664,17,D,136387.00,133660.00
Chlor.Pars,20210410,133663.00,133663.00,133663.00,136387.00,51994907,389,7,D,136390.00,133663.00
Chlor.Pars,20210407,134128.00,134128.00,134128.00,136390.00,8211584416,61222,24,D,136865.00,134128.00
Chlor.Pars,20210406,134920.00,134920.00,134920.00,136865.00,13954640680,103429,55,D,137673.00,134920.00
Chlor.Pars,20210405,135844.00,135844.00,135844.00,137673.00,16292178452,119933,47,D,138616.00,135844.00
Chlor.Pars,20210404,137114.00,137114.00,137114.00,138616.00,22383723386,163249,41,D,139912.00,137114.00
Chlor.Pars,20210403,139031.00,139031.00,139031.00,139912.00,33788842961,243031,45,D,141868.00,139031.00
Chlor.Pars,20210331,145000.00,147000.00,140051.00,141868.00,113956035769,803253,938,D,142909.00,140051.00
Chlor.Pars,20210330,139980.00,143999.00,137332.00,142909.00,381983662674,2672909,4164,D,135849.00,143999.00
Chlor.Pars,20210328,134586.00,136416.00,131200.00,135849.00,378971677880,2789646,4646,D,128695.00,136416.00
Chlor.Pars,20210327,122501.00,132020.00,122501.00,128695.00,250677905137,1947841,3326,D,124574.00,131000.00
Chlor.Pars,20210317,124440.00,128000.00,124429.00,124574.00,193246691425,1551254,1743,D,126968.00,124429.00
Chlor.Pars,20210316,126057.00,132100.00,126056.00,126968.00,298046594842,2347406,3943,D,128628.00,126056.00
Chlor.Pars,20210315,125295.00,133925.00,125295.00,128628.00,623437647311,4846840,8776,D,127852.00,129800.00
Chlor.Pars,20210314,127713.00,131200.00,127713.00,127852.00,619158719852,4842762,3597,D,130319.00,127713.00
Chlor.Pars,20210313,127900.00,127900.00,127900.00,130319.00,3581711600,28004,25,D,130510.00,127900.00
Chlor.Pars,20210310,128256.00,128256.00,128256.00,130510.00,6691885056,52176,21,D,130873.00,128256.00
Chlor.Pars,20210309,128761.00,128761.00,128761.00,130873.00,9486595436,73676,44,D,131388.00,128761.00
Chlor.Pars,20210308,129486.00,129486.00,129486.00,131388.00,13639148838,105333,44,D,132128.00,129486.00
Chlor.Pars,20210307,129647.00,129647.00,129647.00,132128.00,3020256512,23296,21,D,132292.00,129647.00
Chlor.Pars,20210306,130316.00,130316.00,130316.00,132292.00,12582140116,96551,22,D,132975.00,130316.00
Chlor.Pars,20210303,130403.00,130403.00,130403.00,132975.00,1621430902,12434,18,D,133064.00,130403.00
Chlor.Pars,20210302,130463.00,130463.00,130463.00,133064.00,1119633466,8582,32,D,133125.00,130463.00
Chlor.Pars,20210301,130506.00,130506.00,130506.00,133125.00,798957732,6122,32,D,133169.00,130506.00
Chlor.Pars,20210228,131117.00,131117.00,131117.00,133169.00,11399443097,86941,17,D,133792.00,131117.00
Chlor.Pars,20210227,131190.00,131190.00,131190.00,133792.00,1365556710,10409,15,D,133867.00,131190.00
Chlor.Pars,20210224,131416.00,131416.00,131416.00,133867.00,4024615000,30625,45,D,134097.00,131416.00
Chlor.Pars,20210223,133179.00,133179.00,133179.00,134097.00,31465270077,236263,59,D,135896.00,133179.00
Chlor.Pars,20210222,133263.00,133263.00,133263.00,135896.00,1495743912,11224,27,D,135982.00,133263.00
Chlor.Pars,20210221,135113.00,135113.00,135113.00,135982.00,33007024996,244292,41,D,137870.00,135113.00
Chlor.Pars,20210220,137332.00,137332.00,137332.00,137870.00,39583477024,288232,97,D,140134.00,137332.00
Chlor.Pars,20210217,140134.00,140134.00,140134.00,140134.00,67991335192,485188,179,D,142993.00,140134.00
Chlor.Pars,20210216,142993.00,143000.00,142993.00,142993.00,186028101534,1300958,812,D,145911.00,142993.00
Chlor.Pars,20210215,145717.00,145717.00,145717.00,145911.00,47665925021,327113,420,D,148690.00,145717.00
Chlor.Pars,20210214,158300.00,158300.00,147143.00,148690.00,370447289663,2491403,2928,D,150145.00,147143.00
Chlor.Pars,20210213,148891.00,151465.00,142892.00,150145.00,442350798059,2946153,4934,D,142892.00,151465.00
Chlor.Pars,20210209,133300.00,144484.00,133300.00,142892.00,787402737613,5510493,6928,D,137604.00,144484.00
Chlor.Pars,20210208,145533.00,145533.00,135528.00,137604.00,817082412123,5937944,7014,D,142661.00,135670.00
Chlor.Pars,20210207,141500.00,143842.00,138700.00,142661.00,823353259425,5771416,7894,D,136993.00,143831.00
Chlor.Pars,20210206,134660.00,141383.00,127919.00,136993.00,1230889294157,8985066,10961,D,134651.00,141370.00
Chlor.Pars,20210203,141340.00,145457.00,131606.00,134651.00,1033617750664,7676274,5168,D,138532.00,135770.00
Chlor.Pars,20210202,139341.00,139341.00,139341.00,138532.00,52859844396,379356,927,D,132706.00,139341.00
Chlor.Pars,20210201,133000.00,133000.00,129200.00,132706.00,194895924944,1468624,1515,D,126667.00,133000.00
Chlor.Pars,20210131,127496.00,127496.00,123500.00,126667.00,670398843018,5292590,5181,D,121425.00,127496.00
Chlor.Pars,20210130,121520.00,121527.00,118060.00,121425.00,280237523863,2307898,2609,D,115740.00,121527.00
Chlor.Pars,20210127,112955.00,116278.00,112955.00,115740.00,270941785708,2340956,2563,D,110741.00,116278.00
Chlor.Pars,20210126,104900.00,111980.00,104900.00,110741.00,638354651619,5764414,6684,D,106648.00,111980.00
Chlor.Pars,20210125,106486.00,109900.00,106486.00,106648.00,338862555658,3177405,3241,D,112090.00,106486.00
Chlor.Pars,20210124,117910.00,119890.00,108908.00,112090.00,404225461213,3606245,3618,D,114639.00,108908.00
Chlor.Pars,20210123,112600.00,115077.00,108050.00,114639.00,692449168858,6040246,5943,D,109598.00,115077.00
Chlor.Pars,20210120,106932.00,116000.00,106932.00,109598.00,1006499738377,9183588,7989,D,112560.00,107460.00
Chlor.Pars,20210119,109298.00,109298.00,109298.00,112560.00,18585031920,170040,184,D,115050.00,109298.00
Chlor.Pars,20210118,115050.00,115050.00,115050.00,115050.00,140376761850,1220137,73,D,121105.00,115050.00
Chlor.Pars,20210116,121300.00,123550.00,120924.00,121105.00,128773881812,1063320,683,D,127288.00,120924.00
Chlor.Pars,20210113,118500.00,129891.00,118493.00,127288.00,1669710904561,13117612,12959,D,123706.00,123600.00
Chlor.Pars,20210112,131164.00,131164.00,118674.00,123706.00,2367523010709,19138291,14453,D,124919.00,119400.00
Chlor.Pars,20210111,124919.00,124919.00,124919.00,124919.00,88213175797,706163,1041,D,118971.00,124919.00
Chlor.Pars,20210110,119933.00,119933.00,119933.00,118971.00,45841510858,382226,1217,D,114222.00,119933.00
Chlor.Pars,20210109,114222.00,114222.00,114222.00,114222.00,76800816804,672382,1247,D,108783.00,114222.00
Chlor.Pars,20210103,108812.00,108812.00,106170.00,108783.00,208298100640,1914806,1896,D,103631.00,108812.00
Chlor.Pars,20210102,102999.00,103789.00,99999.00,103631.00,940223287909,9072756,5244,D,98847.00,103789.00
Chlor.Pars,20201230,97510.00,99141.00,95350.00,98847.00,531313271464,5375101,4827,D,94420.00,99141.00
Chlor.Pars,20201229,91160.00,95311.00,91000.00,94420.00,736448172807,7799733,6222,D,90773.00,95311.00
