<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Daroupakhsh,20210630,23960.00,23990.00,22390.00,22750.00,49185992530,2161627,1363,D,23560.00,22740.00
Daroupakhsh,20210629,22550.00,23670.00,22490.00,23560.00,78110291510,3315306,1643,D,22550.00,23670.00
Daroupakhsh,20210628,23000.00,23520.00,22430.00,22550.00,45675805940,2025809,1292,D,23610.00,22430.00
Daroupakhsh,20210627,24350.00,24350.00,22990.00,23610.00,39430870980,1670192,1329,D,23830.00,23020.00
Daroupakhsh,20210626,23700.00,24390.00,23600.00,23830.00,100679068230,4224769,2663,D,24840.00,23610.00
Daroupakhsh,20210623,25500.00,25780.00,24230.00,24840.00,87650538890,3528862,1841,D,28250.00,24250.00
Daroupakhsh,20210614,28430.00,28430.00,28430.00,29910.00,69426060,2442,6,D,29920.00,28430.00
Daroupakhsh,20210613,28430.00,28430.00,28430.00,29920.00,15608070,549,3,D,29920.00,28430.00
Daroupakhsh,20210612,28430.00,28430.00,28430.00,29920.00,39119680,1376,3,D,29920.00,28430.00
Daroupakhsh,20210609,28440.00,28440.00,28440.00,29920.00,72863280,2562,6,D,29930.00,28440.00
Daroupakhsh,20210608,28460.00,28460.00,28460.00,29930.00,204285880,7178,7,D,29950.00,28460.00
Daroupakhsh,20210607,28500.00,28500.00,28500.00,29950.00,490456500,17209,20,D,30000.00,28500.00
Daroupakhsh,20210602,28520.00,28520.00,28520.00,30000.00,227646640,7982,9,D,30020.00,28520.00
Daroupakhsh,20210601,27340.00,27340.00,27340.00,30020.00,1535058980,56147,79,D,30370.00,27340.00
Daroupakhsh,20210531,28870.00,28870.00,28870.00,30370.00,91633380,3174,4,D,30380.00,28870.00
Daroupakhsh,20210530,28880.00,28880.00,28880.00,30380.00,140790000,4875,11,D,30400.00,28880.00
Daroupakhsh,20210529,28900.00,28900.00,28900.00,30400.00,212993000,7370,17,D,30420.00,28900.00
Daroupakhsh,20210526,28920.00,28920.00,28920.00,30420.00,202440000,7000,3,D,30440.00,28920.00
Daroupakhsh,20210525,28920.00,28920.00,28920.00,30440.00,9688200,335,2,D,30440.00,28920.00
Daroupakhsh,20210524,28950.00,28950.00,28950.00,30440.00,312660000,10800,3,D,30470.00,28950.00
Daroupakhsh,20210522,28950.00,28950.00,28950.00,30470.00,5790000,200,1,D,30470.00,28950.00
Daroupakhsh,20210519,28950.00,28950.00,28950.00,30470.00,5790000,200,1,D,30470.00,28950.00
Daroupakhsh,20210518,28960.00,28960.00,28960.00,30470.00,65884000,2275,5,D,30480.00,28960.00
Daroupakhsh,20210516,28970.00,28970.00,28970.00,30480.00,57592360,1988,5,D,30490.00,28970.00
Daroupakhsh,20210515,29010.00,29010.00,29010.00,30490.00,373735830,12883,11,D,30530.00,29010.00
Daroupakhsh,20210512,29620.00,29620.00,29620.00,30530.00,148100000,5000,2,D,30530.00,29620.00
Daroupakhsh,20210511,29620.00,29620.00,29620.00,30530.00,10989020,371,2,D,30530.00,29620.00
Daroupakhsh,20210510,29630.00,29630.00,29630.00,30530.00,457190900,15430,6,D,30540.00,29630.00
Daroupakhsh,20210509,29630.00,29630.00,29630.00,30540.00,15289080,516,2,D,30540.00,29630.00
Daroupakhsh,20210505,29630.00,29630.00,29630.00,30540.00,8889000,300,1,D,30540.00,29630.00
Daroupakhsh,20210503,29630.00,29630.00,29630.00,30540.00,5363030,181,1,D,30540.00,29630.00
Daroupakhsh,20210502,29630.00,29630.00,29630.00,30540.00,14815000,500,1,D,30540.00,29630.00
Daroupakhsh,20210428,29630.00,29630.00,29630.00,30540.00,38696780,1306,5,D,30540.00,29630.00
Daroupakhsh,20210427,29690.00,29690.00,29690.00,30540.00,3141855180,105822,15,D,30600.00,29690.00
Daroupakhsh,20210426,29760.00,29760.00,29760.00,30600.00,4190178240,140799,13,D,30680.00,29760.00
Daroupakhsh,20210425,29760.00,29760.00,29760.00,30680.00,11933760,401,2,D,30680.00,29760.00
Daroupakhsh,20210424,29910.00,29910.00,29910.00,30680.00,7810248750,261125,20,D,30830.00,29910.00
Daroupakhsh,20210421,29910.00,29910.00,29910.00,30830.00,12921120,432,2,D,30830.00,29910.00
Daroupakhsh,20210420,30220.00,30220.00,30220.00,30830.00,59261420,1961,6,D,30830.00,30220.00
Daroupakhsh,20210418,30220.00,30220.00,30220.00,30830.00,35357400,1170,2,D,30830.00,30220.00
Daroupakhsh,20210417,30220.00,30220.00,30220.00,30830.00,38802480,1284,3,D,30830.00,30220.00
Daroupakhsh,20210414,30220.00,30220.00,30220.00,30830.00,176575460,5843,13,D,30830.00,30220.00
Daroupakhsh,20210413,30230.00,30230.00,30230.00,30830.00,555808780,18386,14,D,30840.00,30230.00
