<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Day.Bime,20210630,20439.00,20439.00,20000.00,20166.00,83828128330,4156889,1007,D,20118.00,20118.00
Day.Bime,20210629,20680.00,20940.00,19833.00,20118.00,157036696276,7805695,1702,D,20876.00,20440.00
Day.Bime,20210628,21475.00,21530.00,20430.00,20876.00,129739791488,6214788,1461,D,21469.00,20533.00
Day.Bime,20210627,21470.00,21980.00,21136.00,21469.00,49721044705,2315995,940,D,21128.00,21200.00
Day.Bime,20210626,20666.00,21249.00,20002.00,21128.00,196152926968,9284232,1454,D,20238.00,21249.00
Day.Bime,20210623,20000.00,20825.00,19710.00,20238.00,160352743684,7923326,1756,D,20107.00,20310.00
Day.Bime,20210622,20380.00,20880.00,19550.00,20107.00,114967395102,5717674,1755,D,20384.00,20050.00
Day.Bime,20210621,21380.00,21380.00,20164.00,20384.00,121506978201,5960867,1352,D,21225.00,20250.00
Day.Bime,20210620,21100.00,21860.00,20813.00,21225.00,112502409238,5300399,1013,D,21908.00,20813.00
Day.Bime,20210619,21186.00,22190.00,21186.00,21908.00,69974148395,3194044,928,D,21182.00,21818.00
Day.Bime,20210616,22076.00,22350.00,20973.00,21182.00,103206919687,4872487,1309,D,22076.00,21250.00
Day.Bime,20210615,22200.00,22480.00,21500.00,22076.00,77907555313,3529054,1303,D,21581.00,21950.00
Day.Bime,20210614,21100.00,22000.00,21041.00,21581.00,125172879335,5800017,1511,D,21444.00,21890.00
Day.Bime,20210613,21500.00,22200.00,21032.00,21444.00,207082443965,9656852,1319,D,21499.00,21350.00
Day.Bime,20210612,21848.00,22600.00,20751.00,21499.00,197709995677,9196234,1681,D,21843.00,21850.00
Day.Bime,20210609,21773.00,22190.00,21266.00,21843.00,138105441237,6322740,1613,D,21651.00,21840.00
Day.Bime,20210608,21049.00,21838.00,20821.00,21651.00,293456347306,13553897,2356,D,20799.00,21800.00
Day.Bime,20210607,20244.00,20948.00,19960.00,20799.00,135466236436,6513095,1149,D,19951.00,20948.00
Day.Bime,20210602,19350.00,20300.00,19020.00,19951.00,99313783233,4977764,1353,D,19343.00,20258.00
Day.Bime,20210601,19227.00,19599.00,18800.00,19343.00,177400481760,9171348,2057,D,19134.00,19300.00
Day.Bime,20210531,18350.00,19206.00,18301.00,19134.00,369491564896,19310668,2645,D,18292.00,19206.00
Day.Bime,20210530,18152.00,18700.00,18152.00,18292.00,631219370875,34507858,4528,D,19107.00,18265.00
Day.Bime,20210529,19107.00,19107.00,19107.00,19107.00,19678394835,1029905,120,D,20112.00,19107.00
Day.Bime,20210526,19131.00,19131.00,19131.00,20112.00,478408917,25007,19,D,20137.00,19131.00
Day.Bime,20210525,19144.00,19144.00,19144.00,20137.00,273357176,14279,8,D,20151.00,19144.00
Day.Bime,20210524,19153.00,19153.00,19153.00,20151.00,197754725,10325,7,D,20161.00,19153.00
