<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ind..&.Mine.Inv,20210630,5500.00,5500.00,5390.00,5450.00,20378374450,3738345,747,D,5430.00,5440.00
Ind..&.Mine.Inv,20210629,5420.00,5500.00,5400.00,5430.00,18053217870,3326235,706,D,5440.00,5450.00
Ind..&.Mine.Inv,20210628,5450.00,5540.00,5390.00,5440.00,41008508400,7537069,959,D,5550.00,5400.00
Ind..&.Mine.Inv,20210627,5660.00,5700.00,5450.00,5550.00,32328712270,5821620,1107,D,5660.00,5470.00
Ind..&.Mine.Inv,20210626,5500.00,5690.00,5400.00,5660.00,82122757870,14521433,1720,D,5420.00,5580.00
Ind..&.Mine.Inv,20210623,5460.00,5550.00,5320.00,5420.00,61015076580,11252935,1046,D,5380.00,5480.00
Ind..&.Mine.Inv,20210622,5350.00,5490.00,5310.00,5380.00,34048847290,6334589,778,D,5350.00,5400.00
Ind..&.Mine.Inv,20210621,5330.00,5410.00,5300.00,5350.00,45794291860,8558214,743,D,5340.00,5350.00
Ind..&.Mine.Inv,20210620,5490.00,5490.00,5300.00,5340.00,21916498070,4104430,493,D,5380.00,5330.00
Ind..&.Mine.Inv,20210619,5410.00,5500.00,5340.00,5380.00,52845802760,9822284,780,D,5410.00,5390.00
Ind..&.Mine.Inv,20210616,5420.00,5510.00,5390.00,5410.00,35546798700,6568973,545,D,5500.00,5410.00
Ind..&.Mine.Inv,20210615,5600.00,5600.00,5440.00,5500.00,23623334460,4298578,507,D,5590.00,5440.00
Ind..&.Mine.Inv,20210614,5570.00,5690.00,5540.00,5590.00,17280772750,3091444,460,D,5570.00,5600.00
Ind..&.Mine.Inv,20210613,5530.00,5630.00,5460.00,5570.00,13560945430,2435789,395,D,5570.00,5570.00
Ind..&.Mine.Inv,20210612,5550.00,5650.00,5500.00,5570.00,22012566350,3955127,525,D,5530.00,5590.00
Ind..&.Mine.Inv,20210609,5420.00,5670.00,5410.00,5530.00,23549161970,4257308,429,D,5600.00,5510.00
Ind..&.Mine.Inv,20210608,5660.00,5720.00,5490.00,5600.00,41120451880,7342622,823,D,5610.00,5510.00
Ind..&.Mine.Inv,20210607,5570.00,5710.00,5480.00,5610.00,37160031880,6622645,829,D,5550.00,5640.00
Ind..&.Mine.Inv,20210602,5420.00,5630.00,5410.00,5550.00,23519649700,4240895,565,D,5460.00,5550.00
Ind..&.Mine.Inv,20210601,5390.00,5570.00,5300.00,5460.00,21969845280,4020580,517,D,5480.00,5510.00
Ind..&.Mine.Inv,20210531,5380.00,5590.00,5380.00,5480.00,21010745180,3834771,467,D,5620.00,5460.00
Ind..&.Mine.Inv,20210530,5790.00,5840.00,5460.00,5620.00,38438558090,6838008,940,D,5610.00,5530.00
Ind..&.Mine.Inv,20210529,5550.00,5620.00,5460.00,5610.00,27541599380,4905959,382,D,5360.00,5620.00
Ind..&.Mine.Inv,20210526,5120.00,5460.00,5090.00,5360.00,25634068280,4783792,993,D,5200.00,5460.00
Ind..&.Mine.Inv,20210525,5100.00,5280.00,5100.00,5200.00,26256421360,5046135,684,D,5050.00,5230.00
Ind..&.Mine.Inv,20210524,4910.00,5140.00,4790.00,5050.00,22414947330,4434887,687,D,5010.00,5130.00
