<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Const..Inv,20210630,48450.00,50200.00,48450.00,49730.00,62314580380,1252965,810,D,48940.00,50040.00
Iran.Const..Inv,20210629,49000.00,49730.00,47870.00,48940.00,38562911900,787973,633,D,48770.00,48790.00
Iran.Const..Inv,20210628,49900.00,51090.00,47900.00,48770.00,73976971070,1516889,1082,D,49660.00,48440.00
Iran.Const..Inv,20210627,48010.00,50300.00,47120.00,49660.00,68541481390,1380080,1089,D,48120.00,49200.00
Iran.Const..Inv,20210626,48280.00,50460.00,47410.00,48120.00,224130157240,4657801,1729,D,49900.00,48000.00
Iran.Const..Inv,20210623,49750.00,52000.00,49750.00,49900.00,151805371010,3041965,1584,D,52360.00,49770.00
Iran.Const..Inv,20210622,52350.00,53930.00,51210.00,52360.00,64321705110,1228473,880,D,52910.00,51250.00
Iran.Const..Inv,20210621,53030.00,54200.00,52000.00,52910.00,49932113980,943653,645,D,52990.00,52500.00
Iran.Const..Inv,20210620,53000.00,54960.00,50820.00,52990.00,199112812880,3757236,1077,D,52350.00,53880.00
Iran.Const..Inv,20210619,52200.00,52800.00,50860.00,52350.00,80734761690,1542115,811,D,52400.00,52520.00
Iran.Const..Inv,20210616,51800.00,53350.00,51500.00,52400.00,88014953520,1679722,908,D,51280.00,52420.00
Iran.Const..Inv,20210615,52800.00,52960.00,49900.00,51280.00,74497424120,1452772,1040,D,51710.00,51100.00
Iran.Const..Inv,20210614,49610.00,51890.00,49610.00,51710.00,143144918220,2768145,1441,D,49420.00,51890.00
Iran.Const..Inv,20210613,46310.00,50400.00,46310.00,49420.00,71312862290,1443025,803,D,48020.00,49600.00
Iran.Const..Inv,20210612,46110.00,49280.00,46110.00,48020.00,39086978770,813908,537,D,47930.00,47690.00
Iran.Const..Inv,20210609,47500.00,49720.00,46610.00,47930.00,50922053810,1062345,670,D,48850.00,47010.00
Iran.Const..Inv,20210608,48800.00,49010.00,47000.00,48850.00,85700636440,1754450,935,D,46680.00,48180.00
Iran.Const..Inv,20210607,47000.00,48390.00,45100.00,46680.00,67265728280,1441055,1030,D,47030.00,48000.00
Iran.Const..Inv,20210602,46710.00,47500.00,46710.00,47030.00,34589416180,735433,640,D,46360.00,47000.00
Iran.Const..Inv,20210601,45000.00,46640.00,44300.00,46360.00,117528713630,2535162,1057,D,44420.00,46640.00
Iran.Const..Inv,20210531,44000.00,45600.00,42800.00,44420.00,55204125910,1242646,759,D,44440.00,44510.00
Iran.Const..Inv,20210530,44530.00,44530.00,42860.00,44440.00,196779870260,4427805,1120,D,42410.00,44530.00
Iran.Const..Inv,20210529,43370.00,43370.00,43370.00,42410.00,10136609880,233724,204,D,41310.00,43370.00
Iran.Const..Inv,20210526,41310.00,41310.00,41310.00,41310.00,23962856940,580074,288,D,39350.00,41310.00
Iran.Const..Inv,20210525,36500.00,40330.00,36500.00,39350.00,45808979650,1164260,483,D,38410.00,40330.00
Iran.Const..Inv,20210524,36750.00,36750.00,36750.00,38410.00,2202648000,59936,70,D,38680.00,36750.00
Iran.Const..Inv,20210523,37070.00,37070.00,37070.00,38680.00,2851720960,76928,53,D,39020.00,37070.00
Iran.Const..Inv,20210522,38030.00,38590.00,37930.00,39020.00,7515781760,198090,139,D,39920.00,37930.00
Iran.Const..Inv,20210519,41000.00,41020.00,39660.00,39920.00,39838412460,997905,631,D,41740.00,39660.00
Iran.Const..Inv,20210518,42200.00,43080.00,40320.00,41740.00,21060697440,504525,449,D,42170.00,41400.00
Iran.Const..Inv,20210517,44000.00,44000.00,41340.00,42170.00,29519226630,699992,550,D,43510.00,41340.00
Iran.Const..Inv,20210516,42000.00,44490.00,42000.00,43510.00,14493751810,333410,393,D,43630.00,43710.00
Iran.Const..Inv,20210515,42710.00,44690.00,42710.00,43630.00,20738462260,475313,525,D,44480.00,43000.00
Iran.Const..Inv,20210512,43300.00,45890.00,43100.00,44480.00,49908314930,1122091,796,D,43370.00,44050.00
Iran.Const..Inv,20210511,43000.00,45000.00,43000.00,43370.00,20379660250,464746,556,D,43000.00,44690.00
Iran.Const..Inv,20210510,42910.00,43980.00,42910.00,43000.00,119283750670,2774272,645,D,44230.00,42980.00
Iran.Const..Inv,20210509,43880.00,43970.00,43880.00,44230.00,35129335110,800543,388,D,45230.00,43890.00
Iran.Const..Inv,20210508,45300.00,46500.00,45120.00,45230.00,62130144500,1373507,575,D,46510.00,45120.00
Iran.Const..Inv,20210505,46090.00,48410.00,46080.00,46510.00,83889729790,1803633,1175,D,47500.00,46350.00
Iran.Const..Inv,20210503,46600.00,47970.00,44190.00,47500.00,148636030710,3129061,2041,D,45260.00,47970.00
Iran.Const..Inv,20210502,42040.00,45940.00,42040.00,45260.00,128708422040,2843551,1377,D,43340.00,45940.00
Iran.Const..Inv,20210501,42750.00,44840.00,42750.00,43340.00,30533844960,711542,594,D,44070.00,42750.00
Iran.Const..Inv,20210428,43820.00,46000.00,43820.00,44070.00,22637077090,507223,571,D,43610.00,44420.00
Iran.Const..Inv,20210425,41710.00,44700.00,41710.00,43610.00,66207283770,1518089,1160,D,43000.00,44320.00
Iran.Const..Inv,20210424,43050.00,43890.00,42990.00,43000.00,83155602930,1934014,519,D,44310.00,42990.00
Iran.Const..Inv,20210421,44310.00,45990.00,44310.00,44310.00,51909374420,1171390,443,D,45680.00,44310.00
Iran.Const..Inv,20210420,45110.00,46980.00,45030.00,45680.00,34217181320,750374,676,D,45910.00,45040.00
Iran.Const..Inv,20210419,45890.00,46690.00,45890.00,45910.00,92525130140,2015551,811,D,46820.00,46020.00
Iran.Const..Inv,20210418,46820.00,46820.00,46820.00,46820.00,89818832520,1918386,294,D,47770.00,46820.00
Iran.Const..Inv,20210417,47770.00,47820.00,47770.00,47770.00,65136074380,1363534,445,D,48740.00,47770.00
Iran.Const..Inv,20210414,48750.00,49430.00,48730.00,48740.00,78110188240,1602558,448,D,49720.00,48730.00
Iran.Const..Inv,20210413,49700.00,51400.00,49700.00,49720.00,223328881950,4491900,881,D,50710.00,49700.00
Iran.Const..Inv,20210412,49730.00,49730.00,49730.00,50710.00,1256378720,25264,26,D,50740.00,49730.00
Iran.Const..Inv,20210411,49750.00,49750.00,49750.00,50740.00,1033158250,20767,22,D,50760.00,49750.00
Iran.Const..Inv,20210410,49800.00,49800.00,49800.00,50760.00,2279146800,45766,37,D,50810.00,49800.00
Iran.Const..Inv,20210407,49950.00,50000.00,49940.00,50810.00,7042090540,141001,104,D,50950.00,49940.00
Iran.Const..Inv,20210406,50350.00,52390.00,50260.00,50950.00,38869809190,764377,638,D,51280.00,50260.00
Iran.Const..Inv,20210405,52850.00,52850.00,50540.00,51280.00,67469675240,1315625,1201,D,51570.00,50740.00
Iran.Const..Inv,20210404,48610.00,52570.00,48610.00,51570.00,98155751450,1903428,1624,D,49600.00,51930.00
Iran.Const..Inv,20210403,50140.00,51190.00,49120.00,49600.00,41777678600,843919,732,D,50120.00,50110.00
Iran.Const..Inv,20210331,50110.00,50550.00,50110.00,50120.00,150470242030,3002364,752,D,51130.00,50140.00
Iran.Const..Inv,20210330,52700.00,52700.00,50130.00,51130.00,52344380240,1023685,906,D,51150.00,50130.00
Iran.Const..Inv,20210328,52400.00,52940.00,49800.00,51150.00,127739962800,2497565,1687,D,50100.00,51950.00
Iran.Const..Inv,20210327,47550.00,50400.00,47550.00,50100.00,67883337850,1355029,825,D,47550.00,50400.00
