<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Darou,20210630,14300.00,14520.00,13910.00,14440.00,63761434610,4415485,1244,D,13830.00,14520.00
Iran.Darou,20210629,13480.00,13900.00,13240.00,13830.00,89760622870,6491987,1414,D,13240.00,13900.00
Iran.Darou,20210628,12500.00,13310.00,12300.00,13240.00,119496549890,9023849,1842,D,12680.00,13310.00
Iran.Darou,20210627,13200.00,13200.00,12540.00,12680.00,110594537990,8721788,2929,D,13200.00,12560.00
Iran.Darou,20210626,13270.00,13270.00,12650.00,13200.00,79482861210,6022889,1369,D,12640.00,13270.00
Iran.Darou,20210623,12650.00,12650.00,12500.00,12640.00,35586706480,2816506,704,D,12050.00,12650.00
Iran.Darou,20210622,11800.00,12390.00,11220.00,12050.00,138750188630,11512166,2411,D,16330.00,12390.00
Iran.Darou,20210621,15550.00,15550.00,15550.00,16330.00,551807300,35486,12,D,16360.00,15550.00
Iran.Darou,20210620,15580.00,15580.00,15580.00,16360.00,622062660,39927,18,D,16400.00,15580.00
Iran.Darou,20210619,15600.00,15600.00,15600.00,16400.00,340485600,21826,13,D,16420.00,15600.00
Iran.Darou,20210616,15630.00,15630.00,15630.00,16420.00,472416750,30225,9,D,16450.00,15630.00
Iran.Darou,20210615,15770.00,15770.00,15770.00,16450.00,2343895100,148630,33,D,16590.00,15770.00
Iran.Darou,20210614,15770.00,15770.00,15770.00,16590.00,188214950,11935,7,D,16600.00,15770.00
Iran.Darou,20210613,15790.00,15790.00,15790.00,16600.00,256982250,16275,7,D,16620.00,15790.00
Iran.Darou,20210612,15890.00,15890.00,15890.00,16620.00,1652083300,103970,16,D,16720.00,15890.00
Iran.Darou,20210609,15910.00,15910.00,15910.00,16720.00,257312430,16173,10,D,16740.00,15910.00
Iran.Darou,20210608,15940.00,15940.00,15940.00,16740.00,433520180,27197,18,D,16770.00,15940.00
Iran.Darou,20210607,15960.00,15960.00,15960.00,16770.00,465074400,29140,22,D,16800.00,15960.00
Iran.Darou,20210602,16000.00,16000.00,16000.00,16800.00,730000000,45625,33,D,16840.00,16000.00
Iran.Darou,20210601,16020.00,16020.00,16020.00,16840.00,322851060,20153,12,D,16860.00,16020.00
Iran.Darou,20210531,16030.00,16030.00,16030.00,16860.00,199092600,12420,10,D,16870.00,16030.00
Iran.Darou,20210530,16040.00,16040.00,16040.00,16870.00,249133280,15532,13,D,16880.00,16040.00
Iran.Darou,20210529,16160.00,16160.00,16160.00,16880.00,2233505920,138212,46,D,17010.00,16160.00
Iran.Darou,20210526,15540.00,15540.00,15540.00,17010.00,1993207020,128263,100,D,17260.00,15540.00
Iran.Darou,20210525,16410.00,16410.00,16410.00,17260.00,208964940,12734,9,D,17270.00,16410.00
Iran.Darou,20210524,16420.00,16420.00,16420.00,17270.00,181441000,11050,4,D,17280.00,16420.00
Iran.Darou,20210523,16430.00,16430.00,16430.00,17280.00,178265500,10850,3,D,17290.00,16430.00
Iran.Darou,20210522,16440.00,16440.00,16440.00,17290.00,185607600,11290,4,D,17300.00,16440.00
Iran.Darou,20210519,16460.00,16460.00,16460.00,17300.00,325085000,19750,5,D,17320.00,16460.00
Iran.Darou,20210518,16470.00,16470.00,16470.00,17320.00,226462500,13750,5,D,17330.00,16470.00
Iran.Darou,20210517,16480.00,16480.00,16480.00,17330.00,112822080,6846,6,D,17340.00,16480.00
Iran.Darou,20210516,16490.00,16490.00,16490.00,17340.00,200518400,12160,10,D,17350.00,16490.00
Iran.Darou,20210515,16820.00,16820.00,16820.00,17350.00,5622152280,334254,27,D,17700.00,16820.00
Iran.Darou,20210512,17200.00,17200.00,17200.00,17700.00,1904951600,110753,21,D,17730.00,17200.00
Iran.Darou,20210511,17220.00,17220.00,17220.00,17730.00,1026070920,59586,42,D,17750.00,17220.00
Iran.Darou,20210427,25660.00,25660.00,25660.00,26410.00,2690758920,104862,36,D,26450.00,25660.00
Iran.Darou,20210426,25660.00,25660.00,25660.00,26450.00,189473440,7384,7,D,26450.00,25660.00
Iran.Darou,20210425,25660.00,25660.00,25660.00,26450.00,8211200,320,2,D,26450.00,25660.00
Iran.Darou,20210424,25660.00,25660.00,25660.00,26450.00,31407840,1224,5,D,26450.00,25660.00
Iran.Darou,20210421,25660.00,25660.00,25660.00,26450.00,249132940,9709,16,D,26450.00,25660.00
Iran.Darou,20210420,25930.00,25930.00,25930.00,26450.00,40321150,1555,4,D,26450.00,25930.00
Iran.Darou,20210419,25930.00,25930.00,25930.00,26450.00,147982510,5707,5,D,26450.00,25930.00
Iran.Darou,20210418,25930.00,25930.00,25930.00,26450.00,10060840,388,2,D,26450.00,25930.00
Iran.Darou,20210417,25930.00,25930.00,25930.00,26450.00,42836360,1652,2,D,26450.00,25930.00
Iran.Darou,20210414,25940.00,25940.00,25940.00,26450.00,515064640,19856,24,D,26460.00,25940.00
Iran.Darou,20210413,26460.00,26460.00,26460.00,26460.00,49478929920,1869952,200,D,27000.00,26460.00
Iran.Darou,20210412,26460.00,26460.00,26460.00,27000.00,31540320,1192,2,D,27000.00,26460.00
Iran.Darou,20210411,26460.00,26460.00,26460.00,27000.00,21908880,828,4,D,27000.00,26460.00
Iran.Darou,20210410,26460.00,26460.00,26460.00,27000.00,36858780,1393,6,D,27000.00,26460.00
Iran.Darou,20210407,26470.00,26470.00,26470.00,27000.00,594913250,22475,11,D,27010.00,26470.00
Iran.Darou,20210406,26470.00,26470.00,26470.00,27010.00,194448620,7346,7,D,27010.00,26470.00
Iran.Darou,20210405,26470.00,26470.00,26470.00,27010.00,255859020,9666,10,D,27010.00,26470.00
Iran.Darou,20210404,26470.00,26470.00,26470.00,27010.00,135976390,5137,13,D,27010.00,26470.00
Iran.Darou,20210403,26470.00,26470.00,26470.00,27010.00,77848270,2941,8,D,27010.00,26470.00
Iran.Darou,20210331,26550.00,26550.00,26550.00,27010.00,6971684850,262587,49,D,27090.00,26550.00
Iran.Darou,20210330,26560.00,26560.00,26560.00,27090.00,841128640,31669,38,D,27100.00,26560.00
