<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Kh..Inv.,20210630,2490.00,2623.00,2420.00,2602.00,1762086348988,677248371,17632,D,2499.00,2623.00
Iran.Kh..Inv.,20210629,2514.00,2530.00,2455.00,2499.00,462715258672,185182793,5762,D,2414.00,2473.00
Iran.Kh..Inv.,20210623,2450.00,2553.00,2385.00,2454.00,1423262793325,580003618,22678,D,2509.00,2414.00
Iran.Kh..Inv.,20210622,2520.00,2560.00,2445.00,2509.00,1094496257123,436159398,15030,D,2439.00,2470.00
Iran.Kh..Inv.,20210621,2339.00,2562.00,2339.00,2439.00,2028696218624,831894217,21332,D,2462.00,2500.00
Iran.Kh..Inv.,20210620,2530.00,2560.00,2410.00,2462.00,329266537641,133756880,4628,D,2536.00,2410.00
Iran.Kh..Inv.,20210619,2560.00,2629.00,2425.00,2536.00,923876518862,364350687,11927,D,2518.00,2550.00
Iran.Kh..Inv.,20210616,2390.00,2556.00,2344.00,2518.00,1454684292121,577782038,18035,D,2435.00,2556.00
Iran.Kh..Inv.,20210615,2450.00,2450.00,2360.00,2435.00,1979721693082,812997286,18432,D,2334.00,2381.00
Iran.Kh..Inv.,20210614,2334.00,2334.00,2334.00,2334.00,126586880016,54236024,1404,D,2223.00,2334.00
Iran.Kh..Inv.,20210613,2115.00,2276.00,2111.00,2223.00,532628313244,239601141,6868,D,2168.00,2276.00
Iran.Kh..Inv.,20210612,2220.00,2251.00,2092.00,2168.00,798849322953,368401701,10499,D,2163.00,2153.00
Iran.Kh..Inv.,20210609,2080.00,2178.00,2035.00,2163.00,1530861942213,707829594,14542,D,2075.00,2178.00
Iran.Kh..Inv.,20210608,2077.00,2077.00,2030.00,2075.00,929905763430,448222129,8319,D,1979.00,2077.00
Iran.Kh..Inv.,20210607,1967.00,1983.00,1931.00,1979.00,443251056593,223961350,5251,D,1889.00,1983.00
Iran.Kh..Inv.,20210602,1800.00,1929.00,1750.00,1889.00,620953236811,328682776,8566,D,1838.00,1929.00
Iran.Kh..Inv.,20210601,1830.00,1900.00,1813.00,1838.00,260022271924,141458700,4079,D,1908.00,1813.00
Iran.Kh..Inv.,20210531,1903.00,1979.00,1890.00,1908.00,246691957046,129299330,4377,D,1989.00,1890.00
Iran.Kh..Inv.,20210530,2030.00,2033.00,1903.00,1989.00,693400337405,348625740,10514,D,1937.00,1929.00
Iran.Kh..Inv.,20210529,1880.00,1949.00,1880.00,1937.00,167376286673,86431990,2259,D,1857.00,1949.00
Iran.Kh..Inv.,20210526,1870.00,1917.00,1811.00,1857.00,380523922986,204912129,8970,D,1863.00,1855.00
Iran.Kh..Inv.,20210525,1825.00,1869.00,1810.00,1863.00,754194534023,404751903,10761,D,1780.00,1869.00
Iran.Kh..Inv.,20210524,1767.00,1839.00,1767.00,1780.00,777335396602,436742145,8263,D,1860.00,1796.00
Iran.Kh..Inv.,20210523,1860.00,1860.00,1860.00,1860.00,93461038200,50247870,946,D,1957.00,1860.00
Iran.Kh..Inv.,20210522,1957.00,1957.00,1957.00,1957.00,60711672439,31022827,719,D,2059.00,1957.00
Iran.Kh..Inv.,20210519,2100.00,2130.00,2047.00,2059.00,166364613557,80817063,2591,D,2154.00,2047.00
Iran.Kh..Inv.,20210518,2148.00,2191.00,2148.00,2154.00,364282848262,169118728,4727,D,2261.00,2148.00
Iran.Kh..Inv.,20210517,2330.00,2369.00,2179.00,2261.00,532924481827,235702652,7443,D,2293.00,2179.00
Iran.Kh..Inv.,20210516,2194.00,2300.00,2182.00,2293.00,738146821869,321926291,7051,D,2191.00,2300.00
Iran.Kh..Inv.,20210515,2140.00,2280.00,2113.00,2191.00,428530909230,195555296,8651,D,2223.00,2155.00
Iran.Kh..Inv.,20210512,2296.00,2310.00,2197.00,2223.00,388018496221,174576523,7439,D,2264.00,2197.00
Iran.Kh..Inv.,20210511,2265.00,2349.00,2184.00,2264.00,859455418011,379617106,15129,D,2251.00,2277.00
Iran.Kh..Inv.,20210510,2247.00,2278.00,2247.00,2251.00,671086464067,298129559,9447,D,2316.00,2265.00
Iran.Kh..Inv.,20210509,2251.00,2251.00,2251.00,2316.00,3017121097,1340347,169,D,2320.00,2251.00
Iran.Kh..Inv.,20210508,2276.00,2276.00,2276.00,2320.00,17807779056,7824156,420,D,2346.00,2276.00
Iran.Kh..Inv.,20210505,2346.00,2346.00,2346.00,2346.00,70141937304,29898524,917,D,2418.00,2346.00
Iran.Kh..Inv.,20210503,2363.00,2363.00,2363.00,2418.00,11611692206,4913962,238,D,2436.00,2363.00
Iran.Kh..Inv.,20210502,2380.00,2380.00,2380.00,2436.00,10019304960,4209792,290,D,2450.00,2380.00
Iran.Kh..Inv.,20210501,2510.00,2560.00,2390.00,2450.00,361612285600,147888632,6039,D,2460.00,2390.00
Iran.Kh..Inv.,20210428,2430.00,2550.00,2410.00,2460.00,1085712869070,440860483,16607,D,2480.00,2520.00
Iran.Kh..Inv.,20210427,2460.00,2560.00,2460.00,2480.00,951269231980,384119795,14037,D,2530.00,2460.00
Iran.Kh..Inv.,20210426,2470.00,2470.00,2470.00,2530.00,9191176280,3721124,359,D,2540.00,2470.00
Iran.Kh..Inv.,20210425,2480.00,2480.00,2480.00,2540.00,7110145120,2866994,179,D,2550.00,2480.00
Iran.Kh..Inv.,20210424,2490.00,2490.00,2490.00,2550.00,6971753490,2799901,308,D,2560.00,2490.00
Iran.Kh..Inv.,20210421,2530.00,2530.00,2530.00,2560.00,26222096450,10364465,495,D,2600.00,2530.00
Iran.Kh..Inv.,20210420,2600.00,2600.00,2600.00,2600.00,79722796400,30662614,1286,D,2650.00,2600.00
Iran.Kh..Inv.,20210419,2620.00,2620.00,2620.00,2650.00,16383672200,6253310,331,D,2670.00,2620.00
Iran.Kh..Inv.,20210418,2630.00,2630.00,2630.00,2670.00,6575057860,2500022,182,D,2680.00,2630.00
Iran.Kh..Inv.,20210417,2640.00,2640.00,2640.00,2680.00,9900073920,3750028,305,D,2690.00,2640.00
Iran.Kh..Inv.,20210414,2710.00,2730.00,2680.00,2690.00,79280935270,29501597,1469,D,2730.00,2680.00
Iran.Kh..Inv.,20210413,2730.00,2820.00,2680.00,2730.00,940878351040,344903441,17249,D,2730.00,2710.00
Iran.Kh..Inv.,20210412,2730.00,2730.00,2730.00,2730.00,97410863550,35681635,1700,D,2780.00,2730.00
Iran.Kh..Inv.,20210411,2750.00,2750.00,2750.00,2780.00,22782289750,8284469,488,D,2800.00,2750.00
Iran.Kh..Inv.,20210410,2770.00,2770.00,2770.00,2800.00,23570799780,8509314,531,D,2820.00,2770.00
Iran.Kh..Inv.,20210407,2810.00,2810.00,2810.00,2820.00,33256926050,11835205,664,D,2860.00,2810.00
Iran.Kh..Inv.,20210406,2860.00,2910.00,2860.00,2860.00,423722748120,147925736,4997,D,2910.00,2860.00
Iran.Kh..Inv.,20210405,2890.00,2890.00,2890.00,2910.00,29464096210,10195189,483,D,2940.00,2890.00
Iran.Kh..Inv.,20210404,2900.00,2900.00,2900.00,2940.00,5009286000,1727340,252,D,2950.00,2900.00
Iran.Kh..Inv.,20210403,2920.00,2920.00,2920.00,2950.00,19422222320,6651446,464,D,2970.00,2920.00
Iran.Kh..Inv.,20210331,2970.00,3000.00,2970.00,2970.00,66877408280,22512012,1280,D,3030.00,2970.00
Iran.Kh..Inv.,20210330,3060.00,3070.00,3020.00,3030.00,391357495150,129292120,5755,D,3080.00,3020.00
Iran.Kh..Inv.,20210328,3100.00,3190.00,3000.00,3080.00,1026395581280,332963922,14121,D,3020.00,3040.00
Iran.Kh..Inv.,20210327,2900.00,3070.00,2850.00,3020.00,1164078851570,385926596,12342,D,2900.00,3070.00
Iran.Kh..Inv.,20210317,2990.00,3000.00,2880.00,2900.00,432818344020,149012943,8870,D,2930.00,2880.00
Iran.Kh..Inv.,20210316,2820.00,2990.00,2810.00,2930.00,671763506010,229261162,11546,D,2830.00,2970.00
Iran.Kh..Inv.,20210315,2840.00,2880.00,2820.00,2830.00,755529138940,267223039,12355,D,2870.00,2820.00
Iran.Kh..Inv.,20210314,2830.00,2930.00,2770.00,2870.00,1316683885210,458285051,22392,D,2770.00,2830.00
Iran.Kh..Inv.,20210313,2770.00,2820.00,2770.00,2770.00,822069888650,296266381,13344,D,2820.00,2770.00
Iran.Kh..Inv.,20210310,2810.00,2810.00,2810.00,2820.00,40826737280,14529088,1080,D,2860.00,2810.00
Iran.Kh..Inv.,20210309,2910.00,2990.00,2820.00,2860.00,1078092770230,376656493,17985,D,2870.00,2820.00
Iran.Kh..Inv.,20210308,2860.00,2900.00,2860.00,2870.00,1642279028690,573075877,21440,D,2910.00,2890.00
Iran.Kh..Inv.,20210307,2890.00,2890.00,2890.00,2910.00,29154756390,10088151,594,D,2940.00,2890.00
Iran.Kh..Inv.,20210306,2900.00,2900.00,2900.00,2940.00,6141965100,2117919,287,D,2950.00,2900.00
Iran.Kh..Inv.,20210303,2910.00,2910.00,2910.00,2950.00,11099351100,3814210,434,D,2960.00,2910.00
Iran.Kh..Inv.,20210302,2960.00,2960.00,2960.00,2960.00,107974758640,36477959,1490,D,3020.00,2960.00
Iran.Kh..Inv.,20210301,2970.00,2970.00,2970.00,3020.00,10052098650,3384545,385,D,3030.00,2970.00
Iran.Kh..Inv.,20210228,2980.00,2980.00,2980.00,3030.00,7108995620,2385569,251,D,3040.00,2980.00
Iran.Kh..Inv.,20210227,3040.00,3040.00,3040.00,3040.00,47672140000,15681625,311,D,3100.00,3040.00
Iran.Kh..Inv.,20210224,3100.00,3140.00,3100.00,3100.00,229776792630,74061814,2477,D,3160.00,3100.00
