<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.M..&.P..M.,20210630,16350.00,16650.00,15560.00,15920.00,43848472260,2754431,949,D,16350.00,15980.00
Iran.M..&.P..M.,20210629,16580.00,16980.00,16010.00,16350.00,43461030130,2657849,837,D,16310.00,16300.00
Iran.M..&.P..M.,20210628,15640.00,16420.00,15640.00,16310.00,49717184250,3047405,856,D,15640.00,16420.00
Iran.M..&.P..M.,20210627,15750.00,16100.00,15360.00,15640.00,65248878240,4171155,1135,D,16160.00,15760.00
Iran.M..&.P..M.,20210626,16300.00,16800.00,15990.00,16160.00,63919637800,3954857,1074,D,16490.00,16010.00
Iran.M..&.P..M.,20210623,16600.00,16880.00,16220.00,16490.00,32791053520,1988186,742,D,16470.00,16230.00
Iran.M..&.P..M.,20210622,16090.00,16540.00,15760.00,16470.00,67035846310,4069627,891,D,15760.00,16540.00
Iran.M..&.P..M.,20210621,16170.00,16300.00,15420.00,15760.00,32239437860,2045836,743,D,16170.00,16040.00
Iran.M..&.P..M.,20210620,15640.00,16440.00,15640.00,16170.00,65912110660,4077202,1385,D,15660.00,16130.00
Iran.M..&.P..M.,20210619,15810.00,16300.00,15600.00,15660.00,88848470800,5672096,1142,D,16420.00,15640.00
Iran.M..&.P..M.,20210616,17040.00,17470.00,16380.00,16420.00,32742991200,1993567,668,D,17240.00,16380.00
Iran.M..&.P..M.,20210615,17590.00,18000.00,17200.00,17240.00,69740889280,4045289,1092,D,18100.00,17200.00
Iran.M..&.P..M.,20210614,18600.00,18900.00,17660.00,18100.00,48128611840,2659103,1209,D,18510.00,17740.00
Iran.M..&.P..M.,20210613,19200.00,19440.00,18300.00,18510.00,110838505910,5988986,2091,D,19260.00,18330.00
Iran.M..&.P..M.,20210612,18000.00,19880.00,18000.00,19260.00,203732758770,10575351,3495,D,18940.00,19180.00
Iran.M..&.P..M.,20210609,18930.00,19690.00,18780.00,18940.00,27323528090,1443013,485,D,19760.00,18780.00
Iran.M..&.P..M.,20210608,19690.00,20140.00,19690.00,19760.00,220409755500,11155726,2243,D,20720.00,19690.00
Iran.M..&.P..M.,20210607,19740.00,19740.00,19740.00,20720.00,669896640,33936,16,D,20770.00,19740.00
Iran.M..&.P..M.,20210602,19790.00,19790.00,19790.00,20770.00,795320520,40188,11,D,20830.00,19790.00
Iran.M..&.P..M.,20210601,19800.00,19800.00,19800.00,20830.00,159508800,8056,6,D,20840.00,19800.00
Iran.M..&.P..M.,20210531,19800.00,19800.00,19800.00,20840.00,47460600,2397,4,D,20840.00,19800.00
Iran.M..&.P..M.,20210530,20140.00,20140.00,20140.00,20840.00,4592302660,228019,29,D,21190.00,20140.00
Iran.M..&.P..M.,20210529,20580.00,20580.00,20580.00,21190.00,6155951340,299123,63,D,21660.00,20580.00
Iran.M..&.P..M.,20210526,20590.00,20590.00,20590.00,21660.00,77212500,3750,2,D,21670.00,20590.00
Iran.M..&.P..M.,20210525,20610.00,20610.00,20610.00,21670.00,266239980,12918,4,D,21690.00,20610.00
Iran.M..&.P..M.,20210524,20610.00,20610.00,20610.00,21690.00,5152500,250,1,D,21690.00,20610.00
Iran.M..&.P..M.,20210522,20610.00,20610.00,20610.00,21690.00,15457500,750,2,D,21690.00,20610.00
Iran.M..&.P..M.,20210519,20610.00,20610.00,20610.00,21690.00,39385710,1911,4,D,21690.00,20610.00
Iran.M..&.P..M.,20210518,19840.00,19840.00,19840.00,21690.00,2138335360,107779,109,D,22040.00,19840.00
Iran.M..&.P..M.,20210517,20940.00,20940.00,20940.00,22040.00,34886040,1666,5,D,22040.00,20940.00
Iran.M..&.P..M.,20210516,20950.00,20950.00,20950.00,22040.00,112187250,5355,10,D,22050.00,20950.00
Iran.M..&.P..M.,20210515,21020.00,21020.00,21020.00,22050.00,855282780,40689,19,D,22120.00,21020.00
Iran.M..&.P..M.,20210512,21470.00,21470.00,21470.00,22120.00,483890860,22538,6,D,22130.00,21470.00
Iran.M..&.P..M.,20210511,21480.00,21480.00,21480.00,22130.00,939363360,43732,18,D,22140.00,21480.00
Iran.M..&.P..M.,20210510,21490.00,21490.00,21490.00,22140.00,487758530,22697,4,D,22150.00,21490.00
Iran.M..&.P..M.,20210509,21490.00,21490.00,21490.00,22150.00,42980000,2000,1,D,22150.00,21490.00
Iran.M..&.P..M.,20210508,21490.00,21490.00,21490.00,22150.00,141597610,6589,4,D,22150.00,21490.00
Iran.M..&.P..M.,20210505,21490.00,21490.00,21490.00,22150.00,73839640,3436,4,D,22150.00,21490.00
Iran.M..&.P..M.,20210503,21490.00,21490.00,21490.00,22150.00,59742200,2780,1,D,22150.00,21490.00
Iran.M..&.P..M.,20210502,21500.00,21500.00,21500.00,22150.00,382657000,17798,5,D,22160.00,21500.00
Iran.M..&.P..M.,20210501,21500.00,21500.00,21500.00,22160.00,37066000,1724,3,D,22160.00,21500.00
Iran.M..&.P..M.,20210428,21510.00,21510.00,21510.00,22160.00,416734740,19374,14,D,22170.00,21510.00
Iran.M..&.P..M.,20210427,21520.00,21520.00,21520.00,22170.00,595157120,27656,26,D,22180.00,21520.00
Iran.M..&.P..M.,20210426,21530.00,21530.00,21530.00,22180.00,642369080,29836,11,D,22190.00,21530.00
Iran.M..&.P..M.,20210425,21530.00,21530.00,21530.00,22190.00,82739790,3843,5,D,22190.00,21530.00
Iran.M..&.P..M.,20210424,21530.00,21530.00,21530.00,22190.00,183048060,8502,5,D,22190.00,21530.00
Iran.M..&.P..M.,20210421,21540.00,21540.00,21540.00,22190.00,465953280,21632,11,D,22200.00,21540.00
Iran.M..&.P..M.,20210420,21770.00,21770.00,21770.00,22200.00,556702440,25572,17,D,22210.00,21770.00
Iran.M..&.P..M.,20210419,21790.00,21790.00,21790.00,22210.00,2449653590,112421,12,D,22230.00,21790.00
Iran.M..&.P..M.,20210418,21790.00,21790.00,21790.00,22230.00,511759940,23486,17,D,22230.00,21790.00
Iran.M..&.P..M.,20210417,21800.00,21800.00,21800.00,22230.00,1496897000,68665,32,D,22240.00,21800.00
Iran.M..&.P..M.,20210414,21960.00,22640.00,21940.00,22240.00,16179315920,736827,310,D,22380.00,21940.00
Iran.M..&.P..M.,20210413,22060.00,23090.00,22040.00,22380.00,32850915930,1470958,770,D,22480.00,22060.00
Iran.M..&.P..M.,20210412,22600.00,23270.00,22350.00,22480.00,42720990580,1904628,879,D,22800.00,22380.00
Iran.M..&.P..M.,20210411,22180.00,23430.00,22180.00,22800.00,111033437070,4869585,2301,D,22630.00,22450.00
Iran.M..&.P..M.,20210410,23100.00,23430.00,22300.00,22630.00,47969694000,2119920,790,D,22750.00,22300.00
Iran.M..&.P..M.,20210407,21270.00,23000.00,21270.00,22750.00,138700434480,6097385,1281,D,21700.00,23000.00
Iran.M..&.P..M.,20210406,21300.00,21370.00,21300.00,21700.00,3590609380,168546,139,D,21730.00,21300.00
Iran.M..&.P..M.,20210405,21690.00,21690.00,21490.00,21730.00,21705198460,1009681,360,D,21920.00,21490.00
Iran.M..&.P..M.,20210404,21700.00,22100.00,21690.00,21920.00,29395727600,1349470,583,D,22130.00,21690.00
Iran.M..&.P..M.,20210403,21770.00,22660.00,21770.00,22130.00,31358985170,1420114,543,D,22210.00,21780.00
Iran.M..&.P..M.,20210331,22570.00,23000.00,21720.00,22210.00,38202787710,1715787,873,D,22050.00,21950.00
Iran.M..&.P..M.,20210330,20940.00,22560.00,20930.00,22050.00,76591113400,3474204,948,D,21350.00,22550.00
Iran.M..&.P..M.,20210328,21700.00,21800.00,21020.00,21350.00,17222448930,813385,444,D,21440.00,21030.00
Iran.M..&.P..M.,20210327,21100.00,22400.00,20720.00,21440.00,25989888190,1195376,596,D,21140.00,21890.00
Iran.M..&.P..M.,20210317,21220.00,22150.00,20800.00,21140.00,34062605260,1605328,625,D,20970.00,21090.00
Iran.M..&.P..M.,20210314,20600.00,20600.00,20600.00,20970.00,5752055600,279226,108,D,21020.00,20600.00
Iran.M..&.P..M.,20210313,20630.00,20630.00,20630.00,21020.00,2955061830,143241,66,D,21050.00,20630.00
Iran.M..&.P..M.,20210310,20640.00,20640.00,20640.00,21050.00,726259680,35187,29,D,21060.00,20640.00
Iran.M..&.P..M.,20210309,21000.00,21000.00,20730.00,21060.00,10507455400,506815,252,D,21150.00,20730.00
Iran.M..&.P..M.,20210308,20990.00,21580.00,20990.00,21150.00,32853097040,1562598,574,D,21410.00,20990.00
Iran.M..&.P..M.,20210307,21380.00,21990.00,21380.00,21410.00,47527760110,2221231,712,D,21810.00,21380.00
Iran.M..&.P..M.,20210306,21400.00,21400.00,21400.00,21810.00,2085558400,97456,44,D,21830.00,21400.00
Iran.M..&.P..M.,20210303,21890.00,22340.00,21460.00,21830.00,28529937580,1309415,406,D,21890.00,21460.00
Iran.M..&.P..M.,20210301,21870.00,22270.00,21870.00,21890.00,49241875540,2249688,622,D,22310.00,21870.00
Iran.M..&.P..M.,20210228,21930.00,21930.00,21930.00,22310.00,6065618700,276590,32,D,22370.00,21930.00
Iran.M..&.P..M.,20210227,22170.00,22250.00,22170.00,22370.00,27054937080,1220284,276,D,22620.00,22170.00
Iran.M..&.P..M.,20210224,22600.00,23410.00,22010.00,22620.00,110294745640,4875304,1910,D,22240.00,22240.00
Iran.M..&.P..M.,20210223,21800.00,22320.00,21300.00,22240.00,184691376340,8302755,2247,D,21060.00,22320.00
Iran.M..&.P..M.,20210222,20890.00,21940.00,20890.00,21060.00,51005930610,2422256,687,D,21310.00,21300.00
Iran.M..&.P..M.,20210221,20910.00,20910.00,20910.00,21310.00,2269487760,108536,19,D,21330.00,20910.00
Iran.M..&.P..M.,20210220,20970.00,20970.00,20970.00,21330.00,6644092860,316838,120,D,21390.00,20970.00
Iran.M..&.P..M.,20210217,21220.00,21800.00,21220.00,21390.00,29852684160,1405797,262,D,21650.00,21220.00
Iran.M..&.P..M.,20210216,21630.00,22400.00,21540.00,21650.00,40138105990,1859284,695,D,21970.00,21540.00
Iran.M..&.P..M.,20210215,21900.00,22600.00,21900.00,21970.00,80396797710,3659069,914,D,22340.00,21900.00
Iran.M..&.P..M.,20210214,22760.00,22760.00,22310.00,22340.00,92358978890,4133509,661,D,22760.00,22310.00
Iran.M..&.P..M.,20210213,22800.00,23850.00,22390.00,22760.00,125416061750,5510057,1884,D,22660.00,22600.00
Iran.M..&.P..M.,20210209,23360.00,23400.00,22010.00,22660.00,65808781200,2903641,1040,D,22390.00,22480.00
Iran.M..&.P..M.,20210208,22000.00,22920.00,21050.00,22390.00,206693519980,9230582,2272,D,21830.00,22500.00
Iran.M..&.P..M.,20210207,21400.00,22020.00,20010.00,21830.00,159111276750,7290214,1552,D,20980.00,22020.00
Iran.M..&.P..M.,20210206,19160.00,21160.00,19160.00,20980.00,192139250390,9159677,1714,D,20160.00,21160.00
