<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Radiator,20210630,16550.00,17190.00,16210.00,16610.00,163550444700,9848717,2852,D,17060.00,16600.00
Iran.Radiator,20210629,16990.00,17700.00,16520.00,17060.00,188603318720,11058467,3293,D,17160.00,16700.00
Iran.Radiator,20210628,17900.00,17900.00,16500.00,17160.00,270042356300,15734632,4819,D,17270.00,16860.00
Iran.Radiator,20210627,17300.00,17330.00,16780.00,17270.00,166828736180,9662553,2267,D,16510.00,17330.00
Iran.Radiator,20210626,16020.00,17060.00,15440.00,16510.00,732647046660,44385161,9469,D,16250.00,17060.00
Iran.Radiator,20210623,16190.00,16730.00,16190.00,16250.00,539468672060,33188409,7163,D,17040.00,16190.00
Iran.Radiator,20210622,16650.00,16650.00,16650.00,17040.00,7847544600,471324,199,D,17520.00,16650.00
Iran.Radiator,20210621,16700.00,16700.00,16700.00,17520.00,860133500,51505,38,D,17570.00,16700.00
Iran.Radiator,20210620,16700.00,16700.00,16700.00,17570.00,65647700,3931,9,D,17570.00,16700.00
Iran.Radiator,20210619,16720.00,16720.00,16720.00,17570.00,409004640,24462,26,D,17600.00,16720.00
Iran.Radiator,20210616,16750.00,16750.00,16750.00,17600.00,518613500,30962,10,D,17630.00,16750.00
Iran.Radiator,20210615,16780.00,16780.00,16780.00,17630.00,452640500,26975,10,D,17660.00,16780.00
Iran.Radiator,20210614,16810.00,16810.00,16810.00,17660.00,475588520,28292,46,D,17690.00,16810.00
Iran.Radiator,20210613,16820.00,16820.00,16820.00,17690.00,218323600,12980,14,D,17700.00,16820.00
Iran.Radiator,20210612,17030.00,17030.00,17030.00,17700.00,3553411680,208656,17,D,17920.00,17030.00
Iran.Radiator,20210609,17060.00,17060.00,17060.00,17920.00,407461040,23884,10,D,17950.00,17060.00
Iran.Radiator,20210608,17130.00,17130.00,17130.00,17950.00,1226405220,71594,39,D,18030.00,17130.00
Iran.Radiator,20210607,17310.00,17310.00,17310.00,18030.00,3001709790,173409,42,D,18220.00,17310.00
Iran.Radiator,20210602,17320.00,17320.00,17320.00,18220.00,173165360,9998,15,D,18230.00,17320.00
Iran.Radiator,20210601,17330.00,17330.00,17330.00,18230.00,122921690,7093,11,D,18240.00,17330.00
Iran.Radiator,20210531,17340.00,17340.00,17340.00,18240.00,213125940,12291,13,D,18250.00,17340.00
Iran.Radiator,20210530,17510.00,17510.00,17510.00,18250.00,2773881670,158417,46,D,18430.00,17510.00
Iran.Radiator,20210529,17680.00,17680.00,17680.00,18430.00,2716514320,153649,68,D,18610.00,17680.00
Iran.Radiator,20210526,17870.00,17870.00,17870.00,18610.00,2892170150,161845,21,D,18810.00,17870.00
Iran.Radiator,20210525,18050.00,18050.00,18050.00,18810.00,2873162900,159178,20,D,19000.00,18050.00
Iran.Radiator,20210524,18110.00,18110.00,18110.00,19000.00,960337080,53028,14,D,19060.00,18110.00
Iran.Radiator,20210523,18120.00,18120.00,18120.00,19060.00,94006560,5188,4,D,19070.00,18120.00
Iran.Radiator,20210522,18350.00,18350.00,18350.00,19070.00,3527328750,192225,9,D,19310.00,18350.00
Iran.Radiator,20210519,17580.00,17580.00,17580.00,19310.00,1518033000,86350,86,D,19530.00,17580.00
Iran.Radiator,20210518,18570.00,18570.00,18570.00,19530.00,201540210,10853,20,D,19540.00,18570.00
Iran.Radiator,20210517,18580.00,18580.00,18580.00,19540.00,202094660,10877,18,D,19550.00,18580.00
Iran.Radiator,20210516,18600.00,18600.00,18600.00,19550.00,249965400,13439,15,D,19570.00,18600.00
Iran.Radiator,20210515,18620.00,18620.00,18620.00,19570.00,265688780,14269,9,D,19590.00,18620.00
Iran.Radiator,20210512,19010.00,19010.00,19010.00,19590.00,62086660,3266,7,D,19590.00,19010.00
Iran.Radiator,20210511,19010.00,19010.00,19010.00,19590.00,252129630,13263,19,D,19590.00,19010.00
Iran.Radiator,20210510,19020.00,19020.00,19020.00,19590.00,945522240,49712,25,D,19600.00,19020.00
Iran.Radiator,20210509,19020.00,19020.00,19020.00,19600.00,41539680,2184,6,D,19600.00,19020.00
Iran.Radiator,20210508,19020.00,19020.00,19020.00,19600.00,28263720,1486,4,D,19600.00,19020.00
Iran.Radiator,20210505,19060.00,19060.00,19060.00,19600.00,2960818520,155342,20,D,19640.00,19060.00
