<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Isfahan.Zinc.SML.,20210630,31653.00,31690.00,30460.00,31164.00,55570710384,1783158,1913,D,30767.00,31100.00
Isfahan.Zinc.SML.,20210629,29610.00,31480.00,29610.00,30767.00,74291932964,2414679,2311,D,30146.00,31200.00
Isfahan.Zinc.SML.,20210628,30420.00,30970.00,29700.00,30146.00,84524530950,2803863,2369,D,31129.00,29900.00
Isfahan.Zinc.SML.,20210627,31590.00,31969.00,30710.00,31129.00,84027470067,2699316,2438,D,31633.00,30840.00
Isfahan.Zinc.SML.,20210626,31300.00,32440.00,30750.00,31633.00,120796061440,3818660,3233,D,30975.00,31290.00
Isfahan.Zinc.SML.,20210623,30870.00,31700.00,30320.00,30975.00,111630787348,3603890,2686,D,30309.00,31280.00
Isfahan.Zinc.SML.,20210622,30300.00,30900.00,29855.00,30309.00,118055896223,3895072,2439,D,29984.00,30500.00
Isfahan.Zinc.SML.,20210621,30070.00,30770.00,29359.00,29984.00,77369952422,2580369,2294,D,30904.00,30200.00
Isfahan.Zinc.SML.,20210620,31700.00,31950.00,30100.00,30904.00,126028749176,4078012,3227,D,30656.00,30120.00
Isfahan.Zinc.SML.,20210619,30158.00,30835.00,30000.00,30656.00,197940906886,6456775,3519,D,29367.00,30835.00
Isfahan.Zinc.SML.,20210616,28900.00,30178.00,27410.00,29367.00,177418481182,6041460,3560,D,28741.00,30178.00
Isfahan.Zinc.SML.,20210615,29621.00,30090.00,28338.00,28741.00,106890489216,3719032,2967,D,29829.00,28440.00
Isfahan.Zinc.SML.,20210614,29600.00,30970.00,29177.00,29829.00,94322473898,3162159,3223,D,30110.00,29590.00
Isfahan.Zinc.SML.,20210613,30040.00,30550.00,30040.00,30110.00,187557019463,6229153,2857,D,31621.00,30040.00
Isfahan.Zinc.SML.,20210612,33283.00,33283.00,30115.00,31621.00,421686896257,13335808,5293,D,31699.00,30115.00
Isfahan.Zinc.SML.,20210609,31699.00,31699.00,31699.00,31699.00,31575437298,996102,737,D,30190.00,31699.00
Isfahan.Zinc.SML.,20210608,28800.00,30240.00,28800.00,30190.00,336979693290,11161863,1432,D,28275.00,30240.00
Isfahan.Zinc.SML.,20210518,46768.00,48000.00,46768.00,46812.00,256360483201,5476349,4613,D,49229.00,46768.00
Isfahan.Zinc.SML.,20210517,49460.00,51800.00,48318.00,49229.00,174529681570,3545279,3489,D,50861.00,48318.00
Isfahan.Zinc.SML.,20210516,50763.00,51830.00,50763.00,50861.00,457944178764,9003907,7709,D,53434.00,50763.00
Isfahan.Zinc.SML.,20210515,53434.00,53434.00,53434.00,53434.00,14726250098,275597,259,D,56246.00,53434.00
Isfahan.Zinc.SML.,20210512,54773.00,54773.00,54773.00,56246.00,6248284748,114076,169,D,56467.00,54773.00
Isfahan.Zinc.SML.,20210511,55165.00,55165.00,55165.00,56467.00,11430739650,207210,257,D,56871.00,55165.00
Isfahan.Zinc.SML.,20210510,55249.00,55249.00,55249.00,56871.00,2425431100,43900,104,D,56957.00,55249.00
Isfahan.Zinc.SML.,20210509,55274.00,55274.00,55274.00,56957.00,725084332,13118,47,D,56983.00,55274.00
Isfahan.Zinc.SML.,20210508,55363.00,55363.00,55363.00,56983.00,2613355052,47204,120,D,57075.00,55363.00
Isfahan.Zinc.SML.,20210505,55518.00,55518.00,55518.00,57075.00,4451044614,80173,114,D,57235.00,55518.00
Isfahan.Zinc.SML.,20210503,55576.00,55576.00,55576.00,57235.00,1649995864,29689,55,D,57294.00,55576.00
Isfahan.Zinc.SML.,20210502,55674.00,55674.00,55674.00,57294.00,2816826030,50595,66,D,57395.00,55674.00
Isfahan.Zinc.SML.,20210501,56332.00,56332.00,56332.00,57395.00,18894879440,335420,213,D,58074.00,56332.00
Isfahan.Zinc.SML.,20210428,58074.00,58074.00,58074.00,58074.00,49318415316,849234,651,D,59870.00,58074.00
Isfahan.Zinc.SML.,20210427,59258.00,59258.00,59258.00,59870.00,32159494374,542703,402,D,61090.00,59258.00
Isfahan.Zinc.SML.,20210426,59381.00,59381.00,59381.00,61090.00,3357461121,56541,90,D,61217.00,59381.00
Isfahan.Zinc.SML.,20210425,59436.00,59436.00,59436.00,61217.00,1506048804,25339,67,D,61274.00,59436.00
Isfahan.Zinc.SML.,20210424,59515.00,59515.00,59515.00,61274.00,2134624505,35867,106,D,61355.00,59515.00
Isfahan.Zinc.SML.,20210421,59581.00,59581.00,59581.00,61355.00,1789455754,30034,76,D,61423.00,59581.00
