<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kaspian.Daroo,20210630,19510.00,19800.00,18881.00,19111.00,59766137904,3127255,1151,D,19874.00,18892.00
Kaspian.Daroo,20210629,20190.00,20580.00,19350.00,19874.00,106162531191,5341907,2203,D,19635.00,19980.00
Kaspian.Daroo,20210628,19287.00,20400.00,19287.00,19635.00,160887904223,8193861,1490,D,20302.00,20000.00
Kaspian.Daroo,20210627,19352.00,19352.00,19352.00,20302.00,944164728,48789,32,D,20370.00,19352.00
Kaspian.Daroo,20210626,19485.00,19485.00,19485.00,20370.00,1952416485,100201,38,D,20510.00,19485.00
Kaspian.Daroo,20210623,19973.00,19973.00,19973.00,20510.00,10228113381,512097,180,D,22192.00,19973.00
Kaspian.Daroo,20210622,21091.00,21091.00,21091.00,22192.00,112457212,5332,14,D,22201.00,21091.00
Kaspian.Daroo,20210621,21092.00,21092.00,21092.00,22201.00,10292896,488,2,D,22202.00,21092.00
Kaspian.Daroo,20210620,21092.00,21092.00,21092.00,22202.00,5273000,250,1,D,22202.00,21092.00
Kaspian.Daroo,20210616,21092.00,21092.00,21092.00,22202.00,5062080,240,1,D,22202.00,21092.00
Kaspian.Daroo,20210615,21099.00,21099.00,21099.00,22202.00,88468107,4193,9,D,22209.00,21099.00
Kaspian.Daroo,20210614,21109.00,21109.00,21109.00,22209.00,139889343,6627,7,D,22220.00,21109.00
Kaspian.Daroo,20210609,23153.00,23153.00,23153.00,24270.00,7633845089,329713,38,D,25725.00,23153.00
Kaspian.Daroo,20210608,24442.00,24442.00,24442.00,25725.00,33705518,1379,4,D,25728.00,24442.00
Kaspian.Daroo,20210607,24451.00,24451.00,24451.00,25728.00,104014554,4254,7,D,25737.00,24451.00
Kaspian.Daroo,20210602,24451.00,24451.00,24451.00,25737.00,5012455,205,1,D,25737.00,24451.00
Kaspian.Daroo,20210601,24453.00,24453.00,24453.00,25737.00,24453000,1000,1,D,25739.00,24453.00
Kaspian.Daroo,20210531,24457.00,24457.00,24457.00,25739.00,50503705,2065,5,D,25744.00,24457.00
Kaspian.Daroo,20210530,24461.00,24461.00,24461.00,25744.00,45203928,1848,6,D,25748.00,24461.00
Kaspian.Daroo,20210529,24463.00,24463.00,24463.00,25748.00,23093072,944,3,D,25750.00,24463.00
Kaspian.Daroo,20210526,24505.00,24505.00,24505.00,25750.00,490100000,20000,2,D,25794.00,24505.00
Kaspian.Daroo,20210525,24528.00,24528.00,24528.00,25794.00,264092976,10767,3,D,25818.00,24528.00
Kaspian.Daroo,20210524,24529.00,24529.00,24529.00,25818.00,10351238,422,2,D,25819.00,24529.00
Kaspian.Daroo,20210519,24530.00,24530.00,24530.00,25819.00,24530000,1000,1,D,25821.00,24530.00
Kaspian.Daroo,20210518,24531.00,24531.00,24531.00,25821.00,11406915,465,2,D,25822.00,24531.00
Kaspian.Daroo,20210517,24532.00,24532.00,24532.00,25822.00,10548760,430,2,D,25823.00,24532.00
Kaspian.Daroo,20210516,24532.00,24532.00,24532.00,25823.00,5127188,209,1,D,25823.00,24532.00
Kaspian.Daroo,20210511,25049.00,25049.00,25049.00,25823.00,5009800,200,1,D,25823.00,25049.00
Kaspian.Daroo,20210510,25064.00,25064.00,25064.00,25823.00,1026521184,40956,4,D,25839.00,25064.00
Kaspian.Daroo,20210508,25064.00,25064.00,25064.00,25839.00,5037864,201,1,D,25839.00,25064.00
Kaspian.Daroo,20210503,25064.00,25064.00,25064.00,25839.00,5037864,201,1,D,25839.00,25064.00
Kaspian.Daroo,20210501,25064.00,25064.00,25064.00,25839.00,15289040,610,2,D,25839.00,25064.00
Kaspian.Daroo,20210428,25123.00,25123.00,25123.00,25839.00,3768450000,150000,2,D,25900.00,25123.00
Kaspian.Daroo,20210427,25203.00,25203.00,25203.00,25900.00,5053201500,200500,3,D,25982.00,25203.00
Kaspian.Daroo,20210426,25326.00,25326.00,25326.00,25982.00,7840169820,309570,9,D,26109.00,25326.00
Kaspian.Daroo,20210425,25327.00,25327.00,25327.00,26109.00,44322250,1750,3,D,26110.00,25327.00
Kaspian.Daroo,20210421,25327.00,25327.00,25327.00,26110.00,18995250,750,1,D,26110.00,25327.00
Kaspian.Daroo,20210420,25588.00,25588.00,25588.00,26110.00,6320236,247,1,D,26110.00,25588.00
Kaspian.Daroo,20210419,25588.00,25588.00,25588.00,26110.00,10158436,397,2,D,26110.00,25588.00
Kaspian.Daroo,20210417,25588.00,25588.00,25588.00,26110.00,10184024,398,2,D,26110.00,25588.00
Kaspian.Daroo,20210414,25610.00,25610.00,25610.00,26110.00,2042090180,79738,5,D,26132.00,25610.00
