<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kerman.Invest,20210630,1186.00,1186.00,1164.00,1184.00,939634514171,793480909,14373,D,1130.00,1186.00
Kerman.Invest,20210629,1100.00,1135.00,1081.00,1130.00,219605807264,194362937,3567,D,1081.00,1135.00
Kerman.Invest,20210628,1109.00,1109.00,1071.00,1081.00,279021950846,258173516,8101,D,1114.00,1076.00
Kerman.Invest,20210627,1128.00,1145.00,1092.00,1114.00,331078051060,297090753,8829,D,1128.00,1102.00
Kerman.Invest,20210626,1130.00,1148.00,1101.00,1128.00,320075284808,283728929,8561,D,1127.00,1120.00
Kerman.Invest,20210623,1148.00,1150.00,1116.00,1127.00,282765141028,250962958,8067,D,1134.00,1125.00
Kerman.Invest,20210622,1119.00,1153.00,1119.00,1134.00,195252141329,172185168,5654,D,1111.00,1139.00
Kerman.Invest,20210621,1100.00,1140.00,1067.00,1111.00,205485000756,184877891,6663,D,1121.00,1128.00
Kerman.Invest,20210620,1154.00,1169.00,1112.00,1121.00,307546905798,274427687,7540,D,1170.00,1112.00
Kerman.Invest,20210619,1199.00,1228.00,1122.00,1170.00,328825738280,280990442,9141,D,1175.00,1154.00
Kerman.Invest,20210616,1126.00,1196.00,1126.00,1175.00,363295994644,309079909,9520,D,1144.00,1194.00
Kerman.Invest,20210615,1126.00,1156.00,1113.00,1144.00,499760117657,437020431,11538,D,1101.00,1138.00
Kerman.Invest,20210614,1088.00,1121.00,1071.00,1101.00,264274162108,240107031,6610,D,1069.00,1120.00
Kerman.Invest,20210613,1080.00,1095.00,1042.00,1069.00,137609436954,128691968,4427,D,1090.00,1076.00
Kerman.Invest,20210612,1088.00,1116.00,1071.00,1090.00,197079833253,180859495,5517,D,1087.00,1080.00
Kerman.Invest,20210609,1080.00,1130.00,1060.00,1087.00,313724667704,288670106,8292,D,1105.00,1086.00
Kerman.Invest,20210608,1113.00,1113.00,1070.00,1105.00,634554944130,574279440,12414,D,1060.00,1089.00
Kerman.Invest,20210607,1061.00,1061.00,1031.00,1060.00,316328721063,298524917,6555,D,1011.00,1061.00
Kerman.Invest,20210602,960.00,1022.00,960.00,1011.00,212246935562,209910649,5498,D,974.00,1022.00
Kerman.Invest,20210601,970.00,1000.00,960.00,974.00,110948585441,113906421,4066,D,986.00,968.00
Kerman.Invest,20210531,998.00,1017.00,955.00,986.00,216014874219,219185363,6587,D,997.00,971.00
Kerman.Invest,20210530,1004.00,1004.00,970.00,997.00,559830102034,561364092,13917,D,957.00,1004.00
Kerman.Invest,20210529,936.00,961.00,921.00,957.00,119433440142,124825440,2823,D,916.00,961.00
Kerman.Invest,20210526,900.00,933.00,896.00,916.00,202540540443,221093447,7004,D,915.00,917.00
Kerman.Invest,20210525,891.00,942.00,891.00,915.00,218691570124,239011087,7398,D,917.00,906.00
Kerman.Invest,20210524,915.00,947.00,909.00,917.00,243631358265,265617907,7194,D,956.00,909.00
Kerman.Invest,20210523,990.00,1004.00,937.00,956.00,217318535252,227288914,6412,D,986.00,937.00
Kerman.Invest,20210522,999.00,1024.00,957.00,986.00,143012750707,145102460,5203,D,995.00,980.00
Kerman.Invest,20210519,980.00,1030.00,955.00,995.00,267927765464,269254642,7992,D,1005.00,1005.00
Kerman.Invest,20210518,1030.00,1054.00,1000.00,1005.00,293516468409,291981887,8393,D,1052.00,1006.00
Kerman.Invest,20210517,1105.00,1105.00,1035.00,1052.00,163094492937,155040497,5192,D,1089.00,1035.00
Kerman.Invest,20210516,1042.00,1109.00,1042.00,1089.00,274336928846,251908596,7929,D,1059.00,1097.00
