<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Maroon.Petro.,20210630,144000.00,144990.00,142000.00,143824.00,7027775376,48769,166,D,143803.00,144033.00
Maroon.Petro.,20210629,147776.00,147776.00,143000.00,143803.00,19566700448,135926,272,D,143767.00,143000.00
Maroon.Petro.,20210628,145000.00,147971.00,143730.00,143767.00,5660515200,39154,163,D,143719.00,144300.00
Maroon.Petro.,20210627,148000.00,148000.00,143700.00,143719.00,1456975171,10023,100,D,143695.00,145000.00
Maroon.Petro.,20210626,145000.00,148000.00,142000.00,143695.00,23552405620,160531,199,D,142797.00,143671.00
Maroon.Petro.,20210623,143000.00,146900.00,141206.00,142797.00,14096811767,97340,146,D,142474.00,146199.00
Maroon.Petro.,20210622,141170.00,144180.00,141000.00,142474.00,10293466099,71898,108,D,142395.00,143999.00
Maroon.Petro.,20210621,146100.00,146100.00,141000.00,142395.00,27248931413,192349,169,D,142668.00,141000.00
Maroon.Petro.,20210620,147000.00,147000.00,141661.00,142668.00,20142601403,140655,235,D,142534.00,142000.00
Maroon.Petro.,20210619,144500.00,148440.00,143800.00,142534.00,23946144094,163573,168,D,141373.00,147000.00
Maroon.Petro.,20210616,140001.00,143776.00,140000.00,141373.00,26862362756,190098,107,D,141397.00,143774.00
Maroon.Petro.,20210615,143000.00,143000.00,137550.00,141397.00,24760596511,176481,141,D,141763.00,142410.00
Maroon.Petro.,20210614,141100.00,143990.00,140051.00,141763.00,11448821713,80336,87,D,141667.00,141100.00
Maroon.Petro.,20210613,140001.00,142000.00,140000.00,141667.00,2043410371,14427,52,D,141668.00,141100.00
Maroon.Petro.,20210612,139751.00,143980.00,139751.00,141668.00,9943869434,70487,82,D,141734.00,140100.00
Maroon.Petro.,20210609,142899.00,142900.00,139110.00,141734.00,64648917023,457139,121,D,142325.00,142774.00
Maroon.Petro.,20210608,142930.00,142998.00,139800.00,142325.00,26124324103,184892,164,D,142695.00,142998.00
Maroon.Petro.,20210607,142270.00,143470.00,138801.00,142695.00,11625804797,82981,145,D,143044.00,139670.00
Maroon.Petro.,20210602,139311.00,146637.00,139311.00,143044.00,36393177533,257015,183,D,143896.00,141000.00
