<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mashad.Wheel,20210630,38100.00,39910.00,37150.00,37870.00,126740188430,3346681,2560,D,39100.00,37170.00
Mashad.Wheel,20210629,38990.00,40340.00,38890.00,39100.00,120520395320,3082031,2052,D,40930.00,38890.00
Mashad.Wheel,20210628,41400.00,42860.00,40720.00,40930.00,124415341600,3039505,2059,D,42860.00,40720.00
Mashad.Wheel,20210627,43360.00,43360.00,39300.00,42860.00,198878791180,4640427,3494,D,41300.00,42700.00
Mashad.Wheel,20210626,39000.00,41410.00,39000.00,41300.00,96055071260,2325960,1310,D,39440.00,41410.00
Mashad.Wheel,20210623,38300.00,41700.00,38300.00,39440.00,403442781240,10229411,5677,D,40310.00,38910.00
Mashad.Wheel,20210622,39010.00,39010.00,39010.00,40310.00,4587966100,117610,158,D,41060.00,39010.00
Mashad.Wheel,20210621,39310.00,39310.00,39310.00,41060.00,1874772520,47692,67,D,41370.00,39310.00
Mashad.Wheel,20210620,40380.00,40380.00,40380.00,41370.00,6943865940,171963,105,D,42500.00,40380.00
Mashad.Wheel,20210619,41990.00,41990.00,41990.00,42500.00,12033746140,286586,362,D,46650.00,41990.00
Mashad.Wheel,20210616,44340.00,44340.00,44340.00,46650.00,148849380,3357,17,D,46670.00,44340.00
Mashad.Wheel,20210615,44450.00,44450.00,44450.00,46670.00,658348950,14811,19,D,46780.00,44450.00
Mashad.Wheel,20210614,44650.00,44650.00,44650.00,46780.00,1324720850,29669,24,D,47000.00,44650.00
Mashad.Wheel,20210613,44670.00,44670.00,44670.00,47000.00,126773460,2838,15,D,47020.00,44670.00
Mashad.Wheel,20210612,44700.00,44700.00,44700.00,47020.00,171558600,3838,16,D,47050.00,44700.00
Mashad.Wheel,20210609,44740.00,44740.00,44740.00,47050.00,235869280,5272,25,D,47090.00,44740.00
Mashad.Wheel,20210608,44950.00,44950.00,44950.00,47090.00,1335149850,29703,59,D,47310.00,44950.00
Mashad.Wheel,20210607,45060.00,45060.00,45060.00,47310.00,747275040,16584,33,D,47430.00,45060.00
Mashad.Wheel,20210602,45100.00,45100.00,45100.00,47430.00,224147000,4970,20,D,47470.00,45100.00
Mashad.Wheel,20210601,45150.00,45150.00,45150.00,47470.00,312844350,6929,10,D,47520.00,45150.00
Mashad.Wheel,20210531,44620.00,44620.00,44620.00,47520.00,5542785640,124222,158,D,49570.00,44620.00
Mashad.Wheel,20210530,47150.00,47150.00,47150.00,49570.00,336462400,7136,12,D,49630.00,47150.00
Mashad.Wheel,20210529,47400.00,47400.00,47400.00,49630.00,1462669200,30858,42,D,49890.00,47400.00
Mashad.Wheel,20210526,47420.00,47420.00,47420.00,49890.00,102806560,2168,5,D,49910.00,47420.00
Mashad.Wheel,20210525,47470.00,47470.00,47470.00,49910.00,281212280,5924,6,D,49960.00,47470.00
Mashad.Wheel,20210524,47480.00,47480.00,47480.00,49960.00,81713080,1721,3,D,49970.00,47480.00
Mashad.Wheel,20210523,47480.00,47480.00,47480.00,49970.00,13009520,274,3,D,49970.00,47480.00
Mashad.Wheel,20210522,47540.00,47540.00,47540.00,49970.00,386500200,8130,10,D,50040.00,47540.00
Mashad.Wheel,20210519,47550.00,47550.00,47550.00,50040.00,32334000,680,5,D,50050.00,47550.00
Mashad.Wheel,20210518,48330.00,48330.00,48330.00,50050.00,4511218860,93342,12,D,50870.00,48330.00
Mashad.Wheel,20210517,48350.00,48350.00,48350.00,50870.00,89592550,1853,5,D,50890.00,48350.00
Mashad.Wheel,20210516,49100.00,49100.00,49100.00,50890.00,4345300900,88499,31,D,51680.00,49100.00
Mashad.Wheel,20210515,49400.00,49400.00,49400.00,51680.00,1755280800,35532,16,D,52000.00,49400.00
Mashad.Wheel,20210512,50440.00,50440.00,50440.00,52000.00,38183080,757,7,D,52000.00,50440.00
Mashad.Wheel,20210511,49250.00,49250.00,49250.00,52000.00,5811697000,118004,104,D,52390.00,49250.00
Mashad.Wheel,20210510,50840.00,50840.00,50840.00,52390.00,721470440,14191,9,D,52410.00,50840.00
Mashad.Wheel,20210509,50850.00,50850.00,50850.00,52410.00,379086750,7455,7,D,52420.00,50850.00
Mashad.Wheel,20210508,50850.00,50850.00,50850.00,52420.00,10170000,200,2,D,52420.00,50850.00
Mashad.Wheel,20210505,50870.00,50870.00,50870.00,52420.00,678758410,13343,10,D,52440.00,50870.00
Mashad.Wheel,20210503,50870.00,50870.00,50870.00,52440.00,29504600,580,3,D,52440.00,50870.00
Mashad.Wheel,20210502,50880.00,50880.00,50880.00,52440.00,203265600,3995,11,D,52450.00,50880.00
Mashad.Wheel,20210501,50900.00,50900.00,50900.00,52450.00,538013000,10570,6,D,52470.00,50900.00
Mashad.Wheel,20210428,50930.00,50930.00,50930.00,52470.00,1019211160,20012,23,D,52500.00,50930.00
Mashad.Wheel,20210427,50940.00,50940.00,50940.00,52500.00,187510140,3681,4,D,52510.00,50940.00
Mashad.Wheel,20210426,50940.00,50940.00,50940.00,52510.00,63063720,1238,5,D,52510.00,50940.00
Mashad.Wheel,20210425,49440.00,49440.00,49440.00,52510.00,1120854240,22671,34,D,52590.00,49440.00
Mashad.Wheel,20210424,51020.00,51020.00,51020.00,52590.00,36785420,721,4,D,52590.00,51020.00
Mashad.Wheel,20210421,51030.00,51030.00,51030.00,52590.00,209120940,4098,6,D,52600.00,51030.00
Mashad.Wheel,20210420,51560.00,51560.00,51560.00,52600.00,358084200,6945,19,D,52610.00,51560.00
Mashad.Wheel,20210419,51560.00,51560.00,51560.00,52610.00,26656520,517,3,D,52610.00,51560.00
Mashad.Wheel,20210418,51570.00,51570.00,51570.00,52610.00,255787200,4960,7,D,52620.00,51570.00
Mashad.Wheel,20210417,51570.00,51570.00,51570.00,52620.00,70289910,1363,5,D,52620.00,51570.00
