<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Maskan.Invest.,20210630,6000.00,6000.00,6000.00,6310.00,27090000,4515,4,D,6310.00,6000.00
Maskan.Invest.,20210629,6000.00,6000.00,6000.00,6310.00,38466000,6411,6,D,6310.00,6000.00
Maskan.Invest.,20210628,6000.00,6000.00,6000.00,6310.00,144606000,24101,7,D,6310.00,6000.00
Maskan.Invest.,20210627,5850.00,5850.00,5850.00,6310.00,3886026300,664278,80,D,6490.00,5850.00
Maskan.Invest.,20210626,6170.00,6170.00,6170.00,6490.00,127287100,20630,16,D,6490.00,6170.00
Maskan.Invest.,20210623,6170.00,6170.00,6170.00,6490.00,95511600,15480,6,D,6490.00,6170.00
Maskan.Invest.,20210622,6170.00,6170.00,6170.00,6490.00,58923500,9550,5,D,6490.00,6170.00
Maskan.Invest.,20210619,6170.00,6170.00,6170.00,6490.00,19744000,3200,2,D,6490.00,6170.00
Maskan.Invest.,20210615,6170.00,6170.00,6170.00,6490.00,113953730,18469,3,D,6490.00,6170.00
Maskan.Invest.,20210614,6170.00,6170.00,6170.00,6490.00,92550000,15000,1,D,6490.00,6170.00
Maskan.Invest.,20210613,6170.00,6170.00,6170.00,6490.00,14067600,2280,2,D,6490.00,6170.00
Maskan.Invest.,20210612,6170.00,6170.00,6170.00,6490.00,128150900,20770,2,D,6490.00,6170.00
Maskan.Invest.,20210609,6170.00,6170.00,6170.00,6490.00,12383190,2007,1,D,6490.00,6170.00
Maskan.Invest.,20210608,6200.00,6200.00,6200.00,6490.00,7794274200,1257141,92,D,6880.00,6200.00
Maskan.Invest.,20210607,6540.00,6540.00,6540.00,6880.00,162348960,24824,4,D,6880.00,6540.00
Maskan.Invest.,20210602,6540.00,6540.00,6540.00,6880.00,149033520,22788,4,D,6880.00,6540.00
Maskan.Invest.,20210601,6540.00,6540.00,6540.00,6880.00,130800000,20000,1,D,6880.00,6540.00
Maskan.Invest.,20210531,6540.00,6540.00,6540.00,6880.00,173499660,26529,5,D,6880.00,6540.00
Maskan.Invest.,20210530,6550.00,6550.00,6550.00,6880.00,542903300,82886,5,D,6890.00,6550.00
Maskan.Invest.,20210529,6550.00,6550.00,6550.00,6890.00,137399350,20977,3,D,6890.00,6550.00
