<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Maskan.Pardis,20210630,9048.00,9048.00,9048.00,9523.00,27198288,3006,4,D,9524.00,9048.00
Maskan.Pardis,20210629,8762.00,8762.00,8762.00,9524.00,2920514792,333316,101,D,9735.00,8762.00
Maskan.Pardis,20210628,9264.00,9264.00,9264.00,9735.00,453278256,48929,10,D,9751.00,9264.00
Maskan.Pardis,20210627,9266.00,9266.00,9266.00,9751.00,62378712,6732,5,D,9753.00,9266.00
Maskan.Pardis,20210626,9274.00,9274.00,9274.00,9753.00,261276402,28173,18,D,9762.00,9274.00
Maskan.Pardis,20210623,9277.00,9277.00,9277.00,9762.00,100581234,10842,12,D,9765.00,9277.00
Maskan.Pardis,20210622,9280.00,9280.00,9280.00,9765.00,96447040,10393,10,D,9768.00,9280.00
Maskan.Pardis,20210621,9280.00,9280.00,9280.00,9768.00,10152320,1094,2,D,9768.00,9280.00
Maskan.Pardis,20210620,8826.00,8826.00,8826.00,9768.00,528139014,59839,38,D,9806.00,8826.00
Maskan.Pardis,20210619,9316.00,9316.00,9316.00,9806.00,5161064,554,1,D,9806.00,9316.00
Maskan.Pardis,20210615,9317.00,9317.00,9317.00,9806.00,36802150,3950,4,D,9807.00,9317.00
Maskan.Pardis,20210614,9319.00,9319.00,9319.00,9807.00,69165618,7422,4,D,9809.00,9319.00
Maskan.Pardis,20210613,9329.00,9329.00,9329.00,9809.00,315814637,33853,3,D,9820.00,9329.00
Maskan.Pardis,20210612,9336.00,9336.00,9336.00,9820.00,201704280,21605,4,D,9827.00,9336.00
Maskan.Pardis,20210609,8913.00,8913.00,8913.00,9827.00,1013657664,113728,45,D,9903.00,8913.00
Maskan.Pardis,20210608,9417.00,9417.00,9417.00,9903.00,245265765,26045,8,D,9912.00,9417.00
Maskan.Pardis,20210607,9569.00,9569.00,9569.00,9912.00,4546011813,475077,22,D,10072.00,9569.00
