<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mehr.Ayandegan,20210630,13650.00,13690.00,13300.00,13409.00,37474062388,2781162,956,D,13259.00,13490.00
Mehr.Ayandegan,20210629,12830.00,13629.00,12821.00,13259.00,65667434518,4952566,1091,D,12980.00,13493.00
Mehr.Ayandegan,20210628,12890.00,13444.00,12700.00,12980.00,40464194834,3117139,1046,D,12976.00,12850.00
Mehr.Ayandegan,20210627,12784.00,13170.00,12670.00,12976.00,34457038303,2659048,760,D,13011.00,12900.00
Mehr.Ayandegan,20210626,13200.00,13200.00,12760.00,13011.00,95422497074,7334034,1046,D,12711.00,13000.00
Mehr.Ayandegan,20210623,12210.00,12918.00,12210.00,12711.00,57569131668,4529236,969,D,12303.00,12918.00
Mehr.Ayandegan,20210622,12154.00,12540.00,12154.00,12303.00,27132844456,2200439,701,D,12269.00,12375.00
Mehr.Ayandegan,20210621,12145.00,12449.00,12024.00,12269.00,19914700027,1622929,559,D,12267.00,12270.00
Mehr.Ayandegan,20210620,12150.00,12499.00,12050.00,12267.00,23473952924,1930324,625,D,12366.00,12100.00
Mehr.Ayandegan,20210619,12100.00,12610.00,12100.00,12366.00,24846105248,2008659,695,D,12363.00,12113.00
Mehr.Ayandegan,20210616,11851.00,12450.00,11851.00,12363.00,17257189190,1410295,608,D,12432.00,12250.00
Mehr.Ayandegan,20210615,12636.00,12636.00,12190.00,12432.00,59504355611,4786239,976,D,12306.00,12406.00
Mehr.Ayandegan,20210614,12510.00,12510.00,12510.00,12306.00,3937147200,314720,81,D,12289.00,12510.00
Mehr.Ayandegan,20210608,13000.00,13399.00,13000.00,13289.00,249019857405,18739080,1995,D,12903.00,13321.00
Mehr.Ayandegan,20210607,12650.00,12930.00,12381.00,12903.00,118653017547,9195641,1337,D,12315.00,12930.00
Mehr.Ayandegan,20210602,12140.00,12589.00,12000.00,12315.00,32489900106,2617759,716,D,12133.00,12589.00
Mehr.Ayandegan,20210601,11911.00,12349.00,11812.00,12133.00,37612428236,3101764,641,D,12155.00,12300.00
Mehr.Ayandegan,20210531,12020.00,12360.00,11951.00,12155.00,39326541858,3249149,655,D,12379.00,12101.00
Mehr.Ayandegan,20210530,12695.00,12770.00,12052.00,12379.00,82696668423,6680214,1123,D,12270.00,12204.00
Mehr.Ayandegan,20210529,11820.00,12380.00,11820.00,12270.00,160803175344,13105140,1258,D,11791.00,12380.00
Mehr.Ayandegan,20210526,11670.00,11990.00,11670.00,11791.00,43312698409,3670153,1314,D,11671.00,11820.00
Mehr.Ayandegan,20210525,11321.00,11900.00,11321.00,11671.00,74685532827,6399438,1012,D,11540.00,11650.00
Mehr.Ayandegan,20210524,11200.00,11800.00,11200.00,11540.00,25858104247,2251796,601,D,11614.00,11540.00
Mehr.Ayandegan,20210523,11733.00,12090.00,11502.00,11614.00,80738147972,6951856,808,D,12107.00,11590.00
Mehr.Ayandegan,20210522,11890.00,12340.00,11740.00,12107.00,23753304802,1999681,634,D,12336.00,11840.00
Mehr.Ayandegan,20210519,12440.00,12590.00,12140.00,12336.00,22725435385,1861571,582,D,12448.00,12189.00
Mehr.Ayandegan,20210518,12122.00,12600.00,12122.00,12448.00,19078220422,1534350,572,D,12456.00,12350.00
Mehr.Ayandegan,20210517,12500.00,12681.00,12300.00,12456.00,45587078962,3660720,706,D,12490.00,12450.00
Mehr.Ayandegan,20210516,12331.00,12630.00,12331.00,12490.00,29353096639,2359695,581,D,12564.00,12400.00
Mehr.Ayandegan,20210515,12012.00,12802.00,12012.00,12564.00,55922355863,4451073,778,D,12401.00,12570.00
Mehr.Ayandegan,20210512,12370.00,12764.00,12148.00,12401.00,59994331880,4837779,795,D,12326.00,12300.00
Mehr.Ayandegan,20210511,12518.00,12670.00,12000.00,12326.00,69995081833,5678788,936,D,12049.00,12480.00
Mehr.Ayandegan,20210510,11700.00,12488.00,11700.00,12049.00,29298192683,2425192,901,D,12002.00,12202.00
Mehr.Ayandegan,20210509,12000.00,12170.00,11822.00,12002.00,27331425521,2304304,674,D,12187.00,11822.00
Mehr.Ayandegan,20210508,12012.00,12300.00,11925.00,12187.00,16775591177,1399743,496,D,12293.00,11998.00
Mehr.Ayandegan,20210505,12080.00,12490.00,12004.00,12293.00,30603485251,2499633,854,D,12375.00,12120.00
Mehr.Ayandegan,20210503,12328.00,12706.00,12328.00,12375.00,48481993183,3919969,605,D,12709.00,12328.00
Mehr.Ayandegan,20210502,12521.00,12800.00,12517.00,12709.00,26392887452,2105794,789,D,12904.00,12517.00
Mehr.Ayandegan,20210501,13031.00,13208.00,12711.00,12904.00,99522170834,7712544,1511,D,12907.00,12850.00
Mehr.Ayandegan,20210428,12470.00,13045.00,12200.00,12907.00,208245939010,16134160,2094,D,12307.00,13045.00
Mehr.Ayandegan,20210427,12290.00,12480.00,12000.00,12307.00,81092790793,6589062,1166,D,11967.00,12436.00
Mehr.Ayandegan,20210426,11550.00,12290.00,11510.00,11967.00,72906351276,6092172,1491,D,11642.00,11950.00
Mehr.Ayandegan,20210425,11535.00,11825.00,11463.00,11642.00,77418234106,6649674,982,D,11817.00,11815.00
Mehr.Ayandegan,20210424,11906.00,12050.00,11691.00,11817.00,42385210177,3597838,900,D,12052.00,11691.00
Mehr.Ayandegan,20210421,12150.00,12332.00,11932.00,12052.00,43824293601,3642703,746,D,12274.00,11953.00
Mehr.Ayandegan,20210420,12320.00,12555.00,12127.00,12274.00,27606981095,2247024,951,D,12259.00,12187.00
Mehr.Ayandegan,20210419,12100.00,12400.00,12070.00,12259.00,29607971605,2421726,943,D,12309.00,12363.00
Mehr.Ayandegan,20210418,12500.00,12520.00,12300.00,12309.00,57534993901,4674176,570,D,12551.00,12300.00
Mehr.Ayandegan,20210417,12550.00,12777.00,12522.00,12551.00,46591426927,3717196,881,D,12777.00,12522.00
Mehr.Ayandegan,20210414,12675.00,13070.00,12620.00,12777.00,79060559496,6187485,1153,D,12810.00,12702.00
Mehr.Ayandegan,20210413,12990.00,13180.00,12711.00,12810.00,39732040533,3084501,1251,D,12572.00,12721.00
Mehr.Ayandegan,20210412,12535.00,12949.00,12400.00,12572.00,39507995837,3146559,1038,D,12632.00,12685.00
Mehr.Ayandegan,20210411,12533.00,12990.00,12533.00,12632.00,62877613029,4977528,885,D,12788.00,12541.00
Mehr.Ayandegan,20210410,12800.00,12998.00,12774.00,12788.00,65121178839,5092499,593,D,13034.00,12774.00
Mehr.Ayandegan,20210407,13010.00,13380.00,13009.00,13034.00,54650296990,4192803,605,D,13274.00,13009.00
Mehr.Ayandegan,20210406,13330.00,13800.00,13126.00,13274.00,34338262578,2599423,779,D,13393.00,13126.00
Mehr.Ayandegan,20210405,13262.00,13700.00,13262.00,13393.00,49183057120,3675678,1094,D,13532.00,13541.00
Mehr.Ayandegan,20210404,13531.00,13659.00,13531.00,13532.00,78836619482,5826109,444,D,13807.00,13531.00
Mehr.Ayandegan,20210403,13783.00,13800.00,13783.00,13807.00,50423078333,3658349,217,D,14064.00,13783.00
Mehr.Ayandegan,20210331,14110.00,14195.00,14058.00,14064.00,63107290607,4487215,485,D,14344.00,14058.00
Mehr.Ayandegan,20210330,14260.00,14840.00,14195.00,14344.00,114994342688,8017010,1379,D,14484.00,14195.00
Mehr.Ayandegan,20210328,14300.00,14800.00,14197.00,14484.00,107057360282,7391469,1592,D,14486.00,14319.00
Mehr.Ayandegan,20210327,14200.00,14729.00,14150.00,14486.00,79917429955,5516966,1362,D,14383.00,14430.00
Mehr.Ayandegan,20210317,14720.00,14720.00,14161.00,14383.00,152231946354,10584347,1858,D,14161.00,14221.00
Mehr.Ayandegan,20210316,13749.00,14280.00,13472.00,14161.00,168426028384,11893875,1462,D,13472.00,14280.00
Mehr.Ayandegan,20210315,13052.00,13680.00,13000.00,13472.00,113942788624,8457885,1755,D,13214.00,13490.00
Mehr.Ayandegan,20210314,13540.00,13690.00,12879.00,13214.00,52469501837,3970711,1062,D,13141.00,13200.00
Mehr.Ayandegan,20210313,12352.00,13293.00,12350.00,13141.00,264932561373,20160338,2791,D,12541.00,13293.00
Mehr.Ayandegan,20210310,12535.00,12680.00,12535.00,12541.00,80237410294,6398248,884,D,12790.00,12535.00
Mehr.Ayandegan,20210309,12812.00,13100.00,12570.00,12790.00,77778060328,6081219,1895,D,12826.00,12580.00
Mehr.Ayandegan,20210308,12818.00,13050.00,12660.00,12826.00,151565738556,11817526,2145,D,12477.00,12900.00
Mehr.Ayandegan,20210307,11951.00,12700.00,11951.00,12477.00,102618635413,8224305,2380,D,12118.00,12697.00
Mehr.Ayandegan,20210306,12100.00,12400.00,11900.00,12118.00,87967693197,7259414,2095,D,12100.00,12146.00
Mehr.Ayandegan,20210303,12280.00,12280.00,11950.00,12100.00,34615216296,2866579,1070,D,12163.00,12158.00
Mehr.Ayandegan,20210302,12115.00,12442.00,12000.00,12163.00,73307883663,6026898,1732,D,12202.00,12062.00
Mehr.Ayandegan,20210301,12191.00,12483.00,12191.00,12202.00,156787843699,12849182,2141,D,12439.00,12194.00
Mehr.Ayandegan,20210228,12196.00,12196.00,12196.00,12439.00,929615708,76223,31,D,12444.00,12196.00
Mehr.Ayandegan,20210227,12228.00,12228.00,12228.00,12444.00,6407178528,523976,162,D,12477.00,12228.00
Mehr.Ayandegan,20210224,12500.00,12840.00,12342.00,12477.00,33296857510,2680822,650,D,12593.00,12342.00
Mehr.Ayandegan,20210223,12571.00,12826.00,12571.00,12593.00,156459061521,12424743,1841,D,12827.00,12610.00
Mehr.Ayandegan,20210222,12580.00,12580.00,12580.00,12827.00,1679669020,133519,46,D,12836.00,12580.00
Mehr.Ayandegan,20210221,12671.00,12890.00,12657.00,12836.00,18048551730,1421877,259,D,12915.00,12657.00
Mehr.Ayandegan,20210220,13050.00,13400.00,12903.00,12915.00,116185140094,8996022,1290,D,13166.00,12903.00
Mehr.Ayandegan,20210217,13450.00,13499.00,13052.00,13166.00,51849062203,3938837,1378,D,13314.00,13160.00
Mehr.Ayandegan,20210216,13350.00,13399.00,13313.00,13314.00,69934892986,5252741,852,D,13584.00,13313.00
Mehr.Ayandegan,20210215,13541.00,13990.00,13541.00,13584.00,125623240530,9248040,1160,D,13817.00,13541.00
Mehr.Ayandegan,20210214,14101.00,14264.00,13682.00,13817.00,111744549110,8087709,1351,D,13961.00,13682.00
Mehr.Ayandegan,20210213,13781.00,13997.00,13500.00,13961.00,309695789412,22182916,2607,D,13205.00,13997.00
