<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Melal.Credit.Inst.,20210630,13259.00,13265.00,13257.00,13258.00,162861068402,12283577,493,D,13258.00,13260.00
Melal.Credit.Inst.,20210629,13300.00,13300.00,13256.00,13258.00,131612687489,9926862,470,D,13258.00,13259.00
Melal.Credit.Inst.,20210628,13260.00,13300.00,12606.00,13258.00,164705813947,12422846,550,D,13260.00,13262.00
Melal.Credit.Inst.,20210627,13261.00,13280.00,13001.00,13260.00,462605269735,34887033,925,D,13261.00,13261.00
Melal.Credit.Inst.,20210626,13262.00,13349.00,12597.00,13261.00,75161034107,5667809,384,D,13259.00,13260.00
Melal.Credit.Inst.,20210623,13258.00,13310.00,13255.00,13259.00,219444335332,16550150,560,D,13258.00,13261.00
Melal.Credit.Inst.,20210622,13390.00,13390.00,13250.00,13258.00,124596117919,9397511,430,D,13259.00,13270.00
Melal.Credit.Inst.,20210621,13300.00,13425.00,13000.00,13259.00,114617547701,8644527,481,D,13264.00,13265.00
Melal.Credit.Inst.,20210620,13261.00,13400.00,13260.00,13264.00,460296128156,34701421,695,D,13228.00,13300.00
Melal.Credit.Inst.,20210619,13220.00,13376.00,12800.00,13228.00,266475122757,20145487,547,D,13188.00,13221.00
Melal.Credit.Inst.,20210616,13187.00,13375.00,13000.00,13188.00,352985302890,26765994,672,D,13155.00,13175.00
Melal.Credit.Inst.,20210615,13141.00,13288.00,13140.00,13155.00,58766549289,4467227,426,D,13109.00,13140.00
Melal.Credit.Inst.,20210614,13093.00,13300.00,13093.00,13109.00,124424143343,9491182,432,D,13062.00,13160.00
Melal.Credit.Inst.,20210613,13130.00,13200.00,13057.00,13062.00,67317881524,5153842,337,D,13024.00,13059.00
Melal.Credit.Inst.,20210612,13020.00,13250.00,13020.00,13024.00,283508912039,21768802,594,D,12992.00,13020.00
Melal.Credit.Inst.,20210609,12996.00,13155.00,12987.00,12992.00,45737521442,3518845,415,D,12951.00,12987.00
Melal.Credit.Inst.,20210608,12895.00,13250.00,12894.00,12951.00,49019408710,3783541,495,D,12862.00,13028.00
