<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Moallem.Insurance,20210630,4400.00,4740.00,4400.00,4618.00,105522256398,22850051,2597,D,4584.00,4640.00
Moallem.Insurance,20210629,4610.00,4750.00,4400.00,4584.00,106983153171,23340380,3257,D,4556.00,4461.00
Moallem.Insurance,20210628,4424.00,4783.00,4424.00,4556.00,249375422612,54737039,5710,D,4656.00,4651.00
Moallem.Insurance,20210627,4429.00,4429.00,4429.00,4656.00,355679703,80307,19,D,4662.00,4429.00
Moallem.Insurance,20210626,4441.00,4441.00,4441.00,4662.00,728359528,164008,21,D,4674.00,4441.00
Moallem.Insurance,20210623,4468.00,4468.00,4468.00,4674.00,1740871308,389631,48,D,4703.00,4468.00
Moallem.Insurance,20210622,4477.00,4477.00,4477.00,4703.00,512092691,114383,36,D,4712.00,4477.00
Moallem.Insurance,20210621,4484.00,4484.00,4484.00,4712.00,398829380,88945,6,D,4719.00,4484.00
Moallem.Insurance,20210620,4303.00,4303.00,4303.00,4719.00,1735765655,403385,68,D,4781.00,4303.00
Moallem.Insurance,20210619,4551.00,4551.00,4551.00,4781.00,521530947,114597,11,D,4790.00,4551.00
Moallem.Insurance,20210616,4552.00,4552.00,4552.00,4790.00,54624000,12000,2,D,4791.00,4552.00
Moallem.Insurance,20210615,4554.00,4554.00,4554.00,4791.00,105516180,23170,5,D,4793.00,4554.00
Moallem.Insurance,20210614,4554.00,4554.00,4554.00,4793.00,27779400,6100,4,D,4793.00,4554.00
Moallem.Insurance,20210613,4555.00,4555.00,4555.00,4793.00,76223370,16734,5,D,4794.00,4555.00
Moallem.Insurance,20210612,4555.00,4555.00,4555.00,4794.00,24592445,5399,4,D,4794.00,4555.00
Moallem.Insurance,20210609,4420.00,4420.00,4420.00,4794.00,3205216040,725162,101,D,4911.00,4420.00
Moallem.Insurance,20210608,4674.00,4674.00,4674.00,4911.00,457173288,97812,24,D,4919.00,4674.00
Moallem.Insurance,20210607,4679.00,4679.00,4679.00,4919.00,320591043,68517,16,D,4925.00,4679.00
Moallem.Insurance,20210602,4686.00,4686.00,4686.00,4925.00,392485302,83757,13,D,4932.00,4686.00
Moallem.Insurance,20210531,4691.00,4691.00,4691.00,4932.00,281657022,60042,6,D,4937.00,4691.00
Moallem.Insurance,20210530,4710.00,4710.00,4710.00,4937.00,1153309440,244864,17,D,4957.00,4710.00
Moallem.Insurance,20210529,4721.00,4721.00,4721.00,4957.00,689978871,146151,26,D,4969.00,4721.00
Moallem.Insurance,20210526,4721.00,4721.00,4721.00,4969.00,15107200,3200,2,D,4969.00,4721.00
Moallem.Insurance,20210525,4721.00,4721.00,4721.00,4969.00,27325148,5788,5,D,4969.00,4721.00
Moallem.Insurance,20210524,4721.00,4721.00,4721.00,4969.00,9961310,2110,1,D,4969.00,4721.00
Moallem.Insurance,20210523,4721.00,4721.00,4721.00,4969.00,9442000,2000,1,D,4969.00,4721.00
Moallem.Insurance,20210522,4721.00,4721.00,4721.00,4969.00,16523500,3500,3,D,4969.00,4721.00
Moallem.Insurance,20210518,4722.00,4722.00,4722.00,4969.00,70830000,15000,2,D,4970.00,4722.00
Moallem.Insurance,20210517,4722.00,4722.00,4722.00,4970.00,23610000,5000,3,D,4970.00,4722.00
Moallem.Insurance,20210516,4728.00,4728.00,4728.00,4970.00,364831392,77164,8,D,4976.00,4728.00
Moallem.Insurance,20210515,4737.00,4737.00,4737.00,4976.00,570349011,120403,7,D,4986.00,4737.00
Moallem.Insurance,20210512,4837.00,4837.00,4837.00,4986.00,11125100,2300,2,D,4986.00,4837.00
Moallem.Insurance,20210511,4837.00,4837.00,4837.00,4986.00,59204880,12240,3,D,4986.00,4837.00
Moallem.Insurance,20210510,4837.00,4837.00,4837.00,4986.00,25636100,5300,3,D,4986.00,4837.00
Moallem.Insurance,20210509,4837.00,4837.00,4837.00,4986.00,5320700,1100,1,D,4986.00,4837.00
Moallem.Insurance,20210508,4837.00,4837.00,4837.00,4986.00,21766500,4500,1,D,4986.00,4837.00
Moallem.Insurance,20210505,4837.00,4837.00,4837.00,4986.00,12938975,2675,1,D,4986.00,4837.00
Moallem.Insurance,20210503,4837.00,4837.00,4837.00,4986.00,27580574,5702,3,D,4986.00,4837.00
Moallem.Insurance,20210502,4837.00,4837.00,4837.00,4986.00,55625500,11500,2,D,4986.00,4837.00
Moallem.Insurance,20210501,4837.00,4837.00,4837.00,4986.00,39914924,8252,1,D,4986.00,4837.00
Moallem.Insurance,20210428,4838.00,4838.00,4838.00,4986.00,164066256,33912,8,D,4987.00,4838.00
Moallem.Insurance,20210427,4839.00,4839.00,4839.00,4987.00,273330915,56485,5,D,4988.00,4839.00
Moallem.Insurance,20210426,4839.00,4839.00,4839.00,4988.00,43309050,8950,4,D,4988.00,4839.00
Moallem.Insurance,20210425,4839.00,4839.00,4839.00,4988.00,64823244,13396,2,D,4988.00,4839.00
Moallem.Insurance,20210424,4839.00,4839.00,4839.00,4988.00,19356000,4000,2,D,4988.00,4839.00
Moallem.Insurance,20210421,4839.00,4839.00,4839.00,4988.00,7984350,1650,1,D,4988.00,4839.00
Moallem.Insurance,20210420,4889.00,4889.00,4889.00,4988.00,17996409,3681,2,D,4988.00,4889.00
Moallem.Insurance,20210419,4890.00,4890.00,4890.00,4988.00,573714360,117324,9,D,4989.00,4890.00
Moallem.Insurance,20210418,4891.00,4891.00,4891.00,4989.00,538484427,110097,5,D,4990.00,4891.00
Moallem.Insurance,20210417,4892.00,4892.00,4892.00,4990.00,513772516,105023,6,D,4991.00,4892.00
Moallem.Insurance,20210414,4893.00,4893.00,4893.00,4991.00,499819950,102150,3,D,4992.00,4893.00
Moallem.Insurance,20210413,4896.00,4896.00,4896.00,4992.00,1711019808,349473,22,D,4995.00,4896.00
Moallem.Insurance,20210412,4898.00,4898.00,4898.00,4995.00,1055695328,215536,6,D,4997.00,4898.00
Moallem.Insurance,20210411,4899.00,4899.00,4899.00,4997.00,506664378,103422,5,D,4998.00,4899.00
Moallem.Insurance,20210410,4900.00,4900.00,4900.00,4998.00,530905200,108348,4,D,4999.00,4900.00
Moallem.Insurance,20210407,4900.00,4900.00,4900.00,4999.00,519890000,106100,3,D,5000.00,4900.00
Moallem.Insurance,20210406,4906.00,4906.00,4906.00,5000.00,2965421888,604448,38,D,5006.00,4906.00
Moallem.Insurance,20210405,4907.00,4907.00,4907.00,5006.00,300318214,61202,14,D,5007.00,4907.00
Moallem.Insurance,20210404,4912.00,4912.00,4912.00,5007.00,2448293072,498431,82,D,5012.00,4912.00
Moallem.Insurance,20210403,4960.00,5167.00,4891.00,5012.00,105585565305,21066327,2705,D,4889.00,4950.00
Moallem.Insurance,20210331,5000.00,5055.00,4775.00,4889.00,62625973414,12810530,1640,D,4865.00,4890.00
Moallem.Insurance,20210330,4654.00,4980.00,4654.00,4865.00,63091512904,12967935,1761,D,4728.00,4918.00
Moallem.Insurance,20210328,4812.00,4870.00,4670.00,4728.00,42458179955,8992543,1270,D,4765.00,4745.00
Moallem.Insurance,20210327,4675.00,4990.00,4675.00,4765.00,117552107360,24669173,2548,D,4770.00,4776.00
Moallem.Insurance,20210317,4678.00,4678.00,4678.00,4770.00,1690755506,361427,87,D,4773.00,4678.00
Moallem.Insurance,20210316,4685.00,4685.00,4685.00,4773.00,3382485670,721982,99,D,4780.00,4685.00
Moallem.Insurance,20210315,4687.00,4687.00,4687.00,4780.00,860458208,183584,35,D,4782.00,4687.00
Moallem.Insurance,20210314,4690.00,4690.00,4690.00,4782.00,1744515850,371965,35,D,4785.00,4690.00
Moallem.Insurance,20210313,4701.00,4701.00,4701.00,4785.00,5497330596,1169396,51,D,4796.00,4701.00
Moallem.Insurance,20210310,4702.00,4702.00,4702.00,4796.00,510326868,108534,22,D,4797.00,4702.00
Moallem.Insurance,20210309,4703.00,4703.00,4703.00,4797.00,729519954,155118,18,D,4798.00,4703.00
Moallem.Insurance,20210308,4704.00,4704.00,4704.00,4798.00,835613856,177639,29,D,4800.00,4704.00
Moallem.Insurance,20210307,4705.00,4705.00,4705.00,4800.00,651915390,138558,20,D,4801.00,4705.00
Moallem.Insurance,20210306,4706.00,4706.00,4706.00,4801.00,335871926,71371,11,D,4802.00,4706.00
Moallem.Insurance,20210303,4707.00,4707.00,4707.00,4802.00,737229168,156624,17,D,4803.00,4707.00
Moallem.Insurance,20210302,4708.00,4708.00,4708.00,4803.00,633094176,134472,14,D,4804.00,4708.00
Moallem.Insurance,20210301,4710.00,4710.00,4710.00,4804.00,828927030,175993,13,D,4806.00,4710.00
Moallem.Insurance,20210228,4710.00,4710.00,4710.00,4806.00,234647490,49819,15,D,4806.00,4710.00
Moallem.Insurance,20210227,4713.00,4713.00,4713.00,4806.00,1317886764,279628,15,D,4809.00,4713.00
Moallem.Insurance,20210224,4715.00,4715.00,4715.00,4809.00,788107535,167149,40,D,4811.00,4715.00
Moallem.Insurance,20210223,4716.00,4716.00,4716.00,4811.00,495434664,105054,25,D,4812.00,4716.00
Moallem.Insurance,20210222,4716.00,4716.00,4716.00,4812.00,76729320,16270,7,D,4812.00,4716.00
Moallem.Insurance,20210221,4717.00,4717.00,4717.00,4812.00,288713419,61207,16,D,4813.00,4717.00
Moallem.Insurance,20210220,4719.00,4719.00,4719.00,4813.00,958943271,203209,43,D,4815.00,4719.00
Moallem.Insurance,20210217,4740.00,4740.00,4740.00,4815.00,10932416580,2306417,199,D,4836.00,4740.00
Moallem.Insurance,20210216,4744.00,4744.00,4744.00,4836.00,2305133320,485905,82,D,4840.00,4744.00
Moallem.Insurance,20210215,4749.00,4749.00,4749.00,4840.00,2440515849,513901,77,D,4845.00,4749.00
Moallem.Insurance,20210214,5000.00,5000.00,4776.00,4845.00,21652337459,4503999,559,D,4873.00,4776.00
Moallem.Insurance,20210213,4890.00,4957.00,4725.00,4873.00,50560692696,10361959,1364,D,4677.00,4957.00
Moallem.Insurance,20210209,4512.00,4737.00,4357.00,4677.00,118630450517,25366765,1881,D,4512.00,4737.00
Moallem.Insurance,20210208,4852.00,4852.00,4472.00,4512.00,91715590076,20329175,2115,D,4707.00,4472.00
Moallem.Insurance,20210207,4397.00,4859.00,4397.00,4707.00,105639328196,22443607,2258,D,4628.00,4740.00
Moallem.Insurance,20210206,4448.00,4582.00,4448.00,4628.00,11300240282,2537110,276,D,4682.00,4448.00
Moallem.Insurance,20210203,4670.00,5029.00,4603.00,4682.00,54023704567,11539436,1210,D,4845.00,4603.00
Moallem.Insurance,20210202,4812.00,5039.00,4812.00,4845.00,66648847086,13757186,1633,D,5065.00,4812.00
Moallem.Insurance,20210201,5010.00,5200.00,4992.00,5065.00,41929477675,8326028,1197,D,5254.00,4992.00
Moallem.Insurance,20210131,5587.00,5587.00,5056.00,5254.00,80837198504,15385227,2507,D,5321.00,5064.00
Moallem.Insurance,20210130,4940.00,5454.00,4940.00,5321.00,84945011011,15963058,2362,D,5195.00,5454.00
Moallem.Insurance,20210127,5187.00,5286.00,5187.00,5195.00,116926870410,22505763,1819,D,5460.00,5187.00
Moallem.Insurance,20210126,5450.00,5583.00,5319.00,5460.00,28727296652,5344617,787,D,5598.00,5319.00
Moallem.Insurance,20210125,5583.00,5800.00,5583.00,5598.00,117203278786,20937017,2164,D,5876.00,5583.00
Moallem.Insurance,20210124,6290.00,6300.00,5718.00,5876.00,140503049127,23911278,2777,D,6018.00,5718.00
Moallem.Insurance,20210123,5822.00,6073.00,5822.00,6018.00,73671738008,12241674,1656,D,5784.00,6073.00
Moallem.Insurance,20210120,5639.00,5800.00,5550.00,5784.00,126897757173,21940140,1932,D,5524.00,5800.00
Moallem.Insurance,20210119,5490.00,5760.00,5490.00,5524.00,184851246118,33463374,3453,D,5778.00,5531.00
Moallem.Insurance,20210118,5518.00,5518.00,5518.00,5778.00,4832730616,875812,216,D,5808.00,5518.00
Moallem.Insurance,20210116,6149.00,6150.00,5603.00,5808.00,125974830406,21690023,2306,D,5897.00,5603.00
Moallem.Insurance,20210113,5614.00,6069.00,5500.00,5897.00,252509118511,42817584,4806,D,5780.00,6048.00
Moallem.Insurance,20210112,6000.00,6149.00,5699.00,5780.00,202781120971,35084653,3739,D,5998.00,5700.00
Moallem.Insurance,20210111,6220.00,6240.00,5933.00,5998.00,150289187138,25056092,3012,D,6245.00,5933.00
Moallem.Insurance,20210110,6265.00,6612.00,6137.00,6245.00,236999827164,37948219,5159,D,6459.00,6180.00
Moallem.Insurance,20210109,6500.00,6650.00,6421.00,6459.00,45457023500,7053807,802,D,6758.00,6421.00
Moallem.Insurance,20210106,6800.00,7079.00,6734.00,6758.00,46015570471,6808945,781,D,7088.00,6734.00
