<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Motorsazan,20210630,9530.00,10020.00,9530.00,9750.00,45449733510,4663755,956,D,9870.00,9630.00
Motorsazan,20210629,9900.00,10210.00,9250.00,9870.00,105763639100,10720098,2040,D,9730.00,9730.00
Motorsazan,20210628,9360.00,9770.00,9360.00,9730.00,64235181300,6601146,916,D,9310.00,9770.00
Motorsazan,20210627,9000.00,9530.00,8940.00,9310.00,54980160860,5904700,1165,D,9130.00,9180.00
Motorsazan,20210626,8870.00,9290.00,8870.00,9130.00,65444922210,7168550,1542,D,8900.00,9000.00
Motorsazan,20210623,9200.00,9200.00,8770.00,8900.00,93841223720,10541925,1884,D,9230.00,8860.00
Motorsazan,20210622,9440.00,9440.00,9140.00,9230.00,41223541960,4464234,921,D,9140.00,9200.00
Motorsazan,20210621,8960.00,9530.00,8800.00,9140.00,65922036940,7212207,1286,D,9260.00,9280.00
Motorsazan,20210620,9800.00,9840.00,9150.00,9260.00,42944731970,4638662,949,D,9630.00,9150.00
Motorsazan,20210619,9100.00,9820.00,9100.00,9630.00,64758597730,6727775,1288,D,9360.00,9780.00
Motorsazan,20210616,9340.00,9550.00,9330.00,9360.00,29954153300,3198587,696,D,9820.00,9330.00
Motorsazan,20210615,10140.00,10140.00,9760.00,9820.00,39762434160,4050875,788,D,10270.00,9760.00
Motorsazan,20210614,10660.00,10880.00,9980.00,10270.00,115125010500,11204829,2163,D,10500.00,10140.00
Motorsazan,20210613,10550.00,10620.00,10120.00,10500.00,99675630660,9493055,1858,D,10120.00,10620.00
Motorsazan,20210612,9480.00,10300.00,9480.00,10120.00,133200181230,13157027,2382,D,9810.00,10300.00
Motorsazan,20210609,9770.00,10140.00,9750.00,9810.00,57413003870,5853368,1190,D,10260.00,9750.00
Motorsazan,20210608,10400.00,10700.00,9800.00,10260.00,124268210580,12108557,3100,D,10260.00,9920.00
Motorsazan,20210607,10160.00,10660.00,10160.00,10260.00,259031697440,25253524,3937,D,10690.00,10400.00
Motorsazan,20210602,10800.00,11340.00,10260.00,10690.00,118557555270,11092413,1531,D,14830.00,10260.00
Motorsazan,20210529,14190.00,14190.00,14190.00,14920.00,234262710,16509,16,D,14930.00,14190.00
Motorsazan,20210526,14190.00,14190.00,14190.00,14930.00,40015800,2820,3,D,14930.00,14190.00
Motorsazan,20210524,14190.00,14190.00,14190.00,14930.00,94874340,6686,4,D,14930.00,14190.00
Motorsazan,20210523,14190.00,14190.00,14190.00,14930.00,5037450,355,1,D,14930.00,14190.00
Motorsazan,20210519,13460.00,13460.00,13460.00,14930.00,204376640,15184,16,D,14950.00,13460.00
Motorsazan,20210518,14210.00,14210.00,14210.00,14950.00,63945000,4500,1,D,14950.00,14210.00
Motorsazan,20210517,14210.00,14210.00,14210.00,14950.00,7105000,500,1,D,14950.00,14210.00
Motorsazan,20210516,14210.00,14210.00,14210.00,14950.00,41493200,2920,3,D,14950.00,14210.00
Motorsazan,20210515,14230.00,14230.00,14230.00,14950.00,426900000,30000,3,D,14970.00,14230.00
