<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
N..I..L..Z.,20210630,64600.00,71200.00,64600.00,69320.00,59201806560,853980,1203,D,67960.00,69980.00
N..I..L..Z.,20210629,71500.00,71500.00,65800.00,67960.00,100931366820,1485099,1928,D,69260.00,66720.00
N..I..L..Z.,20210628,69280.00,69280.00,67340.00,69260.00,56481378270,815502,698,D,65990.00,69280.00
N..I..L..Z.,20210627,66610.00,66610.00,63550.00,65990.00,45858585880,694882,942,D,63440.00,66610.00
N..I..L..Z.,20210626,63440.00,63440.00,62800.00,63440.00,20541500290,323804,351,D,60420.00,63440.00
N..I..L..Z.,20210623,60300.00,60510.00,58990.00,60420.00,66826965200,1106013,1035,D,57630.00,60510.00
N..I..L..Z.,20210622,57690.00,57690.00,56130.00,57630.00,63379094070,1099806,1062,D,54950.00,57690.00
N..I..L..Z.,20210621,54360.00,55140.00,53020.00,54950.00,28875876230,525476,287,D,52520.00,55140.00
N..I..L..Z.,20210620,52000.00,53060.00,50000.00,52520.00,36687689090,698561,755,D,50540.00,53060.00
N..I..L..Z.,20210619,52350.00,52350.00,49020.00,50540.00,13630622250,269489,364,D,50190.00,50560.00
N..I..L..Z.,20210616,50600.00,52990.00,49210.00,50190.00,27690682130,551753,671,D,51790.00,51000.00
N..I..L..Z.,20210615,54200.00,54350.00,50080.00,51790.00,13536671160,261524,519,D,52710.00,51060.00
N..I..L..Z.,20210614,51730.00,53630.00,51730.00,52710.00,23473140630,445355,635,D,51780.00,52900.00
N..I..L..Z.,20210613,53000.00,53080.00,51000.00,51780.00,11832857020,229575,455,D,53140.00,51730.00
N..I..L..Z.,20210612,52880.00,55400.00,52810.00,53140.00,24797864950,466666,764,D,55580.00,52810.00
N..I..L..Z.,20210609,55310.00,57640.00,54780.00,55580.00,20902633790,376095,683,D,57660.00,54780.00
N..I..L..Z.,20210608,57120.00,59970.00,57020.00,57660.00,15262761020,264716,417,D,59030.00,57050.00
N..I..L..Z.,20210531,60200.00,63210.00,60200.00,60280.00,50873497790,843939,1007,D,63360.00,60200.00
N..I..L..Z.,20210530,63210.00,65000.00,63210.00,63360.00,97208618630,1534155,1771,D,66530.00,63210.00
N..I..L..Z.,20210529,65060.00,65060.00,65060.00,66530.00,8136208420,125057,245,D,68480.00,65060.00
N..I..L..Z.,20210526,68480.00,68480.00,68480.00,68480.00,16064517760,234587,86,D,72080.00,68480.00
N..I..L..Z.,20210525,68540.00,68540.00,68540.00,72080.00,241672040,3526,16,D,72140.00,68540.00
N..I..L..Z.,20210524,68760.00,68760.00,68760.00,72140.00,899930880,13088,18,D,72370.00,68760.00
N..I..L..Z.,20210523,68990.00,68990.00,68990.00,72370.00,966687880,14012,13,D,72620.00,68990.00
N..I..L..Z.,20210522,69050.00,69050.00,69050.00,72620.00,216886050,3141,9,D,72680.00,69050.00
N..I..L..Z.,20210519,69120.00,69120.00,69120.00,72680.00,267563520,3871,17,D,72750.00,69120.00
N..I..L..Z.,20210518,69150.00,69150.00,69150.00,72750.00,118730550,1717,14,D,72780.00,69150.00
N..I..L..Z.,20210517,69740.00,69740.00,69740.00,72780.00,2336987400,33510,29,D,73410.00,69740.00
N..I..L..Z.,20210516,69990.00,69990.00,69990.00,73410.00,969081540,13846,40,D,73670.00,69990.00
N..I..L..Z.,20210515,72490.00,72490.00,72490.00,73670.00,9851680960,135904,163,D,76300.00,72490.00
N..I..L..Z.,20210512,76300.00,76390.00,76300.00,76300.00,66222255510,867915,485,D,78650.00,76300.00
N..I..L..Z.,20210511,76390.00,76390.00,76390.00,78650.00,2009362560,26304,48,D,78750.00,76390.00
N..I..L..Z.,20210510,76410.00,76410.00,76410.00,78750.00,408411450,5345,29,D,78770.00,76410.00
N..I..L..Z.,20210509,76410.00,76410.00,76410.00,78770.00,70526430,923,10,D,78770.00,76410.00
N..I..L..Z.,20210508,76420.00,76420.00,76420.00,78770.00,245155360,3208,9,D,78780.00,76420.00
N..I..L..Z.,20210505,76440.00,76440.00,76440.00,78780.00,362478480,4742,22,D,78800.00,76440.00
N..I..L..Z.,20210503,76450.00,76450.00,76450.00,78800.00,261917700,3426,11,D,78810.00,76450.00
N..I..L..Z.,20210502,76460.00,76460.00,76460.00,78810.00,282137400,3690,14,D,78820.00,76460.00
N..I..L..Z.,20210501,76470.00,76470.00,76470.00,78820.00,277968450,3635,9,D,78830.00,76470.00
N..I..L..Z.,20210428,76510.00,76510.00,76510.00,78830.00,901670350,11785,42,D,78870.00,76510.00
N..I..L..Z.,20210427,76620.00,76620.00,76620.00,78870.00,2193860460,28633,60,D,78980.00,76620.00
N..I..L..Z.,20210426,76660.00,76660.00,76660.00,78980.00,1006009180,13123,25,D,79030.00,76660.00
N..I..L..Z.,20210425,76680.00,76680.00,76680.00,79030.00,333634680,4351,16,D,79050.00,76680.00
N..I..L..Z.,20210424,76700.00,76700.00,76700.00,79050.00,307643700,4011,18,D,79070.00,76700.00
N..I..L..Z.,20210421,76820.00,76820.00,76820.00,79070.00,2403544160,31288,30,D,79190.00,76820.00
N..I..L..Z.,20210420,77620.00,77620.00,77620.00,79190.00,314283380,4049,18,D,79200.00,77620.00
N..I..L..Z.,20210419,77630.00,77630.00,77630.00,79200.00,265805120,3424,12,D,79210.00,77630.00
N..I..L..Z.,20210418,77640.00,77640.00,77640.00,79210.00,171506760,2209,14,D,79220.00,77640.00
N..I..L..Z.,20210417,77660.00,77660.00,77660.00,79220.00,473881320,6102,10,D,79240.00,77660.00
N..I..L..Z.,20210414,77670.00,77670.00,77670.00,79240.00,455068530,5859,25,D,79250.00,77670.00
N..I..L..Z.,20210413,77730.00,77730.00,77730.00,79250.00,1855181910,23867,71,D,79310.00,77730.00
N..I..L..Z.,20210412,77750.00,77750.00,77750.00,79310.00,524968000,6752,26,D,79330.00,77750.00
N..I..L..Z.,20210411,77780.00,77780.00,77780.00,79330.00,854257740,10983,28,D,79360.00,77780.00
N..I..L..Z.,20210410,77820.00,77820.00,77820.00,79360.00,1291033800,16590,23,D,79400.00,77820.00
N..I..L..Z.,20210407,77890.00,77890.00,77890.00,79400.00,2205611130,28317,49,D,79470.00,77890.00
N..I..L..Z.,20210406,77970.00,77970.00,77970.00,79470.00,2639908260,33858,62,D,79560.00,77970.00
N..I..L..Z.,20210405,78000.00,78000.00,78000.00,79560.00,793104000,10168,61,D,79590.00,78000.00
N..I..L..Z.,20210404,78050.00,78050.00,78050.00,79590.00,1420900250,18205,33,D,79640.00,78050.00
N..I..L..Z.,20210403,78310.00,78310.00,78300.00,79640.00,7819516650,99865,134,D,79890.00,78300.00
N..I..L..Z.,20210331,79000.00,80990.00,78940.00,79890.00,20550940980,260159,522,D,80550.00,78940.00
N..I..L..Z.,20210330,81580.00,81580.00,79610.00,80550.00,23897373200,299332,721,D,81230.00,79610.00
N..I..L..Z.,20210328,84200.00,84200.00,79810.00,81230.00,21167051510,261444,656,D,81420.00,80900.00
N..I..L..Z.,20210327,79600.00,86050.00,79600.00,81420.00,35478173510,435286,898,D,81220.00,81700.00
N..I..L..Z.,20210317,80400.00,84580.00,79960.00,81220.00,40391835590,497770,972,D,81590.00,80400.00
N..I..L..Z.,20210316,81130.00,85000.00,81130.00,81590.00,69712948260,854435,1346,D,82780.00,81900.00
N..I..L..Z.,20210315,81340.00,81340.00,81340.00,82780.00,6599520900,81135,98,D,83000.00,81340.00
N..I..L..Z.,20210314,81610.00,81610.00,81610.00,83000.00,8008878960,98136,167,D,83270.00,81610.00
N..I..L..Z.,20210313,81700.00,81700.00,81700.00,83270.00,2711868100,33193,85,D,83360.00,81700.00
N..I..L..Z.,20210310,81730.00,81730.00,81730.00,83360.00,962207290,11773,58,D,83390.00,81730.00
N..I..L..Z.,20210309,81950.00,81950.00,81950.00,83390.00,6695724750,81705,115,D,83620.00,81950.00
N..I..L..Z.,20210308,82120.00,82120.00,82120.00,83620.00,4903467320,59711,148,D,83790.00,82120.00
