<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
P..Animal.Feed,20210630,371870.00,371870.00,371870.00,391410.00,20824720,56,4,D,391440.00,371870.00
P..Animal.Feed,20210629,372110.00,372110.00,372110.00,391440.00,181589680,488,14,D,391690.00,372110.00
P..Animal.Feed,20210628,372250.00,372250.00,372250.00,391690.00,105346750,283,6,D,391840.00,372250.00
P..Animal.Feed,20210627,372700.00,372700.00,372700.00,391840.00,338411600,908,10,D,392310.00,372700.00
P..Animal.Feed,20210626,372870.00,372870.00,372870.00,392310.00,127521540,342,12,D,392490.00,372870.00
P..Animal.Feed,20210623,372880.00,372880.00,372880.00,392490.00,5220320,14,1,D,392500.00,372880.00
P..Animal.Feed,20210622,373450.00,373450.00,373450.00,392500.00,438430300,1174,16,D,393100.00,373450.00
P..Animal.Feed,20210621,373470.00,373470.00,373470.00,393100.00,14938800,40,1,D,393120.00,373470.00
P..Animal.Feed,20210619,373590.00,373590.00,373590.00,393120.00,97133400,260,4,D,393250.00,373590.00
P..Animal.Feed,20210616,373600.00,373600.00,373600.00,393250.00,5230400,14,1,D,393260.00,373600.00
P..Animal.Feed,20210615,373620.00,373620.00,373620.00,393260.00,17186520,46,3,D,393280.00,373620.00
P..Animal.Feed,20210614,373630.00,373630.00,373630.00,393280.00,5604450,15,1,D,393290.00,373630.00
P..Animal.Feed,20210612,373660.00,373660.00,373660.00,393290.00,20551300,55,2,D,393320.00,373660.00
P..Animal.Feed,20210602,373770.00,373770.00,373770.00,393320.00,87088410,233,5,D,393440.00,373770.00
P..Animal.Feed,20210601,373800.00,373800.00,373800.00,393440.00,19437600,52,1,D,393470.00,373800.00
P..Animal.Feed,20210531,373830.00,373830.00,373830.00,393470.00,22055970,59,3,D,393500.00,373830.00
P..Animal.Feed,20210529,373890.00,373890.00,373890.00,393500.00,42623460,114,2,D,393560.00,373890.00
P..Animal.Feed,20210523,374140.00,374140.00,374140.00,393560.00,196797640,526,3,D,393830.00,374140.00
P..Animal.Feed,20210518,374210.00,374210.00,374210.00,393830.00,47150460,126,2,D,393900.00,374210.00
P..Animal.Feed,20210517,374220.00,374220.00,374220.00,393900.00,5613300,15,1,D,393910.00,374220.00
P..Animal.Feed,20210516,374340.00,374340.00,374340.00,393910.00,93585000,250,1,D,394040.00,374340.00
P..Animal.Feed,20210509,382700.00,382700.00,382700.00,394040.00,2016063600,5268,1,D,394530.00,382700.00
P..Animal.Feed,20210508,382700.00,382700.00,382700.00,394530.00,15690700,41,2,D,394530.00,382700.00
P..Animal.Feed,20210505,382780.00,382780.00,382780.00,394530.00,341056980,891,6,D,394610.00,382780.00
P..Animal.Feed,20210502,382790.00,382790.00,382790.00,394610.00,30623200,80,1,D,394620.00,382790.00
P..Animal.Feed,20210428,382830.00,382830.00,382830.00,394620.00,183758400,480,4,D,394660.00,382830.00
P..Animal.Feed,20210427,382830.00,382830.00,382830.00,394660.00,13399050,35,1,D,394660.00,382830.00
P..Animal.Feed,20210421,382830.00,382830.00,382830.00,394660.00,11867730,31,1,D,394660.00,382830.00
P..Animal.Feed,20210420,386780.00,386780.00,386780.00,394660.00,88185840,228,3,D,394670.00,386780.00
P..Animal.Feed,20210417,386780.00,386780.00,386780.00,394670.00,12376960,32,3,D,394670.00,386780.00
P..Animal.Feed,20210414,386790.00,386790.00,386790.00,394670.00,38679000,100,1,D,394680.00,386790.00
P..Animal.Feed,20210413,386790.00,386790.00,386790.00,394680.00,10830120,28,2,D,394680.00,386790.00
P..Animal.Feed,20210412,386790.00,386790.00,386790.00,394680.00,12377280,32,2,D,394680.00,386790.00
P..Animal.Feed,20210411,387070.00,387070.00,387070.00,394680.00,1728654620,4466,6,D,394960.00,387070.00
P..Animal.Feed,20210410,387100.00,387100.00,387100.00,394960.00,245034300,633,7,D,395000.00,387100.00
P..Animal.Feed,20210404,387410.00,387410.00,387410.00,395240.00,427700640,1104,13,D,395310.00,387410.00
P..Animal.Feed,20210403,387510.00,387510.00,387510.00,395310.00,630866280,1628,13,D,395410.00,387510.00
P..Animal.Feed,20210331,388340.00,388340.00,388340.00,395410.00,5183562320,13348,41,D,396260.00,388340.00
P..Animal.Feed,20210330,392430.00,392430.00,392430.00,396260.00,25542876270,65089,68,D,400430.00,392430.00
P..Animal.Feed,20210328,392440.00,392440.00,392440.00,400430.00,72601400,185,5,D,400440.00,392440.00
P..Animal.Feed,20210327,392540.00,392540.00,392540.00,400440.00,683019600,1740,22,D,400550.00,392540.00
P..Animal.Feed,20210317,392600.00,392600.00,392600.00,400550.00,355695600,906,18,D,400610.00,392600.00
