<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
PARS.Petrochemical,20210630,159780.00,164430.00,158660.00,163970.00,495039584930,3019096,1682,D,156600.00,164430.00
PARS.Petrochemical,20210629,154220.00,159500.00,154220.00,156600.00,59590966680,376283,724,D,154220.00,158990.00
PARS.Petrochemical,20210628,155900.00,155900.00,154150.00,154220.00,54103248460,349465,409,D,153530.00,154900.00
PARS.Petrochemical,20210627,153600.00,155000.00,152550.00,153530.00,161157250960,1049699,544,D,154310.00,154450.00
PARS.Petrochemical,20210626,156170.00,156450.00,153520.00,154310.00,114802834320,743991,820,D,152510.00,153590.00
PARS.Petrochemical,20210623,151010.00,158460.00,149100.00,152510.00,257695943720,1689732,805,D,150920.00,152910.00
PARS.Petrochemical,20210622,150300.00,152830.00,150300.00,150920.00,67198564060,444388,355,D,150340.00,152590.00
PARS.Petrochemical,20210621,151380.00,151380.00,149100.00,150340.00,165073926560,1097998,331,D,149840.00,150200.00
PARS.Petrochemical,20210620,150000.00,151780.00,149000.00,149840.00,51650123270,344605,386,D,149800.00,149800.00
PARS.Petrochemical,20210619,149000.00,151500.00,148810.00,149800.00,146140838520,975588,531,D,148480.00,150000.00
PARS.Petrochemical,20210616,147000.00,149400.00,146000.00,148480.00,75020540970,504518,374,D,147790.00,148750.00
PARS.Petrochemical,20210615,147600.00,149250.00,147030.00,147790.00,11708922050,79216,154,D,147790.00,147880.00
PARS.Petrochemical,20210614,144880.00,149250.00,144880.00,147790.00,45865970060,310987,250,D,148050.00,148000.00
PARS.Petrochemical,20210613,144880.00,150000.00,144880.00,148050.00,72248970800,489036,264,D,148910.00,147010.00
PARS.Petrochemical,20210612,149770.00,151500.00,142350.00,148910.00,66296116110,446567,453,D,149840.00,146800.00
PARS.Petrochemical,20210609,149300.00,150980.00,149300.00,149840.00,47523580870,316984,166,D,149760.00,150170.00
PARS.Petrochemical,20210608,151800.00,151900.00,149370.00,149760.00,19778121060,131691,287,D,149650.00,149380.00
PARS.Petrochemical,20210607,151950.00,151950.00,149360.00,149650.00,49398153220,329815,308,D,149530.00,149510.00
PARS.Petrochemical,20210602,150990.00,151570.00,149730.00,149530.00,57142587100,381317,319,D,149140.00,149800.00
PARS.Petrochemical,20210601,150000.00,151380.00,148500.00,149140.00,42526367170,284731,318,D,148990.00,148940.00
PARS.Petrochemical,20210531,150000.00,150960.00,148800.00,148990.00,24653646760,164783,356,D,148800.00,149970.00
PARS.Petrochemical,20210530,149560.00,150520.00,148250.00,148800.00,79848659480,534522,487,D,146810.00,150000.00
PARS.Petrochemical,20210529,141650.00,149500.00,141650.00,146810.00,66586116920,449808,418,D,144540.00,148000.00
PARS.Petrochemical,20210526,146800.00,146800.00,144410.00,144540.00,47874804240,330422,319,D,144220.00,144410.00
PARS.Petrochemical,20210525,143500.00,149600.00,142400.00,144220.00,41949528530,289966,341,D,143890.00,143840.00
PARS.Petrochemical,20210524,140610.00,144600.00,140440.00,143890.00,28646093750,200834,222,D,144410.00,143000.00
PARS.Petrochemical,20210523,142600.00,145300.00,141200.00,144410.00,28574572110,201128,264,D,145380.00,141900.00
PARS.Petrochemical,20210522,144900.00,146990.00,143200.00,145380.00,28760663410,200077,265,D,146060.00,145000.00
PARS.Petrochemical,20210519,145680.00,147800.00,144580.00,146060.00,40277846620,274674,411,D,145680.00,145200.00
PARS.Petrochemical,20210518,146000.00,147900.00,144510.00,145680.00,45713143440,313117,390,D,145430.00,145750.00
PARS.Petrochemical,20210517,146170.00,147290.00,144500.00,145430.00,89806741880,617146,490,D,144780.00,144610.00
PARS.Petrochemical,20210516,145900.00,145950.00,144450.00,144780.00,121583073270,839763,577,D,143730.00,145400.00
PARS.Petrochemical,20210515,144570.00,145950.00,144080.00,143730.00,38552611380,266326,415,D,143090.00,144520.00
PARS.Petrochemical,20210512,144450.00,149500.00,141000.00,143090.00,137956448940,964120,550,D,141640.00,142950.00
PARS.Petrochemical,20210511,143270.00,143990.00,142070.00,141640.00,28927748790,202460,351,D,141140.00,143000.00
PARS.Petrochemical,20210510,138250.00,141710.00,138250.00,141140.00,92020391980,652014,349,D,141250.00,141600.00
PARS.Petrochemical,20210509,140000.00,141990.00,139970.00,141250.00,37188868630,264978,199,D,141800.00,141550.00
PARS.Petrochemical,20210508,142030.00,144800.00,140000.00,141800.00,81389795460,574172,292,D,142000.00,142000.00
PARS.Petrochemical,20210505,141990.00,144130.00,140100.00,142000.00,26231261640,183900,243,D,141760.00,142900.00
PARS.Petrochemical,20210503,142000.00,142660.00,139210.00,141760.00,46152889710,326233,332,D,142020.00,142000.00
PARS.Petrochemical,20210502,144000.00,144000.00,139500.00,142020.00,63195537000,447165,211,D,143330.00,142100.00
PARS.Petrochemical,20210501,145800.00,146500.00,142550.00,143330.00,127298412270,888128,312,D,146340.00,143100.00
PARS.Petrochemical,20210428,146000.00,148890.00,145050.00,146340.00,22042108900,149384,140,D,146000.00,146020.00
PARS.Petrochemical,20210427,146500.00,148000.00,144500.00,146000.00,40767136390,277668,334,D,145450.00,144600.00
PARS.Petrochemical,20210426,140450.00,149650.00,140450.00,145450.00,61389541670,419791,479,D,144230.00,146200.00
PARS.Petrochemical,20210425,141150.00,146000.00,141000.00,144230.00,14611498330,102342,210,D,144480.00,143000.00
PARS.Petrochemical,20210424,141750.00,145750.00,141750.00,144480.00,11100621890,77084,137,D,144540.00,141930.00
PARS.Petrochemical,20210421,144990.00,146490.00,142020.00,144540.00,57678248090,400125,239,D,145090.00,142100.00
PARS.Petrochemical,20210420,143310.00,147790.00,143310.00,145090.00,23596552380,161993,249,D,144910.00,144010.00
PARS.Petrochemical,20210419,142320.00,146660.00,142320.00,144910.00,16255007290,113380,231,D,145220.00,143310.00
PARS.Petrochemical,20210418,143270.00,145700.00,142880.00,145220.00,20263002560,141663,200,D,145790.00,142880.00
PARS.Petrochemical,20210417,146050.00,147100.00,144140.00,145790.00,44581648090,309093,245,D,147080.00,144140.00
PARS.Petrochemical,20210414,149020.00,150470.00,146230.00,147080.00,54841531880,372200,378,D,146760.00,146240.00
PARS.Petrochemical,20210413,143800.00,149500.00,143800.00,146760.00,52894626590,357954,530,D,145610.00,147540.00
PARS.Petrochemical,20210412,143000.00,147280.00,143000.00,145610.00,56989408150,391175,434,D,145510.00,146530.00
PARS.Petrochemical,20210411,143730.00,148120.00,143730.00,145510.00,48111508000,333331,309,D,146660.00,143730.00
PARS.Petrochemical,20210410,145440.00,148000.00,145440.00,146660.00,57904430330,398113,225,D,148400.00,145440.00
PARS.Petrochemical,20210407,149900.00,149900.00,146940.00,148400.00,48229586280,328162,255,D,149930.00,146940.00
PARS.Petrochemical,20210406,147600.00,150350.00,147310.00,149930.00,41225088510,275749,284,D,150260.00,147360.00
PARS.Petrochemical,20210405,149020.00,150900.00,149020.00,150260.00,61188947690,409935,313,D,152060.00,150010.00
PARS.Petrochemical,20210404,151450.00,152790.00,151450.00,152060.00,77371980770,510874,251,D,154540.00,151450.00
PARS.Petrochemical,20210403,155000.00,155900.00,154050.00,154540.00,83214913930,540135,351,D,157190.00,154050.00
PARS.Petrochemical,20210331,155000.00,156000.00,154990.00,157190.00,29439388180,189922,329,D,158150.00,155000.00
PARS.Petrochemical,20210330,155800.00,161650.00,155530.00,158150.00,36167709780,230035,370,D,158700.00,155600.00
PARS.Petrochemical,20210328,159100.00,161800.00,157440.00,158700.00,64013361160,405955,437,D,160650.00,157440.00
PARS.Petrochemical,20210327,158810.00,161800.00,158420.00,160650.00,57678871550,360630,521,D,161650.00,159100.00
PARS.Petrochemical,20210317,160000.00,163380.00,159000.00,161650.00,134292167260,830754,930,D,156500.00,159050.00
PARS.Petrochemical,20210316,145600.00,157190.00,145600.00,156500.00,217456042540,1389483,923,D,148300.00,157190.00
