<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Padide.Shimi.Gharn,20210630,29250.00,30000.00,28870.00,29140.00,33157287050,1137774,945,D,29550.00,30000.00
Padide.Shimi.Gharn,20210629,30000.00,30000.00,29000.00,29550.00,21555533550,730764,905,D,30160.00,29510.00
Padide.Shimi.Gharn,20210628,30450.00,30450.00,29900.00,30160.00,9244391200,308320,507,D,30270.00,29970.00
Padide.Shimi.Gharn,20210627,30000.00,30930.00,29900.00,30270.00,20365814150,673549,661,D,30440.00,30490.00
Padide.Shimi.Gharn,20210626,30930.00,31350.00,29920.00,30440.00,40599342040,1333786,978,D,30390.00,30000.00
Padide.Shimi.Gharn,20210623,30030.00,31250.00,29850.00,30390.00,36293937700,1194465,874,D,30120.00,30800.00
Padide.Shimi.Gharn,20210622,29990.00,31000.00,29650.00,30120.00,31752919110,1054175,760,D,29750.00,30030.00
Padide.Shimi.Gharn,20210621,30000.00,30050.00,29200.00,29750.00,15904132020,537278,598,D,30050.00,29700.00
Padide.Shimi.Gharn,20210620,30370.00,30370.00,29600.00,30050.00,19957773740,664828,506,D,30180.00,29670.00
Padide.Shimi.Gharn,20210619,29430.00,31000.00,29430.00,30180.00,14750759080,490751,490,D,30380.00,29980.00
Padide.Shimi.Gharn,20210616,30810.00,30810.00,30010.00,30380.00,13666795340,450097,628,D,30410.00,30420.00
Padide.Shimi.Gharn,20210615,30110.00,30800.00,29910.00,30410.00,13808232560,456773,706,D,30640.00,30800.00
Padide.Shimi.Gharn,20210614,30930.00,31250.00,29840.00,30640.00,27700329710,904079,843,D,30930.00,31000.00
Padide.Shimi.Gharn,20210613,31130.00,31130.00,30410.00,30930.00,17521289140,574480,721,D,32010.00,30410.00
Padide.Shimi.Gharn,20210612,32570.00,33400.00,31710.00,32010.00,44450415400,1388741,870,D,33370.00,31710.00
Padide.Shimi.Gharn,20210609,33000.00,34500.00,32570.00,33370.00,80061273800,2399371,1323,D,32550.00,32800.00
Padide.Shimi.Gharn,20210607,31010.00,33670.00,31010.00,32550.00,44332618170,1361785,984,D,32260.00,33250.00
Padide.Shimi.Gharn,20210602,32900.00,32900.00,31990.00,32260.00,52628861330,1631236,851,D,32170.00,32460.00
Padide.Shimi.Gharn,20210601,31550.00,32550.00,31510.00,32170.00,62312872330,1937138,1136,D,31400.00,32500.00
Padide.Shimi.Gharn,20210531,30900.00,32440.00,30890.00,31400.00,61046508970,1944232,821,D,30610.00,31300.00
Padide.Shimi.Gharn,20210518,61000.00,61000.00,58700.00,60210.00,132871317930,2206740,1204,D,60680.00,60500.00
Padide.Shimi.Gharn,20210517,61960.00,61960.00,58530.00,60680.00,105320954750,1735804,819,D,61380.00,60950.00
Padide.Shimi.Gharn,20210516,61500.00,62140.00,60310.00,61380.00,52841891010,860961,1534,D,61450.00,61300.00
Padide.Shimi.Gharn,20210515,60200.00,62870.00,60200.00,61450.00,66922944070,1089033,1633,D,60890.00,61500.00
Padide.Shimi.Gharn,20210512,60030.00,61670.00,60030.00,60890.00,131146528030,2153676,1762,D,60320.00,60700.00
Padide.Shimi.Gharn,20210511,59910.00,62680.00,59910.00,60320.00,203576453450,3375093,2689,D,61760.00,61020.00
Padide.Shimi.Gharn,20210510,60050.00,60050.00,60050.00,61760.00,3584985000,59700,38,D,61900.00,60050.00
Padide.Shimi.Gharn,20210509,60060.00,60060.00,60060.00,61900.00,213873660,3561,11,D,61910.00,60060.00
Padide.Shimi.Gharn,20210508,60100.00,60100.00,60100.00,61910.00,1086728200,18082,24,D,61950.00,60100.00
Padide.Shimi.Gharn,20210505,60140.00,60140.00,60140.00,61950.00,958330900,15935,24,D,61990.00,60140.00
Padide.Shimi.Gharn,20210503,60160.00,60160.00,60160.00,61990.00,695269120,11557,27,D,62020.00,60160.00
Padide.Shimi.Gharn,20210502,60180.00,60180.00,60180.00,62020.00,479092980,7961,29,D,62040.00,60180.00
Padide.Shimi.Gharn,20210501,62700.00,63000.00,60430.00,62040.00,28754519770,464838,394,D,62290.00,60430.00
Padide.Shimi.Gharn,20210428,63300.00,63400.00,61080.00,62290.00,38625972480,622128,924,D,62960.00,61700.00
Padide.Shimi.Gharn,20210427,61990.00,64000.00,61330.00,62960.00,118885885670,1888317,1609,D,61430.00,62810.00
Padide.Shimi.Gharn,20210426,59770.00,63500.00,59770.00,61430.00,108542896540,1767063,1819,D,61610.00,61100.00
Padide.Shimi.Gharn,20210425,60450.00,63900.00,59340.00,61610.00,100296718310,1627924,1269,D,61170.00,59340.00
Padide.Shimi.Gharn,20210424,60150.00,60150.00,60150.00,61170.00,21942900450,364803,328,D,62010.00,60150.00
Padide.Shimi.Gharn,20210421,60190.00,60190.00,60190.00,62010.00,1000658750,16625,40,D,62050.00,60190.00
Padide.Shimi.Gharn,20210420,60960.00,60960.00,60960.00,62050.00,5796198720,95082,51,D,62200.00,60960.00
Padide.Shimi.Gharn,20210419,60970.00,60970.00,60970.00,62200.00,281742370,4621,20,D,62210.00,60970.00
Padide.Shimi.Gharn,20210418,60980.00,60980.00,60980.00,62210.00,253798760,4162,12,D,62220.00,60980.00
Padide.Shimi.Gharn,20210417,61000.00,61000.00,61000.00,62220.00,602070000,9870,41,D,62240.00,61000.00
Padide.Shimi.Gharn,20210414,62320.00,63100.00,61500.00,62240.00,49737255770,799165,841,D,62750.00,61500.00
Padide.Shimi.Gharn,20210413,62570.00,64000.00,62560.00,62750.00,64345466500,1025470,1555,D,63830.00,62560.00
Padide.Shimi.Gharn,20210412,62590.00,62590.00,62590.00,63830.00,1163109970,18583,33,D,63860.00,62590.00
Padide.Shimi.Gharn,20210411,62640.00,62640.00,62640.00,63860.00,2035173600,32490,26,D,63910.00,62640.00
Padide.Shimi.Gharn,20210410,62680.00,62680.00,62680.00,63910.00,1624602920,25919,70,D,63950.00,62680.00
Padide.Shimi.Gharn,20210407,62770.00,65740.00,62770.00,63950.00,80482469700,1258613,1348,D,64050.00,62990.00
Padide.Shimi.Gharn,20210406,63900.00,64710.00,63240.00,64050.00,25696060070,403831,483,D,64530.00,63240.00
Padide.Shimi.Gharn,20210405,63580.00,63580.00,63580.00,64530.00,12701376600,199770,78,D,64870.00,63580.00
Padide.Shimi.Gharn,20210404,65090.00,65090.00,63900.00,64870.00,16101679840,250788,215,D,65200.00,63900.00
Padide.Shimi.Gharn,20210403,64760.00,64760.00,64700.00,65200.00,30579090210,472621,345,D,66020.00,64700.00
Padide.Shimi.Gharn,20210331,66010.00,66990.00,65250.00,66020.00,24639225660,376317,824,D,66580.00,65250.00
Padide.Shimi.Gharn,20210330,65140.00,67900.00,65140.00,66580.00,34702726490,520774,1210,D,66440.00,66490.00
Padide.Shimi.Gharn,20210328,68000.00,68490.00,65950.00,66440.00,65498022170,985762,1722,D,67290.00,65980.00
Padide.Shimi.Gharn,20210327,70800.00,70800.00,66500.00,67290.00,38162189250,567905,1296,D,67600.00,66510.00
Padide.Shimi.Gharn,20210317,65500.00,68810.00,65200.00,67600.00,228375277360,3378378,2703,D,64920.00,68350.00
Padide.Shimi.Gharn,20210316,64100.00,65970.00,63600.00,64920.00,133854829520,2061920,1471,D,63590.00,65000.00
Padide.Shimi.Gharn,20210315,62810.00,65000.00,62410.00,63590.00,85282442580,1341124,1460,D,63530.00,62840.00
Padide.Shimi.Gharn,20210314,62100.00,64490.00,62100.00,63530.00,48404586440,761667,1349,D,63020.00,63500.00
Padide.Shimi.Gharn,20210313,61350.00,64200.00,61350.00,63020.00,73085663870,1159779,1352,D,62540.00,62700.00
Padide.Shimi.Gharn,20210310,63200.00,63870.00,61940.00,62540.00,47924308460,766769,998,D,63200.00,63000.00
Padide.Shimi.Gharn,20210309,63480.00,65000.00,61620.00,63200.00,91376912420,1445808,1816,D,62470.00,61950.00
Padide.Shimi.Gharn,20210308,62500.00,63480.00,61750.00,62470.00,48765419310,780456,1540,D,62030.00,63000.00
Padide.Shimi.Gharn,20210307,60180.00,63030.00,60180.00,62030.00,68634137220,1106542,1460,D,61400.00,61700.00
Padide.Shimi.Gharn,20210306,62000.00,63870.00,60550.00,61400.00,54174512390,882320,1378,D,61780.00,60570.00
Padide.Shimi.Gharn,20210303,60600.00,62800.00,60600.00,61780.00,75979633790,1229820,1591,D,60400.00,61720.00
Padide.Shimi.Gharn,20210302,59140.00,62150.00,59140.00,60400.00,284193382170,4705430,2287,D,60340.00,60700.00
Padide.Shimi.Gharn,20210301,59420.00,59420.00,59420.00,60340.00,11407511020,191981,107,D,60630.00,59420.00
Padide.Shimi.Gharn,20210228,61950.00,62000.00,59480.00,60630.00,100961428920,1665255,2044,D,60690.00,59490.00
Padide.Shimi.Gharn,20210227,61000.00,61460.00,60420.00,60690.00,40427707420,668326,958,D,61650.00,60420.00
Padide.Shimi.Gharn,20210224,62710.00,63500.00,61460.00,61650.00,72790733040,1180624,1686,D,62710.00,61460.00
Padide.Shimi.Gharn,20210223,62440.00,65200.00,62440.00,62710.00,111144698590,1772274,1772,D,63710.00,63040.00
Padide.Shimi.Gharn,20210222,63060.00,63060.00,63060.00,63710.00,24211445580,383943,159,D,64340.00,63060.00
Padide.Shimi.Gharn,20210221,65000.00,65000.00,64050.00,64340.00,40201913180,627146,514,D,65350.00,64050.00
Padide.Shimi.Gharn,20210220,67150.00,67990.00,63200.00,65350.00,95955043240,1468262,2039,D,64430.00,63810.00
Padide.Shimi.Gharn,20210217,62120.00,67170.00,62120.00,64430.00,99357169860,1542042,2244,D,63370.00,64110.00
Padide.Shimi.Gharn,20210216,63370.00,64100.00,63360.00,63370.00,55087548210,869242,550,D,64650.00,63360.00
Padide.Shimi.Gharn,20210215,64630.00,65190.00,64630.00,64650.00,78853994960,1219667,1255,D,65940.00,64630.00
Padide.Shimi.Gharn,20210214,66800.00,68400.00,65380.00,65940.00,150747700300,2286276,1720,D,66710.00,65380.00
Padide.Shimi.Gharn,20210213,66920.00,66920.00,64510.00,66710.00,134966799820,2023045,1978,D,63140.00,66920.00
Padide.Shimi.Gharn,20210209,60300.00,63860.00,60300.00,63140.00,84170068340,1333003,1467,D,60820.00,63860.00
Padide.Shimi.Gharn,20210208,64020.00,64100.00,59720.00,60820.00,99960435150,1643608,1608,D,62350.00,60000.00
Padide.Shimi.Gharn,20210207,60000.00,62490.00,60000.00,62350.00,73128381120,1172922,1421,D,59520.00,62490.00
Padide.Shimi.Gharn,20210206,61000.00,61500.00,59170.00,59520.00,95112715260,1598018,1382,D,62280.00,59170.00
Padide.Shimi.Gharn,20210203,64110.00,65100.00,60950.00,62280.00,105636538150,1696069,1650,D,64110.00,60990.00
Padide.Shimi.Gharn,20210202,63600.00,65890.00,63000.00,64110.00,96514713360,1505382,1718,D,65950.00,63610.00
Padide.Shimi.Gharn,20210201,65550.00,68330.00,64550.00,65950.00,123462423970,1871932,2093,D,67940.00,65400.00
Padide.Shimi.Gharn,20210131,69000.00,69020.00,65750.00,67940.00,144798394360,2131209,1903,D,66840.00,66710.00
Padide.Shimi.Gharn,20210130,64000.00,67170.00,64000.00,66840.00,116382771310,1741312,1739,D,63980.00,67170.00
Padide.Shimi.Gharn,20210127,63000.00,66500.00,61710.00,63980.00,90101571640,1408301,1616,D,64750.00,64180.00
Padide.Shimi.Gharn,20210126,65750.00,68350.00,62510.00,64750.00,182189343220,2813880,2008,D,65760.00,63030.00
Padide.Shimi.Gharn,20210125,62200.00,68000.00,62200.00,65760.00,147122338640,2237213,1775,D,65400.00,64300.00
Padide.Shimi.Gharn,20210124,68850.00,68850.00,62920.00,65400.00,334316371930,5112193,3034,D,65660.00,63230.00
Padide.Shimi.Gharn,20210123,65660.00,65960.00,64000.00,65660.00,162718811130,2478276,1080,D,62820.00,65960.00
Padide.Shimi.Gharn,20210120,60010.00,62960.00,60010.00,62820.00,130911592300,2083793,1638,D,59970.00,62960.00
Padide.Shimi.Gharn,20210119,59420.00,61880.00,59420.00,59970.00,440570835170,7347020,3640,D,62540.00,60000.00
Padide.Shimi.Gharn,20210118,60920.00,60920.00,60920.00,62540.00,22311950000,366250,86,D,64120.00,60920.00
Padide.Shimi.Gharn,20210116,64500.00,66870.00,64040.00,64120.00,185801611140,2897554,605,D,67410.00,64040.00
Padide.Shimi.Gharn,20210113,67400.00,68870.00,67270.00,67410.00,230597615580,3420885,2355,D,70810.00,67270.00
Padide.Shimi.Gharn,20210112,71500.00,74000.00,68000.00,70810.00,548363949560,7744304,5938,D,71240.00,68870.00
Padide.Shimi.Gharn,20210111,71260.00,71260.00,70000.00,71240.00,445289788130,6250668,2610,D,67870.00,71260.00
Padide.Shimi.Gharn,20210110,64900.00,68470.00,64900.00,67870.00,315411077540,4647613,1594,D,65210.00,68470.00
Padide.Shimi.Gharn,20210109,64700.00,67000.00,62500.00,65210.00,193204980400,2962635,3979,D,64230.00,66740.00
Padide.Shimi.Gharn,20210106,65300.00,66350.00,62510.00,64230.00,259187829850,4035091,3933,D,65450.00,64800.00
Padide.Shimi.Gharn,20210105,66010.00,67790.00,64550.00,65450.00,289882425940,4429109,3748,D,67800.00,65300.00
Padide.Shimi.Gharn,20210104,69800.00,70800.00,65010.00,67800.00,418906861700,6178497,5426,D,68020.00,66700.00
Padide.Shimi.Gharn,20210103,66000.00,68190.00,65000.00,68020.00,447329099050,6576164,4914,D,64950.00,68190.00
Padide.Shimi.Gharn,20210102,65000.00,68000.00,63750.00,64950.00,477047542860,7344391,4494,D,67100.00,64550.00
Padide.Shimi.Gharn,20201230,68380.00,69970.00,65010.00,67100.00,375355687950,5593991,4623,D,67820.00,65840.00
Padide.Shimi.Gharn,20201229,67200.00,70000.00,66880.00,67820.00,780505560540,11508908,6524,D,70390.00,68380.00
Padide.Shimi.Gharn,20201228,70960.00,70960.00,68010.00,70390.00,1269578470720,18036901,8631,D,67590.00,68490.00
Padide.Shimi.Gharn,20201227,64340.00,69980.00,63630.00,67590.00,1530282175230,22639576,12035,D,66950.00,69970.00
Padide.Shimi.Gharn,20201226,67090.00,67090.00,64210.00,66950.00,2741477643800,40949488,15083,D,63900.00,65190.00
Padide.Shimi.Gharn,20201223,63900.00,63900.00,63900.00,63900.00,63518133600,994024,872,D,60860.00,63900.00
Padide.Shimi.Gharn,20201222,61350.00,61350.00,61350.00,60860.00,47904902100,780846,771,D,58430.00,61350.00
Padide.Shimi.Gharn,20201221,59190.00,59190.00,59190.00,58430.00,40576224750,685525,592,D,56380.00,59190.00
Padide.Shimi.Gharn,20201220,57500.00,58000.00,55830.00,56380.00,370776145240,6576904,1167,D,55240.00,58000.00
Padide.Shimi.Gharn,20201219,54800.00,55830.00,53300.00,55240.00,108848861900,1970642,1972,D,53180.00,55830.00
Padide.Shimi.Gharn,20201216,51560.00,54990.00,51560.00,53180.00,169204696860,3181492,2969,D,54260.00,54500.00
Padide.Shimi.Gharn,20201215,54850.00,56050.00,54220.00,54260.00,106514963990,1963040,1020,D,57070.00,54220.00
Padide.Shimi.Gharn,20201213,59830.00,60800.00,58410.00,59310.00,153889895500,2594729,2523,D,61130.00,58800.00
