<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pak.Dairy,20210630,19480.00,21230.00,19480.00,20120.00,1305244840720,64869200,15896,D,20500.00,21110.00
Pak.Dairy,20210629,20500.00,20500.00,20500.00,20500.00,15875876500,774433,259,D,21570.00,20500.00
Pak.Dairy,20210628,21520.00,21950.00,21520.00,21570.00,669521281280,31034179,5276,D,22650.00,21520.00
Pak.Dairy,20210627,22650.00,22650.00,22650.00,22650.00,14152037100,624814,111,D,23840.00,22650.00
Pak.Dairy,20210626,23810.00,23810.00,23810.00,23840.00,13923849900,584790,113,D,25060.00,23810.00
Pak.Dairy,20210623,25060.00,25060.00,25060.00,25060.00,14502272120,578702,128,D,26370.00,25060.00
Pak.Dairy,20210622,26370.00,26370.00,26370.00,26370.00,14826558870,562251,147,D,29300.00,26370.00
Pak.Dairy,20210621,27840.00,27840.00,27840.00,29300.00,41760000,1500,2,D,29300.00,27840.00
Pak.Dairy,20210620,27840.00,27840.00,27840.00,29300.00,13920000,500,1,D,29300.00,27840.00
Pak.Dairy,20210619,27850.00,27850.00,27850.00,29300.00,129836700,4662,6,D,29310.00,27850.00
Pak.Dairy,20210616,27850.00,27850.00,27850.00,29310.00,51438950,1847,4,D,29310.00,27850.00
Pak.Dairy,20210615,27850.00,27850.00,27850.00,29310.00,50130000,1800,1,D,29310.00,27850.00
Pak.Dairy,20210614,27850.00,27850.00,27850.00,29310.00,5570000,200,1,D,29310.00,27850.00
Pak.Dairy,20210613,27860.00,27860.00,27860.00,29310.00,64913800,2330,5,D,29320.00,27860.00
Pak.Dairy,20210612,27880.00,27880.00,27880.00,29320.00,211888000,7600,5,D,29340.00,27880.00
Pak.Dairy,20210609,27880.00,27880.00,27880.00,29340.00,5018400,180,1,D,29340.00,27880.00
Pak.Dairy,20210608,27890.00,27890.00,27890.00,29340.00,54859630,1967,2,D,29350.00,27890.00
Pak.Dairy,20210607,26840.00,26840.00,26840.00,29350.00,2347936360,87479,83,D,29820.00,26840.00
Pak.Dairy,20210602,28420.00,28420.00,28420.00,29820.00,959203420,33751,18,D,29910.00,28420.00
Pak.Dairy,20210601,28470.00,28470.00,28470.00,29910.00,541613280,19024,3,D,29960.00,28470.00
Pak.Dairy,20210531,28470.00,28470.00,28470.00,29960.00,12811500,450,2,D,29960.00,28470.00
Pak.Dairy,20210530,28480.00,28480.00,28480.00,29960.00,119359680,4191,9,D,29970.00,28480.00
Pak.Dairy,20210529,28490.00,28490.00,28490.00,29970.00,111937210,3929,13,D,29980.00,28490.00
Pak.Dairy,20210526,28490.00,28490.00,28490.00,29980.00,24957240,876,3,D,29980.00,28490.00
Pak.Dairy,20210523,28500.00,28500.00,28500.00,29980.00,213009000,7474,2,D,30000.00,28500.00
Pak.Dairy,20210522,28500.00,28500.00,28500.00,30000.00,10174500,357,3,D,30000.00,28500.00
Pak.Dairy,20210519,27510.00,27510.00,27510.00,30000.00,2801948520,101852,35,D,30560.00,27510.00
Pak.Dairy,20210518,29060.00,29060.00,29060.00,30560.00,240965520,8292,3,D,30580.00,29060.00
Pak.Dairy,20210517,29060.00,29060.00,29060.00,30580.00,11217160,386,2,D,30580.00,29060.00
Pak.Dairy,20210516,29100.00,29100.00,29100.00,30580.00,484835100,16661,4,D,30630.00,29100.00
Pak.Dairy,20210515,29180.00,29180.00,29180.00,30630.00,793929440,27208,14,D,30710.00,29180.00
Pak.Dairy,20210512,29790.00,29790.00,29790.00,30710.00,10754190,361,2,D,30710.00,29790.00
Pak.Dairy,20210511,29790.00,29790.00,29790.00,30710.00,90174330,3027,5,D,30710.00,29790.00
Pak.Dairy,20210510,29790.00,29790.00,29790.00,30710.00,66818970,2243,5,D,30710.00,29790.00
Pak.Dairy,20210505,29000.00,29000.00,29000.00,30710.00,3491513000,120397,55,D,30850.00,29000.00
Pak.Dairy,20210503,29940.00,29940.00,29940.00,30850.00,531734400,17760,5,D,30860.00,29940.00
Pak.Dairy,20210502,29940.00,29940.00,29940.00,30860.00,80209260,2679,6,D,30860.00,29940.00
Pak.Dairy,20210501,29940.00,29940.00,29940.00,30860.00,180897480,6042,6,D,30860.00,29940.00
Pak.Dairy,20210428,29970.00,29970.00,29970.00,30860.00,1580797620,52746,18,D,30890.00,29970.00
Pak.Dairy,20210427,30050.00,30050.00,30050.00,30890.00,4366595550,145311,72,D,30970.00,30050.00
Pak.Dairy,20210426,30060.00,30060.00,30060.00,30970.00,430459200,14320,17,D,30980.00,30060.00
Pak.Dairy,20210425,30060.00,30060.00,30060.00,30980.00,72955620,2427,11,D,30980.00,30060.00
Pak.Dairy,20210424,30080.00,30080.00,30080.00,30980.00,1639720960,54512,14,D,31010.00,30080.00
Pak.Dairy,20210421,30080.00,30080.00,30080.00,31010.00,196392320,6529,13,D,31010.00,30080.00
Pak.Dairy,20210420,30390.00,30390.00,30390.00,31010.00,211757520,6968,14,D,31010.00,30390.00
Pak.Dairy,20210419,30580.00,30580.00,30580.00,31010.00,14697267860,480617,47,D,31200.00,30580.00
Pak.Dairy,20210418,30920.00,30920.00,30920.00,31200.00,26828294560,867668,86,D,31550.00,30920.00
Pak.Dairy,20210417,32000.00,32150.00,31120.00,31550.00,155239509140,4919839,1557,D,31750.00,31120.00
Pak.Dairy,20210414,31000.00,32380.00,31000.00,31750.00,320064573950,10080885,3550,D,31630.00,31920.00
Pak.Dairy,20210413,32550.00,32960.00,31020.00,31630.00,471472234570,14905497,5432,D,31650.00,31050.00
Pak.Dairy,20210412,31500.00,32660.00,31490.00,31650.00,481508642520,15214655,4766,D,32130.00,32150.00
Pak.Dairy,20210411,32000.00,32990.00,31570.00,32130.00,410464931220,12777028,5915,D,31510.00,32220.00
Pak.Dairy,20210410,29650.00,31870.00,29650.00,31510.00,797250550150,25300545,6788,D,30070.00,31870.00
Pak.Dairy,20210407,30000.00,30800.00,29460.00,30070.00,279556126190,9298231,4313,D,29650.00,29660.00
Pak.Dairy,20210406,28900.00,29880.00,28220.00,29650.00,402225020900,13565773,4706,D,28190.00,29650.00
Pak.Dairy,20210405,28320.00,28860.00,27760.00,28190.00,226619857550,8039968,2761,D,28320.00,28510.00
Pak.Dairy,20210404,28000.00,29000.00,27580.00,28320.00,192758033860,6806985,3007,D,28070.00,28510.00
Pak.Dairy,20210403,27410.00,28480.00,27410.00,28070.00,132593685910,4723873,2200,D,27760.00,28120.00
Pak.Dairy,20210331,27600.00,28270.00,27000.00,27760.00,236647354140,8523957,3340,D,26820.00,27900.00
Pak.Dairy,20210330,26320.00,27930.00,26320.00,26820.00,476784135370,17778074,4669,D,26850.00,27350.00
Pak.Dairy,20210328,26850.00,26850.00,26850.00,26850.00,48811903800,1817948,191,D,27390.00,26850.00
Pak.Dairy,20210327,27560.00,28200.00,27000.00,27390.00,114289769070,4172641,1500,D,27550.00,27000.00
Pak.Dairy,20210317,27900.00,28470.00,27020.00,27550.00,231855765450,8416311,3656,D,27050.00,27560.00
Pak.Dairy,20210316,26500.00,27240.00,26490.00,27050.00,242444208870,8962287,3365,D,25700.00,27170.00
Pak.Dairy,20210315,24600.00,25830.00,24600.00,25700.00,347977475210,13538022,3799,D,24370.00,25830.00
Pak.Dairy,20210314,24860.00,25330.00,23990.00,24370.00,479760301540,19684043,5630,D,24470.00,25040.00
Pak.Dairy,20210313,23510.00,24860.00,23510.00,24470.00,402776410590,16460327,4859,D,23460.00,24860.00
Pak.Dairy,20210310,22310.00,23620.00,22300.00,23460.00,323153747880,13771848,4403,D,22290.00,23620.00
Pak.Dairy,20210309,21710.00,22910.00,21690.00,22290.00,255448007950,11462176,3675,D,22130.00,22590.00
Pak.Dairy,20210308,22200.00,22970.00,21600.00,22130.00,275403031830,12443261,3514,D,21820.00,21700.00
Pak.Dairy,20210307,22050.00,22050.00,21010.00,21820.00,355900966540,16313656,4532,D,20810.00,22050.00
Pak.Dairy,20210306,20460.00,20920.00,20000.00,20810.00,85521446690,4110507,959,D,19740.00,20920.00
Pak.Dairy,20210303,19340.00,20290.00,18980.00,19740.00,129368245630,6552242,2005,D,19340.00,20260.00
Pak.Dairy,20210302,19150.00,19690.00,19090.00,19340.00,111725555440,5777775,1597,D,19470.00,19470.00
Pak.Dairy,20210301,19870.00,19910.00,18980.00,19470.00,237346081940,12188690,2213,D,19360.00,19790.00
