<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pardis.Invsetment,20210630,4840.00,4840.00,4666.00,4751.00,13795464382,2904652,417,D,4767.00,4797.00
Pardis.Invsetment,20210629,4799.00,4848.00,4660.00,4767.00,14916895110,3129876,341,D,4802.00,4719.00
Pardis.Invsetment,20210628,4808.00,4880.00,4606.00,4802.00,9516584781,1994080,366,D,4848.00,4765.00
Pardis.Invsetment,20210627,4835.00,4945.00,4650.00,4848.00,24511473391,5055831,598,D,4810.00,4820.00
Pardis.Invsetment,20210626,4742.00,4832.00,4652.00,4810.00,49743915364,10342542,910,D,4602.00,4832.00
Pardis.Invsetment,20210623,4588.00,4645.00,4452.00,4602.00,61252317698,13310451,630,D,4424.00,4645.00
Pardis.Invsetment,20210622,4339.00,4580.00,4339.00,4424.00,28608189756,6466269,550,D,4567.00,4500.00
Pardis.Invsetment,20210621,4460.00,4587.00,4440.00,4567.00,4286768121,947040,183,D,4584.00,4536.00
Pardis.Invsetment,20210620,4612.00,4650.00,4410.00,4584.00,6759455982,1493600,264,D,4633.00,4574.00
Pardis.Invsetment,20210619,4670.00,4750.00,4600.00,4633.00,8226013869,1771076,265,D,4618.00,4621.00
Pardis.Invsetment,20210616,4745.00,4745.00,4550.00,4618.00,8763545780,1874340,298,D,4545.00,4650.00
Pardis.Invsetment,20210615,4473.00,4687.00,4470.00,4545.00,21147909240,4653164,465,D,4471.00,4636.00
Pardis.Invsetment,20210614,4520.00,4586.00,4380.00,4471.00,6789251983,1509739,205,D,4449.00,4490.00
Pardis.Invsetment,20210613,4340.00,4499.00,4330.00,4449.00,8193961621,1844459,146,D,4456.00,4496.00
Pardis.Invsetment,20210612,4310.00,4515.00,4310.00,4456.00,2858910763,645232,156,D,4462.00,4450.00
Pardis.Invsetment,20210609,4450.00,4488.00,4350.00,4462.00,1905346486,433875,140,D,4472.00,4416.00
Pardis.Invsetment,20210608,4500.00,4590.00,4421.00,4472.00,9384479060,2087966,289,D,4437.00,4450.00
Pardis.Invsetment,20210607,4430.00,4549.00,4305.00,4437.00,11297389523,2534466,327,D,4378.00,4500.00
Pardis.Invsetment,20210602,4250.00,4427.00,4250.00,4378.00,9330120655,2136625,311,D,4396.00,4346.00
