<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Int..Mfg.,20210630,16080.00,16880.00,15420.00,16590.00,105794030600,6375185,2100,D,16080.00,16820.00
Pars.Int..Mfg.,20210629,16130.00,16130.00,15600.00,16080.00,119909043700,7455919,1642,D,15370.00,16130.00
Pars.Int..Mfg.,20210628,14840.00,16120.00,14600.00,15370.00,162871724640,10599127,2560,D,15360.00,16120.00
Pars.Int..Mfg.,20210627,15900.00,15900.00,14840.00,15360.00,74436006410,4846042,1360,D,15620.00,14910.00
Pars.Int..Mfg.,20210626,15620.00,15620.00,15300.00,15620.00,59463944320,3807097,402,D,14880.00,15620.00
Pars.Int..Mfg.,20210623,15150.00,15150.00,15150.00,14880.00,6623307300,437182,124,D,14430.00,15150.00
Pars.Int..Mfg.,20210622,14000.00,14700.00,13900.00,14430.00,34111342000,2363980,322,D,21490.00,14700.00
Pars.Int..Mfg.,20210620,20420.00,20420.00,20420.00,21490.00,54521400,2670,1,D,21490.00,20420.00
Pars.Int..Mfg.,20210619,20420.00,20420.00,20420.00,21490.00,35489960,1738,4,D,21490.00,20420.00
Pars.Int..Mfg.,20210616,20420.00,20420.00,20420.00,21490.00,10026220,491,1,D,21490.00,20420.00
Pars.Int..Mfg.,20210615,20420.00,20420.00,20420.00,21490.00,9964960,488,1,D,21490.00,20420.00
Pars.Int..Mfg.,20210614,19810.00,19810.00,19810.00,21490.00,3167004890,159869,84,D,22010.00,19810.00
Pars.Int..Mfg.,20210613,20910.00,20910.00,20910.00,22010.00,13528770,647,2,D,22010.00,20910.00
Pars.Int..Mfg.,20210612,20910.00,20910.00,20910.00,22010.00,20700900,990,2,D,22010.00,20910.00
Pars.Int..Mfg.,20210609,20910.00,20910.00,20910.00,22010.00,45165600,2160,2,D,22010.00,20910.00
Pars.Int..Mfg.,20210608,20920.00,20920.00,20920.00,22010.00,78763800,3765,5,D,22020.00,20920.00
Pars.Int..Mfg.,20210607,20920.00,20920.00,20920.00,22020.00,43848320,2096,6,D,22020.00,20920.00
Pars.Int..Mfg.,20210602,20920.00,20920.00,20920.00,22020.00,15690000,750,2,D,22020.00,20920.00
Pars.Int..Mfg.,20210601,20920.00,20920.00,20920.00,22020.00,5020800,240,1,D,22020.00,20920.00
Pars.Int..Mfg.,20210530,20960.00,20960.00,20960.00,22020.00,522742400,24940,7,D,22060.00,20960.00
Pars.Int..Mfg.,20210529,21010.00,21010.00,21010.00,22060.00,620677420,29542,14,D,22110.00,21010.00
Pars.Int..Mfg.,20210526,21020.00,21020.00,21020.00,22110.00,110355000,5250,2,D,22120.00,21020.00
Pars.Int..Mfg.,20210525,21050.00,21050.00,21050.00,22120.00,324085800,15396,4,D,22150.00,21050.00
Pars.Int..Mfg.,20210524,21050.00,21050.00,21050.00,22150.00,5052000,240,1,D,22150.00,21050.00
Pars.Int..Mfg.,20210523,21050.00,21050.00,21050.00,22150.00,5999250,285,1,D,22150.00,21050.00
Pars.Int..Mfg.,20210518,21050.00,21050.00,21050.00,22150.00,5052000,240,1,D,22150.00,21050.00
Pars.Int..Mfg.,20210517,21060.00,21060.00,21060.00,22150.00,125243820,5947,2,D,22160.00,21060.00
Pars.Int..Mfg.,20210516,21060.00,21060.00,21060.00,22160.00,47700900,2265,2,D,22160.00,21060.00
Pars.Int..Mfg.,20210515,21130.00,21130.00,21130.00,22160.00,994166500,47050,10,D,22240.00,21130.00
Pars.Int..Mfg.,20210512,21600.00,21600.00,21600.00,22240.00,1189663200,55077,8,D,22260.00,21600.00
Pars.Int..Mfg.,20210511,21620.00,21620.00,21620.00,22260.00,1563320580,72309,7,D,22280.00,21620.00
Pars.Int..Mfg.,20210510,21620.00,21620.00,21620.00,22280.00,335110000,15500,2,D,22280.00,21620.00
Pars.Int..Mfg.,20210509,21620.00,21620.00,21620.00,22280.00,5080700,235,1,D,22280.00,21620.00
Pars.Int..Mfg.,20210508,21620.00,21620.00,21620.00,22280.00,9923580,459,1,D,22280.00,21620.00
Pars.Int..Mfg.,20210503,21630.00,21630.00,21630.00,22280.00,696464370,32199,8,D,22290.00,21630.00
Pars.Int..Mfg.,20210502,21630.00,21630.00,21630.00,22290.00,7137900,330,1,D,22290.00,21630.00
Pars.Int..Mfg.,20210501,21650.00,21650.00,21650.00,22290.00,1804614100,83354,13,D,22310.00,21650.00
Pars.Int..Mfg.,20210428,21670.00,21670.00,21670.00,22310.00,1711301570,78971,23,D,22330.00,21670.00
Pars.Int..Mfg.,20210427,21690.00,21690.00,21690.00,22330.00,2018167740,93046,20,D,22360.00,21690.00
Pars.Int..Mfg.,20210426,21710.00,21710.00,21710.00,22360.00,1390612340,64054,13,D,22380.00,21710.00
Pars.Int..Mfg.,20210425,21750.00,21750.00,21750.00,22380.00,2650194000,121848,8,D,22420.00,21750.00
Pars.Int..Mfg.,20210424,21770.00,21770.00,21770.00,22420.00,1343622630,61719,11,D,22440.00,21770.00
Pars.Int..Mfg.,20210421,21810.00,21810.00,21810.00,22440.00,2645792910,121311,12,D,22480.00,21810.00
Pars.Int..Mfg.,20210420,22070.00,22070.00,22070.00,22480.00,3914688320,177376,29,D,22520.00,22070.00
Pars.Int..Mfg.,20210419,22070.00,22070.00,22070.00,22520.00,45155220,2046,6,D,22520.00,22070.00
Pars.Int..Mfg.,20210418,22110.00,22110.00,22110.00,22520.00,4601091000,208100,26,D,22560.00,22110.00
Pars.Int..Mfg.,20210417,22150.00,22150.00,22150.00,22560.00,4107695350,185449,33,D,22600.00,22150.00
Pars.Int..Mfg.,20210414,23180.00,23180.00,22270.00,22600.00,16946819740,757289,365,D,22720.00,22270.00
Pars.Int..Mfg.,20210413,22560.00,23550.00,22560.00,22720.00,153831480590,6769705,2125,D,23020.00,22560.00
Pars.Int..Mfg.,20210412,22590.00,22590.00,22590.00,23020.00,3307718160,146424,39,D,23050.00,22590.00
Pars.Int..Mfg.,20210411,22620.00,22620.00,22620.00,23050.00,2701008960,119408,43,D,23080.00,22620.00
Pars.Int..Mfg.,20210410,23450.00,23450.00,22750.00,23080.00,17699675630,774474,234,D,23210.00,22750.00
Pars.Int..Mfg.,20210407,21830.00,23600.00,21830.00,23210.00,171377345820,7382260,3054,D,22270.00,23490.00
Pars.Int..Mfg.,20210406,22240.00,22880.00,22240.00,22270.00,132229267200,5936449,1369,D,22690.00,22240.00
Pars.Int..Mfg.,20210405,22320.00,22320.00,22320.00,22690.00,8465239440,379267,32,D,22770.00,22320.00
Pars.Int..Mfg.,20210404,22570.00,23000.00,22570.00,22770.00,28152312990,1246566,243,D,23030.00,22570.00
Pars.Int..Mfg.,20210403,22930.00,23630.00,22930.00,23030.00,89296489070,3876859,1047,D,23390.00,23250.00
Pars.Int..Mfg.,20210331,24160.00,24160.00,23340.00,23390.00,112355012740,4803782,1068,D,23810.00,23340.00
Pars.Int..Mfg.,20210330,23500.00,24730.00,23000.00,23810.00,277685426440,11664990,2715,D,23360.00,24160.00
Pars.Int..Mfg.,20210328,22560.00,24380.00,22540.00,23360.00,258985301210,11088635,3086,D,23000.00,24060.00
Pars.Int..Mfg.,20210327,23210.00,23220.00,22310.00,23000.00,246340665580,10709912,2753,D,21910.00,23220.00
Pars.Int..Mfg.,20210317,21880.00,22000.00,21150.00,21910.00,322486746570,14720936,2907,D,20760.00,22000.00
Pars.Int..Mfg.,20210316,19370.00,20940.00,19370.00,20760.00,135927131610,6546759,1027,D,19760.00,20940.00
Pars.Int..Mfg.,20210313,20700.00,20700.00,19360.00,19760.00,33624388520,1697639,852,D,19670.00,19450.00
Pars.Int..Mfg.,20210310,19310.00,20110.00,19310.00,19670.00,29649459810,1508671,457,D,19700.00,19830.00
Pars.Int..Mfg.,20210309,19990.00,20330.00,19390.00,19700.00,23981806960,1222563,474,D,19780.00,19390.00
Pars.Int..Mfg.,20210308,19640.00,20900.00,19640.00,19780.00,65926366020,3333262,918,D,20040.00,19700.00
Pars.Int..Mfg.,20210307,19650.00,19650.00,19650.00,20040.00,1414151550,71967,18,D,20050.00,19650.00
Pars.Int..Mfg.,20210306,19660.00,19660.00,19660.00,20050.00,1136721540,57819,12,D,20060.00,19660.00
Pars.Int..Mfg.,20210303,19670.00,19670.00,19670.00,20060.00,1601885460,81438,19,D,20070.00,19670.00
Pars.Int..Mfg.,20210302,19690.00,19690.00,19690.00,20070.00,2896399000,147100,31,D,20090.00,19690.00
