<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Minoo,20210630,6000.00,6200.00,5910.00,6060.00,51038176270,8425044,1271,D,5980.00,6000.00
Pars.Minoo,20210629,6050.00,6120.00,5850.00,5980.00,55781985140,9322272,1315,D,6120.00,5920.00
Pars.Minoo,20210628,6200.00,6310.00,5970.00,6120.00,62710920130,10247869,1501,D,6240.00,5990.00
Pars.Minoo,20210627,6260.00,6440.00,6100.00,6240.00,73543026570,11783573,1441,D,6410.00,6200.00
Pars.Minoo,20210626,6400.00,6580.00,6240.00,6410.00,51644978160,8061100,1332,D,6350.00,6430.00
Pars.Minoo,20210623,6500.00,6500.00,6270.00,6350.00,47406121760,7467755,1136,D,6400.00,6370.00
Pars.Minoo,20210622,6330.00,6600.00,6150.00,6400.00,78773286130,12310666,1658,D,6290.00,6350.00
Pars.Minoo,20210621,6460.00,6480.00,6200.00,6290.00,43816633180,6966025,960,D,6370.00,6220.00
Pars.Minoo,20210620,6150.00,6580.00,6150.00,6370.00,49441315100,7760800,1266,D,6270.00,6270.00
Pars.Minoo,20210619,6400.00,6650.00,6240.00,6270.00,45703745330,7286867,905,D,6560.00,6240.00
Pars.Minoo,20210616,6740.00,6740.00,6540.00,6560.00,21556464680,3285261,515,D,6880.00,6540.00
Pars.Minoo,20210615,6950.00,7040.00,6590.00,6880.00,55440847000,8052607,1226,D,6860.00,6640.00
Pars.Minoo,20210614,6850.00,6950.00,6800.00,6860.00,65869691900,9602482,1084,D,6810.00,6860.00
Pars.Minoo,20210613,6880.00,6990.00,6710.00,6810.00,34848629030,5120825,1116,D,6690.00,6780.00
Pars.Minoo,20210612,6450.00,6760.00,6150.00,6690.00,93929301180,14030819,1654,D,6440.00,6760.00
Pars.Minoo,20210609,6710.00,6770.00,6370.00,6440.00,53125565760,8243293,1022,D,6700.00,6380.00
Pars.Minoo,20210608,6550.00,6770.00,6450.00,6700.00,112354332870,16763148,1820,D,6450.00,6640.00
Pars.Minoo,20210607,6610.00,6650.00,6250.00,6450.00,97671053080,15136112,1602,D,6420.00,6440.00
Pars.Minoo,20210602,6160.00,6450.00,5900.00,6420.00,198796608070,30959737,1247,D,6150.00,6450.00
Pars.Minoo,20210601,5900.00,6160.00,5870.00,6150.00,147414932370,23981248,1969,D,5870.00,6140.00
Pars.Minoo,20210531,6100.00,6150.00,5800.00,5870.00,70048727740,11933940,1391,D,6100.00,5800.00
Pars.Minoo,20210530,5980.00,6200.00,5800.00,6100.00,139331042490,22850677,2731,D,5910.00,6090.00
Pars.Minoo,20210529,5800.00,5980.00,5710.00,5910.00,79941248830,13526851,1183,D,5700.00,5980.00
Pars.Minoo,20210524,5900.00,5930.00,5620.00,5700.00,350777723730,61516432,2116,D,5910.00,5620.00
Pars.Minoo,20210518,5670.00,5670.00,5670.00,5930.00,1436970780,253434,46,D,5960.00,5670.00
Pars.Minoo,20210517,5680.00,5680.00,5680.00,5960.00,346338000,60975,19,D,5970.00,5680.00
Pars.Minoo,20210516,5700.00,5700.00,5700.00,5970.00,1544432100,270953,64,D,6000.00,5700.00
Pars.Minoo,20210515,5720.00,5720.00,5720.00,6000.00,922207000,161225,53,D,6020.00,5720.00
Pars.Minoo,20210512,5960.00,6000.00,5960.00,6020.00,39522441560,6631271,672,D,6340.00,5960.00
Pars.Minoo,20210511,6150.00,6150.00,6150.00,6340.00,898988550,146177,46,D,6340.00,6150.00
Pars.Minoo,20210510,6150.00,6150.00,6150.00,6340.00,200982000,32680,12,D,6340.00,6150.00
Pars.Minoo,20210509,6150.00,6150.00,6150.00,6340.00,117059100,19034,14,D,6340.00,6150.00
Pars.Minoo,20210508,6150.00,6150.00,6150.00,6340.00,82139400,13356,12,D,6340.00,6150.00
Pars.Minoo,20210505,6150.00,6150.00,6150.00,6340.00,258478350,42029,22,D,6340.00,6150.00
Pars.Minoo,20210503,6150.00,6150.00,6150.00,6340.00,69697950,11333,8,D,6340.00,6150.00
Pars.Minoo,20210502,6150.00,6150.00,6150.00,6340.00,116536350,18949,14,D,6340.00,6150.00
Pars.Minoo,20210501,6150.00,6150.00,6150.00,6340.00,359953350,58529,22,D,6340.00,6150.00
Pars.Minoo,20210428,6160.00,6160.00,6160.00,6340.00,3512672240,570239,63,D,6350.00,6160.00
Pars.Minoo,20210427,6170.00,6170.00,6170.00,6350.00,2372056500,384450,35,D,6360.00,6170.00
Pars.Minoo,20210426,6170.00,6170.00,6170.00,6360.00,457147640,74092,18,D,6360.00,6170.00
Pars.Minoo,20210425,6170.00,6170.00,6170.00,6360.00,170686880,27664,11,D,6360.00,6170.00
Pars.Minoo,20210424,6170.00,6170.00,6170.00,6360.00,249335870,40411,21,D,6360.00,6170.00
Pars.Minoo,20210421,6170.00,6170.00,6170.00,6360.00,161129550,26115,14,D,6360.00,6170.00
Pars.Minoo,20210420,6240.00,6240.00,6240.00,6360.00,599483040,96071,28,D,6360.00,6240.00
Pars.Minoo,20210419,6240.00,6240.00,6240.00,6360.00,115315200,18480,8,D,6360.00,6240.00
Pars.Minoo,20210418,6240.00,6240.00,6240.00,6360.00,203667360,32639,13,D,6360.00,6240.00
Pars.Minoo,20210417,6240.00,6240.00,6240.00,6360.00,1126213920,180483,33,D,6360.00,6240.00
Pars.Minoo,20210414,6290.00,6400.00,6280.00,6360.00,18724986220,2976106,359,D,6400.00,6280.00
Pars.Minoo,20210413,6400.00,6590.00,6400.00,6400.00,128634032840,20085004,1620,D,6530.00,6400.00
Pars.Minoo,20210412,6400.00,6400.00,6400.00,6530.00,1584512000,247580,41,D,6530.00,6400.00
Pars.Minoo,20210411,6400.00,6400.00,6400.00,6530.00,589414400,92096,19,D,6530.00,6400.00
Pars.Minoo,20210410,6410.00,6410.00,6410.00,6530.00,2843001660,443526,25,D,6540.00,6410.00
Pars.Minoo,20210407,6420.00,6420.00,6420.00,6540.00,3052645800,475490,69,D,6550.00,6420.00
