<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pegah.Golestan,20210630,15700.00,16650.00,15400.00,16278.00,88835188063,5457416,1652,D,15858.00,16650.00
Pegah.Golestan,20210629,16230.00,16760.00,15355.00,15858.00,82942743866,5230335,1770,D,16163.00,16000.00
Pegah.Golestan,20210628,16371.00,16800.00,15987.00,16163.00,115089300577,7120469,2072,D,16828.00,16370.00
Pegah.Golestan,20210627,17100.00,17480.00,16776.00,16828.00,55409130253,3292618,982,D,17658.00,16776.00
Pegah.Golestan,20210626,18140.00,18940.00,17377.00,17658.00,90357947062,5117230,1930,D,18291.00,17378.00
Pegah.Golestan,20210623,17700.00,18473.00,17615.00,18291.00,183416621682,10027539,2693,D,17594.00,18473.00
Pegah.Golestan,20210622,17443.00,18270.00,17443.00,17594.00,230093274487,13077601,4330,D,19381.00,17610.00
Pegah.Golestan,20210621,18419.00,18419.00,18419.00,19381.00,100991377,5483,9,D,19388.00,18419.00
Pegah.Golestan,20210620,18430.00,18430.00,18430.00,19388.00,168523920,9144,4,D,19399.00,18430.00
Pegah.Golestan,20210619,18430.00,18430.00,18430.00,19399.00,7961760,432,1,D,19400.00,18430.00
Pegah.Golestan,20210616,18479.00,18479.00,18479.00,19400.00,739160000,40000,1,D,19451.00,18479.00
Pegah.Golestan,20210615,18531.00,18531.00,18531.00,19451.00,804004497,43387,8,D,19506.00,18531.00
Pegah.Golestan,20210614,18599.00,18599.00,18599.00,19506.00,1036782656,55744,10,D,19577.00,18599.00
Pegah.Golestan,20210613,18612.00,18612.00,18612.00,19577.00,210967020,11335,9,D,19591.00,18612.00
Pegah.Golestan,20210608,18619.00,18619.00,18619.00,19591.00,96949133,5207,9,D,19598.00,18619.00
Pegah.Golestan,20210607,18621.00,18621.00,18621.00,19598.00,44411085,2385,3,D,19601.00,18621.00
