<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Post.Bank,20210630,23320.00,23900.00,22830.00,23250.00,53157971890,2286020,883,D,23500.00,23100.00
Post.Bank,20210629,23980.00,23980.00,23040.00,23500.00,39457126410,1679017,856,D,23710.00,23470.00
Post.Bank,20210628,22800.00,24050.00,22800.00,23710.00,120087358460,5064772,1344,D,23060.00,23940.00
Post.Bank,20210627,23100.00,23880.00,22500.00,23060.00,159257574320,6905636,1328,D,23460.00,23200.00
Post.Bank,20210626,23610.00,24700.00,22790.00,23460.00,140936113450,6008569,2217,D,23980.00,23080.00
Post.Bank,20210623,24000.00,24560.00,23480.00,23980.00,101081908430,4215242,1815,D,23510.00,23650.00
Post.Bank,20210622,22410.00,23760.00,22410.00,23510.00,150213642310,6388121,1844,D,22630.00,23760.00
Post.Bank,20210621,23500.00,23500.00,22410.00,22630.00,89251393960,3944448,1348,D,23580.00,22500.00
Post.Bank,20210620,24440.00,24520.00,23300.00,23580.00,66446867640,2817852,837,D,24520.00,23300.00
Post.Bank,20210619,24100.00,25000.00,23610.00,24520.00,130179569910,5309826,1128,D,23810.00,24230.00
Post.Bank,20210616,23970.00,24500.00,22710.00,23810.00,157859301570,6629480,1080,D,23750.00,23900.00
Post.Bank,20210615,24300.00,24600.00,22630.00,23750.00,86298438610,3633160,1045,D,23640.00,23640.00
Post.Bank,20210614,22600.00,23870.00,22600.00,23640.00,115965074510,4904443,1274,D,22750.00,23810.00
Post.Bank,20210613,22750.00,23600.00,22650.00,22750.00,204904645960,9006821,1694,D,23840.00,22650.00
Post.Bank,20210612,23900.00,24980.00,23600.00,23840.00,81264791950,3409237,745,D,24840.00,23600.00
Post.Bank,20210609,24900.00,25740.00,24120.00,24840.00,95194618200,3832855,1171,D,24920.00,24980.00
Post.Bank,20210608,24100.00,25120.00,23460.00,24920.00,228233212610,9158098,1836,D,23930.00,24900.00
Post.Bank,20210607,23380.00,24100.00,22520.00,23930.00,168594297090,7046579,1692,D,22960.00,24100.00
Post.Bank,20210602,22260.00,23540.00,22260.00,22960.00,117861457060,5134101,1420,D,23130.00,22800.00
Post.Bank,20210601,22930.00,23580.00,22400.00,23130.00,177892068980,7690750,1607,D,22750.00,22830.00
Post.Bank,20210531,20750.00,22930.00,20750.00,22750.00,339416409500,14918137,2383,D,21840.00,22930.00
Post.Bank,20210530,22280.00,22430.00,21110.00,21840.00,86757550480,3971912,1014,D,21580.00,21530.00
Post.Bank,20210529,21600.00,21600.00,21020.00,21580.00,180783608500,8379170,1054,D,20580.00,21600.00
Post.Bank,20210526,20470.00,20670.00,20000.00,20580.00,58039983900,2820769,877,D,19690.00,20670.00
Post.Bank,20210525,19200.00,19740.00,19100.00,19690.00,97068987730,4929662,808,D,18800.00,19740.00
Post.Bank,20210524,17760.00,19590.00,17730.00,18800.00,89431522640,4758141,1187,D,18660.00,19090.00
Post.Bank,20210523,18660.00,19560.00,18660.00,18660.00,112663702210,6036127,552,D,19640.00,18660.00
Post.Bank,20210522,19620.00,20600.00,19620.00,19640.00,216250928740,11009323,662,D,20650.00,19620.00
Post.Bank,20210519,21570.00,22000.00,20330.00,20650.00,277997322160,13461122,1717,D,21400.00,20330.00
Post.Bank,20210518,20400.00,21900.00,20400.00,21400.00,138718427080,6481717,1935,D,21320.00,21570.00
Post.Bank,20210517,20880.00,21600.00,20500.00,21320.00,262394100450,12310048,2745,D,20580.00,20860.00
Post.Bank,20210516,19220.00,20880.00,19220.00,20580.00,305841717010,14863134,2348,D,19890.00,20880.00
Post.Bank,20210515,18300.00,20070.00,18300.00,19890.00,426022997500,21422979,2556,D,19120.00,20070.00
Post.Bank,20210512,19090.00,19650.00,19090.00,19120.00,162611609410,8504228,1037,D,19680.00,19090.00
Post.Bank,20210511,19680.00,19680.00,19680.00,19680.00,52433581440,2664308,106,D,20280.00,19680.00
Post.Bank,20210510,19690.00,19690.00,19690.00,20280.00,535587690,27201,12,D,20290.00,19690.00
Post.Bank,20210509,19690.00,19690.00,19690.00,20290.00,63086760,3204,5,D,20290.00,19690.00
Post.Bank,20210508,19690.00,19690.00,19690.00,20290.00,294956200,14980,7,D,20290.00,19690.00
Post.Bank,20210505,19730.00,19730.00,19730.00,20290.00,3155162410,159917,28,D,20330.00,19730.00
Post.Bank,20210503,20330.00,20330.00,20330.00,20330.00,74331115240,3656228,114,D,20950.00,20330.00
Post.Bank,20210502,20340.00,20340.00,20340.00,20950.00,582517260,28639,14,D,20960.00,20340.00
Post.Bank,20210501,20370.00,20370.00,20370.00,20960.00,2645655600,129880,30,D,20990.00,20370.00
Post.Bank,20210428,20980.00,21300.00,20980.00,20990.00,240018066270,11432296,1130,D,21620.00,20980.00
Post.Bank,20210427,21010.00,21010.00,21010.00,21620.00,2170059870,103287,36,D,21650.00,21010.00
Post.Bank,20210426,21020.00,21020.00,21020.00,21650.00,1164718200,55410,13,D,21670.00,21020.00
Post.Bank,20210425,21670.00,21670.00,21670.00,21670.00,78160504510,3606853,98,D,22340.00,21670.00
Post.Bank,20210424,21670.00,21670.00,21670.00,22340.00,120138480,5544,2,D,22340.00,21670.00
Post.Bank,20210421,21670.00,21670.00,21670.00,22340.00,86506640,3992,7,D,22340.00,21670.00
Post.Bank,20210420,21920.00,21920.00,21920.00,22340.00,2052238080,93624,28,D,22360.00,21920.00
Post.Bank,20210419,21920.00,21920.00,21920.00,22360.00,197258080,8999,13,D,22360.00,21920.00
Post.Bank,20210418,21920.00,21920.00,21920.00,22360.00,28912480,1319,3,D,22360.00,21920.00
Post.Bank,20210417,21920.00,21920.00,21920.00,22360.00,504905280,23034,8,D,22360.00,21920.00
Post.Bank,20210414,22360.00,22360.00,22360.00,22360.00,119676019320,5352237,311,D,22810.00,22360.00
Post.Bank,20210413,22390.00,22390.00,22390.00,22810.00,3210367760,143384,39,D,22840.00,22390.00
Post.Bank,20210412,22420.00,22420.00,22420.00,22840.00,3306501600,147480,18,D,22870.00,22420.00
Post.Bank,20210411,22870.00,22870.00,22870.00,22870.00,113615873000,4967900,145,D,23330.00,22870.00
Post.Bank,20210410,22880.00,22880.00,22880.00,23330.00,641875520,28054,14,D,23340.00,22880.00
Post.Bank,20210407,22910.00,22910.00,22910.00,23340.00,2689817280,117408,25,D,23370.00,22910.00
Post.Bank,20210406,22950.00,22950.00,22950.00,23370.00,4503042450,196211,38,D,23410.00,22950.00
Post.Bank,20210405,22980.00,22980.00,22980.00,23410.00,3152327460,137177,39,D,23440.00,22980.00
Post.Bank,20210404,23000.00,23000.00,23000.00,23440.00,2162943000,94041,26,D,23460.00,23000.00
Post.Bank,20210403,23040.00,23040.00,23040.00,23460.00,5213376000,226275,55,D,23510.00,23040.00
Post.Bank,20210331,24190.00,24490.00,22780.00,23510.00,420731463840,17894109,5013,D,23240.00,22780.00
Post.Bank,20210330,22400.00,23360.00,22000.00,23240.00,364547280430,15688900,1760,D,22040.00,23360.00
Post.Bank,20210328,21770.00,22530.00,20840.00,22040.00,557075656910,25277624,4602,D,21260.00,22530.00
Post.Bank,20210327,20420.00,21470.00,19860.00,21260.00,438274646150,20616369,1873,D,20260.00,21470.00
Post.Bank,20210317,19980.00,20440.00,19100.00,20260.00,474827525010,23437183,2564,D,19290.00,20440.00
Post.Bank,20210316,18560.00,19730.00,18560.00,19290.00,176889228960,9168539,1585,D,18900.00,19720.00
Post.Bank,20210315,18800.00,19420.00,18370.00,18900.00,112561593660,5957195,1281,D,18740.00,18480.00
Post.Bank,20210314,18180.00,19250.00,17860.00,18740.00,162515159840,8671419,1719,D,18180.00,18430.00
Post.Bank,20210313,18150.00,18550.00,18130.00,18180.00,259760874080,14289096,1988,D,18500.00,18130.00
Post.Bank,20210310,18470.00,18830.00,18470.00,18500.00,179289129610,9689497,1616,D,18840.00,18470.00
Post.Bank,20210309,19110.00,19120.00,18210.00,18840.00,282999658180,15022843,2696,D,18040.00,18410.00
Post.Bank,20210308,17500.00,18160.00,17100.00,18040.00,377480050210,20919643,2416,D,17140.00,18160.00
Post.Bank,20210307,17030.00,17600.00,16930.00,17140.00,150345738450,8769260,2115,D,17270.00,17230.00
