<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Rayan.Hamafza,20210630,75040.00,79202.00,75040.00,78073.00,162759003983,2084697,10486,D,75431.00,76900.00
Rayan.Hamafza,20210629,77000.00,77800.00,75000.00,75431.00,152910900247,2027153,10634,D,78706.00,75031.00
Rayan.Hamafza,20210628,77500.00,79074.00,75500.00,78706.00,204542650010,2598820,11306,D,75309.00,77900.00
Rayan.Hamafza,20210627,74417.00,76800.00,73500.00,75309.00,191656248888,2544918,9666,D,74403.00,76700.00
Rayan.Hamafza,20210626,73001.00,76604.00,71700.00,74403.00,141247538599,1898420,12534,D,75398.00,74021.00
Rayan.Hamafza,20210623,76500.00,77900.00,74834.00,75398.00,201668174401,2674705,17256,D,78772.00,74834.00
Rayan.Hamafza,20210622,79675.00,81900.00,76210.00,78772.00,145359780270,1845313,15454,D,79339.00,77500.00
Rayan.Hamafza,20210621,77700.00,79675.00,76000.00,79339.00,199225431310,2511070,14085,D,75881.00,79675.00
Rayan.Hamafza,20210620,77038.00,78500.00,74000.00,75881.00,170285933968,2244123,17077,D,77038.00,75950.00
Rayan.Hamafza,20210619,76971.00,78000.00,76971.00,77038.00,162975166593,2115527,8518,D,81022.00,76971.00
Rayan.Hamafza,20210616,79358.00,83325.00,76540.00,81022.00,283364725261,3497390,39894,D,79358.00,77720.00
Rayan.Hamafza,20210615,80550.00,84000.00,76523.00,79358.00,404649193145,5099053,13245,D,97318.00,79009.00
Rayan.Hamafza,20210609,94374.00,94374.00,94374.00,102818.00,2615952906,27719,87,D,104859.00,94374.00
Rayan.Hamafza,20210608,99921.00,99921.00,99921.00,104859.00,866215149,8669,22,D,105179.00,99921.00
Rayan.Hamafza,20210607,100092.00,100092.00,100092.00,105179.00,485646384,4852,18,D,105359.00,100092.00
Rayan.Hamafza,20210602,100173.00,100173.00,100173.00,105359.00,231900495,2315,18,D,105445.00,100173.00
Rayan.Hamafza,20210601,100275.00,100275.00,100275.00,105445.00,289393650,2886,11,D,105552.00,100275.00
Rayan.Hamafza,20210531,100386.00,100386.00,100386.00,105552.00,316215900,3150,20,D,105669.00,100386.00
Rayan.Hamafza,20210530,100467.00,100467.00,100467.00,105669.00,229868496,2288,14,D,105754.00,100467.00
Rayan.Hamafza,20210529,100579.00,100579.00,100579.00,105754.00,318936009,3171,23,D,105872.00,100579.00
Rayan.Hamafza,20210526,100585.00,100585.00,100585.00,105872.00,15087750,150,3,D,105878.00,100585.00
Rayan.Hamafza,20210525,100596.00,100596.00,100596.00,105878.00,31084164,309,6,D,105890.00,100596.00
Rayan.Hamafza,20210524,100606.00,100606.00,100606.00,105890.00,30584224,304,7,D,105901.00,100606.00
Rayan.Hamafza,20210523,100626.00,100626.00,100626.00,105901.00,55948056,556,9,D,105922.00,100626.00
Rayan.Hamafza,20210522,100659.00,100659.00,100659.00,105922.00,90593100,900,4,D,105956.00,100659.00
Rayan.Hamafza,20210519,100701.00,100701.00,100701.00,105956.00,121143303,1203,8,D,106001.00,100701.00
Rayan.Hamafza,20210518,101097.00,101097.00,101097.00,106001.00,1112067000,11000,8,D,106417.00,101097.00
Rayan.Hamafza,20210517,101126.00,101126.00,101126.00,106417.00,82215438,813,11,D,106448.00,101126.00
Rayan.Hamafza,20210516,101211.00,101211.00,101211.00,106448.00,237036162,2342,13,D,106537.00,101211.00
Rayan.Hamafza,20210515,101298.00,101298.00,101298.00,106537.00,246660630,2435,11,D,106629.00,101298.00
Rayan.Hamafza,20210512,103449.00,103449.00,103449.00,106629.00,286036485,2765,11,D,106648.00,103449.00
Rayan.Hamafza,20210511,103460.00,103460.00,103460.00,106648.00,174019720,1682,11,D,106659.00,103460.00
Rayan.Hamafza,20210510,103462.00,103462.00,103462.00,106659.00,37763630,365,5,D,106661.00,103462.00
Rayan.Hamafza,20210509,103468.00,103468.00,103468.00,106661.00,103054128,996,9,D,106668.00,103468.00
Rayan.Hamafza,20210508,103472.00,103472.00,103472.00,106668.00,57840848,559,9,D,106672.00,103472.00
Rayan.Hamafza,20210505,103519.00,103519.00,103519.00,106672.00,722148544,6976,18,D,106720.00,103519.00
Rayan.Hamafza,20210503,103520.00,103520.00,103520.00,106720.00,15424480,149,3,D,106721.00,103520.00
Rayan.Hamafza,20210502,103533.00,103533.00,103533.00,106721.00,211932051,2047,6,D,106735.00,103533.00
Rayan.Hamafza,20210501,103548.00,103548.00,103548.00,106735.00,225838188,2181,13,D,106750.00,103548.00
Rayan.Hamafza,20210428,103557.00,103557.00,103557.00,106750.00,128410680,1240,13,D,106759.00,103557.00
Rayan.Hamafza,20210427,104525.00,104525.00,104525.00,106759.00,14254492350,136374,30,D,107757.00,104525.00
Rayan.Hamafza,20210426,106243.00,106243.00,106243.00,107757.00,25304851497,238179,23,D,109528.00,106243.00
Rayan.Hamafza,20210425,107999.00,107999.00,107999.00,109528.00,25872456438,239562,28,D,111339.00,107999.00
Rayan.Hamafza,20210424,109769.00,109769.00,109769.00,111339.00,26064649050,237450,27,D,113163.00,109769.00
Rayan.Hamafza,20210421,109773.00,109773.00,109773.00,113163.00,64217205,585,9,D,113168.00,109773.00
Rayan.Hamafza,20210420,110981.00,110981.00,110981.00,113168.00,1668266392,15032,17,D,113245.00,110981.00
Rayan.Hamafza,20210419,110986.00,110986.00,110986.00,113245.00,139953346,1261,9,D,113251.00,110986.00
Rayan.Hamafza,20210418,110992.00,110992.00,110992.00,113251.00,135299248,1219,14,D,113257.00,110992.00
Rayan.Hamafza,20210417,111000.00,111000.00,111000.00,113257.00,178710000,1610,23,D,113265.00,111000.00
Rayan.Hamafza,20210414,111023.00,111023.00,111023.00,113265.00,496272810,4470,30,D,113288.00,111023.00
Rayan.Hamafza,20210413,111110.00,111110.00,111110.00,113288.00,1921980780,17298,54,D,113377.00,111110.00
Rayan.Hamafza,20210412,111149.00,111149.00,111149.00,113377.00,854513512,7688,38,D,113417.00,111149.00
Rayan.Hamafza,20210411,111182.00,111182.00,111182.00,113417.00,725796096,6528,30,D,113451.00,111182.00
Rayan.Hamafza,20210410,111204.00,111204.00,111204.00,113451.00,483959808,4352,48,D,113473.00,111204.00
Rayan.Hamafza,20210407,111325.00,111325.00,111325.00,113473.00,2852257825,25621,63,D,113596.00,111325.00
Rayan.Hamafza,20210406,111648.00,111648.00,111648.00,113596.00,7645096800,68475,147,D,113926.00,111648.00
