<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Iranian.Etekai,20210630,10283.00,10283.00,10283.00,10283.00,16743150788,1628236,103,D,9794.00,10283.00
S*Iranian.Etekai,20210629,9250.00,9825.00,9009.00,9794.00,544971524924,55643796,1970,D,9358.00,9825.00
S*Iranian.Etekai,20210628,9480.00,9500.00,9200.00,9358.00,12345650942,1326734,451,D,9615.00,9399.00
S*Iranian.Etekai,20210627,9820.00,10006.00,9380.00,9615.00,21626135985,2249297,732,D,9734.00,9421.00
S*Iranian.Etekai,20210626,9401.00,9950.00,9272.00,9734.00,48048951292,4936135,806,D,9759.00,9759.00
S*Iranian.Etekai,20210623,9800.00,10000.00,9711.00,9759.00,43971024969,4505784,891,D,10222.00,9711.00
S*Iranian.Etekai,20210622,10200.00,10630.00,10052.00,10222.00,64107990851,6271734,1308,D,10581.00,10052.00
S*Iranian.Etekai,20210621,10072.00,10605.00,9650.00,10581.00,109228175292,10323189,597,D,10100.00,10599.00
S*Iranian.Etekai,20210620,9960.00,10100.00,9848.00,10100.00,9564396941,963751,203,D,10366.00,10070.00
S*Iranian.Etekai,20210619,10120.00,10328.00,9974.00,10366.00,4396905474,435649,141,D,10468.00,10055.00
S*Iranian.Etekai,20210616,10246.00,10592.00,10245.00,10468.00,9636664784,940426,149,D,10784.00,10245.00
S*Iranian.Etekai,20210615,10408.00,10933.00,10408.00,10784.00,8536919037,804294,220,D,10955.00,10408.00
S*Iranian.Etekai,20210614,10944.00,11510.00,10944.00,10955.00,22101359604,2017450,271,D,11519.00,10944.00
S*Iranian.Etekai,20210613,11346.00,11470.00,11346.00,11519.00,12927955020,1139225,122,D,11943.00,11346.00
S*Iranian.Etekai,20210612,11934.00,12300.00,11934.00,11943.00,19841929608,1661341,187,D,12562.00,11934.00
S*Iranian.Etekai,20210609,12552.00,13104.00,12536.00,12562.00,23118907739,1840377,160,D,13195.00,12536.00
S*Iranian.Etekai,20210608,12970.00,13269.00,12616.00,13195.00,3950792685,306407,114,D,13266.00,12900.00
S*Iranian.Etekai,20210607,13800.00,13800.00,13000.00,13266.00,6799447610,517162,193,D,13322.00,13248.00
S*Iranian.Etekai,20210602,12900.00,13559.00,12815.00,13322.00,9946375847,757158,205,D,13489.00,13490.00
S*Iranian.Etekai,20210601,13725.00,13740.00,13097.00,13489.00,9966412926,757426,280,D,13786.00,13097.00
S*Iranian.Etekai,20210531,14080.00,14080.00,13349.00,13786.00,8157002635,610748,89,D,14051.00,13349.00
S*Iranian.Etekai,20210530,14200.00,14456.00,13700.00,14051.00,4872461178,347658,128,D,14061.00,13702.00
S*Iranian.Etekai,20210529,14060.00,14450.00,13702.00,14061.00,5824116301,412298,185,D,14038.00,14132.00
S*Iranian.Etekai,20210526,13900.00,14477.00,13363.00,14038.00,9193960949,656850,184,D,14066.00,14062.00
S*Iranian.Etekai,20210525,14060.00,14730.00,14060.00,14066.00,80747873950,5740485,173,D,14800.00,14060.00
S*Iranian.Etekai,20210524,14123.00,14195.00,14123.00,14800.00,2002975203,141816,51,D,14866.00,14123.00
S*Iranian.Etekai,20210523,14157.00,14200.00,14157.00,14866.00,1093708256,77232,39,D,14902.00,14157.00
S*Iranian.Etekai,20210522,14850.00,14900.00,14722.00,14902.00,18215115498,1236810,68,D,15496.00,14722.00
S*Iranian.Etekai,20210519,15250.00,15690.00,15249.00,15496.00,18699404322,1220337,141,D,16051.00,15360.00
S*Iranian.Etekai,20210518,15429.00,16030.00,15429.00,16051.00,5959864319,385667,98,D,16241.00,15429.00
S*Iranian.Etekai,20210517,17070.00,17070.00,15482.00,16241.00,2326924567,146899,108,D,16282.00,15900.00
S*Iranian.Etekai,20210516,16245.00,17057.00,15850.00,16282.00,2032999448,121458,90,D,16245.00,16798.00
S*Iranian.Etekai,20210511,16400.00,16500.00,15794.00,16245.00,4676723608,294146,133,D,16282.00,16200.00
S*Iranian.Etekai,20210510,15911.00,16398.00,15911.00,16282.00,11897845602,747579,103,D,16403.00,15999.00
S*Iranian.Etekai,20210509,15927.00,16955.00,15927.00,16403.00,1903187128,118871,55,D,16419.00,15927.00
S*Iranian.Etekai,20210508,16068.00,16068.00,16067.00,16419.00,14039901797,873834,78,D,16563.00,16067.00
S*Iranian.Etekai,20210505,16187.00,16699.00,16187.00,16563.00,11835921642,731042,113,D,16687.00,16187.00
S*Iranian.Etekai,20210503,16354.00,16465.00,16354.00,16687.00,16370484015,1000923,62,D,16859.00,16354.00
S*Iranian.Etekai,20210502,16510.00,16664.00,16473.00,16859.00,11767864713,714318,61,D,16982.00,16473.00
S*Iranian.Etekai,20210501,16748.00,16748.00,16510.00,16982.00,4722532218,284026,82,D,17020.00,16510.00
S*Iranian.Etekai,20210428,16556.00,16748.00,16556.00,17020.00,4544603352,274304,76,D,17068.00,16680.00
S*Iranian.Etekai,20210427,16748.00,16748.00,16640.00,17068.00,8032894047,482724,103,D,17154.00,16640.00
S*Iranian.Etekai,20210426,16661.00,16748.00,16661.00,17154.00,2071758522,124254,46,D,17176.00,16681.00
