<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Pasargad.Bank,20210630,15200.00,15230.00,15200.00,15210.00,467939237950,30764271,1835,D,15200.00,15230.00
S*Pasargad.Bank,20210629,14910.00,15330.00,14910.00,15200.00,49450570490,3294787,614,D,15340.00,14990.00
S*Pasargad.Bank,20210623,15340.00,15390.00,15330.00,15340.00,432031529790,28159846,2125,D,15330.00,15380.00
S*Pasargad.Bank,20210622,15220.00,15550.00,15210.00,15330.00,282951416700,18455177,1508,D,15210.00,15390.00
S*Pasargad.Bank,20210621,15210.00,15220.00,15210.00,15210.00,678539961280,44611222,2288,D,15210.00,15210.00
S*Pasargad.Bank,20210620,15210.00,15220.00,15210.00,15210.00,515566850020,33896316,1790,D,15200.00,15210.00
S*Pasargad.Bank,20210619,15180.00,15220.00,15180.00,15200.00,226331114840,14894402,1312,D,15180.00,15210.00
S*Pasargad.Bank,20210616,15180.00,15190.00,15180.00,15180.00,292294739700,19255108,1476,D,15180.00,15180.00
S*Pasargad.Bank,20210615,15180.00,15200.00,15170.00,15180.00,371051825850,24443507,1654,D,15180.00,15190.00
S*Pasargad.Bank,20210614,15800.00,15800.00,15100.00,15180.00,346993057310,22854703,3236,D,15890.00,15300.00
S*Pasargad.Bank,20210613,15890.00,15900.00,15880.00,15890.00,792970306150,49903417,2117,D,15890.00,15890.00
S*Pasargad.Bank,20210612,15890.00,15900.00,15880.00,15890.00,879633927320,55357767,2489,D,15890.00,15890.00
S*Pasargad.Bank,20210609,15890.00,15900.00,15890.00,15890.00,399847491400,25162651,1617,D,15880.00,15890.00
S*Pasargad.Bank,20210608,15860.00,15990.00,15860.00,15880.00,667890316450,42058901,2663,D,15860.00,15890.00
S*Pasargad.Bank,20210607,15840.00,15870.00,15840.00,15860.00,493430032070,31116523,2119,D,15840.00,15870.00
S*Pasargad.Bank,20210602,15200.00,15860.00,15200.00,15840.00,564539885110,35632841,2431,D,15830.00,15850.00
S*Pasargad.Bank,20210601,15820.00,15850.00,15820.00,15830.00,493602575200,31183022,2017,D,15820.00,15830.00
S*Pasargad.Bank,20210531,15820.00,15850.00,15820.00,15820.00,530317712220,33521467,2081,D,15810.00,15830.00
S*Pasargad.Bank,20210530,15800.00,15840.00,15490.00,15810.00,1033499706200,65364979,4376,D,15780.00,15830.00
S*Pasargad.Bank,20210529,15790.00,15800.00,15750.00,15780.00,765508524840,48504282,3881,D,15690.00,15800.00
S*Pasargad.Bank,20210526,15670.00,15820.00,15670.00,15690.00,605878729670,38618669,3479,D,15670.00,15690.00
S*Pasargad.Bank,20210525,15600.00,15890.00,15600.00,15670.00,1957458532760,124935469,9139,D,16420.00,15700.00
S*Pasargad.Bank,20210524,15650.00,15650.00,15650.00,16420.00,6397751300,408802,118,D,16470.00,15650.00
