<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Tehran.Const.,20210630,11000.00,11000.00,11000.00,11560.00,142516000,12956,7,D,11570.00,11000.00
S*Tehran.Const.,20210629,11000.00,11000.00,11000.00,11570.00,91850000,8350,7,D,11570.00,11000.00
S*Tehran.Const.,20210628,11030.00,11030.00,11030.00,11570.00,900687740,81658,80,D,11610.00,11030.00
S*Tehran.Const.,20210627,11090.00,11090.00,11090.00,11610.00,1350274040,121756,63,D,11670.00,11090.00
S*Tehran.Const.,20210626,11210.00,11210.00,11210.00,11670.00,2923220490,260769,30,D,11790.00,11210.00
S*Tehran.Const.,20210623,11790.00,11790.00,11790.00,11790.00,14641989210,1241899,57,D,12410.00,11790.00
S*Tehran.Const.,20210622,11790.00,11790.00,11790.00,12410.00,103846320,8808,7,D,12410.00,11790.00
S*Tehran.Const.,20210621,11790.00,11790.00,11790.00,12410.00,67674600,5740,7,D,12410.00,11790.00
S*Tehran.Const.,20210620,11790.00,11790.00,11790.00,12410.00,67592070,5733,7,D,12410.00,11790.00
S*Tehran.Const.,20210619,11320.00,11320.00,11320.00,12410.00,1701475240,150307,45,D,12570.00,11320.00
S*Tehran.Const.,20210616,11950.00,11950.00,11950.00,12570.00,10026050,839,2,D,12570.00,11950.00
S*Tehran.Const.,20210615,11950.00,11950.00,11950.00,12570.00,10408450,871,2,D,12570.00,11950.00
S*Tehran.Const.,20210614,11950.00,11950.00,11950.00,12570.00,59750000,5000,1,D,12570.00,11950.00
S*Tehran.Const.,20210613,11950.00,11950.00,11950.00,12570.00,18223750,1525,2,D,12570.00,11950.00
S*Tehran.Const.,20210612,11950.00,11950.00,11950.00,12570.00,5724050,479,1,D,12570.00,11950.00
S*Tehran.Const.,20210608,11950.00,11950.00,11950.00,12570.00,16980950,1421,2,D,12570.00,11950.00
S*Tehran.Const.,20210607,11950.00,11950.00,11950.00,12570.00,10982050,919,2,D,12570.00,11950.00
S*Tehran.Const.,20210602,11950.00,11950.00,11950.00,12570.00,87127450,7291,9,D,12570.00,11950.00
S*Tehran.Const.,20210601,11960.00,11960.00,11960.00,12570.00,159905200,13370,5,D,12580.00,11960.00
S*Tehran.Const.,20210531,11430.00,11430.00,11430.00,12580.00,1270330200,111140,64,D,12700.00,11430.00
S*Tehran.Const.,20210530,12080.00,12080.00,12080.00,12700.00,182722080,15126,7,D,12710.00,12080.00
S*Tehran.Const.,20210529,12080.00,12080.00,12080.00,12710.00,50035360,4142,6,D,12710.00,12080.00
S*Tehran.Const.,20210526,12080.00,12080.00,12080.00,12710.00,12080000,1000,2,D,12710.00,12080.00
S*Tehran.Const.,20210525,12080.00,12080.00,12080.00,12710.00,34669600,2870,5,D,12710.00,12080.00
S*Tehran.Const.,20210524,12090.00,12090.00,12090.00,12710.00,129363000,10700,5,D,12720.00,12090.00
S*Tehran.Const.,20210523,12090.00,12090.00,12090.00,12720.00,6045000,500,1,D,12720.00,12090.00
S*Tehran.Const.,20210519,12090.00,12090.00,12090.00,12720.00,23394150,1935,3,D,12720.00,12090.00
S*Tehran.Const.,20210518,12090.00,12090.00,12090.00,12720.00,78101400,6460,8,D,12720.00,12090.00
S*Tehran.Const.,20210516,11620.00,11620.00,11620.00,12720.00,1928373860,165953,62,D,12910.00,11620.00
S*Tehran.Const.,20210515,12330.00,12330.00,12330.00,12910.00,1343982330,109001,7,D,12970.00,12330.00
S*Tehran.Const.,20210512,12590.00,12590.00,12590.00,12970.00,24260930,1927,3,D,12970.00,12590.00
S*Tehran.Const.,20210511,12600.00,12600.00,12600.00,12970.00,805316400,63914,8,D,12980.00,12600.00
S*Tehran.Const.,20210510,12600.00,12600.00,12600.00,12980.00,7005600,556,1,D,12980.00,12600.00
S*Tehran.Const.,20210509,12600.00,12600.00,12600.00,12980.00,6300000,500,1,D,12980.00,12600.00
S*Tehran.Const.,20210508,12600.00,12600.00,12600.00,12980.00,58766400,4664,6,D,12980.00,12600.00
S*Tehran.Const.,20210505,12610.00,12610.00,12610.00,12980.00,2167041110,171851,32,D,13000.00,12610.00
S*Tehran.Const.,20210503,12610.00,12610.00,12610.00,13000.00,18221450,1445,2,D,13000.00,12610.00
S*Tehran.Const.,20210502,12610.00,12610.00,12610.00,13000.00,20768670,1647,2,D,13000.00,12610.00
S*Tehran.Const.,20210428,12610.00,12610.00,12610.00,13000.00,5044000,400,1,D,13000.00,12610.00
S*Tehran.Const.,20210427,12610.00,12610.00,12610.00,13000.00,110766240,8784,8,D,13000.00,12610.00
S*Tehran.Const.,20210426,12610.00,12610.00,12610.00,13000.00,30264000,2400,3,D,13000.00,12610.00
S*Tehran.Const.,20210425,12220.00,12220.00,12220.00,13000.00,219654500,17975,19,D,13000.00,12220.00
S*Tehran.Const.,20210424,12610.00,12610.00,12610.00,13000.00,89404900,7090,5,D,13000.00,12610.00
S*Tehran.Const.,20210421,12610.00,12610.00,12610.00,13000.00,18915000,1500,2,D,13000.00,12610.00
S*Tehran.Const.,20210420,12750.00,12750.00,12750.00,13000.00,2292411750,179797,11,D,13010.00,12750.00
S*Tehran.Const.,20210419,12760.00,12760.00,12760.00,13010.00,1847596960,144796,9,D,13020.00,12760.00
S*Tehran.Const.,20210418,12770.00,12770.00,12770.00,13020.00,2539531590,198867,5,D,13030.00,12770.00
S*Tehran.Const.,20210417,12770.00,12770.00,12770.00,13030.00,238186040,18652,5,D,13030.00,12770.00
S*Tehran.Const.,20210414,12770.00,12770.00,12770.00,13030.00,12271970,961,2,D,13030.00,12770.00
S*Tehran.Const.,20210413,12770.00,12770.00,12770.00,13030.00,92071700,7210,7,D,13030.00,12770.00
S*Tehran.Const.,20210412,12770.00,12770.00,12770.00,13030.00,163366610,12793,5,D,13030.00,12770.00
S*Tehran.Const.,20210411,12770.00,12770.00,12770.00,13030.00,513417850,40205,4,D,13030.00,12770.00
S*Tehran.Const.,20210410,12510.00,12510.00,12510.00,13030.00,152984790,12229,13,D,13030.00,12510.00
S*Tehran.Const.,20210407,12770.00,12770.00,12770.00,13030.00,46291250,3625,6,D,13030.00,12770.00
S*Tehran.Const.,20210406,12770.00,12770.00,12770.00,13030.00,116207000,9100,5,D,13030.00,12770.00
S*Tehran.Const.,20210405,12780.00,12780.00,12780.00,13030.00,1298448000,101600,5,D,13040.00,12780.00
S*Tehran.Const.,20210404,12780.00,12780.00,12780.00,13040.00,52743060,4127,5,D,13040.00,12780.00
S*Tehran.Const.,20210403,12780.00,12780.00,12780.00,13040.00,910217160,71222,18,D,13040.00,12780.00
S*Tehran.Const.,20210331,12780.00,12780.00,12780.00,13040.00,156503880,12246,9,D,13040.00,12780.00
S*Tehran.Const.,20210330,12780.00,12780.00,12780.00,13040.00,391847580,30661,27,D,13040.00,12780.00
S*Tehran.Const.,20210328,12800.00,12800.00,12800.00,13040.00,3542937600,276792,35,D,13060.00,12800.00
S*Tehran.Const.,20210327,12830.00,12830.00,12830.00,13060.00,5042061700,392990,36,D,13090.00,12830.00
S*Tehran.Const.,20210317,12840.00,12840.00,12840.00,13090.00,1357162320,105698,29,D,13100.00,12840.00
S*Tehran.Const.,20210316,12730.00,12730.00,12730.00,13100.00,14815543170,1163829,168,D,13260.00,12730.00
S*Tehran.Const.,20210315,13000.00,13000.00,13000.00,13260.00,298649000,22973,8,D,13260.00,13000.00
