<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Saman.Gostar,20210630,20920.00,20920.00,20920.00,22000.00,195560160,9348,2,D,22020.00,20920.00
Saman.Gostar,20210629,20920.00,20920.00,20920.00,22020.00,57320800,2740,3,D,22020.00,20920.00
Saman.Gostar,20210628,20930.00,20930.00,20930.00,22020.00,132926430,6351,9,D,22030.00,20930.00
Saman.Gostar,20210627,20430.00,20430.00,20430.00,22030.00,3932345970,192479,75,D,22690.00,20430.00
Saman.Gostar,20210626,21570.00,21570.00,21570.00,22690.00,140205000,6500,5,D,22700.00,21570.00
Saman.Gostar,20210623,21570.00,21570.00,21570.00,22700.00,60396000,2800,4,D,22700.00,21570.00
Saman.Gostar,20210622,21570.00,21570.00,21570.00,22700.00,5392500,250,1,D,22700.00,21570.00
Saman.Gostar,20210619,21570.00,21570.00,21570.00,22700.00,31276500,1450,2,D,22700.00,21570.00
Saman.Gostar,20210615,21570.00,21570.00,21570.00,22700.00,5176800,240,1,D,22700.00,21570.00
Saman.Gostar,20210614,21570.00,21570.00,21570.00,22700.00,10461450,485,2,D,22700.00,21570.00
Saman.Gostar,20210609,21570.00,21570.00,21570.00,22700.00,53105340,2462,3,D,22700.00,21570.00
Saman.Gostar,20210601,21570.00,21570.00,21570.00,22700.00,5392500,250,1,D,22700.00,21570.00
Saman.Gostar,20210531,21570.00,21570.00,21570.00,22700.00,5068950,235,1,D,22700.00,21570.00
Saman.Gostar,20210530,21570.00,21570.00,21570.00,22700.00,6600420,306,1,D,22700.00,21570.00
Saman.Gostar,20210529,21570.00,21570.00,21570.00,22700.00,20707200,960,4,D,22700.00,21570.00
Saman.Gostar,20210524,21570.00,21570.00,21570.00,22700.00,49805130,2309,1,D,22700.00,21570.00
Saman.Gostar,20210516,21580.00,21580.00,21580.00,22700.00,136212960,6312,8,D,22710.00,21580.00
Saman.Gostar,20210515,22710.00,22710.00,22710.00,22710.00,16149762300,711130,61,D,23900.00,22710.00
Saman.Gostar,20210509,23190.00,23190.00,23190.00,23900.00,17578020,758,3,D,23900.00,23190.00
Saman.Gostar,20210508,23190.00,23190.00,23190.00,23900.00,69570000,3000,4,D,23900.00,23190.00
Saman.Gostar,20210501,23190.00,23190.00,23190.00,23900.00,44084190,1901,1,D,23900.00,23190.00
Saman.Gostar,20210428,23190.00,23190.00,23190.00,23900.00,51713700,2230,2,D,23900.00,23190.00
Saman.Gostar,20210427,23200.00,23200.00,23200.00,23900.00,392358400,16912,6,D,23910.00,23200.00
Saman.Gostar,20210425,23200.00,23200.00,23200.00,23910.00,9952800,429,1,D,23910.00,23200.00
Saman.Gostar,20210420,23440.00,23440.00,23440.00,23910.00,93760000,4000,1,D,23910.00,23440.00
Saman.Gostar,20210419,23440.00,23440.00,23440.00,23910.00,5860000,250,1,D,23910.00,23440.00
Saman.Gostar,20210418,23440.00,23440.00,23440.00,23910.00,5860000,250,1,D,23910.00,23440.00
Saman.Gostar,20210417,23440.00,23440.00,23440.00,23910.00,433640000,18500,2,D,23910.00,23440.00
Saman.Gostar,20210414,23440.00,23440.00,23440.00,23910.00,144859200,6180,2,D,23910.00,23440.00
