<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Shahdab.Khorasan,20210630,3330.00,3357.00,3200.00,3262.00,81564815834,25004686,2156,D,3236.00,3280.00
Shahdab.Khorasan,20210629,3180.00,3300.00,3152.00,3236.00,72602626720,22432750,1974,D,3222.00,3297.00
Shahdab.Khorasan,20210628,3236.00,3320.00,3162.00,3222.00,55106372460,17101703,1815,D,3302.00,3239.00
Shahdab.Khorasan,20210627,3290.00,3400.00,3247.00,3302.00,46262315504,14008711,1532,D,3357.00,3248.00
Shahdab.Khorasan,20210626,3434.00,3439.00,3302.00,3357.00,76853032726,22892596,2210,D,3394.00,3311.00
Shahdab.Khorasan,20210623,3400.00,3446.00,3314.00,3394.00,64063953506,18877061,1475,D,3340.00,3387.00
Shahdab.Khorasan,20210622,3231.00,3404.00,3220.00,3340.00,68122718838,20394284,1852,D,3242.00,3404.00
Shahdab.Khorasan,20210621,3300.00,3390.00,3160.00,3242.00,86054531988,26540587,2301,D,3267.00,3265.00
Shahdab.Khorasan,20210620,3070.00,3297.00,3022.00,3267.00,143886896842,44041724,2985,D,3140.00,3297.00
Shahdab.Khorasan,20210619,3120.00,3213.00,3082.00,3140.00,63499695006,20224695,2105,D,3230.00,3115.00
Shahdab.Khorasan,20210616,3313.00,3359.00,3213.00,3230.00,60530863473,18741394,1152,D,3382.00,3213.00
Shahdab.Khorasan,20210615,3509.00,3573.00,3312.00,3382.00,108747262680,32151501,2739,D,3486.00,3360.00
Shahdab.Khorasan,20210614,3580.00,3645.00,3376.00,3486.00,127546724303,36591552,3205,D,3504.00,3441.00
Shahdab.Khorasan,20210613,3439.00,3670.00,3439.00,3504.00,164596786439,46974831,3186,D,3620.00,3579.00
Shahdab.Khorasan,20210612,3781.00,3789.00,3542.00,3620.00,101772439826,28114557,2401,D,3728.00,3542.00
Shahdab.Khorasan,20210609,3598.00,3731.00,3598.00,3728.00,414084734976,111081356,4640,D,3554.00,3731.00
Shahdab.Khorasan,20210608,3504.00,3722.00,3504.00,3554.00,447964965554,126060578,7428,D,3688.00,3601.00
Shahdab.Khorasan,20210607,3555.00,3555.00,3555.00,3688.00,4133185200,1162640,148,D,3742.00,3555.00
Shahdab.Khorasan,20210602,3575.00,3575.00,3575.00,3742.00,1565324475,437853,59,D,3763.00,3575.00
Shahdab.Khorasan,20210601,3581.00,3581.00,3581.00,3763.00,457938280,127880,18,D,3769.00,3581.00
Shahdab.Khorasan,20210531,3584.00,3584.00,3584.00,3769.00,234092544,65316,25,D,3772.00,3584.00
Shahdab.Khorasan,20210530,3643.00,3643.00,3643.00,3772.00,4543469454,1247178,119,D,3834.00,3643.00
Shahdab.Khorasan,20210529,3709.00,3709.00,3709.00,3834.00,5126142138,1382082,152,D,3904.00,3709.00
Shahdab.Khorasan,20210526,3713.00,3713.00,3713.00,3904.00,320650967,86359,17,D,3908.00,3713.00
Shahdab.Khorasan,20210525,3718.00,3718.00,3718.00,3908.00,335887838,90341,27,D,3913.00,3718.00
Shahdab.Khorasan,20210524,3721.00,3721.00,3721.00,3913.00,188085387,50547,15,D,3916.00,3721.00
Shahdab.Khorasan,20210523,3722.00,3722.00,3722.00,3916.00,74145962,19921,9,D,3917.00,3722.00
Shahdab.Khorasan,20210522,3723.00,3723.00,3723.00,3917.00,78443610,21070,8,D,3918.00,3723.00
Shahdab.Khorasan,20210519,3724.00,3724.00,3724.00,3918.00,132779220,35655,6,D,3920.00,3724.00
Shahdab.Khorasan,20210518,3726.00,3726.00,3726.00,3920.00,157784922,42347,20,D,3922.00,3726.00
Shahdab.Khorasan,20210517,3728.00,3728.00,3728.00,3922.00,163260304,43793,12,D,3924.00,3728.00
Shahdab.Khorasan,20210516,3750.00,3750.00,3750.00,3924.00,1675953750,446921,36,D,3947.00,3750.00
Shahdab.Khorasan,20210515,3759.00,3759.00,3759.00,3947.00,622208475,165525,37,D,3956.00,3759.00
Shahdab.Khorasan,20210512,3838.00,3838.00,3838.00,3956.00,177319438,46201,11,D,3956.00,3838.00
Shahdab.Khorasan,20210511,3841.00,3841.00,3841.00,3956.00,1273203157,331477,33,D,3959.00,3841.00
Shahdab.Khorasan,20210510,3843.00,3843.00,3843.00,3959.00,679254093,176751,25,D,3961.00,3843.00
Shahdab.Khorasan,20210509,3843.00,3843.00,3843.00,3961.00,24691275,6425,3,D,3961.00,3843.00
Shahdab.Khorasan,20210508,3844.00,3844.00,3844.00,3961.00,278336352,72408,10,D,3962.00,3844.00
Shahdab.Khorasan,20210505,3846.00,3846.00,3846.00,3962.00,1022655246,265901,17,D,3964.00,3846.00
Shahdab.Khorasan,20210503,3846.00,3846.00,3846.00,3964.00,122218188,31778,13,D,3964.00,3846.00
Shahdab.Khorasan,20210502,3846.00,3846.00,3846.00,3964.00,120841320,31420,7,D,3964.00,3846.00
Shahdab.Khorasan,20210501,3847.00,3847.00,3847.00,3964.00,487838070,126810,16,D,3965.00,3847.00
Shahdab.Khorasan,20210428,3850.00,3850.00,3850.00,3965.00,1489341700,386842,42,D,3969.00,3850.00
Shahdab.Khorasan,20210427,3852.00,3852.00,3852.00,3969.00,875081952,227176,46,D,3971.00,3852.00
Shahdab.Khorasan,20210426,3855.00,3855.00,3855.00,3971.00,1212069825,314415,19,D,3974.00,3855.00
Shahdab.Khorasan,20210425,3857.00,3857.00,3857.00,3974.00,671754405,174165,15,D,3976.00,3857.00
Shahdab.Khorasan,20210424,3858.00,3858.00,3858.00,3976.00,266799990,69155,16,D,3977.00,3858.00
Shahdab.Khorasan,20210421,3859.00,3859.00,3859.00,3977.00,495248624,128336,29,D,3978.00,3859.00
Shahdab.Khorasan,20210420,3899.00,3899.00,3899.00,3978.00,206771768,53032,21,D,3978.00,3899.00
Shahdab.Khorasan,20210419,3900.00,3900.00,3900.00,3978.00,474942000,121780,19,D,3979.00,3900.00
