<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sobhan.Invest.,20210630,2531.00,2585.00,2501.00,2551.00,52229555966,20477713,608,D,2550.00,2579.00
Sobhan.Invest.,20210629,2510.00,2574.00,2510.00,2550.00,36959687842,14491389,545,D,2545.00,2557.00
Sobhan.Invest.,20210628,2560.00,2575.00,2465.00,2545.00,85282558063,33515274,847,D,2542.00,2552.00
Sobhan.Invest.,20210627,2536.00,2578.00,2483.00,2542.00,22086118130,8688037,617,D,2480.00,2515.00
Sobhan.Invest.,20210626,2490.00,2546.00,2417.00,2480.00,59007618428,23794778,841,D,2439.00,2544.00
Sobhan.Invest.,20210623,2456.00,2490.00,2400.00,2439.00,58217826333,23869738,873,D,2462.00,2490.00
Sobhan.Invest.,20210622,2475.00,2500.00,2440.00,2462.00,32521362736,13209119,510,D,2454.00,2486.00
Sobhan.Invest.,20210621,2469.00,2469.00,2440.00,2454.00,30572245053,12458991,501,D,2448.00,2469.00
Sobhan.Invest.,20210620,2459.00,2499.00,2431.00,2448.00,30068535340,12282609,497,D,2450.00,2460.00
Sobhan.Invest.,20210619,2514.00,2514.00,2420.00,2450.00,25315889542,10333804,535,D,2476.00,2488.00
Sobhan.Invest.,20210616,2446.00,2500.00,2444.00,2476.00,20774422767,8390852,618,D,2443.00,2452.00
Sobhan.Invest.,20210615,2450.00,2476.00,2407.00,2443.00,21929996257,8975863,500,D,2442.00,2443.00
Sobhan.Invest.,20210614,2460.00,2495.00,2418.00,2442.00,44771655437,18337632,970,D,2545.00,2450.00
Sobhan.Invest.,20210613,2500.00,2591.00,2495.00,2545.00,40268527778,15819999,1023,D,2487.00,2509.00
Sobhan.Invest.,20210612,2430.00,2510.00,2430.00,2487.00,74423458666,29923104,1466,D,2391.00,2508.00
Sobhan.Invest.,20210609,2365.00,2410.00,2317.00,2391.00,37324444858,15612235,614,D,2415.00,2403.00
Sobhan.Invest.,20210608,2330.00,2464.00,2330.00,2415.00,31967665491,13237060,687,D,2370.00,2400.00
Sobhan.Invest.,20210607,2320.00,2420.00,2320.00,2370.00,30706037979,12958751,710,D,2321.00,2406.00
Sobhan.Invest.,20210602,2299.00,2355.00,2201.00,2321.00,27498971121,11846836,701,D,2299.00,2330.00
Sobhan.Invest.,20210601,2231.00,2344.00,2231.00,2299.00,35997184570,15657215,541,D,2329.00,2300.00
Sobhan.Invest.,20210531,2350.00,2419.00,2251.00,2329.00,71397927178,30657520,1184,D,2369.00,2302.00
