<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tabarok.Ind..Group,20210630,14500.00,14800.00,14251.00,14497.00,41093466062,2834649,1210,D,14393.00,14430.00
Tabarok.Ind..Group,20210629,14946.00,15500.00,14128.00,14393.00,43006115032,2987905,1339,D,14871.00,14230.00
Tabarok.Ind..Group,20210628,15480.00,15480.00,14580.00,14871.00,53378323238,3589534,1639,D,15084.00,14600.00
Tabarok.Ind..Group,20210627,14667.00,15400.00,14570.00,15084.00,57525931713,3813727,1702,D,14940.00,15180.00
Tabarok.Ind..Group,20210626,15350.00,15354.00,14667.00,14940.00,121789716073,8151732,3034,D,15438.00,14885.00
Tabarok.Ind..Group,20210623,15250.00,15650.00,15120.00,15438.00,87434678838,5663668,2404,D,14949.00,15300.00
Tabarok.Ind..Group,20210622,14212.00,15608.00,14212.00,14949.00,236281452999,15805452,4406,D,14960.00,15360.00
Tabarok.Ind..Group,20210621,14960.00,14960.00,14960.00,14960.00,14755466880,986328,172,D,15747.00,14960.00
Tabarok.Ind..Group,20210620,15747.00,15747.00,15747.00,15747.00,16085277054,1021482,189,D,17496.00,15747.00
Tabarok.Ind..Group,20210619,16625.00,16625.00,16625.00,17496.00,72385250,4354,11,D,17500.00,16625.00
Tabarok.Ind..Group,20210616,16631.00,16631.00,16631.00,17500.00,95495202,5742,4,D,17506.00,16631.00
Tabarok.Ind..Group,20210615,16641.00,16641.00,16641.00,17506.00,164679336,9896,7,D,17516.00,16641.00
Tabarok.Ind..Group,20210614,16676.00,16676.00,16676.00,17516.00,620780776,37226,14,D,17553.00,16676.00
Tabarok.Ind..Group,20210613,16684.00,16684.00,16684.00,17553.00,154110108,9237,13,D,17562.00,16684.00
Tabarok.Ind..Group,20210612,16737.00,16737.00,16737.00,17562.00,939581706,56138,36,D,17617.00,16737.00
Tabarok.Ind..Group,20210609,17617.00,17617.00,17617.00,17617.00,16089958440,913320,160,D,19574.00,17617.00
Tabarok.Ind..Group,20210608,18601.00,18601.00,18601.00,19574.00,105802488,5688,16,D,19580.00,18601.00
Tabarok.Ind..Group,20210607,18609.00,18609.00,18609.00,19580.00,133817319,7191,15,D,19588.00,18609.00
