<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tondgooyan.Petro,20210630,9580.00,9756.00,9450.00,9729.00,400540703328,41169188,4034,D,9292.00,9756.00
Tondgooyan.Petro,20210629,8933.00,9351.00,8886.00,9292.00,218709162416,23538426,3721,D,8906.00,9351.00
Tondgooyan.Petro,20210628,9000.00,9028.00,8781.00,8906.00,206292940631,23163599,4936,D,9064.00,8885.00
Tondgooyan.Petro,20210627,9000.00,9300.00,8900.00,9064.00,213425150342,23547334,5407,D,9205.00,8951.00
Tondgooyan.Petro,20210626,9390.00,9390.00,9001.00,9205.00,303918604303,33015986,6951,D,9181.00,9070.00
Tondgooyan.Petro,20210623,9220.00,9223.00,8960.00,9181.00,391753875066,42670316,6009,D,8784.00,9223.00
Tondgooyan.Petro,20210622,8500.00,8837.00,8500.00,8784.00,159027944786,18104403,2550,D,8417.00,8837.00
Tondgooyan.Petro,20210621,8305.00,8550.00,8254.00,8417.00,233176469965,27704139,4342,D,8505.00,8500.00
Tondgooyan.Petro,20210620,8620.00,8620.00,8620.00,8505.00,67664103680,7849664,177,D,7985.00,8620.00
Tondgooyan.Petro,20210613,8650.00,8850.00,8642.00,8765.00,127565629227,14553280,3368,D,8791.00,8822.00
Tondgooyan.Petro,20210612,8846.00,9150.00,8644.00,8791.00,99158033085,11279689,2603,D,8846.00,8650.00
Tondgooyan.Petro,20210609,8779.00,9010.00,8360.00,8846.00,153202640227,17319779,2570,D,8794.00,8911.00
Tondgooyan.Petro,20210608,8790.00,8940.00,8580.00,8794.00,172274777208,19590802,3350,D,8689.00,8710.00
Tondgooyan.Petro,20210607,8640.00,8780.00,8560.00,8689.00,140916427643,16218686,3510,D,8525.00,8779.00
Tondgooyan.Petro,20210602,8250.00,8640.00,8250.00,8525.00,127912732682,15004896,3042,D,8408.00,8597.00
Tondgooyan.Petro,20210601,8600.00,8720.00,8201.00,8408.00,97464729612,11591804,2392,D,8625.00,8313.00
Tondgooyan.Petro,20210531,8553.00,8960.00,8528.00,8625.00,162803660365,18876224,3532,D,8976.00,8528.00
Tondgooyan.Petro,20210530,9100.00,9200.00,8580.00,8976.00,257597483430,28698081,5600,D,8897.00,8739.00
Tondgooyan.Petro,20210529,8527.00,8948.00,8527.00,8897.00,218522171101,24561072,3844,D,8522.00,8948.00
Tondgooyan.Petro,20210526,8409.00,8689.00,8401.00,8522.00,110324964440,12945712,4691,D,8581.00,8470.00
Tondgooyan.Petro,20210525,8340.00,8690.00,8340.00,8581.00,184134133719,21459356,3760,D,8328.00,8620.00
Tondgooyan.Petro,20210524,8170.00,8499.00,8116.00,8328.00,179888740143,21601304,4263,D,8178.00,8370.00
Tondgooyan.Petro,20210523,8000.00,8395.00,8000.00,8178.00,203099733319,24833401,5143,D,8101.00,8100.00
Tondgooyan.Petro,20210522,8410.00,8450.00,8066.00,8101.00,164713856536,20332329,3504,D,8490.00,8066.00
Tondgooyan.Petro,20210519,8451.00,8671.00,8300.00,8490.00,156480207173,18431811,3794,D,8501.00,8416.00
Tondgooyan.Petro,20210518,8400.00,8791.00,8324.00,8501.00,277027091156,32586371,5298,D,8762.00,8411.00
Tondgooyan.Petro,20210517,9000.00,9030.00,8585.00,8762.00,103423838002,11803280,1958,D,9036.00,8585.00
Tondgooyan.Petro,20210516,9130.00,9270.00,8850.00,9036.00,117938064068,13051719,3184,D,9117.00,8904.00
Tondgooyan.Petro,20210515,8774.00,9296.00,8635.00,9117.00,202608082818,22222510,4690,D,8854.00,9056.00
