<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tosee.Melli.Inv,20210630,7440.00,7540.00,7410.00,7420.00,10734276710,1441658,223,D,7370.00,7420.00
Tosee.Melli.Inv,20210629,7480.00,7480.00,7310.00,7370.00,16614433880,2253482,253,D,7430.00,7410.00
Tosee.Melli.Inv,20210628,7300.00,7490.00,7300.00,7430.00,11720410630,1581152,254,D,7470.00,7400.00
Tosee.Melli.Inv,20210627,7700.00,7700.00,7340.00,7470.00,22595143540,3025116,449,D,7440.00,7370.00
Tosee.Melli.Inv,20210626,7130.00,7480.00,7110.00,7440.00,45684281410,6144045,687,D,7130.00,7480.00
Tosee.Melli.Inv,20210623,7140.00,7180.00,7090.00,7130.00,14299926740,2003625,370,D,7070.00,7170.00
Tosee.Melli.Inv,20210622,7150.00,7150.00,7010.00,7070.00,11062915230,1564997,344,D,7090.00,7090.00
Tosee.Melli.Inv,20210621,7010.00,7180.00,7010.00,7090.00,7555132410,1070070,244,D,7120.00,7040.00
Tosee.Melli.Inv,20210620,7110.00,7330.00,7000.00,7120.00,18562275580,2607089,398,D,7090.00,7030.00
Tosee.Melli.Inv,20210619,7010.00,7210.00,7010.00,7090.00,7048722800,984921,230,D,7040.00,7160.00
Tosee.Melli.Inv,20210616,7130.00,7130.00,7000.00,7040.00,7762788480,1101531,178,D,7040.00,7030.00
Tosee.Melli.Inv,20210615,7000.00,7190.00,6900.00,7040.00,11768850470,1671033,270,D,7030.00,7020.00
Tosee.Melli.Inv,20210614,7000.00,7150.00,6900.00,7030.00,7080404500,1008662,262,D,7040.00,6990.00
Tosee.Melli.Inv,20210613,6930.00,7150.00,6850.00,7040.00,6183578890,886326,255,D,7090.00,7010.00
Tosee.Melli.Inv,20210612,7030.00,7150.00,6910.00,7090.00,5079621320,727464,288,D,7150.00,6980.00
Tosee.Melli.Inv,20210609,7060.00,7230.00,7050.00,7150.00,3254361210,456626,156,D,7160.00,7110.00
Tosee.Melli.Inv,20210608,7220.00,7330.00,7140.00,7160.00,6142508860,849425,243,D,7120.00,7140.00
Tosee.Melli.Inv,20210607,6880.00,7300.00,6880.00,7120.00,3417400250,476514,164,D,7110.00,7160.00
Tosee.Melli.Inv,20210602,6840.00,7360.00,6830.00,7110.00,11560589540,1623563,360,D,7070.00,7080.00
Tosee.Melli.Inv,20210601,6900.00,7140.00,6830.00,7070.00,5027842050,727068,196,D,7150.00,6850.00
Tosee.Melli.Inv,20210531,6930.00,7120.00,6930.00,7150.00,6764760260,966632,246,D,7280.00,6990.00
Tosee.Melli.Inv,20210530,7400.00,7620.00,7010.00,7280.00,23351667760,3205738,579,D,7290.00,7040.00
Tosee.Melli.Inv,20210529,7250.00,7400.00,7100.00,7290.00,27030961390,3707744,668,D,7100.00,7400.00
Tosee.Melli.Inv,20210526,6940.00,7140.00,6630.00,7100.00,31772815920,4478107,820,D,6800.00,7100.00
Tosee.Melli.Inv,20210525,6780.00,6810.00,6600.00,6800.00,19996828670,2942275,507,D,6490.00,6810.00
Tosee.Melli.Inv,20210524,6350.00,6560.00,6270.00,6490.00,20202322000,3113336,429,D,6250.00,6560.00
Tosee.Melli.Inv,20210523,5930.00,6430.00,5930.00,6250.00,10747528780,1718042,400,D,6220.00,6350.00
Tosee.Melli.Inv,20210522,6300.00,6300.00,6220.00,6220.00,16988816600,2730903,248,D,6540.00,6220.00
Tosee.Melli.Inv,20210519,6750.00,6750.00,6540.00,6540.00,24506257480,3744375,307,D,6880.00,6550.00
Tosee.Melli.Inv,20210518,6660.00,6980.00,6650.00,6880.00,13458127440,1955840,258,D,6970.00,6900.00
Tosee.Melli.Inv,20210517,7110.00,7110.00,6800.00,6970.00,7467340320,1090104,231,D,7110.00,6810.00
Tosee.Melli.Inv,20210516,7440.00,7500.00,7070.00,7110.00,22645490730,3183187,474,D,7440.00,7070.00
Tosee.Melli.Inv,20210515,7530.00,7590.00,7250.00,7440.00,11489485180,1551416,335,D,7580.00,7280.00
Tosee.Melli.Inv,20210512,7650.00,7880.00,7440.00,7580.00,23473363090,3135468,498,D,7670.00,7440.00
Tosee.Melli.Inv,20210511,7560.00,7680.00,7560.00,7670.00,12755841480,1678777,461,D,7690.00,7610.00
Tosee.Melli.Inv,20210510,7520.00,7920.00,7520.00,7690.00,16065441160,2126045,381,D,7750.00,7650.00
Tosee.Melli.Inv,20210509,7570.00,7580.00,7560.00,7750.00,7841178090,1037036,127,D,7790.00,7560.00
Tosee.Melli.Inv,20210508,7630.00,7760.00,7630.00,7790.00,15984478980,2092255,244,D,7860.00,7630.00
Tosee.Melli.Inv,20210505,7680.00,7730.00,7680.00,7860.00,10871371570,1415266,279,D,7910.00,7700.00
Tosee.Melli.Inv,20210503,7730.00,7730.00,7730.00,7910.00,10911822600,1411620,69,D,7960.00,7730.00
Tosee.Melli.Inv,20210502,7770.00,7770.00,7770.00,7960.00,10215055830,1314679,87,D,8010.00,7770.00
Tosee.Melli.Inv,20210501,7840.00,8100.00,7840.00,8010.00,15317379650,1951541,308,D,8080.00,7840.00
Tosee.Melli.Inv,20210428,7980.00,8160.00,7980.00,8080.00,27512801710,3446900,385,D,8220.00,7980.00
Tosee.Melli.Inv,20210427,8150.00,8320.00,8150.00,8220.00,34489927460,4229383,415,D,8400.00,8150.00
Tosee.Melli.Inv,20210426,8230.00,8290.00,8230.00,8400.00,15623865580,1898303,135,D,8480.00,8280.00
Tosee.Melli.Inv,20210425,8280.00,8280.00,8280.00,8480.00,10479996000,1265700,79,D,8530.00,8280.00
Tosee.Melli.Inv,20210424,8340.00,8400.00,8340.00,8530.00,11262285840,1350388,157,D,8590.00,8340.00
Tosee.Melli.Inv,20210421,8410.00,8500.00,8410.00,8590.00,14026256930,1667673,241,D,8660.00,8410.00
Tosee.Melli.Inv,20210420,8530.00,8530.00,8530.00,8660.00,10138237670,1188539,235,D,8700.00,8530.00
Tosee.Melli.Inv,20210419,8570.00,8570.00,8570.00,8700.00,11286818550,1317015,78,D,8740.00,8570.00
Tosee.Melli.Inv,20210418,8610.00,8610.00,8610.00,8740.00,11433580620,1327942,94,D,8780.00,8610.00
Tosee.Melli.Inv,20210417,8650.00,8650.00,8650.00,8780.00,11503600400,1329896,152,D,8820.00,8650.00
Tosee.Melli.Inv,20210414,8700.00,8760.00,8690.00,8820.00,11894230290,1368637,226,D,8860.00,8690.00
Tosee.Melli.Inv,20210413,8800.00,9000.00,8780.00,8860.00,27703231070,3147673,647,D,8950.00,8790.00
Tosee.Melli.Inv,20210412,8820.00,8830.00,8820.00,8950.00,13201245660,1496729,157,D,9000.00,8830.00
Tosee.Melli.Inv,20210411,8870.00,8870.00,8870.00,9000.00,14237636150,1605145,130,D,9050.00,8870.00
Tosee.Melli.Inv,20210410,8910.00,8910.00,8910.00,9050.00,12147216840,1363324,131,D,9090.00,8910.00
Tosee.Melli.Inv,20210407,8940.00,8980.00,8940.00,9090.00,8823255200,986930,237,D,9120.00,8940.00
Tosee.Melli.Inv,20210406,9050.00,9120.00,9000.00,9120.00,17135518360,1903264,296,D,9180.00,9000.00
Tosee.Melli.Inv,20210405,9050.00,9090.00,9050.00,9180.00,14049552390,1552045,291,D,9230.00,9080.00
Tosee.Melli.Inv,20210404,9100.00,9120.00,9100.00,9230.00,12787043460,1405160,193,D,9280.00,9100.00
Tosee.Melli.Inv,20210403,9170.00,9350.00,9160.00,9280.00,16039369600,1750416,364,D,9340.00,9160.00
Tosee.Melli.Inv,20210331,9250.00,9260.00,9240.00,9340.00,21211800610,2295520,366,D,9420.00,9250.00
Tosee.Melli.Inv,20210330,9500.00,9500.00,9340.00,9420.00,28075483480,3005332,486,D,9530.00,9340.00
Tosee.Melli.Inv,20210328,9520.00,9690.00,9430.00,9530.00,25621362230,2712521,619,D,9620.00,9430.00
Tosee.Melli.Inv,20210327,9890.00,9890.00,9510.00,9620.00,29503036170,3085346,793,D,9700.00,9580.00
Tosee.Melli.Inv,20210317,9600.00,9950.00,9500.00,9700.00,55890219450,5758912,1182,D,9650.00,9680.00
Tosee.Melli.Inv,20210316,9640.00,9800.00,9640.00,9650.00,97666915640,10121620,1215,D,9830.00,9640.00
Tosee.Melli.Inv,20210315,9700.00,9700.00,9700.00,9830.00,14398359900,1484367,155,D,9890.00,9700.00
Tosee.Melli.Inv,20210314,9760.00,9760.00,9760.00,9890.00,15767875360,1615561,161,D,9950.00,9760.00
Tosee.Melli.Inv,20210313,9820.00,9820.00,9820.00,9950.00,17348080740,1766607,142,D,10020.00,9820.00
Tosee.Melli.Inv,20210310,9900.00,9900.00,9900.00,10020.00,16125021000,1628790,205,D,10100.00,9900.00
Tosee.Melli.Inv,20210309,10240.00,10240.00,10040.00,10100.00,37906124640,3757573,424,D,10730.00,10040.00
Tosee.Melli.Inv,20210302,12630.00,13120.00,12630.00,12980.00,214381284830,16509974,2666,D,12430.00,13000.00
Tosee.Melli.Inv,20210301,11600.00,12500.00,11600.00,12430.00,161381977090,12985362,1231,D,11800.00,12500.00
Tosee.Melli.Inv,20210228,11760.00,12000.00,11760.00,11800.00,42886710220,3640948,722,D,11990.00,11760.00
Tosee.Melli.Inv,20210227,12560.00,12560.00,11980.00,11990.00,52422143450,4370720,637,D,12220.00,11980.00
Tosee.Melli.Inv,20210224,12400.00,12770.00,12090.00,12220.00,36890455030,3026071,753,D,12320.00,12350.00
Tosee.Melli.Inv,20210223,12270.00,12600.00,12260.00,12320.00,66105337170,5366693,805,D,12510.00,12490.00
Tosee.Melli.Inv,20210222,12480.00,12890.00,12480.00,12510.00,75535551590,6036847,1035,D,12730.00,12500.00
Tosee.Melli.Inv,20210221,12620.00,13240.00,12610.00,12730.00,45208426540,3554674,744,D,12860.00,12670.00
Tosee.Melli.Inv,20210220,13300.00,13300.00,12800.00,12860.00,56470059900,4391215,952,D,13060.00,12810.00
Tosee.Melli.Inv,20210217,12700.00,13190.00,12460.00,13060.00,84278523240,6454558,1623,D,12450.00,13010.00
Tosee.Melli.Inv,20210216,12400.00,12780.00,12200.00,12450.00,23443702840,1881614,511,D,12440.00,12520.00
Tosee.Melli.Inv,20210215,12780.00,12780.00,12250.00,12440.00,44244086360,3561125,525,D,12500.00,12410.00
Tosee.Melli.Inv,20210214,12900.00,13000.00,12390.00,12500.00,61262847980,4900270,826,D,12640.00,12390.00
Tosee.Melli.Inv,20210213,12560.00,12650.00,12090.00,12640.00,73851478080,5842124,646,D,11940.00,12650.00
Tosee.Melli.Inv,20210209,11920.00,12210.00,11330.00,11940.00,30558043860,2531507,693,D,11750.00,12170.00
Tosee.Melli.Inv,20210208,11860.00,11860.00,11400.00,11750.00,118632445580,10093919,976,D,11300.00,11860.00
Tosee.Melli.Inv,20210207,10620.00,11460.00,10620.00,11300.00,37521437280,3283432,360,D,10920.00,11460.00
Tosee.Melli.Inv,20210206,11000.00,11380.00,10890.00,10920.00,133665469100,12238287,1007,D,11460.00,10910.00
Tosee.Melli.Inv,20210203,11630.00,12050.00,11200.00,11460.00,48672401370,4247375,754,D,11630.00,11380.00
Tosee.Melli.Inv,20210202,11500.00,11710.00,11190.00,11630.00,24511052200,2123133,540,D,11710.00,11550.00
Tosee.Melli.Inv,20210201,11870.00,11990.00,11400.00,11710.00,33673462010,2907292,676,D,11970.00,11500.00
Tosee.Melli.Inv,20210131,12100.00,12450.00,11620.00,11970.00,44439379470,3706332,853,D,11890.00,11640.00
Tosee.Melli.Inv,20210130,11500.00,12020.00,11500.00,11890.00,72786984200,6122269,1231,D,11450.00,12020.00
Tosee.Melli.Inv,20210127,11560.00,11840.00,11020.00,11450.00,52424504680,4581153,892,D,11600.00,11640.00
Tosee.Melli.Inv,20210126,11490.00,12090.00,11490.00,11600.00,62413913120,5382230,906,D,12090.00,11490.00
Tosee.Melli.Inv,20210125,11400.00,12140.00,11400.00,12090.00,116542948680,9643211,1190,D,11570.00,12140.00
Tosee.Melli.Inv,20210124,11600.00,11600.00,11070.00,11570.00,193506092920,16728176,1746,D,11050.00,11600.00
Tosee.Melli.Inv,20210123,11300.00,11300.00,11300.00,11050.00,27452446000,2429420,124,D,10770.00,11300.00
Tosee.Melli.Inv,20210120,10990.00,10990.00,10820.00,10770.00,29848836840,2716619,397,D,10470.00,10990.00
