<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tukafoolad.Inv.,20210630,9120.00,9190.00,8920.00,9060.00,51102288340,5639102,965,D,9120.00,8990.00
Tukafoolad.Inv.,20210629,8830.00,9340.00,8830.00,9120.00,77982817720,8552777,1016,D,9080.00,9130.00
Tukafoolad.Inv.,20210628,8830.00,9350.00,8720.00,9080.00,107921665280,11882974,1358,D,8990.00,9090.00
Tukafoolad.Inv.,20210627,8720.00,9130.00,8710.00,8990.00,77560362410,8622986,1116,D,9020.00,8940.00
Tukafoolad.Inv.,20210626,9000.00,9050.00,8700.00,9020.00,104923748000,11633795,1076,D,8620.00,8860.00
Tukafoolad.Inv.,20210623,8470.00,8700.00,8370.00,8620.00,51816179070,6014062,678,D,8290.00,8700.00
Tukafoolad.Inv.,20210622,8000.00,8430.00,8000.00,8290.00,70059610660,8448075,974,D,8030.00,8430.00
Tukafoolad.Inv.,20210621,8050.00,8220.00,7750.00,8030.00,48447976790,6033490,984,D,8110.00,8060.00
Tukafoolad.Inv.,20210620,8460.00,8470.00,8000.00,8110.00,37120043170,4577132,907,D,8330.00,8100.00
Tukafoolad.Inv.,20210619,8250.00,8460.00,8100.00,8330.00,42545352470,5107691,949,D,8290.00,8370.00
Tukafoolad.Inv.,20210616,8160.00,8460.00,8150.00,8290.00,32505934010,3919639,963,D,8460.00,8320.00
Tukafoolad.Inv.,20210615,8700.00,8900.00,8280.00,8460.00,60308139320,7129382,1393,D,8680.00,8400.00
Tukafoolad.Inv.,20210614,8370.00,8780.00,8320.00,8680.00,111493911860,12845657,1362,D,8530.00,8780.00
Tukafoolad.Inv.,20210609,9070.00,9200.00,8670.00,8880.00,34520401540,3889039,766,D,9050.00,8710.00
Tukafoolad.Inv.,20210608,8960.00,9060.00,8800.00,9050.00,118660823160,13113691,1027,D,8630.00,9060.00
Tukafoolad.Inv.,20210607,8590.00,8910.00,8270.00,8630.00,54085484620,6269849,904,D,8530.00,8770.00
Tukafoolad.Inv.,20210602,8650.00,8650.00,8330.00,8530.00,30199757600,3539152,811,D,8310.00,8590.00
Tukafoolad.Inv.,20210601,7900.00,8700.00,7890.00,8310.00,96717843730,11636723,1930,D,8300.00,8540.00
Tukafoolad.Inv.,20210531,8270.00,8560.00,8270.00,8300.00,15842045030,1909716,284,D,8700.00,8270.00
Tukafoolad.Inv.,20210530,8950.00,9030.00,8310.00,8700.00,46063891670,5296870,879,D,8710.00,8360.00
Tukafoolad.Inv.,20210529,8620.00,8710.00,8500.00,8710.00,109337894230,12557904,677,D,8300.00,8710.00
Tukafoolad.Inv.,20210526,8020.00,8850.00,8020.00,8300.00,81158144680,9783252,1453,D,8440.00,8490.00
Tukafoolad.Inv.,20210525,8110.00,8110.00,8110.00,8440.00,2815929870,347217,50,D,8530.00,8110.00
Tukafoolad.Inv.,20210524,8130.00,8130.00,8130.00,8530.00,779845860,95922,29,D,8550.00,8130.00
Tukafoolad.Inv.,20210523,8180.00,8180.00,8180.00,8550.00,2058284320,251624,30,D,8610.00,8180.00
Tukafoolad.Inv.,20210522,8500.00,8520.00,8500.00,8610.00,10649884990,1252762,84,D,8940.00,8500.00
Tukafoolad.Inv.,20210519,9110.00,9250.00,8930.00,8940.00,20169051140,2256087,314,D,9400.00,8930.00
