<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zar.Makaron,20210630,23550.00,23710.00,22810.00,23110.00,61596278400,2664782,6868,D,23540.00,23330.00
Zar.Makaron,20210629,23000.00,24000.00,23000.00,23540.00,57558454380,2445591,6906,D,23210.00,23360.00
Zar.Makaron,20210628,23620.00,24000.00,22950.00,23210.00,74852236580,3225321,6763,D,23980.00,23040.00
Zar.Makaron,20210627,23600.00,24460.00,23600.00,23980.00,63615132420,2652576,6022,D,24250.00,23720.00
Zar.Makaron,20210626,24330.00,24950.00,23390.00,24250.00,114898281830,4738018,7674,D,24620.00,23850.00
Zar.Makaron,20210623,24040.00,25100.00,23910.00,24620.00,110177406180,4474231,8498,D,23930.00,24330.00
Zar.Makaron,20210622,23660.00,24070.00,23010.00,23930.00,166161594160,6943028,7930,D,22930.00,24070.00
Zar.Makaron,20210621,22600.00,23490.00,22500.00,22930.00,61973151950,2702268,5916,D,23350.00,23010.00
Zar.Makaron,20210620,23510.00,24090.00,22450.00,23350.00,86702228180,3712817,5510,D,23510.00,23200.00
Zar.Makaron,20210619,23240.00,23860.00,23040.00,23510.00,90717459220,3859385,5626,D,23040.00,23390.00
Zar.Makaron,20210616,21810.00,23220.00,21810.00,23040.00,137738052330,5978438,11977,D,22120.00,23220.00
Zar.Makaron,20210615,22230.00,22470.00,21710.00,22120.00,78937067760,3567918,9217,D,22390.00,22170.00
Zar.Makaron,20210614,22220.00,22950.00,21920.00,22390.00,51173736310,2285478,8724,D,22390.00,22550.00
Zar.Makaron,20210613,22880.00,22880.00,22050.00,22390.00,54931248330,2453135,6667,D,22650.00,22240.00
Zar.Makaron,20210612,23000.00,23100.00,22000.00,22650.00,69999084540,3090414,8850,D,22100.00,22870.00
Zar.Makaron,20210609,22310.00,23300.00,21870.00,22100.00,85169886580,3854383,7839,D,23020.00,23300.00
Zar.Makaron,20210608,22990.00,24000.00,22610.00,23020.00,130944512430,5688229,11899,D,23710.00,22760.00
Zar.Makaron,20210607,23990.00,24400.00,23020.00,23710.00,105006195100,4429611,14584,D,23880.00,23890.00
Zar.Makaron,20210602,22000.00,24090.00,22000.00,23880.00,247165956310,10350058,15979,D,22950.00,24000.00
Zar.Makaron,20210601,22810.00,23820.00,22700.00,22950.00,151689019620,6609466,12540,D,23890.00,22700.00
Zar.Makaron,20210531,22500.00,24240.00,22500.00,23890.00,324230095880,13573023,22341,D,23090.00,23400.00
Zar.Makaron,20210530,23030.00,23940.00,23030.00,23090.00,370758064470,16055760,27175,D,24240.00,23030.00
Zar.Makaron,20210529,23090.00,23090.00,23090.00,24240.00,1444764390,62571,144,D,24300.00,23090.00
Zar.Makaron,20210526,23100.00,23100.00,23100.00,24300.00,260337000,11270,20,D,24310.00,23100.00
Zar.Makaron,20210525,23110.00,23110.00,23110.00,24310.00,267775570,11587,19,D,24320.00,23110.00
Zar.Makaron,20210524,23120.00,23120.00,23120.00,24320.00,169469600,7330,12,D,24330.00,23120.00
Zar.Makaron,20210523,23120.00,23120.00,23120.00,24330.00,48945040,2117,6,D,24330.00,23120.00
Zar.Makaron,20210522,23120.00,23120.00,23120.00,24330.00,107068720,4631,11,D,24330.00,23120.00
Zar.Makaron,20210519,23130.00,23130.00,23130.00,24330.00,276079680,11936,21,D,24340.00,23130.00
Zar.Makaron,20210518,23600.00,23600.00,23600.00,24340.00,12095566400,512524,182,D,24840.00,23600.00
Zar.Makaron,20210517,23600.00,23600.00,23600.00,24840.00,111675200,4732,15,D,24840.00,23600.00
Zar.Makaron,20210516,23010.00,23010.00,23010.00,24840.00,8259163380,358938,434,D,25560.00,23010.00
Zar.Makaron,20210515,24350.00,24350.00,24350.00,25560.00,1731893750,71125,35,D,25630.00,24350.00
Zar.Makaron,20210512,24870.00,24870.00,24870.00,25630.00,274465320,11036,23,D,25630.00,24870.00
Zar.Makaron,20210511,24880.00,24880.00,24880.00,25630.00,385814160,15507,37,D,25640.00,24880.00
Zar.Makaron,20210510,24890.00,24890.00,24890.00,25640.00,463227790,18611,27,D,25650.00,24890.00
Zar.Makaron,20210509,24890.00,24890.00,24890.00,25650.00,37708350,1515,4,D,25650.00,24890.00
Zar.Makaron,20210508,24890.00,24890.00,24890.00,25650.00,176470100,7090,8,D,25650.00,24890.00
Zar.Makaron,20210505,24890.00,24890.00,24890.00,25650.00,280435630,11267,18,D,25650.00,24890.00
Zar.Makaron,20210503,24890.00,24890.00,24890.00,25650.00,287753290,11561,12,D,25650.00,24890.00
Zar.Makaron,20210502,24910.00,24910.00,24910.00,25650.00,1553113590,62349,20,D,25680.00,24910.00
Zar.Makaron,20210501,24750.00,24750.00,24750.00,25680.00,19116207000,772372,289,D,26320.00,24750.00
Zar.Makaron,20210428,25560.00,25560.00,25560.00,26320.00,1715331600,67110,54,D,26350.00,25560.00
Zar.Makaron,20210427,25580.00,25580.00,25580.00,26350.00,1216533640,47558,44,D,26370.00,25580.00
Zar.Makaron,20210426,25610.00,25610.00,25610.00,26370.00,2003162980,78218,30,D,26400.00,25610.00
